nous	PRO:cls	nous
puis	KON	puis
alors	ADV	alors
après	ADV	après
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:cls	elle
les	PRO:clo	le
a	AUX:pres	avoir
mangé	VER:pper	manger
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
à	PRP	à
manger	VER:infi	manger
dans	PRP	dans
la	DET:def	le
mai-	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
à	PRP	à
manger	VER:infi	manger
où	PRO:int	où
.	NAM	<unknown>
là	ADV	là
et	KON	et
puis	KON	puis
et	KON	et
puis	KON	puis
là	ADV	là
oui	FNO	oui
sur	PRP	sur
la	DET:def	le
table	NOM	table
et	KON	et
puis	KON	puis
dans	PRP	dans
la	DET:def	le
maison	NOM	maison
de	PRP	de
la	DET:def	le
petite	ADJ	petit
coccinelle	NOM	coccinelle
ouais	FNO	ouais
elle	PRO:cls	elle
/déjà	MLT	<unknown>
les/	MLT	<unknown>
a	AUX:pres	avoir
mangé	VER:pper	manger
aussi	ADV	aussi
et	KON	et
la	DET:def	le
coccinelle	NOM	coccinelle
et	KON	et
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
elles	PRO:cls	elle
sont	VER:pres	être
contentes	ADJ	content
ou	KON	ou
elles	PRO:cls	elle
sont	VER:pres	être
tristes	ADJ	triste
.	NAM	<unknown>
elles	PRO:cls	elle
sont	VER:pres	être
contentes	ADJ	content
elles	PRO:cls	elle
rigolent	VER:pres	rigoler
ouais	FNO	ouais
et	KON	et
tu	PRO:cls	tu
vois	VER:pres	voir
quoi	INT	quoi
dans	PRP	dans
l'	DET:def	le
armoire	NOM	armoire
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
dans	PRP	dans
la	DET:def	le
maison	NOM	maison
de	PRP	de
la	DET:def	le
petite	ADJ	petit
coccinelle	NOM	coccinelle
.	NOM:sig	<unknown>
une	DET:ind	un
fleur	NOM	fleur
et	KON	et
puis	KON	puis
elle	PRO:ton	elle
elle	PRO:cls	elle
rigole	VER:pres	rigoler
et	KON	et
la	DET:def	le
souris	NOM	souris
aussi	ADV	aussi
elle	PRO:cls	elle
rigole	VER:pres	rigoler
ouais	FNO	ouais
puis	KON	puis
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
parapluie	NOM	parapluie
comme	KON	comme
quand	KON	quand
il	PRO:cls	il
pleut	VER:pres	pleuvoir
mais	KON	mais
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
pluie	NOM	pluie
les	DET:def	le
parapluies	NOM	parapluie
elles	PRO:cls	elle
font	VER:pres	faire
pas	ADV	pas
j-	TRC	j-
pas	ADV	pas
de	PRP	de
pluie	NOM	pluie
mais	KON	mais
là	ADV	là
il	PRO:cls	il
est	VER:pres	être
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
de	PRP	de
la	DET:def	le
pluie	NOM	pluie
le	DET:def	le
parapluie	NOM	parapluie
oui	FNO	oui
le	DET:def	le
parapluie	NOM	parapluie
euh	INT	euh
il	PRO:clsi	il
s'	PRO:clo	se
égoutte	VER:pres	égoutter
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
égoutté	VER:pper	égoutter
par	PRP	par
terre	NOM	terre
ouais	FNO	ouais
et	KON	et
puis	KON	puis
après	ADV	après
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
oui	FNO	oui
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
le	DET:def	le
grand	ADJ	grand
dessin	NOM	dessin
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
qui	PRO:rel	qui
l'	PRO:clo	le
a	AUX:pres	avoir
fait	VER:pper	faire
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
souris	NOM	souris
oui	FNO	oui
il	PRO:cls	il
est	VER:pres	être
de	PRP	de
quelle	DET:int	quel
couleur	NOM	couleur
.	NAM	<unknown>
bleu	ADJ	bleu
et	KON	et
.	NAM	<unknown>
ça	PRO:cls	ça
représente	VER:pres	représenter
quoi	INT	quoi
noir	ADJ	noir
le	DET:def	le
dessin	NOM	dessin
.	NAM	<unknown>
euh	INT	euh
noir	ADJ	noir
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
bleu	ADJ	bleu
et	KON	et
puis	KON	puis
plus	ADV	plus
euh	INT	euh
blanc	ADJ	blanc
oui	FNO	oui
t'	PRO:clo	te
en	PRO:clo	en
fais	VER:pres	faire
toi	PRO:ton	toi
des	DET:ind	un
dessins	NOM	dessin
.	NOM:sig	<unknown>
b-	TRC	b-
bah	INT	bah
oui	FNO	oui
mais	KON	mais
moi	PRO:ton	moi
j-	TRC	j-
je	PRO:cls	je
fais	VER:pres	faire
pas	ADV	pas
des	DET:ind	un
dessins	NOM	dessin
comme	KON	comme
ça	PRO:ton	ça
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
dessins	NOM	dessin
comment	PRO:int	comment
.	NAM	<unknown>
ben	INT	ben
je	PRO:cls	je
fais	VER:pres	faire
aussi	ADV	aussi
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
écrire	VER:infi	écrire
Patricia	NAM	<unknown>
et	KON	et
Elodie	NAM	Elodie
ouais	FNO	ouais
voilà	FNO	voilà
ah	INT	ah
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
puis	KON	puis
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
maisons	NOM	maison
.	NAM	<unknown>
ah	INT	ah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
encore	ADV	encore
bah	INT	bah
tu	PRO:cls	tu
sais	VER:pres	savoir
et	KON	et
puis	KON	puis
les	DET:def	le
loups	NOM	loup
tu	PRO:cls	tu
sais	VER:pres	savoir
les	PRO:clo	le
dessiner	VER:infi	dessiner
.	NAM	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
dur	ADJ	dur
.	NAM	<unknown>
ah	INT	ah
bah	INT	bah
si	KON	si
je	PRO:cls	je
sais	VER:pres	savoir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
oui	FNO	oui
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
faire	VER:infi	faire
des	DET:ind	un
des	DET:ind	un
grands	ADJ	grand
nez	NOM	nez
comme	KON	comme
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
grand	ADJ	grand
nez	NOM	nez
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
faire	VER:infi	faire
des	DET:ind	un
pieds	NOM	pied
au	PRP:det	au
loup	NOM	loup
ah	INT	ah
puis	KON	puis
.	NAM	<unknown>
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
loups	NOM	loup
méchants	ADJ	méchant
ou	KON	ou
des	DET:ind	un
loups	NOM	loup
gentils	ADJ	gentil
.	NAM	<unknown>
euh	INT	euh
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
fais	VER:pres	faire
la	DET:def	le
maman	NOM	maman
loup	NOM	loup
oui	FNO	oui
et	KON	et
le	DET:def	le
papa	NOM	papa
loup	NOM	loup
et	KON	et
le	DET:def	le
et	KON	et
le	DET:def	le
grand	ADJ	grand
frère	NOM	frère
loup	NOM	loup
et	KON	et
puis	KON	puis
le	DET:def	le
bébé	NOM	bébé
et	KON	et
la	DET:def	le
petite	ADJ	petit
soeur	NOM	soeur
loup	NOM	loup
tu	PRO:cls	tu
fais	VER:pres	faire
toute	DET:pre	tout
la	DET:def	le
famille	NOM	famille
.	NAM	<unknown>
je	PRO:cls	je
fais	VER:pres	faire
plein	ADV	plein
de	PRP	de
loups	NOM	loup
ah	INT	ah
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
xxx	NOM	<unknown>
ben	INT	ben
i-	TRC	i-
qui	PRO:rel	qui
qui	PRO:rel	qui
sont	VER:pres	être
gentils	ADJ	gentil
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
en	PRO:clo	en
faire	VER:infi	faire
des	DET:ind	un
loups	NOM	loup
oui	FNO	oui
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
on	PRO:cls	on
on	PRO:cls	on
lit	VER:pres	lire
plus	ADV	plus
on	PRO:cls	on
lit	VER:pres	lire
plus	ADV	plus
non	FNO	non
.	NAM	<unknown>
