interaction	NOM	interaction
ah	INT	ah
bah	INT	bah
il	PRO:cls	il
est	VER:pres	être
peut	VER:pres	pouvoir
être	VER:infi	être
gentil	ADJ	gentil
lui	PRO:ton	lui
bah	INT	bah
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
hein	INT	hein
peut	VER:pres	pouvoir
être	VER:infi	être
hein	INT	hein
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
on	PRO:cls	on
voit	VER:pres	voir
une	DET:ind	un
une	DET:ind	un
une	DET:ind	un
une	DET:ind	un
.	NOM:sig	<unknown>
un	DET:ind	un
.	NOM	<unknown>
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rond	NOM	rond
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
sa	DET:pos	son
paume	NOM	paume
bah	INT	bah
oui	FNO	oui
tu	PRO:cls	tu
sais	VER:pres	savoir
comme	KON	comme
toi	PRO:ton	toi
regarde	VER:impe	regarder
là	ADV	là
eh	INT	eh
bah	INT	bah
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
paume	NOM	paume
du	PRP:det	du
pied	NOM	pied
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
vois	VER:pres	voir
.	VER:infi	<unknown>
le	DET:def	le
xxx	NOM	<unknown>
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
la	DET:def	le
xxx	NOM	<unknown>
le	DET:def	le
la	DET:def	le
/paume	NOM	<unknown>
pomme/	MLT	<unknown>
la	DET:def	le
paume	NOM	paume
.	NAM	<unknown>
la	DET:def	le
/paume	NOM	<unknown>
pomme/	MLT	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
on	PRO:cls	on
mange	VER:pres	manger
la	DET:def	le
paume	NOM	paume
la	DET:def	le
paume	NOM	paume
mais	KON	mais
non	FNO	non
pas	ADV	pas
la	DET:def	le
pomme	NOM	pomme
pas	ADV	pas
la	DET:def	le
pomme	NOM	pomme
euh	INT	euh
que	KON	que
tu	PRO:cls	tu
manges	VER:pres	manger
bah	INT	bah
ouais	FNO	ouais
et	KON	et
les	DET:def	le
les	DET:def	le
pommes	NOM	pomme
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
la	DET:def	le
pour	PRP	pour
la	DET:def	le
santé	NOM	santé
bah	INT	bah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
pour	PRP	pour
la	DET:def	le
santé	NOM	santé
et	KON	et
t'	PRO:clo	te
en	PRO:clo	en
manges	VER:pres	manger
toi	PRO:ton	toi
des	DET:ind	un
pommes	NOM	pomme
.	NAM	<unknown>
bah	INT	bah
oui	FNO	oui
regarde	VER:impe	regarder
regarde	VER:impe	regarder
regarde	VER:impe	regarder
ah	INT	ah
les	DET:def	le
dinosaures	NOM	dinosaure
oh	INT	oh
tyrex	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
encore	ADV	encore
un	DET:ind	un
tyrex	NOM	<unknown>
tu	PRO:cls	tu
crois	VER:pres	croire
.	NAM	<unknown>
ouais	FNO	ouais
ah	INT	ah
oui	FNO	oui
le	DET:def	le
tyranosaure	NOM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
raison	NOM	raison
tyrex	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
tyranosaure	NOM	<unknown>
tyranosaure	NOM	<unknown>
ça	PRO:ton	ça
-ci	ADV	-ci
celui	PRO:dem	celui
il	PRO:clsi	il
est	VER:pres	être
méchant	ADJ	méchant
-ci	ADV	-ci
celui	PRO:dem	celui
il	PRO:clsi	il
est	VER:pres	être
il	PRO:cls	il
est	VER:pres	être
mort	VER:pper	mourir
i-	TRC	i-
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
a	AUX:pres	avoir
perdu	VER:pper	perdre
son	DET:pos	son
ventre	NOM	ventre
son	DET:pos	son
ventre	NOM	ventre
.	NAM	<unknown>
bah	INT	bah
oui	FNO	oui
bah	INT	bah
comment	PRO:int	comment
il	PRO:cls	il
a	AUX:pres	avoir
perdu	VER:pper	perdre
son	DET:pos	son
ventre	NOM	ventre
.	NAM	<unknown>
bah	INT	bah
il	PRO:cls	il
peut	VER:pres	pouvoir
pas	ADV	pas
marcher	VER:infi	marcher
oh	INT	oh
bah	INT	bah
oui	FNO	oui
il	PRO:cls	il
est	AUX:pres	être
mort	VER:pper	mourir
hein	INT	hein
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
tyrex	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
tyranosaure	NOM	<unknown>
alors	ADV	alors
qui	PRO:rel	qui
l'	PRO:clo	le
a	AUX:pres	avoir
t-	TRC	t-
qui	PRO:rel	qui
l'	PRO:clo	le
a	AUX:pres	avoir
tué	VER:pper	tuer
bah	INT	bah
oui	FNO	oui
regarde	VER:impe	regarder
son	DET:pos	son
ventre	NOM	ventre
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
son	DET:pos	son
ventre	NOM	ventre
il	PRO:cls	il
est	VER:pres	être
gros	ADJ	gros
mm	NOM	<unknown>
tu	PRO:cls	tu
aurais	AUX:cond	avoir
bien	ADV	bien
aimé	VER:pper	aimer
toi	PRO:ton	toi
avoir	VER:infi	avoir
un	DET:ind	un
dinosaure	NOM	dinosaure
.	NAM	<unknown>
non	FNO	non
il	PRO:cls	il
va	VER:pres	aller
casser	VER:infi	casser
ma	DET:pos	mon
chambre	NOM	chambre
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
hein	INT	hein
il	PRO:cls	il
va	VER:pres	aller
casser	VER:infi	casser
m-	TRC	m-
ma	DET:pos	mon
vache	NOM	vache
ta	DET:pos	ton
petite	ADJ	petit
vache	NOM	vache
qui	PRO:rel	qui
vole	VER:pres	voler
oui	FNO	oui
il	PRO:cls	il
va	VER:pres	aller
déchirer	VER:infi	déchirer
il	PRO:cls	il
va	VER:pres	aller
déchirer	VER:infi	déchirer
tu	PRO:cls	tu
crois	VER:pres	croire
.	NAM	<unknown>
bah	INT	bah
oui	FNO	oui
et	KON	et
après	ADV	après
il	PRO:cls	il
va	VER:pres	aller
déchirer	VER:infi	déchirer
mon	DET:pos	mon
ventre	NOM	ventre
oh	INT	oh
le	DET:def	le
il	PRO:clsi	il
va	VER:pres	aller
faire	VER:infi	faire
comme	KON	comme
avec	PRP	avec
l'	DET:def	le
autre	ADJ	autre
dinosaure	NOM	dinosaure
alors	ADV	alors
oui	FNO	oui
alors	ADV	alors
je	PRO:cls	je
veux	VER:pres	vouloir
pas	ADV	pas
un	DET:ind	un
dinosaure	NOM	dinosaure
ouais	FNO	ouais
eh	INT	eh
regardez	VER:impe	regarder
ah	INT	ah
non	FNO	non
tu	PRO:cls	tu
veux	VER:pres	vouloir
pas	ADV	pas
de	PRP	de
dinosaure	NOM	dinosaure
hein	INT	hein
regarde	VER:impe	regarder
le	DET:def	le
dino	NOM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
bien	ADV	bien
avoir	VER:infi	avoir
des	DET:ind	un
chiens	ADJ	chien
des	DET:ind	un
chats	NOM	chat
mais	KON	mais
pas	ADV	pas
des	DET:ind	un
dinosaures	NOM	dinosaure
hein	INT	hein
regarde	VER:impe	regarder
là	ADV	là
regarde	VER:impe	regarder
le	DET:def	le
r-	TRC	r-
le	DET:def	le
roi	NOM	roi
non	FNO	non
-ci	ADV	-ci
celui	PRO:dem	celui
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
fille	NOM	fille
-ci	ADV	-ci
celui	PRO:dem	celui
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
garçon	NOM	garçon
le	DET:def	le
garçon	NOM	garçon
ah	INT	ah
mais	KON	mais
pour	PRP	pour
les	DET:def	le
dinosaures	NOM	dinosaure
tu	PRO:cls	tu
parles	VER:pres	parler
les	DET:def	le
trois	NUM	@card@
dinosaures	NOM	dinosaure
mais	KON	mais
tu	PRO:cls	tu
vois	VER:pres	voir
regarde	VER:impe	regarder
le	DET:def	le
premier	ADJ	premier
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
plus	ADV	plus
lourd	ADJ	lourd
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
et	KON	et
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
mm	NOM	<unknown>
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
le	DET:def	le
premier	ADJ	premier
il	PRO:cls	il
est	VER:pres	être
plus	ADV	plus
lourd	ADJ	lourd
-ci	ADV	-ci
celui	PRO:dem	celui
-ci	ADV	-ci
celui	PRO:dem	celui
il	PRO:clsi	il
est	VER:pres	être
pas	ADV	pas
plus	ADV	plus
lourd	ADJ	lourd
oui	FNO	oui
et	KON	et
c-	TRC	c-
celui-là	PRO:dem	celui-là
il	PRO:clsi	il
est	VER:pres	être
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
lourd	ADJ	lourd
c'	PRO:cls	ce
est	VER:pres	être
-ci	ADV	-ci
celui	PRO:dem	celui
le	DET:def	le
lourd	ADJ	lourd
ouais	FNO	ouais
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
veux	VER:pres	vouloir
un	DET:ind	un
dinosaure	NOM	dinosaure
je	PRO:cls	je
veux	VER:pres	vouloir
un	DET:ind	un
dinosaure	NOM	dinosaure
je	PRO:cls	je
veux	VER:pres	vouloir
un	DET:ind	un
je	PRO:cls	je
veux	VER:pres	vouloir
un	DET:ind	un
dinosaure	NOM	dinosaure
tu	PRO:cls	tu
veux	VER:pres	vouloir
un	DET:ind	un
dinosaure	NOM	dinosaure
.	NOM:sig	<unknown>
un	DET:ind	un
dinosaure	NOM	dinosaure
comme	KON	comme
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
dinosaure	NOM	dinosaure
ça	PRO:ton	ça
un	DET:ind	un
poisson	NOM	poisson
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
poisson	NOM	poisson
dinosaure	NOM	dinosaure
ouais	FNO	ouais
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
p-	TRC	p-
ça	PRO:cls	ça
existe	VER:pres	exister
pas	ADV	pas
les	DET:def	le
poissons	NOM	poisson
dinosaures	NOM	dinosaure
bah	INT	bah
si	KON	si
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
un	DET:ind	un
poisson	NOM	poisson
dinosaure	NOM	dinosaure
mais	KON	mais
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
mm	NOM	<unknown>
des	PRP:det	du
étoiles	NOM	étoile
de	PRP	de
mer	NOM	mer
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
une	DET:ind	un
étoile	NOM	étoile
de	PRP	de
mer	NOM	mer
ah	INT	ah
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
des	DET:ind	un
espèces	NOM	espèce
de	PRP	de
moule	NOM	moule
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
une	DET:ind	un
espèce	NOM	espèce
de	PRP	de
moule	NOM	moule
bah	INT	bah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
pareil	ADJ	pareil
que	KON	que
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
mm	NOM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
.	NAM	<unknown>
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
de	PRP	de
quoi	INT	quoi
?	NAM	<unknown>
ah	INT	ah
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
escargots	NOM	escargot
de	PRP	de
mer	NOM	mer
bah	INT	bah
ouais	FNO	ouais
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
déjà	ADV	déjà
vu	VER:pper	voir
des	DET:ind	un
escargots	NOM	escargot
.	NOM:sig	<unknown>
des	DET:ind	un
escargots	NOM	escargot
de	PRP	de
mer	NOM	mer
.	NAM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
vu	VER:pper	voir
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
.	NAM	<unknown>
et	KON	et
des	DET:ind	un
escargots	NOM	escargot
normaux	ADJ	normal
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
déjà	ADV	déjà
vu	VER:pper	voir
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
des	DET:ind	un
un	DET:ind	un
requin	NOM	requin
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
requin	NOM	requin
ça	PRO:cls	ça
fait	VER:pres	faire
peur	NOM	peur
les	DET:def	le
requins	NOM	requin
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
requin	NOM	requin
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
requin	NOM	requin
parce	TRC	parce
que	KON	que
ça	PRO:ton	ça
il	PRO:cls	il
le	PRO:clo	le
ça	PRO:cls	ça
fait	VER:pres	faire
peur	NOM	peur
le	DET:def	le
requin	NOM	requin
ça	PRO:cls	ça
fait	VER:pres	faire
peur	NOM	peur
/le	MLT	<unknown>
les/	MLT	<unknown>
requins	NOM	requin
.	NAM	<unknown>
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
ça	PRO:ton	ça
un	DET:ind	un
requin	NOM	requin
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
toi	PRO:ton	toi
.	NAM	<unknown>
eh	INT	eh
bah	INT	bah
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
doudou	NOM	doudou
c'	PRO:cls	ce
est	VER:pres	être
ton	DET:pos	ton
doudou	NOM	doudou
.	NAM	<unknown>
ouais	FNO	ouais
tu	PRO:cls	tu
lui	PRO:clo	lui
fais	VER:pres	faire
des	DET:ind	un
câlins	ADJ	câlin
.	NOM	<unknown>
et	KON	et
un	DET:ind	un
bisou	NOM	bisou
il	PRO:cls	il
a	VER:pres	avoir
de	PRP	de
la	DET:def	le
chance	NOM	chance
hein	INT	hein
fais	VER:pres	faire
un	DET:ind	un
bisou	NOM	bisou
à	PRP	à
l'	DET:def	le
autre	ADJ	autre
i-	TRC	i-
il	PRO:cls	il
mange	VER:pres	manger
toi	PRO:ton	toi
ah	INT	ah
non	FNO	non
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
me	PRO:clo	me
manger	VER:infi	manger
hein	INT	hein
il	PRO:cls	il
mange	VER:pres	manger
pas	ADV	pas
moi	PRO:ton	moi
il	PRO:clsi	il
te	PRO:clo	te
mange	VER:pres	manger
pas	ADV	pas
bah	INT	bah
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
doudou	NOM	doudou
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
des	DET:ind	un
autres	ADJ	autre
des	DET:ind	un
doudous	NOM	doudou
.	NAM	<unknown>
Justin	NAM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
Justin	NAM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
et	KON	et
moi	PRO:ton	moi
un	DET:ind	un
plus	ADV	plus
gros	ADJ	gros
ah	INT	ah
Justin	NAM	<unknown>
il	PRO:clsi	il
en	PRO:clo	en
il	PRO:clsi	il
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
en	PRP	en
petit	ADJ	petit
.	NAM	<unknown>
oui	FNO	oui
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
il	PRO:clsi	il
il	PRO:clsi	il
a	VER:pres	avoir
pas	ADV	pas
une	DET:ind	un
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
u-	TRC	u-
un	DET:ind	un
autre	ADJ	autre
il	PRO:clsi	il
il	PRO:clsi	il
a	VER:pres	avoir
m-	TRC	m-
un	DET:ind	un
un	DET:ind	un
noir	ADJ	noir
un	DET:ind	un
noir	ADJ	noir
oui	FNO	oui
et	KON	et
euh	INT	euh
comment	PRO:int	comment
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
des	DET:ind	un
autres	ADJ	autre
des	DET:ind	un
doudous	NOM	doudou
.	NOM:sig	<unknown>
des	DET:ind	un
autres	ADJ	autre
doudous	NOM	doudou
bah	INT	bah
derrière	ADV	derrière
attends	VER:impe	attendre
non	FNO	non
viens	VER:impe	venir
viens	VER:impe	venir
xxx	NOM	<unknown>
viens	VER:impe	venir
viens	VER:impe	venir
sur	PRP	sur
le	DET:def	le
lit	NOM	lit
attends	VER:impe	attendre
xxx	NOM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
un	DET:ind	un
Ratatouille	NOM	ratatouille
aussi	ADV	aussi
en	PRP	en
doudou	NOM	doudou
je	PRO:cls	je
crois	VER:pres	croire
?	NAM	<unknown>
ah	INT	ah
bah	INT	bah
si	KON	si
le	DET:def	le
voilà	FNO	voilà
le	DET:def	le
Ratatouille	NOM	ratatouille
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
alors	ADV	alors
Ratatouille	NOM	ratatouille
?	NAM	<unknown>
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
.	NOM:sig	<unknown>
bah	INT	bah
Ratatouille	NOM	ratatouille
c'	PRO:cls	ce
est	VER:pres	être
l-	TRC	l-
c'	PRO:cls	ce
est	VER:pres	être
le	PRO:clo	le
cuisiner	VER:infi	cuisiner
le	DET:def	le
cuisinier	NOM	cuisinier
.	NAM	<unknown>
bah	INT	bah
oui	FNO	oui
bah	INT	bah
un	DET:ind	un
rat	NOM	rat
ça	PRO:cls	ça
cuisine	VER:pres	cuisiner
pas	ADV	pas
bah	INT	bah
il	PRO:clsi	il
il	PRO:clsi	il
il	PRO:clsi	il
est	VER:pres	être
dans	PRP	dans
ma	DET:pos	mon
tête	NOM	tête
ça	PRO:cls	ça
va	VER:pres	aller
dans	PRP	dans
la	DET:def	le
tête	NOM	tête
il	PRO:cls	il
va	VER:pres	aller
dans	PRP	dans
ta	DET:pos	ton
tête	NOM	tête
.	NAM	<unknown>
bah	INT	bah
ouais	FNO	ouais
bah	INT	bah
il	PRO:cls	il
tire	VER:pres	tirer
les	DET:def	le
cheveux	NOM	cheveu
ah	INT	ah
tu	PRO:cls	tu
dis	VER:pres	dire
qu'	KON	que
il	PRO:cls	il
tire	VER:pres	tirer
les	DET:def	le
cheveux	NOM	cheveu
pour	PRP	pour
faire	VER:infi	faire
la	DET:def	le
cuisine	NOM	cuisine
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
mm	NOM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
.	VER:impe	<unknown>
regarde	VER:impe	regarder
ah	INT	ah
tu	PRO:cls	tu
as	VER:pres	avoir
même	ADV	même
la	DET:def	le
toque	NOM	toque
du	PRP:det	du
cuisinier	NOM	cuisinier
.	VER:impe	<unknown>
regarde	VER:impe	regarder
attends	VER:impe	attendre
je	PRO:cls	je
/montre	MLT	<unknown>
vais	VER:pres	aller
montrer/	MLT	<unknown>
ah	INT	ah
oui	FNO	oui
à	PRP	à
maman	NOM	maman
non	FNO	non
viens	VER:impe	venir
on	PRO:cls	on
ira	VER:futu	aller
après	ADV	après
attends	VER:impe	attendre
attends	VER:impe	attendre
non	FNO	non
viens	VER:impe	venir
on	PRO:cls	on
ira	VER:futu	aller
après	PRP	après
Constant	VER:ppre	conster
attends	VER:impe	attendre
mais	KON	mais
je	PRO:cls	je
vais	VER:pres	aller
dire	VER:infi	dire
à	PRP	à
maman	NOM	maman
non	FNO	non
viens	VER:impe	venir
on	PRO:cls	on
ira	VER:futu	aller
après	ADV	après
si	KON	si
attends	VER:impe	attendre
mais	KON	mais
non	FNO	non
viens	VER:impe	venir
on	PRO:cls	on
finit	VER:pres	finir
le	DET:def	le
livre	NOM	livre
attends	VER:impe	attendre
je	PRO:cls	je
regarde	VER:pres	regarder
attends	VER:impe	attendre
je	PRO:cls	je
vais	VER:pres	aller
dire	VER:infi	dire
à	PRP	à
ma-	TRC	ma-
mais	KON	mais
non	FNO	non
viens	VER:impe	venir
à	PRP	à
maman	NOM	maman
attends	VER:impe	attendre
je	PRO:cls	je
vais	VER:pres	aller
dire	VER:infi	dire
à	PRP	à
maman	NOM	maman
attends	VER:impe	attendre
cinq	NUM	@card@
minutes	NOM	minute
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
viens	VER:impe	venir
encore	ADV	encore
cinq	NUM	@card@
minutes	NOM	minute
xxx	NOM	<unknown>
att-	NOM	<unknown>
attends	VER:impe	attendre
je	PRO:cls	je
xxx	NOM	<unknown>
bon	INT	bon
allez	INT	allez
tu	PRO:cls	tu
viens	VER:pres	venir
.	NAM	<unknown>
.	NAM	<unknown>
xxx	NOM	<unknown>
allez	VER:impe	aller
viens	VER:impe	venir
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
rigolo	ADJ	rigolo
ça	PRO:cls	ça
y	PRO:clo	y
est	VER:pres	être
tu	PRO:cls	tu
as	AUX:pres	avoir
fini	VER:pper	finir
d'	PRP	un
aller	VER:infi	aller
montrer	VER:infi	montrer
à	PRP	à
maman	NOM	maman
.	NAM	<unknown>
oui	FNO	oui
ça	PRO:cls	ça
y	PRO:clo	y
est	VER:pres	être
faire	VER:infi	faire
de	PRP	de
la	DET:def	le
musique	NOM	musique
.	NAM	<unknown>
ça	PRO:cls	ça
y	PRO:clo	y
est	VER:pres	être
ah	INT	ah
non	FNO	non
pas	ADV	pas
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
on	PRO:cls	on
en	PRO:clo	en
fera	VER:futu	faire
après	ADV	après
de	PRP	de
la	DET:def	le
musique	NOM	musique
.	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
comme	KON	comme
ça	PRO:ton	ça
t-	TRC	t-
pour	PRP	pour
toi	PRO:ton	toi
le	DET:def	le
rat	NOM	rat
/il	MLT	<unknown>
ils/	MLT	<unknown>
/tire	MLT	<unknown>
tirent/	MLT	<unknown>
les	DET:def	le
cheveux	NOM	cheveu
et	KON	et
hop	INT	hop
ça	PRO:cls	ça
y	PRO:clo	y
est	VER:pres	être
ils	PRO:cls	il
font	VER:pres	faire
de	PRP	de
la	DET:def	le
cuisine	NOM	cuisine
il	PRO:cls	il
fait	VER:pres	faire
la	DET:def	le
cuisine	NOM	cuisine
?	NAM	<unknown>
les	DET:def	le
rats	NOM	rat
ça	PRO:cls	ça
fait	VER:pres	faire
pas	ADV	pas
la	DET:def	le
cuisine	NOM	cuisine
bah	INT	bah
oui	FNO	oui
comment	PRO:int	comment
ça	PRO:cls	ça
se	PRO:clo	se
fait	VER:pres	faire
alors	ADV	alors
.	ADJ	<unknown>
xxx	NOM	<unknown>
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
il	PRO:cls	il
mange	VER:pres	manger
il	PRO:cls	il
mange	VER:pres	manger
.	NAM	<unknown>
ils	PRO:cls	il
mangent	VER:pres	manger
quoi	PRO:int	quoi
les	DET:def	le
souris	NOM	souris
.	NAM	<unknown>
bah	INT	bah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
dis	VER:pres	dire
moi	PRO:ton	moi
du	PRP:det	du
gruyère	NOM	gruyère
le	DET:def	le
gruyère	NOM	gruyère
?	NAM	<unknown>
tu	PRO:cls	tu
aimes	VER:pres	aimer
bien	ADV	bien
toi	PRO:ton	toi
le	DET:def	le
gruyère	NOM	gruyère
.	NAM	<unknown>
non	FNO	non
berk	NOM	<unknown>
toi	PRO:ton	toi
tu	PRO:cls	tu
aimes	VER:pres	aimer
bien	ADV	bien
le	DET:def	le
gruyère	NOM	gruyère
.	NAM	<unknown>
non	FNO	non
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
pas	ADV	pas
non	FNO	non
plus	ADV	plus
moi	PRO:ton	moi
je	PRO:cls	je
déteste	VER:pres	détester
le	DET:def	le
gruyère	NOM	gruyère
oh	INT	oh
viens	VER:impe	venir
voir	VER:infi	voir
regarde	VER:impe	regarder
sur	PRP	sur
le	DET:def	le
livre	NOM	livre
attends	VER:impe	attendre
regarde	VER:impe	regarder
oh	INT	oh
quoi	INT	quoi
viens	VER:impe	venir
voir	VER:infi	voir
regarde	VER:impe	regarder
quoi	INT	quoi
regarde	VER:impe	regarder
tous	DET:pre	tout
les	DET:def	le
animaux	NOM	animal
xxx	NOM	<unknown>
regarde	VER:impe	regarder
là	ADV	là
.	VER:simp	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
tu	PRO:cls	tu
connais	VER:pres	connaître
ça	PRO:cls	ça
.	VER:cond	<unknown>
non	FNO	non
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
ça	PRO:ton	ça
moi	PRO:ton	moi
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
cet	DET:dem	ce
animal	NOM	animal
là	ADV	là
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
animal	NOM	animal
bah	INT	bah
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
animal	NOM	animal
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
