par	PRP	par
de	PRP	de
pas	ADV	pas
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
elle	PRO:cls	elle
voulait	VER:impf	vouloir
pas	ADV	pas
se	PRO:clo	se
marier	VER:infi	marier
et	KON	et
euh	INT	euh
avec	PRP	avec
euh	INT	euh
en	PRP	en
plus	ADV	plus
quelqu'un	PRO:ind	quelqu'un
qu'	KON	que
elle	PRO:cls	elle
ne	ADV	ne
connaissait	VER:impf	connaître
pas	ADV	pas
mais	KON	mais
la	DET:def	le
première	ADJ	premier
elle	PRO:cls	elle
ne	ADV	ne
lui	PRO:clo	lui
a	AUX:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
bah	INT	bah
si	KON	si
mais	KON	mais
il	PRO:cls	il
était	VER:impf	être
il	PRO:clsi	il
s'	PRO:clo	se
en	PRO:clo	en
foutait	VER:impf	foutre
à	PRP	à
l'	DET:def	le
époque	NOM	époque
ignorant	ADJ	ignorant
il	PRO:clsi	il
était	VER:impf	être
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
coutumes	NOM	coutume
c'	PRO:cls	ce
était	VER:impf	être
la	DET:def	le
coutume	NOM	coutume
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
il	PRO:cls	il
ne	ADV	ne
comprenait	VER:impf	comprendre
pas	ADV	pas
pourquoi	PRO:int	pourquoi
elle	PRO:cls	elle
pleurait	VER:impf	pleurer
entre	PRP	entre
temps	NOM	temps
il	PRO:cls	il
a	AUX:pres	avoir
apprit	VER:simp	apprendre
à	PRP	à
lire	VER:infi	lire
et	KON	et
il	PRO:cls	il
ne	ADV	ne
comprenait	VER:impf	comprendre
pas	ADV	pas
pourquoi	PRO:int	pourquoi
elle	PRO:cls	elle
pleurait	VER:impf	pleurer
à	PRP	à
son	DET:pos	son
mariage	NOM	mariage
tout	DET:pre	tout
ça	PRO:ton	ça
et	KON	et
main-	TRC	main-
maintenant	ADV	maintenant
il	PRO:clsi	il
le	PRO:clo	le
sait	VER:pres	savoir
voilà	FNO	voilà
il	PRO:cls	il
a	AUX:pres	avoir
compris	VER:pper	comprendre
pourquoi	PRO:int	pourquoi
qu'	KON	que
elle	PRO:cls	elle
a	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
enfant	NOM	enfant
à	PRP	à
quinze	NUM	@card@
ans	NOM	an
et	KON	et
tout	PRO:ind	tout
et	KON	et
il	PRO:clsi	il
en	PRO:clo	en
est	VER:pres	être
il	PRO:clsi	il
en	PRO:clo	en
pleurait	VER:impf	pleurer
hein	INT	hein
d'	PRP	un
avoir	AUX:infi	avoir
fait	VER:pper	faire
ouah	INT	ouah
ça	PRO:ton	ça
à	PRP	à
sa	DET:pos	son
fille	NOM	fille
au	PRP:det	au
lycée	NOM	lycée
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
une	DET:ind	un
fille	NOM	fille
dans	PRP	dans
ma	DET:pos	mon
classe	NOM	classe
euh	INT	euh
elle	PRO:cls	elle
a	VER:pres	avoir
ses	DET:pos	son
parents	NOM	parent
ils	PRO:cls	il
ont	AUX:pres	avoir
envoyé	VER:pper	envoyer
au	PRP:det	au
bled	NOM	bled
dès	PRP	dès
qu'	KON	que
elle	PRO:cls	elle
a	AUX:pres	avoir
eu	VER:pper	avoir
dix-huit	NUM	@card@
ans	NOM	an
et	KON	et
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
mariée	VER:pper	marier
euh	INT	euh
de	PRP	de
force	NOM	force
avec	PRP	avec
un	DET:ind	un
mec	NOM	mec
de	PRP	de
plus	ADV	plus
de	PRP	de
trente	NUM	@card@
ans	NOM	an
et	KON	et
cetera	VER:futu	<unknown>
et	KON	et
cetera	VER:futu	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
normal	ADJ	normal
ça	PRO:ton	ça
et	KON	et
j'	PRO:cls	je
ai	VER:pres	avoir
des	DET:ind	un
des	DET:ind	un
amies	NOM	amie
qui	PRO:rel	qui
étaient	VER:impf	être
dans	PRP	dans
ma	DET:pos	mon
classe	NOM	classe
et	KON	et
ils	PRO:cls	il
vivaient	VER:impf	vivre
en	PRP	en
France	NAM	France
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
des	DET:ind	un
amies	NOM	amie
qui	PRO:rel	qui
étaient	VER:impf	être
dans	PRP	dans
ma	DET:pos	mon
classe	NOM	classe
euh	INT	euh
qui	PRO:rel	qui
m'	PRO:clo	me
ont	AUX:pres	avoir
dit	VER:pper	dire
le	DET:def	le
jour	NOM	jour
du	PRP:det	du
mariage	NOM	mariage
elle	PRO:cls	elle
était	VER:impf	être
en	PRO:clo	en
pleures	VER:pres	pleurer
inconsolable	ADJ	inconsolable
quoi	INT	quoi
bah	INT	bah
tu	PRO:cls	tu
m'	PRO:clo	me
étonnes	VER:pres	étonner
bah	INT	bah
attend	VER:pres	attendre
elle	PRO:cls	elle
est	AUX:pres	être
mariée	VER:pper	marier
tu	PRO:cls	tu
ne	ADV	ne
peux	VER:pres	pouvoir
pas	ADV	pas
gérer	VER:infi	gérer
ta	DET:pos	ton
vie	NOM	vie
comme	KON	comme
tu	PRO:cls	tu
veux	VER:pres	vouloir
euh	INT	euh
attend	VER:pres	attendre
faut	VER:pres	falloir
pas	ADV	pas
déconner	VER:infi	déconner
je	PRO:cls	je
et	KON	et
puis	KON	puis
surtout	ADV	surtout
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
si	KON	si
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
viol	NOM	viol
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
viol	NOM	viol
quoi	INT	quoi
bah	INT	bah
oui	FNO	oui
hein	INT	hein
on	PRO:cls	on
te	PRO:clo	te
présente	VER:pres	présenter
un	DET:ind	un
mec	NOM	mec
on	PRO:cls	on
te	PRO:clo	te
dit	VER:pres	dire
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
faire	VER:infi	faire
des	DET:ind	un
enfants	NOM	enfant
avec	PRP	avec
euh	INT	euh
tu	PRO:cls	tu
vas	VER:pres	aller
faire	VER:infi	faire
ta	DET:pos	ton
vie	NOM	vie
ouais	FNO	ouais
.	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
n'	ADV	ne
as	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
choix	NOM	choix
euh	INT	euh
ou	KON	ou
pas	ADV	pas
ou	KON	ou
pas	ADV	pas
tu	PRO:cls	tu
tu	PRO:cls	tu
te	PRO:clo	te
suicide	VER:pres	suicider
oh	INT	oh
merde	INT	merde
ouais	FNO	ouais
mais	KON	mais
même	ADV	même
pas	ADV	pas
hein	INT	hein
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
juste	ADV	juste
horrible	ADJ	horrible
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
Gérard	NAM	<unknown>
Jugnot	NAM	<unknown>
aussi	ADV	aussi
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
mal	ADV	mal
franchement	ADV	franchement
avec	PRP	avec
Jugnot	NAM	<unknown>
hein	INT	hein
il	PRO:cls	il
était	VER:impf	être
en	PRP	en
Bolivie	ADJ	<unknown>
lui	PRO:ton	lui
tu	PRO:cls	tu
sais	VER:pres	savoir
sur	PRP	sur
les	DET:def	le
hautes	ADJ	haut
plateaux	NOM	plateau
de	PRP	de
Bolovie	NOM	<unknown>
la	DET:def	le
Paz	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
que	KON	que
le	DET:def	le
vent	NOM	vent
euh	INT	euh
oh	INT	oh
oui	FNO	oui
génial	ADJ	génial
ça	PRO:cls	ça
devait	VER:impf	devoir
être	VER:infi	être
très	ADV	très
bien	ADV	bien
très	ADV	très
bien	ADV	bien
oh	INT	oh
la	DET:def	le
vache	NOM	vache
oui	FNO	oui
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
il	PRO:cls	il
doit	VER:pres	devoir
y	PRO:clo	y
avoir	VER:infi	avoir
tellement	ADV	tellement
de	PRP	de
vent	NOM	vent
que	KON	que
tu	PRO:cls	tu
ne	ADV	ne
peux	VER:pres	pouvoir
même	ADV	même
pas	ADV	pas
ouvrir	VER:infi	ouvrir
les	DET:def	le
yeux	NOM	oeil
quoi	INT	quoi
hum	FNO	hum
hum	FNO	hum
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
remontré	VER:pper	remontrer
au	PRP:det	au
eh	INT	eh
c'	PRO:cls	ce
est	VER:pres	être
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
qu'	KON	que
ils	PRO:cls	il
auraient	VER:cond	avoir
du	PRP:det	du
envoyer	VER:infi	envoyer
là	ADV	là
bas	ADV	bas
c'	PRO:cls	ce
est	VER:pres	être
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
qu'	KON	que
ils	PRO:cls	il
auraient	AUX:cond	avoir
dû	VER:pper	devoir
envoyer	VER:infi	envoyer
en	PRP	en
Bolivie	ADJ	<unknown>
hein	INT	hein
ils	PRO:cls	il
ont	AUX:pres	avoir
montré	VER:pper	montrer
aux	PRP:det	au
papous	NOM	papou
des	PRP:det	du
reportages	NOM	reportage
de	PRP	de
Bolivie	VER:pper	<unknown>
de	PRP	de
de	PRP	de
personnes	NOM	personne
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
vu	VER:pper	voir
des	DET:ind	un
montagnes	NOM	montagne
ouais	FNO	ouais
ils	PRO:cls	il
ont	AUX:pres	avoir
montré	VER:pper	montrer
aux	PRP:det	au
papous	NOM	papou
les	DET:def	le
montagnes	NOM	montagne
euh	INT	euh
ils	PRO:cls	il
ils	PRO:cls	il
leurs	DET:pos	leur
ont	AUX:pres	avoir
montré	VER:pper	montrer
leur	DET:pos	leur
euh	INT	euh
reportages	NOM	reportage
à	PRP	à
eux	PRO:ton	eux
qu'	KON	que
ils	PRO:cls	il
avaient	AUX:impf	avoir
fait	VER:pper	faire
cinq	NUM	@card@
ans	NOM	an
auparavant	ADV	auparavant
avec	PRP	avec
Zazie	NAM	<unknown>
et	KON	et
ils	PRO:cls	il
lui	PRO:clo	lui
ont	VER:pres	avoir
ils	PRO:cls	il
leur	PRO:clo	lui
ont	AUX:pres	avoir
monté	VER:pper	monter
aussi	ADV	aussi
celui	PRO:dem	celui
de	PRP	de
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
dans	PRP	dans
l'	DET:def	le
Himayala	NOM	<unknown>
l'	DET:def	le
Himalaya	NAM	<unknown>
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
la	DET:def	le
première	ADJ	premier
fois	NOM	fois
de	PRP	de
leur	DET:pos	leur
vie	NOM	vie
qu'	KON	que
ils	PRO:cls	il
voyaient	VER:impf	voir
une	DET:ind	un
montagne	NOM	montagne
qu'	KON	que
ils	PRO:cls	il
voyaient	VER:impf	voir
une	DET:ind	un
montagne	NOM	montagne
ils	PRO:cls	il
avaient	AUX:impf	avoir
ils	PRO:cls	il
ont	AUX:pres	avoir
eu	VER:pper	avoir
peur	NOM	peur
hum	FNO	hum
ils	PRO:cls	il
vivent	VER:pres	vivre
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
dans	PRP	dans
les	DET:def	le
arbres	NOM	arbre
là	ADV	là
tu	PRO:cls	tu
tu	PRO:cls	tu
tu	PRO:cls	tu
sais	VER:pres	savoir
quoi	INT	quoi
autant	ADV	autant
pour	PRP	pour
les	DET:def	le
les	DET:def	le
aller	VER:infi	aller
dans	PRP	dans
des	DET:ind	un
terres	NOM	terre
sauvages	ADJ	sauvage
ou	KON	ou
euh	INT	euh
avec	PRP	avec
des	DET:ind	un
tribus	NOM	tribu
qui	PRO:rel	qui
sont	AUX:pres	être
déjà	ADV	déjà
familiarisées	VER:pper	familiariser
euh	INT	euh
avec	PRP	avec
le	DET:def	le
monde	NOM	monde
extérieur	ADJ	extérieur
entre	PRP	entre
guillemets	NOM	guillemet
je	PRO:cls	je
suis	VER:pres	être
pour	PRP	pour
mais	KON	mais
des	DET:ind	un
des	DET:ind	un
cultures	NOM	culture
comme	KON	comme
les	DET:def	le
papous	NOM	papou
qui	PRO:rel	qui
sont	VER:pres	être
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
dire	VER:infi	dire
ça	PRO:ton	ça
je	PRO:cls	je
trouve	VER:pres	trouver
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
les	PRO:clo	le
pervertir	VER:infi	pervertir
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
hum	FNO	hum
ah	INT	ah
non	FNO	non
moi	PRO:ton	moi
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
et	KON	et
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
je	PRO:cls	je
suis	VER:pres	être
vraiment	ADV	vraiment
pas	ADV	pas
pour	PRP	pour
ça	PRO:cls	ça
en	PRO:clo	en
fait	VER:pres	faire
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
je	PRO:cls	je
sais	VER:pres	savoir
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
mais	KON	mais
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
non	FNO	non
mais	KON	mais
euh	INT	euh
ils	PRO:cls	il
ne	ADV	ne
connaissent	VER:pres	connaître
que	KON	que
les	DET:def	le
troncs	NOM	tronc
des	PRP:det	du
troncs	NOM	tronc
d'	PRP	un
arbres	NOM	arbre
et	KON	et
alors	ADV	alors
euh	INT	euh
bah	INT	bah
là	ADV	là
xxx	NOM	<unknown>
imagine	VER:impe	imaginer
ils	PRO:cls	il
leurs	DET:pos	leur
ont	AUX:pres	avoir
montré	VER:pper	montrer
un	DET:ind	un
retro	ADJ	<unknown>
projecteur	NOM	projecteur
ils	PRO:cls	il
leurs	DET:pos	leur
ont	AUX:pres	avoir
montré	VER:pper	montrer
la	DET:def	le
technologie	NOM	technologie
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
même	ADJ	même
principe	NOM	principe
qu'	KON	que
avec	PRP	avec
les	DET:def	le
indiens	NOM	indien
tu	PRO:cls	tu
juges	VER:pres	juger
que	KON	que
ta	DET:pos	ton
culture	NOM	culture
est	VER:pres	être
meilleure	ADJ	meilleur
que	KON	que
la	DET:def	le
leur	DET:pos	leur
donc	ADV	donc
tu	PRO:cls	tu
leur	PRO:clo	lui
imposes	VER:pres	imposer
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
regarder	VER:infi	regarder
regarder	VER:infi	regarder
bah	INT	bah
vous	PRO:ton	vous
vous	PRO:cls	vous
voilà	FNO	voilà
vous	PRO:cls	vous
avez	VER:pres	avoir
vous	PRO:cls	vous
vous	PRO:clo	vous
êtes	AUX:pres	être
jamais	ADV	jamais
vu	VER:pper	voir
bah	INT	bah
voilà	FNO	voilà
on	PRO:cls	on
vous	PRO:clo	vous
montre	VER:pres	montrer
mais	KON	mais
si	KON	si
ils	PRO:cls	il
étaient	VER:impf	être
heureux	ADJ	heureux
comme	KON	comme
ça	PRO:cls	ça
imagine	VER:pres	imaginer
ça	PRO:ton	ça
le	DET:def	le
reportage	NOM	reportage
là	ADV	là
ça	PRO:cls	ça
a	AUX:pres	avoir
chamboulé	VER:pper	chambouler
toute	DET:pre	tout
leur	DET:pos	leur
vie	NOM	vie
ça	PRO:cls	ça
change	VER:pres	changer
leur	DET:pos	leur
vie	NOM	vie
euh	INT	euh
tu	PRO:cls	tu
as	VER:pres	avoir
plein	ADV	plein
de	PRP	de
reportage	NOM	reportage
sur	PRP	sur
les	DET:def	le
enfants	NOM	enfant
non	FNO	non
ils	PRO:cls	il
ont	AUX:pres	avoir
étaient	VER:impf	être
contents	ADJ	content
de	PRP	de
le	PRO:clo	le
voir	VER:infi	voir
tu	PRO:cls	tu
sais	VER:pres	savoir
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
eux	PRO:ton	eux
qui	PRO:rel	qui
ont	AUX:pres	avoir
demandé	VER:pper	demander
à	PRP	à
le	PRO:clo	le
voir	VER:infi	voir
parce	TRC	parce
que	KON	que
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
couple	NOM	couple
euh	INT	euh
qui	PRO:rel	qui
hum	FNO	hum
qui	PRO:rel	qui
les	PRO:clo	le
accueillait	VER:impf	accueillir
ils	PRO:cls	il
ont	AUX:pres	avoir
perdu	VER:pper	perdre
leur	DET:pos	leur
petit	ADJ	petit
garçon	NOM	garçon
de	PRP	de
euh	INT	euh
trois	NUM	@card@
ans	NOM	an
ou	KON	ou
quatre	NUM	@card@
ans	NOM	an
qui	PRO:rel	qui
a	AUX:pres	avoir
été	AUX:pper	être
mordu	VER:pper	mordre
mordu	VER:pper	mordre
par	PRP	par
un	DET:ind	un
serpent	NOM	serpent
et	KON	et
qui	PRO:rel	qui
est	AUX:pres	être
mort	VER:pper	mourir
hum	FNO	hum
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
demandé	VER:pper	demander
à	PRP	à
revoir	VER:infi	revoir
ce	PRO:dem	ce
ils	PRO:cls	il
ont	AUX:pres	avoir
demandé	VER:pper	demander
à	PRP	à
le	PRO:clo	le
voir	VER:infi	voir
ce	DET:dem	ce
reportage	NOM	reportage
là	ADV	là
pour	PRP	pour
pouvoir	VER:infi	pouvoir
voir	VER:infi	voir
le	DET:def	le
gamin	NOM	gamin
et	KON	et
ils	PRO:cls	il
été	AUX:pper	être
contents	ADJ	content
de	PRP	de
voir	VER:infi	voir
le	DET:def	le
gamin	NOM	gamin
ils	PRO:cls	il
leur	PRO:clo	lui
ont	AUX:pres	avoir
même	ADV	même
demandé	VER:pper	demander
tristes	ADJ	triste
mais	KON	mais
contents	ADJ	content
ils	PRO:cls	il
ont	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
ils	PRO:cls	il
étaient	VER:impf	être
tristes	ADJ	triste
mais	KON	mais
qu'	KON	que
ils	PRO:cls	il
étaient	VER:impf	être
heureux	ADJ	heureux
de	PRP	de
revoir	VER:infi	revoir
l'	DET:def	le
image	NOM	image
du	PRP:det	du
de	PRP	de
leur	DET:pos	leur
petit	ADJ	petit
garçon	NOM	garçon
parce	TRC	parce
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
ils	PRO:cls	il
y	PRO:clo	y
étaient	AUX:impf	être
déjà	ADV	déjà
allés	VER:pper	aller
et	KON	et
quoi	INT	quoi
le	DET:def	le
prin-	TRC	prin-
le	DET:def	le
principe	NOM	principe
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
déjà	ADV	déjà
sur	PRP	sur
la	DET:def	le
mais	KON	mais
en	PRO:clo	en
fait	VER:pres	faire
il	PRO:clsi	il
y	PRO:clo	y
la	DET:def	le
la	DET:def	le
fille	NOM	fille
je	PRO:cls	je
comprend	VER:pres	comprendre
pas	ADV	pas
ta	DET:pos	ton
question	NOM	question
la	DET:def	le
zazie	NOM	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
tourné	VER:pper	tourner
un	DET:ind	un
reportage	NOM	reportage
ils	PRO:cls	il
y	PRO:clo	y
sont	AUX:pres	être
retournés	VER:pper	retourner
quelque	ADJ	<unknown>
temps	NOM	temps
après	ADV	après
pour	PRP	pour
les	PRO:clo	le
revoir	VER:infi	revoir
ouais	FNO	ouais
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
ils	PRO:cls	il
y	PRO:clo	y
sont	AUX:pres	être
retournés	VER:pper	retourner
et	KON	et
pendant	PRP	pendant
cinq	NUM	@card@
ans	NOM	an
ils	PRO:cls	il
ont	AUX:pres	avoir
plus	ADV	plus
vu	VER:pper	voir
personne	PRO:ind	personne
voilà	FNO	voilà
ils	PRO:cls	il
ils	PRO:cls	il
viennent	VER:pres	venir
d'	PRP	un
y	PRO:clo	y
retourner	VER:infi	retourner
là	ADV	là
cette	DET:dem	ce
année	NOM	année
pour	PRP	pour
leur	PRO:clo	lui
proposer	VER:infi	proposer
de	PRP	de
voir	VER:infi	voir
le	DET:def	le
film	NOM	film
et	KON	et
eux	PRO:ton	eux
ils	PRO:cls	il
ont	AUX:pres	avoir
dit	VER:pper	dire
oui	FNO	oui
parqu'ils	NOM	<unknown>
voulaient	VER:impf	vouloir
voir	VER:infi	voir
leur	DET:pos	leur
petit	ADJ	petit
garçon	NOM	garçon
qui	PRO:rel	qui
été	AUX:pper	être
mort	VER:pper	mourir
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
demandé	VER:pper	demander
à	PRP	à
ce	PRO:dem	ce
que	PRO:rel	que
s'	PRO:clo	se
ils	PRO:cls	il
pouvaient	VER:impf	pouvoir
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
venir	VER:infi	venir
leurs	DET:pos	leur
remontrer	VER:infi	remontrer
le	DET:def	le
film	NOM	film
pour	PRP	pour
pouvoir	VER:infi	pouvoir
voir	VER:infi	voir
leur	DET:pos	leur
petit	ADJ	petit
garçon	NOM	garçon
mais	KON	mais
pourquoi	PRO:int	pourquoi
ils	PRO:cls	il
ouais	FNO	ouais
ouais	FNO	ouais
à	PRP	à
eux	PRO:ton	eux
et	KON	et
ils	PRO:cls	il
étaient	VER:impf	être
tristes	ADJ	triste
ils	PRO:cls	il
devraient	VER:cond	devoir
leur	PRO:clo	lui
imprimer	VER:infi	imprimer
des	DET:ind	un
photos	NOM:trc	photographie
mais	KON	mais
ils	PRO:cls	il
étaient	VER:impf	être
heureux	ADJ	heureux
tu	PRO:cls	tu
vois	VER:pres	voir
qui	PRO:rel	qui
ben	INT	ben
ouais	FNO	ouais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
peut	VER:pres	pouvoir
être	VER:infi	être
les	DET:def	le
genres	NOM	genre
les	DET:def	le
les	DET:def	le
les	DET:def	le
photos	NOM:trc	photographie
de	PRP	de
la	DET:def	le
vidéo	NOM	vidéo
enfin	ADV	enfin
tu	PRO:cls	tu
peux	VER:pres	pouvoir
faire	VER:infi	faire
ça	PRO:ton	ça
oui	FNO	oui
prendre	VER:infi	prendre
en	PRP	en
photo	NOM:trc	photographie
le	DET:def	le
petit	ADJ	petit
mais	KON	mais
eux	PRO:ton	eux
ouais	FNO	ouais
mais	KON	mais
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pareil	ADJ	pareil
que	KON	que
de	PRP	de
le	PRO:clo	le
voir	VER:infi	voir
en	PRP	en
vidéo	NOM	vidéo
non	FNO	non
non	FNO	non
là	ADV	là
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
vu	VER:pper	voir
rire	VER:infi	rire
euh	INT	euh
courir	VER:infi	courir
euh	INT	euh
et	KON	et
euh	INT	euh
ils	PRO:cls	il
étaient	VER:impf	être
tristes	ADJ	triste
mais	KON	mais
ils	PRO:cls	il
étaient	VER:impf	être
heureux	ADJ	heureux
et	KON	et
vu	VER:pper	voir
qu'	KON	que
ils	PRO:cls	il
regardent	VER:pres	regarder
avec	PRP	avec
leur	DET:pos	leur
dimension	NOM	dimension
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
leurs	DET:pos	leur
yeux	NOM	oeil
ils	PRO:cls	il
mangent	VER:pres	manger
des	DET:ind	un
vers	PRP	vers
des	DET:ind	un
vers	PRP	vers
blancs	ADJ	blanc
tout	DET:pre	tout
ça	PRO:ton	ça
hum	FNO	hum
et	KON	et
pour	PRP	pour
le	DET:def	le
télévision	NOM	télévision
tout	DET:pre	tout
ça	PRO:ton	ça
eux	PRO:ton	eux
ils	PRO:cls	il
ont	AUX:pres	avoir
fait	VER:pper	faire
des	DET:ind	un
zooms	NOM	zoom
sur	PRP	sur
les	DET:def	le
vers	PRP	vers
ils	PRO:cls	il
ont	AUX:pres	avoir
fait	VER:pper	faire
des	DET:ind	un
gros	ADJ	gros
plans	NOM	plan
donc	ADV	donc
les	DET:def	le
vers	NOM	ver|vers
étaient	VER:impf	être
comme	KON	comme
ça	PRO:ton	ça
donc	ADV	donc
euh	INT	euh
ils	PRO:cls	il
ont	AUX:pres	avoir
dit	VER:pper	dire
ouah	INT	ouah
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
gros	ADJ	gros
je	PRO:cls	je
mange	VER:pres	manger
oh	INT	oh
ils	PRO:cls	il
se	PRO:clo	se
rendent	VER:pres	rendre
pas	ADV	pas
compte	NOM	compte
ils	PRO:cls	il
hein	INT	hein
ils	PRO:cls	il
y	PRO:clo	y
ils	PRO:cls	il
y	PRO:clo	y
ont	VER:pres	avoir
pas	ADV	pas
de	PRP	de
euh	INT	euh
d'	PRP	un
équivalent	NOM	équivalent
donc	ADV	donc
je	PRO:cls	je
ne	ADV	ne
mange	VER:pres	manger
plus	ADV	plus
de	PRP	de
ver	NOM	ver
je	PRO:cls	je
ne	ADV	ne
mange	VER:pres	manger
plus	ADV	plus
rien	PRO:ind	rien
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
a	AUX:pres	avoir
dit	VER:pper	dire
ouah	INT	ouah
mais	KON	mais
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
gros	ADJ	gros
plans	NOM	plan
ils	PRO:cls	il
sont	VER:pres	être
gros	ADJ	gros
comme	KON	comme
ça	PRO:ton	ça
ah	INT	ah
bah	INT	bah
fini	VER:pper	finir
j'	PRO:cls	je
en	PRO:clo	en
mangerai	VER:futu	manger
plus	ADV	plus
jamais	ADV	jamais
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
un	DET:ind	un
des	DET:ind	un
papous	NOM	papou
tu	PRO:cls	tu
sais	VER:pres	savoir
ils	PRO:cls	il
montraient	VER:impf	montrer
des	DET:ind	un
gros	ADJ	gros
plans	NOM	plan
ce	PRO:dem	ce
qui	PRO:rel	qui
les	PRO:clo	le
a	AUX:pres	avoir
impressionné	VER:pper	impressionner
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
gros	ADJ	gros
plans	NOM	plan
mais	KON	mais
je	PRO:cls	je
me	PRO:clo	me
demande	VER:pres	demander
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
où	PRO:int	où
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
trouvent	VER:pres	trouver
le	DET:def	le
traducteur	NOM	traducteur
pour	PRP	pour
bonjour	NOM	bonjour
on	PRO:cls	on
cherche	VER:pres	chercher
un	DET:ind	un
traducteur	NOM	traducteur
papou	ADJ	papou
il	PRO:clsi	il
