bon	INT	bon
dans	PRP	dans
dans	PRP	dans
une	DET:ind	un
salle	NOM	salle
d'	PRP	un
attente	NOM	attente
donc	ADV	donc
euh	INT	euh
qui	PRO:rel	qui
était	VER:impf	être
très	ADV	très
bien	ADV	bien
avec	PRP	avec
café	NOM	café
distributeur	ADJ	distributeur
tout	DET:pre	tout
ça	PRO:ton	ça
ah	INT	ah
enfin	ADV	enfin
ça	PRO:cls	ça
va	VER:pres	aller
aller	VER:infi	aller
voilà	FNO	voilà
bon	INT	bon
enfant	NOM	enfant
quoi	INT	quoi
oui	FNO	oui
voilà	FNO	voilà
et	KON	et
euh	INT	euh
donc	ADV	donc
on	PRO:cls	on
est	AUX:pres	être
retournés	VER:pper	retourner
donc	ADV	donc
dans	PRP	dans
cette	DET:dem	ce
salle	NOM	salle
au	PRP:det	au
avec	PRP	avec
les	DET:def	le
ordinateurs	NOM	ordinateur
et	KON	et
là	ADV	là
on	PRO:cls	on
a	AUX:pres	avoir
passé	VER:pper	passer
donc	ADV	donc
les	DET:def	le
tests	NOM	test
euh	INT	euh
donc	ADV	donc
psychotechniques	ADJ	psychotechnique
donc	ADV	donc
euh	INT	euh
qui	PRO:rel	qui
sont	VER:pres	être
comme	KON	comme
un	DET:ind	un
peu	NOM	peu
comme	KON	comme
à	PRP	à
l'	DET:def	le
armée	NOM	armée
quoi	INT	quoi
un	DET:ind	un
peu	NOM	peu
du	PRP:det	du
même	ADJ	même
genre	NOM	genre
et	KON	et
donc	ADV	donc
euh	INT	euh
les	DET:def	le
tests	NOM	test
là	ADV	là
euh	INT	euh
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
tests	NOM	test
euh	INT	euh
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
logique	ADJ	logique
euh	INT	euh
de	PRP	de
mémoire	NOM	mémoire
avec	PRP	avec
des	DET:ind	un
par	PRP	par
exemple	NOM	exemple
des	PRP:det	du
noms	NOM	nom
de	PRP	de
ville	NOM	ville
à	PRP	à
retenir	VER:infi	retenir
donc	ADV	donc
au	PRP:det	au
début	NOM	début
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
test	NOM	test
de	PRP	de
vingt	NUM	@card@
minutes	NOM	minute
.	NAM	<unknown>
et	KON	et
à	PRP	à
la	DET:def	le
fin	NOM	fin
il	PRO:cls	il
faut	VER:pres	falloir
les	PRO:clo	le
les	PRO:clo	le
restituer	VER:infi	restituer
dans	PRP	dans
dans	PRP	dans
le	DET:def	le
bon	ADJ	bon
ordre	NOM	ordre
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
tests	NOM	test
comme	KON	comme
ça	PRO:ton	ça
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
ensuite	ADV	ensuite
euh	INT	euh
donc	ADV	donc
ce	DET:dem	ce
test	NOM	test
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
des	DET:ind	un
plus	ADV	plus
longs	ADJ	long
je	PRO:cls	je
crois	VER:pres	croire
qui	PRO:rel	qui
devait	VER:impf	devoir
faire	VER:infi	faire
quarante	NUM	@card@
quarante-cinq	NUM	@card@
minutes	NOM	minute
enfin	ADV	enfin
bref	INT	bref
et	KON	et
donc	ADV	donc
après	ADV	après
en	PRP	en
retournant	VER:ppre	retourner
donc	ADV	donc
dans	PRP	dans
la	DET:def	le
salle	NOM	salle
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
la	DET:def	le
longue	ADJ	long
attente	NOM	attente
le	DET:def	le
long	ADJ	long
stress	NOM	stress
euh	INT	euh
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
cinq	NUM	@card@
par	PRP	par
cinq	NUM	@card@
ils	PRO:cls	il
rappellent	VER:pres	rappeler
des	DET:ind	un
candidats	NOM	candidat
ah	INT	ah
oui	FNO	oui
donc	ADV	donc
euh	INT	euh
voilà	FNO	voilà
donc	ADV	donc
alors	ADV	alors
y	PRO:clo	y
en	PRO:clo	en
qui	PRO:rel	qui
partent	VER:pres	partir
puis	KON	puis
après	ADV	après
donc	ADV	donc
on	PRO:cls	on
les	PRO:clo	le
revoit	VER:pres	revoir
plus	ADV	plus
passer	VER:infi	passer
quoi	INT	quoi
ils	PRO:cls	il
reviennent	VER:pres	revenir
pu	VER:pper	pouvoir
dans	PRP	dans
la	DET:def	le
salle	NOM	salle
jusque	PRP	jusque
donc	ADV	donc
comme	KON	comme
ça	PRO:ton	ça
ça	PRO:cls	ça
a	AUX:pres	avoir
duré	VER:pper	durer
euh	INT	euh
on	PRO:cls	on
va	VER:pres	aller
dire	VER:infi	dire
une	DET:ind	un
demi-heure	NOM	demi-heure
et	KON	et
à	PRP	à
la	DET:def	le
fin	NOM	fin
on	PRO:cls	on
n'	ADV	ne
était	VER:impf	être
plus	ADV	plus
que	KON	que
sept	NUM	@card@
voilà	FNO	voilà
puis	KON	puis
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
dame	NOM	dame
qui	PRO:rel	qui
vient	VER:pres	venir
nous	PRO:clo	nous
voir	VER:infi	voir
bon	INT	bon
bah	INT	bah
les	DET:def	le
sept	NUM	@card@
derniers	ADJ	dernier
euh	INT	euh
venez	VER:impe	venir
nous	PRO:clo	nous
voir	VER:infi	voir
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
on	PRO:cls	on
on	PRO:cls	on
suit	VER:pres	suivre
la	DET:def	le
dame	NOM	dame
elle	PRO:cls	elle
nous	PRO:clo	nous
fait	VER:pres	faire
asseoir	VER:infi	asseoir
dans	PRP	dans
une	NUM	@card@
dans	PRP	dans
une	DET:ind	un
autre	ADJ	autre
salle	NOM	salle
avec	PRP	avec
un	DET:ind	un
un	DET:ind	un
grand	ADJ	grand
tableau	NOM	tableau
voilà	FNO	voilà
donc	ADV	donc
elle	PRO:cls	elle
nous	PRO:clo	nous
fait	VER:pres	faire
asseoir	VER:infi	asseoir
et	KON	et
elle	PRO:cls	elle
nous	PRO:clo	nous
dit	VER:pres	dire
euh	INT	euh
bon	INT	bon
bah	INT	bah
félicitations	FNO	félicitations
euh	INT	euh
vous	PRO:cls	vous
êtes	VER:pres	être
les	DET:def	le
les	DET:def	le
sept	NUM	@card@
euh	INT	euh
derniers	ADJ	dernier
euh	INT	euh
fin	NOM	fin
on	PRO:cls	on
était	VER:impf	être
quatorze	NUM	@card@
en	PRP	en
fait	NOM	fait
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
deux	NUM	@card@
groupes	NOM	groupe
de	PRP	de
sept	NUM	@card@
donc	ADV	donc
dans	PRP	dans
les	DET:def	le
vous	PRO:cls	vous
êtes	VER:pres	être
dans	PRP	dans
les	DET:def	le
dans	PRP	dans
les	DET:def	le
derniers	ADJ	dernier
ah	INT	ah
enfin	ADV	enfin
vous	PRO:cls	vous
êtes	VER:pres	être
euh	INT	euh
ceux	PRO:dem	celui
.	VER:subp	<unknown>
voilà	FNO	voilà
ceux	PRO:dem	celui
qui	PRO:rel	qui
ont	AUX:pres	avoir
réussi	VER:pper	réussir
les	DET:def	le
tests	NOM	test
quoi	INT	quoi
ouais	FNO	ouais
réussi	VER:pper	réussir
ouais	FNO	ouais
donc	ADV	donc
euh	INT	euh
déjà	ADV	déjà
vous	PRO:cls	vous
avez	AUX:pres	avoir
réussi	VER:pper	réussir
la	DET:def	le
première	ADJ	premier
étape	NOM	étape
donc	ADV	donc
là	ADV	là
déjà	ADV	déjà
on	PRO:cls	on
était	VER:impf	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
un	DET:ind	un
un	DET:ind	un
grand	ADJ	grand
ouf	NOM	ouf
de	PRP	de
soulagement	NOM	soulagement
ouais	FNO	ouais
ouais	FNO	ouais
je	PRO:cls	je
comprends	VER:pres	comprendre
bien	ADV	bien
voilà	FNO	voilà
et	KON	et
donc	ADV	donc
euh	INT	euh
maintenant	ADV	maintenant
c'	PRO:cls	ce
était	VER:impf	être
l'	DET:def	le
étape	NOM	étape
euh	INT	euh
deux	NUM	@card@
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
avec	PRP	avec
donc	ADV	donc
des	DET:ind	un
psychologues	NOM	psychologue
du	PRP:det	du
travail	NOM	travail
il	PRO:cls	il
fallait	VER:impf	falloir
euh	INT	euh
s-	TRC	s-
on	PRO:cls	on
avait	VER:impf	avoir
un	DET:ind	un
un	DET:ind	un
genre	NOM	genre
de	PRP	de
jeu	NOM	jeu
à	PRP	à
à	PRP	à
faire	VER:infi	faire
avec	PRP	avec
euh	INT	euh
un	DET:ind	un
service	NOM	service
de	PRP	de
livraison	NOM	livraison
et	KON	et
et	KON	et
des	DET:ind	un
problèmes	NOM	problème
avec	PRP	avec
euh	INT	euh
une	DET:ind	un
voiture	NOM	voiture
euh	INT	euh
qui	PRO:rel	qui
fallait	VER:impf	falloir
mettre	VER:infi	mettre
de	PRP	de
l'	DET:def	le
essence	NOM	essence
qui	PRO:rel	qui
fallait	VER:impf	falloir
laver	VER:infi	laver
qui	PRO:rel	qui
fallait	VER:impf	falloir
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
des	DET:ind	un
routes	NOM	route
en	PRP	en
travaux	NOM	travail|travaux
euh	INT	euh
et	KON	et
cetera	VER:futu	<unknown>
en	PRO:clo	en
fait	VER:pres	faire
et	KON	et
il	PRO:cls	il
fallait	VER:impf	falloir
s'	PRO:clo	se
organiser	VER:infi	organiser
de	PRP	de
manière	NOM	manière
à	PRP	à
arriver	VER:infi	arriver
à	PRP	à
livrer	VER:infi	livrer
le	DET:def	le
plus	ADV	plus
rapidement	ADV	rapidement
possible	ADJ	possible
et	KON	et
dans	PRP	dans
les	DET:def	le
meilleures	ADJ	meilleur
conditions	NOM	condition
ouais	FNO	ouais
et	KON	et
chacun	PRO:ind	chacun
à	PRP	à
la	DET:def	le
fin	NOM	fin
mettait	VER:impf	mettre
ses	DET:pos	son
idées	NOM	idée
euh	INT	euh
en	PRP	en
commun	NOM	commun
enfin	ADV	enfin
argumentait	VER:impf	argumenter
pourquoi	PRO:int	pourquoi
il	PRO:cls	il
a	AUX:pres	avoir
préféré	VER:pper	préférer
laver	VER:infi	laver
sa	DET:pos	son
voiture	NOM	voiture
plutôt	ADV	plutôt
que	KON	que
de	PRP	de
mettre	VER:infi	mettre
de	PRP	de
l'	DET:def	le
essence	NOM	essence
ou	KON	ou
inversement	ADV	inversement
et	KON	et
pour	PRP	pour
euh	INT	euh
et	KON	et
ça	PRO:cls	ça
permettait	VER:impf	permettre
donc	ADV	donc
au	PRP:det	au
psychologue	NOM	psychologue
de	PRP	de
de	PRP	de
savoir	VER:infi	savoir
euh	INT	euh
faire	VER:infi	faire
un	DET:ind	un
un	DET:ind	un
petit	ADJ	petit
euh	INT	euh
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
petit	ADJ	petit
comment	PRO:int	comment
un	DET:ind	un
petit	ADJ	petit
bilan	NOM	bilan
de	PRP	de
de	PRP	de
nos	DET:pos	notre
pensées	NOM	pensée
quoi	INT	quoi
ouais	FNO	ouais
voilà	FNO	voilà
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
savoir	VER:infi	savoir
comment	PRO:int	comment
on	PRO:cls	on
ouais	FNO	ouais
ouais	FNO	ouais
comment	PRO:int	comment
on	PRO:cls	on
réfléchit	VER:pres	réfléchir
vaut	VER:pres	valoir
mieux	ADV	mieux
mettre	VER:infi	mettre
de	PRP	de
l'	DET:def	le
essence	NOM	essence
que	KON	que
de	PRP	de
laver	VER:infi	laver
la	DET:def	le
voiture	NOM	voiture
quoi	INT	quoi
peut-être	ADV	peut-être
bah	INT	bah
oui	FNO	oui
mais	KON	mais
après	ADV	après
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
ils	PRO:cls	il
ont	AUX:pres	avoir
préféré	VER:pper	préférer
laver	VER:infi	laver
la	DET:def	le
voiture	NOM	voiture
c'	PRO:cls	ce
était	VER:impf	être
pour	PRP	pour
euh	INT	euh
l'	DET:def	le
image	NOM	image
de	PRP	de
l'	DET:def	le
entreprise	NOM	entreprise
tout	DET:pre	tout
ça	PRO:ton	ça
donc	ADV	donc
ah	INT	ah
oui	FNO	oui
euh	INT	euh
voilà	FNO	voilà
tout	ADV	tout
de	PRP	de
suite	NOM	suite
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
pers-	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
euh	INT	euh
comparer	VER:infi	comparer
les	DET:def	le
personnalités	NOM	personnalité
quoi	INT	quoi
bah	INT	bah
disons	INT	disons
on	PRO:cls	on
peut	VER:pres	pouvoir
faire	VER:infi	faire
les	DET:def	le
deux	NUM	@card@
laver	VER:infi	laver
la	DET:def	le
voiture	NOM	voiture
puis	KON	puis
mettre	VER:infi	mettre
de	PRP	de
l'	DET:def	le
essence	NOM	essence
oui	FNO	oui
mais	KON	mais
après	ADV	après
on	PRO:cls	on
n'	ADV	ne
aurait	AUX:cond	avoir
pu	VER:pper	pouvoir
le	DET:def	le
temps	NOM	temps
pour	PRP	pour
euh	INT	euh
payer	VER:infi	payer
l'	DET:def	le
autoroute	NOM	autoroute
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
quoi	INT	quoi
dans	PRP	dans
le	DET:def	le
problème	NOM	problème
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
on	PRO:cls	on
prenait	VER:impf	prendre
pas	ADV	pas
le	DET:def	le
temps	NOM	temps
de	PRP	de
tout	PRO:ind	tout
faire	VER:infi	faire
quoi	INT	quoi
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:cls	ça
fallait	VER:impf	falloir
bien	ADV	bien
s'	PRO:clo	se
organiser	VER:infi	organiser
enfin	ADV	enfin
bref	INT	bref
donc	ADV	donc
euh	INT	euh
après	ADV	après
ça	PRO:ton	ça
donc	ADV	donc
ça	PRO:ton	ça
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
éliminatoire	ADJ	éliminatoire
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
vraiment	ADV	vraiment
un	DET:ind	un
un	DET:ind	un
ouais	FNO	ouais
un	DET:ind	un
test	NOM	test
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
un	DET:ind	un
test	NOM	test
un	DET:ind	un
hum	FNO	hum
premier	NUM	@card@
test	NOM	test
de	PRP	de
personnalité	NOM	personnalité
quoi	INT	quoi
donc	ADV	donc
ensuite	ADV	ensuite
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
on	PRO:cls	on
nous	PRO:clo	nous
a	AUX:pres	avoir
passé	VER:pper	passer
un	DET:ind	un
diaporama	NOM	diaporama
durant	VER:ppre	durer
vingt	NUM	@card@
minutes	NOM	minute
sur	PRP	sur
le	DET:def	le
métier	NOM	métier
de	PRP	de
conducteur	NOM	conducteur
de	PRP	de
train	NOM	train
donc	ADV	donc
les	DET:def	le
deux	NUM	@card@
métiers	NOM	métier
euh	INT	euh
types	NOM	type
donc	ADV	donc
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
à	PRP	à
la	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
donc	ADV	donc
euh	INT	euh
les	DET:def	le
métiers	NOM	métier
donc	ADV	donc
euh	INT	euh
de	PRP	de
conducteur	NOM	conducteur
euh	INT	euh
de	PRP	de
manoeuvre	NOM	manoeuvre
donc	ADV	donc
qui	PRO:rel	qui
sont	AUX:pres	être
plus	ADV	plus
réservés	VER:pper	réserver
aux	PRP:det	au
débutants	ADJ	débutant
ou	KON	ou
aux	PRP:det	au
jeunes	ADJ	jeune
et	KON	et
euh	INT	euh
ouais	FNO	ouais
comme	KON	comme
toi	PRO:ton	toi
tu	PRO:cls	tu
veux	VER:pres	vouloir
faire	VER:infi	faire
quoi	INT	quoi
enfin	ADV	enfin
en	PRP	en
débutant	VER:ppre	débuter
quoi	INT	quoi
ouais	FNO	ouais
voilà	FNO	voilà
t'	PRO:clo	te
es	AUX:pres	être
obligé	VER:pper	obliger
de	PRP	de
passer	VER:infi	passer
par	PRP	par
là	ADV	là
quoi	INT	quoi
voilà	FNO	voilà
et	KON	et
les	DET:def	le
et	KON	et
le	DET:def	le
le	DET:def	le
poste	NOM	poste
de	PRP	de
conducteur	NOM	conducteur
donc	ADV	donc
euh	INT	euh
de	PRP	de
ligne	NOM	ligne
euh	INT	euh
donc	ADV	donc
qui	PRO:rel	qui
est	VER:pres	être
déjà	ADV	déjà
euh	INT	euh
normalement	ADV	normalement
la	DET:def	le
suite	NOM	suite
du	PRP:det	du
conducteur	NOM	conducteur
de	PRP	de
manoeuvre	NOM	manoeuvre
et	KON	et
que	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
normal-	TRC	<unknown>
enfin	ADV	enfin
normalement	ADV	normalement
si	KON	si
on	PRO:cls	on
est	VER:pres	être
externe	ADJ	externe
ne	ADV	ne
pas	ADV	pas
accéder	VER:infi	accéder
euh	INT	euh
comme	KON	comme
ça	PRO:ton	ça
quoi	INT	quoi
et	KON	et
ensuite	ADV	ensuite
euh	INT	euh
donc	ADV	donc
après	ADV	après
ce	DET:dem	ce
petit	ADJ	petit
diaporama	NOM	diaporama
donc	ADV	donc
euh	INT	euh
il	PRO:cls	il
était	VER:impf	être
préférable	ADJ	préférable
de	PRP	de
prendre	VER:infi	prendre
des	DET:ind	un
notes	NOM	note
parce	TRC	parce
qu'	KON	que
après	ADV	après
on	PRO:cls	on
avait	VER:impf	avoir
un	DET:ind	un
premier	ADJ	premier
entretien	NOM	entretien
avec	PRP	avec
une	NUM	@card@
euh	INT	euh
psychologue	NOM	psychologue
du	PRP:det	du
travail	NOM	travail
ou	KON	ou
un	DET:ind	un
psychologue	NOM	psychologue
du	PRP:det	du
travail	NOM	travail
donc	ADV	donc
dans	PRP	dans
l'	DET:def	le
après-midi	NOM	après-midi
ce	PRO:dem	ce
-ci	ADV	-ci
coup	NOM	coup
puisque	KON	puisque
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
la	DET:def	le
pause	NOM	pause
pour	PRP	pour
manger	VER:infi	manger
euh	INT	euh
entre	PRP	entre
le	DET:def	le
diaporama	NOM	diaporama
et	KON	et
donc	ADV	donc
pareil	ADJ	pareil
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
assez	ADV	assez
stressant	ADJ	stressant
parce	TRC	parce
que	KON	que
bon	INT	bon
euh	INT	euh
face	ADV	face
à	PRP	à
une	DET:ind	un
seule	ADJ	seul
personne	NOM	personne
et	KON	et
tout	PRO:ind	tout
et	KON	et
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
stressant	ADJ	stressant
et	KON	et
elle	PRO:cls	elle
pose	VER:pres	poser
des	DET:ind	un
questions	NOM	question
euh	INT	euh
quitte	ADV	quitte
à	PRP	à
poser	VER:infi	poser
trois	NUM	@card@
fois	NOM	fois
la	DET:def	le
même	ADJ	même
question	NOM	question
pour	PRP	pour
vraiment	ADV	vraiment
savoir	VER:infi	savoir
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
pense	VER:pres	penser
euh	INT	euh
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
tests	NOM	test
où	PRO:rel	où
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
inutile	ADJ	inutile
de	PRP	de
mentir	VER:infi	mentir
quoi	INT	quoi
parce	TRC	parce
que	KON	que
euh	INT	euh
si	KON	si
on	PRO:cls	on
ment	VER:pres	mentir
euh	INT	euh
et	KON	et
qu'	KON	que
on	PRO:cls	on
essaye	VER:pres	essayer
de	PRP	de
de	PRP	de
contourner	VER:infi	contourner
quelque	ADJ	<unknown>
chose	NOM	chose
mais	KON	mais
ils	PRO:cls	il
le	PRO:clo	le
voient	VER:pres	voir
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
elle	PRO:cls	elle
le	PRO:clo	le
voit	VER:pres	voir
directement	ADV	directement
oui	FNO	oui
directement	ADV	directement
ouais	FNO	ouais
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
ça	PRO:cls	ça
a	AUX:pres	avoir
duré	VER:pper	durer
euh	INT	euh
peut-être	ADV	peut-être
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
ouais	FNO	ouais
vingt	NUM	@card@
bonnes	ADJ	bon
minutes	NOM	minute
assez	ADV	assez
stressantes	ADJ	stressant
là	ADV	là
aussi	ADV	aussi
et	KON	et
donc	ADV	donc
à	PRP	à
la	DET:def	le
fin	NOM	fin
elle	PRO:cls	elle
m-	TRC	m-
donc	ADV	donc
euh	INT	euh
la	DET:def	le
psychologue	NOM	psychologue
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
euh	INT	euh
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
pour	PRP	pour
moi	PRO:ton	moi
y'a	NOM	<unknown>
pas	ADV	pas
de	PRP	de
soucis	NOM	souci
et	KON	et
tout	PRO:ind	tout
donc	ADV	donc
euh	INT	euh
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
moi	PRO:ton	moi
qui	PRO:rel	qui
prend	VER:pres	prendre
la	DET:def	le
décision	NOM	décision
finale	NOM	finale
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
au	PRP:det	au
recruteur	NOM	recruteur
donc	ADV	donc
euh	INT	euh
de	PRP	de
la	DET:def	le
région	NOM	région
Lorraine	NAM	Lorraine
donc	ADV	donc
à	PRP	à
¤T¤	NAM	¤T¤
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
eux	PRO:ton	eux
de	PRP	de
prendre	VER:infi	prendre
la	DET:def	le
décision	NOM	décision
quoi	INT	quoi
oui	FNO	oui
maintenant	ADV	maintenant
t'	PRO:clo	te
es	VER:pres	être
apte	ADJ	apte
à	PRP	à
c-	TRC	c-
à	PRP	à
conduire	VER:infi	conduire
des	DET:ind	un
trains	NOM	train
bah	INT	bah
disons	INT	disons
que	KON	que
au	PRP:det	au
niveau	NOM	niveau
des	PRP:det	du
tests	NOM	test
là	ADV	là
apte	ADJ	apte
euh	INT	euh
psychologiquement	ADV	psychologiquement
oui	FNO	oui
psychologiquement	ADV	psychologiquement
psychologiquement	ADV	psychologiquement
oui	FNO	oui
je	PRO:cls	je
suis	VER:pres	être
apte	ADJ	apte
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
pas	ADV	pas
maintenant	ADV	maintenant
oui	FNO	oui
oui	FNO	oui
faut	VER:pres	falloir
voilà	FNO	voilà
faudra	VER:futu	falloir
des	DET:ind	un
formations	NOM	formation
plus	ADV	plus
poussées	VER:pper	pousser
euh	INT	euh
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
par	PRP	par
la	DET:def	le
suite	NOM	suite
quoi	INT	quoi
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
donc	ADV	donc
mon	DET:pos	mon
petit	ADJ	petit
papier	NOM	papier
tout	DET:pre	tout
ça	PRO:ton	ça
comme	KON	comme
quoi	INT	quoi
j'	PRO:cls	je
avais	VER:impf	avoir
euh	INT	euh
donc	ADV	donc
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
¤T¤	NAM	¤T¤
le	DET:def	le
lendemain	NOM	lendemain
fallait	VER:impf	falloir
donc	ADV	donc
je	PRO:cls	je
retourne	VER:pres	retourner
euh	INT	euh
chez	PRP	chez
moi	PRO:ton	moi
et	KON	et
donc	ADV	donc
euh	INT	euh
à	PRP	à
¤T¤	NAM	¤T¤
le	DET:def	le
lendemain	NOM	lendemain
pour	PRP	pour
euh	INT	euh
passer	VER:infi	passer
le	DET:def	le
test	NOM	test
deuxième	ADJ	deuxième
stress	NOM	stress
voilà	FNO	voilà
de	PRP	de
de	PRP	de
recrutement	NOM	recrutement
donc	ADV	donc
celui	PRO:dem	celui
qui	PRO:rel	qui
est	VER:pres	être
vraiment	ADV	vraiment
euh	INT	euh
plus	ADV	plus
euh	INT	euh
c'	PRO:cls	ce
est-à-dire	VER:pres	<unknown>
qui	PRO:rel	qui
est	VER:pres	être
plus	ADV	plus
en	PRP	en
rapport	NOM	rapport
ce	PRO:dem	ce
-ci	ADV	-ci
coup	NOM	coup
avec	PRP	avec
euh	INT	euh
si	KON	si
on	PRO:cls	on
connait	VER:impf	<unknown>
bien	ADV	bien
euh	INT	euh
l'	DET:def	le
entreprise	NOM	entreprise
ouais	FNO	ouais
tout	DET:pre	tout
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
euh	INT	euh
vraiment	ADV	vraiment
exposer	VER:infi	exposer
vraiment	ADV	vraiment
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
nos	DET:pos	notre
motivations	NOM	motivation
que	KON	que
que	KON	que
que	KON	que
psychologiquement	ADV	psychologiquement
quoi	INT	quoi
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
bah	INT	bah
euh	INT	euh
je	PRO:cls	je
suis	VER:pres	être
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
repris	VER:pper	reprendre
le	DET:def	le
métro	NOM	métro
je	PRO:cls	je
suis	AUX:pres	être
rentré	VER:pper	rentrer
donc	ADV	donc
euh	INT	euh
je	PRO:cls	je
suis	AUX:pres	être
retourné	VER:pper	retourner
jusqu'	PRP	jusque
à	PRP	à
la	DET:def	le
gare	NOM	gare
j'	PRO:cls	je
ai	AUX:pres	avoir
repris	VER:pper	reprendre
le	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
donc	ADV	donc
et	KON	et
je	PRO:cls	je
suis	AUX:pres	être
rentré	VER:pper	rentrer
voilà	FNO	voilà
et	KON	et
jusqu'	PRP	jusque
au	PRP:det	au
donc	ADV	donc
lendemain	NOM	lendemain
donc	ADV	donc
où	PRO:int	où
je	PRO:cls	je
suis	VER:pres	être
où	PRO:int	où
je	PRO:cls	je
suis	AUX:pres	être
retourné	VER:pper	retourner
donc	ADV	donc
à	PRP	à
¤T¤	NAM	¤T¤
donc	ADV	donc
euh	INT	euh
je	PRO:cls	je
suis	AUX:pres	être
arrivé	VER:pper	arriver
donc	ADV	donc
devant	PRP	devant
les	DET:def	le
recruteurs	NOM	recruteur
donc	ADV	donc
il	PRO:clsi	il
