pro	quelque+chose
n	miel
PCT	.
prep	de
prep:art	de
n	miel
conj	qu'
pro:subj	on
v:aux	avoir
v:poss&PP	avoir
prep	de
n	miel
v	dire
conj	qu'
pro:subj	on
adv:neg	ne
v:aux	avoir
adv:neg	pas
PCT	.
pro:subj	nous
pro:subj	on
v	dire
conj	que
v:exist	c'est
adv:neg	plus
det:poss&MASC&SING	mon
n	père
pro:rel	qui
v:poss&IMPF	avoir
det&FEM&SING	une
adv	plus
adj	grand
n	quantité
prep	de
prep:art	de
n	miel
PCT	.
adv	d'accord
PCT	.
conj	et+puis
pro:subj	nous
pro:subj	on
v:aux	avoir
adv	puis
pro:subj	on
pro:y	en
v:poss	avoir
n	moins
adv	maintenant
conj	comme
pro:subj	je
pro:refl	me
pro:y	en
v	occuper
adv	moins
PCT	.
adv	d'accord
PCT	.
v	dire
pro:dem	ça
v:exist	c'est
det&FEM&SING	la
conj	donc
det&FEM&SING	la
n	récolte
prep:art	au
adj-MASC	total
PCT	.
prep:art	au
adj-MASC	total
PCT	.
conj	mais
v:exist	il+y+a
v:poss&PP	avoir
det&FEM&SING	une
n	période
pro:rel	où
pro:subj	je
v:poss&IMPF	avoir
adv:neg	plus
prep:art	de
n	ruche
PCT	.
n:prop	O
PCT	.
n:prop	K
PCT	.
conj	et
conj	sinon
det&MASC&SING	le
adv	quand
pro:subj	tu
v:mdl	aller
pro:obj&MASC&SING	le
v-INF	vendre
prep:art	au
adj	marché
conj	ou
prep	chez
det&PL	les
n	gens
PCT	.
conj	parce+que
pro:subj	tu
pro:refl	me
v:aux&IMPF	avoir
v-PP	dire
det&SING	le/la
adj	autre
n	fo^n|fois
conj	que
pro:subj	tu
pro:obj&MASC&SING	le
v-IMPF	vendre
prep	chez
det&MASC&SING	le
prep	chez
det&PL	les
n	gens
conj	et
pro:subj	tu
v	vendre
prep:art	à
n	combien
det&MASC&SING	le
det&MASC&SING	le
n	pot
adv	exactement
prep	par
n	unité
PCT	.
conj	alors
det:poss&MASC&SING	mon
n	père
conj	alors
det:poss&MASC&SING	mon
n	père
pro:obj&MASC&SING	le
v	vendre
det&MASC&SING	le
n	miel
adv	actuellement
prep	à
adj:num	cinq
n	euro
det&MASC&SING	le
n	kilo
PCT	.
co	euh
v:exist	c'est
adj	vrai
conj	qu'
v:exist	il+y+a
det:gen	quelques
n	année
pro:subj	on
pro:obj&MASC&SING	le
v-IMPF	vendre
pro:subj	je
v:mdllex&IMPF	aller
prep	avec
det:poss&MASC&SING	mon
n	père
pro:obj&MASC&SING	le
v-INF	vendre
pro:y	en
prep:art	en
n	port
prep:art	à
n	port
PCT	.
co	euh
pro:subj	je
pro:y	y
v:mdl&IMPF	aller
co	euh
adv	à
adv	peu^adv|peu+
adv:place	près
adj:num	trois
n	fo^n|fois
adj:num	trois
n	jour
prep	dans
det&SING	le/la
n	année
prep	avec
det:poss&MASC&SING	mon
n	père
conj	et
det:poss&SING	ma
n-FEM	me
PCT	.
conj	mais
pro:subj	on
v:aux	avoir
v-PP	arrêter
prep	de
v:mdllex-INF	faire
pro:dem	ça
v:exist	il+y+a
?	peut–être
pro:subj	je
adv:neg	ne
v:mdl	savoir
adv:neg	plus
?	peut–êt–
PCT	.
v:exist	il+y+a
pro:dem	ça
pro:dem	ça
v:mdllex	faire
?	peut–être
n	dix
n	an
conj	qu'
pro:subj	on
adv:neg	ne
pro:obj&MASC&SING	le
v:mdllex	faire
adv:neg	plus
PCT	.
co	ah
adv	d'accord
pro:subj	je
v:mdl&IMPF	savoir
adv:neg	pas
PCT	.
prep	depuis
adj:num	dix
n	an
adj:num	huit
n	an
conj	qu'
pro:subj	on
adv:neg	ne
pro:obj&MASC&SING	le
v:mdllex	faire
adv:neg	plus
co	euh
v:exist&IMPF	c'est
prep:art	au
n	moment
pro:rel	où
pro:subj	on
v:aux&IMPF	avoir
adv:neg	plus
prep:art	de
n	miel
prep	à
prep	à
v-INF	vendre
PCT	.
co	euh
adv:place	là
prep	depuis
adj:num	huit
n	an
adj:num	dix
n	an
det:poss&MASC&SING	mon
n	père
v	vendre
det:gen&FEM	toute
det&FEM&SING	la
det&FEM&SING	la
n	production
prep	sur
det&PL	les
n	marché
PCT	.
?	da–
PCT	.
pro&SING	moi
pro:subj	je
v:aux	avoir
pro&SING	moi
pro:subj	je
pro:refl	me
v	occuper
adv:neg	plus
prep	de
prep	de
pro:obj&MASC&SING	le
v-INF	vendre
v	dire
conj	qu'
v:exist	il+y+a
v:poss&PP	avoir
det&FEM&SING	une
n	évolution
co	euh
conj	depuis+que
pro:subj	on
v	habiter
prep:art	à
?	¤T1¤
prep	depuis
adj:num	dix
n	an
PCT	.
det:poss&PL	nos
n	ruche
v:aux	être
v-PP	rester
prep	dans
det&FEM&SING	la
?	¤T2¤
prep	à
adv	presque
adj:num	cent
n	kilomètre
PCT	.
conj	donc
pro:subj	je
pro:refl	me
pro:y	en
v	occuper
n	moins
conj	et
pro:dem	ça
v:mdllex	faire
conj	que
co	ben
det&FEM&SING	la
n	production
det&FEM&SING	la
det&FEM&SING	la
n	qualité
det&MASC&SING	du
n	travail
conj	que
pro:subj	nous
pro:subj	on
v	donner
det	aux
n	abeille
co	euh
v:aux	avoir
adv	un+peu
v-PP	baisser
PCT	.
adv	d'accord
conj	et
pro:subj	tu
v:mdllex	savoir
prep	à
det:gen	chaque
n	fo^n|fois
conj	que
pro:subj	je
v:mdllex	aller
prep:art	au
adj	marché
pro:subj	je
v	trouver
adv	parfois
?	,
prep:art	au
n	parfum
prep	de
det:gen	plusieurs
n	miel
prep	de
det:gen&FEM	toutes
n	sort
PCT	.
?	est–ce
conj	que
pro:dem	ça
pro:dem	ça
v:mdllex	venir
prep	de
det&FEM&SING	la
adj	même
n	abeille
conj	ou
?	est–ce
conj	qu'
pro:subj&MASC	ils
v:mdl	faire
co	euh
PCT	.
pro:int	où
?	est–ce
conj	que
prep	par+rapport+à
prep:art	au
n	temps
conj	que
det&SING	le/la
n	abeille
v	rester
prep	dans
det:poss&MASC&SING	son
prep	dans
det:dem&SING	cette
n	ruche
conj	que
pro:dem	ça
pro:dem	ça
v	changer
det&MASC&SING	le
n	miel
PCT	.
co	euh
adv:yn	non
conj	alors
det&PL	les
adj	différent
n	variété
prep:art	de
n	miel
pro:dem	ça
v	dépendre
pro:int	où
?	la–
det&SING	le/la
n	abeille
v:aux	avoir
v:exist&PP	être
?	trava–
v:aux	avoir
v:exist&PP	être
v-INF	travailler
prep	sur
det:gen	quelle
n	fleur
pro:subj&FEM	elle
v:aux	être
v:mdllex&PP&FEM	aller
v-INF	travailler
PCT	.
prep:art	par
n	exemple
pro:subj	nous
pro:subj	on
adv:neg	ne
v	récolter
pro:subj	on
v:poss	avoir
det&MASC&SING	un
n	rucher
adj	sédentaire
pro:dem&SING	ce/ces
?	est–à–dire
pro:rel	qui
v	rester
adv	toujours
prep:art	au
adj	même
n	endroit
PCT	.
conj	donc
pro:subj	on
adv:neg	ne
?	ré–
pro:subj	on
v	récolter
conj	que
adj:num	deux
n	sort
prep:art	de
n	miel
PCT	.
det&MASC&SING	un
adj-MASC	premier
conj	qu'
pro:subj	on
v	récolter
prep:art	au
n	moi^n|mois
prep:art	de
n	juin
conj	dès+que
det&PL	les
n	champ
prep:art	de
n	colza
v:exist	être
?	défleuris
PCT	.
conj	donc
adv:place	là
v:exist	c'est
det&MASC&SING	le
n	miel
pro:subj	on
v	appeler
det&MASC&SING	le
n	miel
prep:art	de
n	printemps
conj	mais
v:exist	il+y+a
det&FEM&SING	une
adj	grand
co	euh
n	proportion
prep:art	de
n	miel
prep:art	de
n	colza
PCT	.
?	***
PCT	.
conj	donc
v:exist	c'est
det&MASC&SING	le
co	euh
v	dire
conj	que
v:exist	c'est
det&MASC&SING	le
v:exist	c'est
det&FEM&SING	la
det&FEM&SING	la
n	sort
prep:art	de
n	fleur
pro:rel	qui
v:mdllex	faire
conj	que
det&MASC&SING	le
n	miel
adv:place	là
prep	de
n	colza
pro:subj&MASC	il
v:exist	être
n	blanc
conj	et
adj-MASC	épais
PCT	.
co	ah
adv:yn	oui
adv	d'accord
PCT	.
conj	et
pro:subj	nous
pro:subj	on
v:mdllex	faire
det&FEM&SING	une
adj:num	deuxième
n	récolte
prep:art	fin
n	juillet
prep:art	début
n	août
PCT	.
adv:place	là
det&MASC&SING	le
n	miel
co	ben
v:exist	c'est
det&MASC&SING	le
?	m–
det:gen&FEM	toutes
det&PL	les
n	fleur
conj	qu'
v:exist	il+y+a
prep	dans
det:poss	notre
n	région
prep:art	entre
n	début
n	juin
conj	et
prep:art	fin
n	juillet
PCT	.
conj	donc
co	euh
v:exist	c'est
prep	à
det&FEM&SING	la
n	majorité
prep:art	pour
?	l–
det&SING	le/la
n	endroit
pro:rel	où
v:exist	être
det:poss&PL	nos
n	ruche
v:exist	il+y+a
det&FEM&SING	une
n	majorité
prep:art	de
n	miel
prep:art	de
n	acacia
co	euh
n	acacia
adj	mûr
PCT	.
co	euh
adv	que
?	est–ce
conj	qu'
v:exist	il+y+a
adv	encore
co	euh
det&PL	des
adv:int	comment
adv:neg	pas
det&PL	des
n	framboise
det&PL	les
det&PL	des
adv:yn	oui
det&PL	des
n	mûre
PCT	.
pro:rel	qu'
?	est–ce
conj	qu'
v:exist	il+y+a
adv	encore
det&PL	des
det&PL	des
n	fleur
prep:art	de
n	tilleul
adv:yn	oui
v:exist	c'est
pro:dem	ça
PCT	.
adv	d'accord
PCT	.
v:exist	il+y+a
v:exist	il+y+a
det&PL	les
n	fleur
prep:art	de
n	tilleul
v:exist	c'est
det&MASC&SING	un
n	mélange
prep	de
det:dem&PL	ces
?	fleurs–là
conj	et
v:exist	c'est
det&MASC&SING	un
n	miel
pro:rel	qui
v:aux	être
pro:rel	qui
v	rester
v	liquider
adv:neg	plus
adv	longtemps
pro:rel	qui
v:exist	être
adv:neg	plus
v-PP	foncer
PCT	.
conj	mais
v:exist	il+y+a
det:gen&FEM	toute
n	sort
prep:art	de
n	variété
prep:art	de
n	miel
pro:dem&PL	celui
pro:rel	qui
v:mdl	vouloir
v:poss&INF	avoir
det&MASC&SING	un
n	miel
adv	bien
adj	spécifique
PCT	.
pro:subj&MASC	il
v:mdl	falloir
conj	qu'
pro:subj&MASC	ils
v	tirer
det&MASC&SING	le
n	miel
prep	avant
det&FEM&SING	la
?	flo–
?	*
det&FEM&SING	la
n	floraison
prep	de
det&FEM&SING	une
adj	certain
n	fleur
conj	et
pro:rel	qui
v	récolter
adv	à+nouveau
conj	dès+que
det&FEM&SING	la
?	s–
det&FEM&SING	la
det&FEM&SING	la
n	fleur
v:exist	être
v:aux	être
v-PP	faner
PCT	.
conj	parce+que
det&PL	les
n	abeille
conj	dès+que
pro:subj&FEM	elles
v:mdl	savoir
co	euh
conj	qu'
v:exist	il+y+a
det:dem&SING	cette
n	sort
prep:art	de
n	fleur
PCT	.
det:gen&FEM	toute
det&FEM&SING	la
n	colonie
v:mdllex	aller
prep	sur
det:dem&SING	cette
n	sort
prep:art	de
n	fleur
pro:subj&FEM	elles
pro:refl	se
pro:subj&FEM	elles
pro:refl	se
v	donner
det&SING	le/la
n	information
conj	et
pro:subj&FEM	elles
v:mdl	aller
pro&FEM	toutes
prep	sur
det&FEM&SING	la
adj	même
n	sort
prep:art	de
n	fleur
PCT	.
conj	parce+que
v:exist	c'est
adv	plus
adj	rentable
prep	pour
det&MASC&SING	le
n	travail
?	da–
prep	de
v:mdllex&INF	aller
co	euh
prep	sur
co	euh
det&FEM&SING	la
adj	même
n	sort
prep:art	de
n	fleur
pro:rel	qui
v-PASS	fleurir
prep	à
det&MASC&SING	un
adj	certain
n	moment
PCT	.
pro:dem	ça
v:mdllex	faire
conj	que
prep	dans
det&FEM&SING	la
n	ruche
v:exist	il+y+a
det&MASC&SING	un
n	miel
adv	bien
adj	spécifique
PCT	.
conj	donc
co	euh
det:gen	chaque
n	miel
co	euh
adj	différent
v	correspondre
prep	à
det&FEM&SING	une
n	fleur
adj	différent
PCT	.
conj	alors
det&FEM&SING	une
n	fo^n|fois
pro:subj	je
v:aux	avoir
v&PP-MASC	voir
n	apiculteur
pro:rel	qui
v:aux&IMPF	avoir
v:exist&PP	être
pro:y	en
n:prop	Algérie
pro:rel	qui
v:aux&IMPF	avoir
v-PP	récolter
det&MASC&SING	un
n	miel
PCT	.
pro:subj&MASC	il
pro:refl	me
v:aux	avoir
v-PP	dire
pro:int	qui
pro:rel	qui
v:exist&IMPF	être
adj	blanc
prep	comme
det&MASC&SING	du
n	saindoux
pro:subj&MASC	il
v:exist&IMPF	être
adv	tout
adj	blanc
PCT	.
conj	alors
pro:subj&MASC	il
pro:refl	se
v-IMPF	apprêter
adv	même
prep	à
det&MASC&SING	le
prep	à
pro:obj&MASC&SING	le
v-INF	jeter
det:dem&MASC&SING	ce
?	f–
det:dem&MASC&SING	ce
n	miel
conj	parce+que
pro:subj&MASC	il
pro:refl	se
v-IMPF	dire
v:exist	c'est
adj	invendable
det&MASC&SING	un
n	miel
adj	dur
prep	comme
pro:dem	ça
pro&MASC	tout
adj	blanc
PCT	.
conj	et
prep	dans
det&MASC&SING	le
n	village
adj-MASC	algérien
pro:rel	où
pro:subj&MASC	il
v:aux&IMPF	avoir
v-PP	récolter
co	euh
v:exist	il+y+a
pro	quelqu'un
pro:rel	qui
v:aux&IMPF	avoir
v&PP-MASC	voir
conj	qu'
pro:subj&MASC	il
v:aux&IMPF	avoir
v-PP	récolter
det:dem&MASC&SING	ce
n	miel
PCT	.
conj	et
det:gen	quelques
n	heure
prep	après
pro&MASC	tout
det&MASC&SING	le
n	village
v:mdl-IMPF	venir
pro&SING	lui
v-INF	acheter
det:poss&MASC&SING	son
n	miel
PCT	.
conj	parce+que
v:exist&IMPF	c'est
det&MASC&SING	du
n	miel
prep:art	de
n	eucalyptus
conj	et
v:exist&IMPF	c'est
?	ra–
PCT	.
co	ah
?	***
?	,
adv	d'accord
PCT	.
conj	et
v:exist&IMPF	c'est
adj	rare
conj	que
det&PL	les
?	euca–
pro:subj	je
v	croire
conj	que
v:exist	c'est
adj	rare
conj	que
det&PL	les
n	eucalyptus
v	fleurir
conj	donc
pro:dem	ça
v	arriver
conj	que
prep	de
n	temps
prep:art	en
n	temps
PCT	.
conj	et
conj	quand
v:exist	il+y+en+a
n	bon
co	ben
prep	pour
pro&MASC&PL	eux
pro:dem	ça
pro	leur
v-IMPF	servir
adv	un+peu
prep	comme
det&MASC&SING	un
n	médicament
adj-MASC	spécial
PCT	.
adv	donc
?	i–
pro:subj&MASC	ils
v:mdl-IMPF	venir
co	euh
v-INF	chercher
det:dem&MASC&SING	ce
n	miel
conj	alors
det&MASC&SING	le
det:dem&MASC&SING	ce
n	miel
conj	qu'
pro:subj&MASC	il
v-IMPF	penser
v-INF	jeter
PCT	.
co	euh
pro:subj&MASC	il
pro:obj&SING	le/la
v:aux	avoir
v-PP	vendre
co	euh
adv	tout+de+suite
adv:place	là
det	aux
n	gens
det&MASC&SING	du
n	village
pro:int	où
pro:rel	où
pro:subj&MASC	il
?	a–
pro:int	où
pro:subj&MASC	il
v:poss&IMPF	avoir
det:poss&PL	ses
n	ruche
PCT	.
adv	d'accord
adv	donc
co	euh
co	dis+donc
v:exist	c'est
adv	vraiment
adv	bien
v-PP	travailler
det:dem&PL	ces
n	truc
prep	de
det&MASC&SING	le
n	miel
pro:subj	je
v:mdl&IMPF	savoir
adv:neg	pas
adv:int	comment
pro:dem	ça
pro:refl	se
v:mdl-IMPF	faire
conj	et
pro&MASC	tout
PCT	.
conj	mais
pro:subj	je
v	trouver
conj	que
v:exist	c'est
adj-MASC	bien^adj|bien
adv	mais
conj	pour+autant
pro:subj	tu
v:exist	être
co	euh
pro:subj	tu
v:mdllex	faire
prep	de
adj-MASC	autre^adj|autre
n	chose
adv	même
?	,
?	*
pro:subj	tu
v	connaître
adv	bien
det:poss&MASC&SING	ton
n	boulot
conj	et
det:gen&MASC	tout
co	euh
PCT	.
n	surtout
pro:subj	tu
v:aux	avoir
v-PP	travailler
prep	avec
det:poss&MASC&SING	ton
n	papa
adv	tout+le+temps
PCT	.
adv:yn	ouais
co	oh
co	ben
?	s–
adv:yn	oui
v	dire
co	euh
det&FEM&SING	la
n	connaissance
det&MASC&SING	du
det&PL	des
n	abeille
conj	et
det&MASC&SING	du
det&MASC&SING	du
n	miel
co	ben
v:exist	c'est
det&MASC&SING	un
PCT	.
pro:dem	ça
pro:dem	ça
v	remonter
v:exist	il+y+a
det&FEM&SING	une
n	origine
adj-FEM	familial
co	ben
v:exist	c'est
det:poss&MASC&SING	mon
?	grand–père
pro:rel	qui
v:aux	avoir
v-PP	décider
prep	de
v:mdllex-INF	faire
det&PL	des
n	ruche
PCT	.
conj	donc
pro:subj&MASC	il
v:aux	avoir
pro:subj&MASC	il
v:aux&IMPF	avoir
v-PP	acheter
det&FEM&SING	une
n	ruche
conj	et
co	ben
?	dep–
?	lu–
det:poss&MASC&SING	mon
?	grand–père
v:aux	avoir
pro&SING	lui
pro:subj&MASC	il
v:aux	avoir
v:exist&PP	être
prep	jusque
adj:num	cent
n	ruche
PCT	.
det:poss&MASC&SING	mon
n	père
v:aux	être
v-PP	monter
prep	à
adj:num	deux
n	cent
n	ruche
conj	et
det&PL	les
n	ruche
pro:subj	on
pro:obj&PL	les
v:aux	avoir
pro&FEM	toutes
v:mdl	faire
co	euh
?	nous–mêmes
conj	et+puis
det&MASC&SING	le
PCT	.
co	ben
det&MASC&SING	le
n	reste
det&MASC&SING	du
v:mdllex&INF	savoir
v:mdllex-INF	faire
pro:subj&MASC	il
pro:refl	se
v:aux	être
v-PP	transmettre
prep:art	avec
n	bon
det:gen	quelques
adj	petit
n	évolution
v-PP	lier
prep	à
det&FEM&SING	la
?	moder–
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
v:aux	avoir
v-PP	descendre
det:poss&PL	tes
n	ruche
PCT	.
conj	et
pro&SING	moi
pro:subj	je
v:aux	avoir
v:mdllex-PP	faire
det&MASC&SING	le
n	contraire
pro:subj	je
v:aux	avoir
v-PP	diminuer
co	euh
conj	mais
pro:subj	je
v:exist	c'est
adv:neg	pas
v:exist	c'est
adv:neg	pas
v-PP	disparaître
adv	complètement^adv|complètement+
PCT	.
v:exist	il+y+a
det&FEM&SING	une
n	période
co	euh
co	ben
pro:int	où
co	euh
prep	à
n	cause
det&MASC&SING	du
n	travail
pro&SING	moi
conj	et
det:poss&SING	ma
n	femme
?	¤P1¤
adj-MASC	bon
co	ben
pro:subj	on
pro:subj	on
v:exist	être
adv	assez
v-PP	prendre
adv	par
det:poss	notre
n	travail
pro:subj	on
v:aux	avoir
adv	moins
adv	de
PCT	.
co	ah
adv:yn	oui
PCT	.
n	temps
prep	à
adv	y
v-INF	consacrer
conj	mais
pro:subj	je
v:aux	avoir
v-PP	assurer
det&MASC&SING	le
n	minimum
adv	quand+même
co	hein
adv	pour
co	euh
v-INF	maintenir
det&MASC&SING	un
n	minimum
prep	de
prep:art	de
n	ruche
conj	et
PCT	.
adj-MASC	bon
co	euh
on	pff
adv	actuellement
pro:subj	je
v:exist	être
prep	dans
det&MASC&SING	le
pro:subj	je
v:exist	être
adv	un+peu
prep	dans
det&SING	le/la
n	état
prep:art	de
n	esprit
prep	de
PCT	.
?	peut–être
co	euh
v-INF	consacrer
adv	un+peu+plus
prep:art	de
n	temps
conj	dans+la+mesure+où
det:poss&MASC&SING	mon
n	père
pro:rel	qui
v:aux	avoir
adv	moins
prep:art	de
n	miel
prep	à
prep	à
v-INF	vendre
PCT	.
conj	parce+que
pro:subj&MASC	il
v:aux	avoir
adv:neg	plus
det&MASC&SING	le
n	droit
prep	de
v:aux&INF	avoir
adv	que
n	trente
n	ruche
pro:subj&MASC	il
v:aux	avoir
adv	moins
prep:art	de
n	miel
prep	à
v-INF	vendre
PCT	.
?	peut–être
conj	que
pro&SING	moi
pro:subj	je
v:poss&COND	avoir
n	intérêt
prep	à
prep	en
v:mdllex-INF	refaire
adv	plus
v	dire
prep	comme
pro:subj&MASC	il
pro:refl	me
v-COND	vendre
det:poss&MASC&SING	mon
n	miel
PCT	.
conj	donc
pro:dem	ça
v:exist&COND	être
?	peut–être
adj	intéressant
adv	de
adv	en
adv	de
adv	en
v:mdl-INF	refaire
adv	plus
adv	alors
PCT	.
pro:subj	je
v:exist	être
prep	en+train+de
pro:refl	me
?	peut–être
adv	que
prep:art	au
n	printemps
pro:subj	je
pro:subj	je
v-FUT	arranger
adv	mieux
det:poss&MASC&SING	mon
n	rucher
co	euh
PCT	.
pro:subj	je
v:exist&FUT	être
adv	donc
prep	pour
n	avoir
adv:neg	plus
prep:art	de
n	ruche
adv	bon
v:exist	il+y+a
v:exist	il+y+a
det&MASC&SING	le
n	problème
prep	de
PCT	.
pro:subj	on
v-IMPF	parler
det&MASC&SING	du
n:prop	Gaucho
adv	tout+à+l'heure
det&SING	le/la
?	in–
PCT	.
?	***
PCT	.
det&SING	le/la
n	insecticide
pro:rel	qui
v	amener
adv:neg	pas
adj-MASC	mal
prep	de
n	mortalité
prep	chez
det&PL	les
n	abeille
PCT	.
conj	mais
pro:subj	on
v:mdl	pouvoir
pro:subj	on
v:mdl	pouvoir
pro:refl	se
v-INF	dire
conj	que
v:exist	c'est
det&FEM&SING	une
n	période
pro:rel	qui
v:mdl	aller
v-INF	passer
co	euh
PCT	.
conj	que
pro:dem	ça
v:exist&FUT	être
?	peut–être
v-PP	interdire
conj	ou
adv	enfin
pro:subj&MASC	il
pro:y	y
v:poss&FUT	avoir
adv	forcément
det&FEM&SING	une
n	solution
pro:rel	qui
v:aux&FUT	être
v-PP	trouver
PCT	.
conj	mais
conj	si
pro:subj	je
v:mdl	vouloir
v-INF	augmenter
det:poss&MASC&SING	mon
n	nombre
prep:art	de
n	ruche
pro:subj&MASC	il
v:mdl	falloir
conj	que
pro:subj	je
v:exist	être
adv:neg	plus
adj-MASC	actif
PCT	.
pro:subj	on
adv:neg	ne
pro:y	en
v:poss	avoir
adv:neg	pas
v-PP	parler
adv	tout+à+l'heure
prep:art	au
n	niveau
det&MASC&SING	du
n	travail
det&MASC&SING	du
n	printemps
co	euh
prep	au+moment+de
?	l–
prep	de
det&SING	le/la
?	essaimage
det&PL	des
n	abeille
PCT	.
conj	donc
pro:subj&MASC	il
v:mdl	falloir
v-INF	tendre
det&PL	des
conj	parce+que
pro:subj	je
v:exist	être
adv:neg	pas
prep	sur
n	place
prep	sur
det:poss&MASC&SING	mon
n	rucher
prep	pour
v-INF	attraper
det&PL	les
n	essaim
pro:rel	qui
v	sortir
det&PL	des
n	ruche
PCT	.
conj	donc
co	euh
pro:subj&MASC	il
v:mdl	falloir
conj	que
pro:subj	je
v	tendre
det&PL	des
?	ru–
det&PL	des
n	piège
prep:art	à
n	essaim
det&PL	des
adj	petit
n	ruche
n	vide
PCT	.
co	ah
adv	d'accord
PCT	.
pro:rel	que
pro:subj	je
v	tendre
prep	dans
det&FEM&SING	la
n	nature
conj	et
det&PL	les
n	essaim
v:mdl	pouvoir
v-INF	rentrer
adv:place	dedans
conj	et
pro:dem	ça
pro:refl	me
v	donner
det&PL	des
n	ruche
adj	supplémentaire
PCT	.
conj	donc
pro:subj&MASC	il
v:mdl	falloir
conj	que
pro:subj	je
v	passer
det&MASC&SING	du
n	temps
prep	à
v-INF	préparer
det:dem&PL	ces
n	petit
?	ruchettes
conj	et+puis
prep	à
v-INF	attraper
det&MASC&SING	un
n	minimum
prep:art	de
n	essaim
prep	pour
v-INF	reconstituer
det&PL	les
n	ruche
pro:rel	qui
v	mourir
co	euh
prep	dans
det:poss&MASC&SING	mon
n	rucher
PCT	.
?	peut–être
conj	que
pro:subj	tu
pro:refl	me
v-FUT	montrer
det&FEM&SING	la
det&MASC&SING	le
n	printemps
adj	prochain
PCT	.
conj	parce+que
pro&SING	moi
pro:subj	je
v:aux	avoir
adv:neg	jamais
v:aux&PP	être
v&INF	voir
pro:dem	ça
conj	et
pro:dem	ça
pro:refl	me
v-COND	intéresser
conj	bien
prep	de
prep	de
v:mdllex&INF	savoir
adv:int	comment
pro:subj	tu
pro:obj&MASC&SING	le
v:mdl	faire
PCT	.
v:aux	avoir
co	ah
v-INF	attraper
det&PL	les
n	essaim
pro:dem	ça
v:exist	c'est
pro	quelque+chose
adv	de
adv	de
v-PPRE	intéresser
co	euh
PCT	.
co	euh
v-INF	attraper
det&PL	les
n	essaim
co	ben
adj	même
?	¤P2¤
det:poss&SING	ma
n	fille
co	euh
co	euh
pro:subj&FEM	elle
v:aux	avoir
adv	déjà
v&PP-MASC	voir
conj	et
v:exist	c'est
adj	intéressant
v:exist	c'est
PCT	.
pro:dem	ça
adv	peut+être
adj	impressionnant
conj	mais
conj	quand
det&PL	les
n	abeille
v:aux	être
adv	en
prep:art	en
n	période
prep	de
?	essaimage
PCT	.
conj	alors
det&SING	le/la
?	essaimage
v:exist	c'est
det&FEM&SING	la
n	moitié
det&PL	des
n	abeille
prep	de
det&FEM&SING	une
n	ruche
v	quitter
det&FEM&SING	la
n	ruche
prep	avec
det&FEM&SING	la
adj	vieil^adj|vieille
n	rein
PCT	.
conj	donc
det&FEM&SING	la
adj	vieil^adj|vieille
n-FEM	me
PCT	.
co	hum
PCT	.
conj	et
n	part
prep	pour
v:mdllex-INF	faire
det&FEM&SING	une
adj-FEM^adj|nouvel-FEM	nouveau
n	colonie
co	hein
pro:dem&SING	ce/ces
adv:int	est+ce+que
v:exist	c'est
adv	un+peu
pro:rel	ce+que
pro:subj	je
v-IMPF	dire
adv	tout+à+l'heure
det&SING	le/la
n	unité
v:exist	c'est
det&FEM&SING	la
n	ruche
PCT	.
co	ah
adv	d'accord
PCT	.
conj	donc
pro:subj&MASC	ils
v	partir
prep	pour
v:mdllex-INF	faire
det&FEM&SING	une
adj	autre
n	unité
v:exist	il+y+a
det&FEM&SING	la
n	moitié
det&PL	des
n	abeille
pro:rel	qui
v	suivre
det&FEM&SING	la
det&FEM&SING	la
adj	vieil^adj|vieille
n	rein
prep	pour
v:mdllex-INF	faire
det&FEM&SING	une
adj-FEM^adj|nouvel-FEM	nouveau
n	ruche
PCT	.
conj	donc
pro:subj&FEM	elles
v:exist	être
prep	à
det&FEM&SING	la
n	recherche
prep	de
det&FEM&SING	une
n	habitation
conj	et
det&PL	les
det&SING	le/la
adj	autre
n	moitié
det&PL	des
n	abeille
v	rester
prep	dans
det&FEM&SING	la
n	ruche
PCT	.
conj	et
v:mdl	aller
v-INF	élever
det&FEM&SING	une
adj-FEM^adj|nouvel-FEM	nouveau
n	rein
pro:rel	qui
v-FUT	rester
prep	dans
det&FEM&SING	la
n	ruche
conj	donc
v:exist	c'est
?	pou–
v:exist	c'est
prep	comme
pro:dem	ça
conj	que
prep	dans
det&FEM&SING	une
adj	même
n	ruche
v:exist	il+y+a
det&MASC&SING	un
n	renouvellement
prep	de
det&FEM&SING	la
n	rein
PCT	.
adv	d'accord
PCT	.
pro:int	qui
v	redevenir
adv:neg	plus
adj	jeune
prep	à
det:gen	chaque
n	fo^n|fois
conj	et
prep	pour
v:poss&INF	avoir
det&FEM&SING	une
adj-FEM^adj|nouvel-FEM	nouveau
n	rein
co	ben
v:exist	c'est
prep	à+partir+de
det&MASC&SING	un
n	oeuf
v-PP	pondre
prep	par
det&SING	le/la
adj-FEM	ancien
n	rein
pro:rel	qui
adv	normalement
v:mdl	devoir
v-INF	donner
det&FEM&SING	une
n	abeille
det&MASC&SING	un
n	neutre
PCT	.
v:exist	c'est
adv	un+peu
prep	comme
det&SING	le/la
n	héritage
PCT	.
adv:yn	ouais
adv:yn	non
conj	mais
co	euh
pro:rel	ce+qui
v:exist	être
adj	spécifique
v:aux	c'est
adv	que
co	euh
det:dem&SING	cet
n	oeuf
