ouh	INT	ouh
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
oui	FNO	oui
quand	KON	quand
quand	KON	quand
il	PRO:cls	il
est	VER:pres	être
encore	ADV	encore
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
il	PRO:cls	il
faut	VER:pres	falloir
déjà	ADV	déjà
euh	INT	euh
savoir	VER:infi	savoir
mais	KON	mais
si	KON	si
tu	PRO:cls	tu
le	PRO:clo	le
sais	VER:pres	savoir
pas	ADV	pas
ouais	FNO	ouais
et	KON	et
ben	INT	ben
ben	INT	ben
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
le	PRO:clo	le
savoir	VER:infi	savoir
encore	ADV	encore
.	VER:simp	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
et	KON	et
puis	KON	puis
un	DET:ind	un
chat	NOM	chat
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pareil	ADJ	pareil
parce	TRC	parce
que	KON	que
souvent	ADV	souvent
un	DET:ind	un
chat	NOM	chat
quand	KON	quand
on	PRO:cls	on
le	PRO:clo	le
voit	VER:pres	voir
on	PRO:cls	on
a	VER:pres	avoir
envie	NOM	envie
de	PRP	de
lui	PRO:clo	lui
donner	VER:infi	donner
un	DET:ind	un
prénom	NOM	prénom
ou	KON	ou
un	DET:ind	un
chien	NOM	chien
hum	FNO	hum
ouais	FNO	ouais
hein	INT	hein
?	NAM	<unknown>
voilà	FNO	voilà
moi	PRO:ton	moi
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
deux	NUM	@card@
garçons	NOM	garçon
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
disputent	VER:pres	disputer
déjà	ADV	déjà
pour	PRP	pour
savoir	VER:infi	savoir
quel	DET:int	quel
est	VER:pres	être
le	DET:def	le
nom	NOM	nom
du	PRP:det	du
chat	NOM	chat
qu'	KON	que
on	PRO:cls	on
aura	VER:futu	avoir
et	KON	et
comme	KON	comme
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
petite	ADJ	petit
chatte	NOM	chatte
ou	KON	ou
un	DET:ind	un
petit	ADJ	petit
chat	NOM	chat
et	KON	et
ben	INT	ben
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
faire	VER:infi	faire
d'	PRP	un
abord	NOM	abord
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
faire	VER:infi	faire
comme	KON	comme
tu	PRO:cls	tu
as	VER:pres	avoir
deux	NUM	@card@
chats	NOM	chat
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
faire	VER:infi	faire
l'	DET:def	le
autre	ADJ	autre
c'	PRO:cls	ce
est	VER:pres	être
son	DET:pos	son
chat	NOM	chat
et	KON	et
l'	DET:def	le
autre	ADJ	autre
c'	PRO:cls	ce
est	VER:pres	être
son	DET:pos	son
chat	NOM	chat
exactement	ADV	exactement
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
alors	ADV	alors
donc	ADV	donc
on	PRO:cls	on
a	AUX:pres	avoir
appris	VER:pper	apprendre
ensemble	ADV	ensemble
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
aussi	ADV	aussi
des	DET:ind	un
noms	NOM	nom
aux	PRP:det	au
chats	NOM	chat
et	KON	et
aux	PRP:det	au
chiens	NOM	chien
pourquoi	PRO:int	pourquoi
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
noms	NOM	nom
aux	PRP:det	au
enfants	NOM	enfant
aux	PRP:det	au
chiens	NOM	chien
et	KON	et
aux	PRP:det	au
chats	NOM	chat
et	KON	et
pas	ADV	pas
euh	INT	euh
aux	PRP:det	au
autres	ADJ	autre
choses	NOM	chose
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
si	KON	si
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
déjà	ADV	déjà
trouvé	VER:pper	trouver
on	PRO:cls	on
peut	VER:pres	pouvoir
plus	ADV	plus
changer	VER:infi	changer
hum	FNO	hum
hum	FNO	hum
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
encore	ADV	encore
des	DET:ind	un
noms	NOM	nom
à	PRP	à
d'	DET:ind	un
autres	ADJ	autre
choses	NOM	chose
.	NAM	<unknown>
que	KON	que
des	DET:ind	un
chats	NOM	chat
et	KON	et
des	DET:ind	un
chiens	NOM	chien
et	KON	et
des	DET:ind	un
enfants	NOM	enfant
.	NAM	<unknown>
euh	INT	euh
euh	INT	euh
xxx	NOM	<unknown>
au	PRP:det	au
tigre	NOM	tigre
quand	KON	quand
il	PRO:cls	il
est	VER:pres	être
petit	ADJ	petit
dans	PRP	dans
son	DET:pos	son
ventre	NOM	ventre
ouais	FNO	ouais
.	NAM	<unknown>
et	KON	et
aux	PRP:det	au
autres	ADJ	autre
animaux	NOM	animal
on	PRO:cls	on
peut	VER:pres	pouvoir
donner	VER:infi	donner
des	DET:ind	un
noms	NOM	nom
aux	PRP:det	au
animaux	NOM	animal
ouais	FNO	ouais
mais	KON	mais
à	PRP	à
quels	DET:int	quel
animaux	NOM	animal
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
noms	NOM	nom
.	NAM	<unknown>
aux	PRP:det	au
girafes	NOM	girafe
quand	KON	quand
ils	PRO:cls	il
sont	VER:pres	être
petites	ADJ	petit
encore	ADV	encore
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
possible	ADJ	possible
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
toi	PRO:ton	toi
.	NAM	<unknown>
aux	PRP:det	au
lions	NOM	lion
hum	FNO	hum
aux	PRP:det	au
lions	NOM	lion
ouais	FNO	ouais
vous	PRO:cls	vous
pensez	VER:pres	penser
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
noms	NOM	nom
par	PRP	par
exemple	NOM	exemple
aux	PRP:det	au
tortues	NOM	tortue
oui	FNO	oui
pourquoi	PRO:int	pourquoi
les	DET:def	le
tortues	NOM	tortue
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
parce	TRC	parce
que	KON	que
les	DET:def	le
tortues	NOM	tortue
ils	PRO:cls	il
euh	INT	euh
pondent	VER:pres	pondre
des	DET:ind	un
oeufs	NOM	oeuf
ils	PRO:cls	il
les	PRO:clo	le
enterrent	VER:pres	enterrer
dans	PRP	dans
un	DET:ind	un
sol	NOM	sol
et	KON	et
après	ADV	après
la	DET:def	le
maman	NOM	maman
elle	PRO:cls	elle
s'	PRO:clo	se
enfuit	VER:pres	se enfuir
et	KON	et
après	ADV	après
ils	PRO:cls	il
viennent	VER:pres	venir
ils	PRO:cls	il
viennent	VER:pres	venir
tout	ADV	tout
petits	ADJ	petit
et	KON	et
après	ADV	après
et	KON	et
après	ADV	après
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
poisson	NOM	poisson
qui	PRO:rel	qui
/les/	MLT	<unknown>
voit	VER:pres	voir
ou	KON	ou
un	DET:ind	un
requin	NOM	requin
et	KON	et
ben	INT	ben
il	PRO:clsi	il
les	PRO:clo	le
mange	VER:pres	manger
ouais	FNO	ouais
et	KON	et
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
donne	VER:pres	donner
le	DET:def	le
nom	NOM	nom
alors	ADV	alors
aux	PRP:det	au
tortues	NOM	tortue
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
maman	NOM	maman
ouais	FNO	ouais
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
aussi	ADV	aussi
euh	INT	euh
les	DET:def	le
oiseaux	NOM	oiseau
oui	FNO	oui
et	KON	et
ben	INT	ben
la	DET:def	le
maman	NOM	maman
elle	PRO:cls	elle
fait	VER:pres	faire
des	DET:ind	un
oeufs	NOM	oeuf
elle	PRO:cls	elle
les	PRO:clo	le
couvre	VER:pres	couvrir
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
attend	VER:pres	attendre
que	KON	que
les	DET:def	le
oiseaux	NOM	oiseau
ils	PRO:cls	il
naissent	VER:pres	naître
d'	PRP	un
accord	NOM	accord
et	KON	et
un	DET:ind	un
jour	NOM	jour
quand	KON	quand
on	PRO:cls	on
était	VER:impf	être
à	PRP	à
la	DET:def	le
ferme	NOM	ferme
chez	PRP	chez
les	DET:def	le
moyens	NOM	moyen
moi	PRO:ton	moi
et	KON	et
Léa	NAM	<unknown>
et	KON	et
les	DET:def	le
autres	ADJ	autre
et	KON	et
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
une	DET:ind	un
madame	NOM	madame
qui	PRO:rel	qui
nous	PRO:clo	nous
a	AUX:pres	avoir
montré	VER:pper	montrer
le	DET:def	le
corps	NOM	corps
de	PRP	de
la	DET:def	le
poule	NOM	poule
comment	PRO:int	comment
elle	PRO:cls	elle
a	AUX:pres	avoir
fait	VER:pper	faire
sorti	VER:pper	sortir
et	KON	et
ben	INT	ben
elle	PRO:cls	elle
nous	PRO:clo	nous
elle	PRO:cls	elle
nous	PRO:clo	nous
elle	PRO:cls	elle
nous	PRO:clo	nous
a	AUX:pres	avoir
montré	VER:pper	montrer
l'	DET:def	le
oeuf	NOM	oeuf
après	ADV	après
elle	PRO:cls	elle
l'	PRO:clo	le
a	AUX:pres	avoir
cassé	VER:pper	casser
et	KON	et
elle	PRO:cls	elle
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
cuire	VER:infi	cuire
mais	KON	mais
elle	PRO:cls	elle
a	AUX:pres	avoir
montré	VER:pper	montrer
où	PRO:int	où
il	PRO:cls	il
est	VER:pres	être
le	DET:def	le
bébé	NOM	bébé
oui	FNO	oui
béb-	NOM	<unknown>
enfin	ADV	enfin
ce	PRO:dem	ce
qui	PRO:rel	qui
aurait	VER:cond	avoir
pu	VER:pper	pouvoir
être	VER:infi	être
un	DET:ind	un
bébé	NOM	bébé
dans	PRP	dans
un	DET:ind	un
pot	NOM	pot
et	KON	et
puis	KON	puis
elle	PRO:ton	elle
nous	PRO:ton	nous
dans	PRP	dans
un	DET:ind	un
pot	NOM	pot
ouais	FNO	ouais
mais	KON	mais
elle	PRO:cls	elle
a	AUX:pres	avoir
cassé	VER:pper	casser
l'	DET:def	le
oeuf	NOM	oeuf
pour	PRP	pour
.	NOM:sig	<unknown>
savoir	VER:infi	savoir
où	PRO:int	où
il	PRO:cls	il
est	VER:pres	être
le	DET:def	le
bébé	NOM	bébé
d'	PRP	un
accord	NOM	accord
ouais	FNO	ouais
et	KON	et
puis	KON	puis
euh	INT	euh
et	KON	et
la	DET:def	le
dame	NOM	dame
elle	PRO:ton	elle
de	PRP	de
la	DET:def	le
ferme	NOM	ferme
elle	PRO:cls	elle
nous	PRO:clo	nous
a	AUX:pres	avoir
fait	VER:pper	faire
euh	INT	euh
porter	VER:infi	porter
les	DET:def	le
poules	NOM	poule
ouais	FNO	ouais
elle	PRO:cls	elle
les	PRO:clo	le
elles	PRO:cls	elle
les	PRO:clo	le
elle	PRO:cls	elle
les	PRO:clo	le
les	PRO:clo	le
aimait	VER:impf	aimer
bien	ADV	bien
ses	DET:pos	son
poules	NOM	poule
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
alors	ADV	alors
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
leur	PRO:clo	lui
avait	AUX:impf	avoir
donné	VER:pper	donner
un	DET:ind	un
nom	NOM	nom
.	NAM	<unknown>
hum	FNO	hum
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
encore	ADV	encore
elle	PRO:cls	elle
nous	PRO:clo	nous
a	AUX:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
non	FNO	non
?	NAM	<unknown>
elle	PRO:cls	elle
vous	PRO:clo	vous
a	AUX:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
bon	INT	bon
non	FNO	non
maintenant	ADV	maintenant
ça	PRO:cls	ça
/c'estça/	MLT	<unknown>
un	DET:ind	un
nom	NOM	nom
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
banc	NOM	banc
fauteuil	NOM	fauteuil
ouais	FNO	ouais
un	DET:ind	un
banc	NOM	banc
un	DET:ind	un
fauteuil	NOM	fauteuil
et	KON	et
un	DET:ind	un
jour	NOM	jour
ma	DET:pos	mon
maman	NOM	maman
quand	KON	quand
elle	PRO:cls	elle
était	VER:impf	être
petite	ADJ	petit
et	KON	et
ben	INT	ben
et	KON	et
ben	INT	ben
elle	PRO:cls	elle
s'	PRO:clo	se
est	VER:pres	être
elle	PRO:cls	elle
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
maman	NOM	maman
qui	PRO:rel	qui
s'	PRO:clo	se
est	AUX:pres	être
trompée	VER:pper	tromper
de	PRP	de
nom	NOM	nom
elle	PRO:cls	elle
elle	PRO:cls	elle
voul-	TRC	<unknown>
elle	PRO:cls	elle
voul-	TRC	<unknown>
a	AUX:pres	avoir
voulu	VER:pper	vouloir
l'	PRO:clo	le
appeler	VER:infi	appeler
Titi	NOM	titi
mais	KON	mais
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
était	VER:impf	être
hum	FNO	hum
Olga	NAM	<unknown>
/c'est	MLT	<unknown>
vrai/	MLT	<unknown>
?	NOM:sig	<unknown>
d'	PRP	un
accord	NOM	accord
oui	FNO	oui
mais	KON	mais
elle	PRO:cls	elle
a	AUX:pres	avoir
changé	VER:pper	changer
de	PRP	de
prénom	NOM	prénom
d'	PRP	un
accord	NOM	accord
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
Olga	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
alors	ADV	alors
je	PRO:cls	je
continue	VER:pres	continuer
toujours	ADV	toujours
ma	DET:pos	mon
petite	ADJ	petit
idée	NOM	idée
nous	PRO:ton	nous
on	PRO:cls	on
a	AUX:pres	avoir
donné	VER:pper	donner
un	DET:ind	un
nom	NOM	nom
à	PRP	à
ça	PRO:ton	ça
on	PRO:cls	on
a	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
ça	PRO:cls	ça
s'	PRO:clo	se
appelait	VER:impf	appeler
un	DET:ind	un
banc	NOM	banc
oui	FNO	oui
mais	KON	mais
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
que	KON	que
Olga	NAM	<unknown>
.	NAM	<unknown>
non	FNO	non
non	FNO	non
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
.	NAM	<unknown>
quelle	DET:int	quel
est	VER:pres	être
la	DET:def	le
différence	NOM	différence
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
le	DET:def	le
banc	NOM	banc
il	PRO:cls	il
xxx	NOM	<unknown>
parce	TRC	parce
que	KON	que
une	DET:ind	un
maman	NOM	maman
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pareil	ADJ	pareil
qu'	KON	que
un	DET:ind	un
banc	NOM	banc
ah	INT	ah
non	FNO	non
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
alors	ADV	alors
quelle	DET:int	quel
est	VER:pres	être
la	DET:def	le
différence	NOM	différence
entre	PRP	entre
les	DET:def	le
noms	NOM	nom
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
aux	PRP:det	au
enfants	NOM	enfant
et	KON	et
les	DET:def	le
noms	NOM	nom
comme	KON	comme
le	DET:def	le
banc	NOM	banc
.	NAM	<unknown>
ah	INT	ah
parce	TRC	parce
que	KON	que
euh	INT	euh
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
quoi	INT	quoi
.	NAM	<unknown>
la	DET:def	le
même	ADJ	même
chose	NOM	chose
qu'	KON	que
une	DET:ind	un
non	FNO	non
maman	NOM	maman
ou	KON	ou
que	KON	que
toi	PRO:ton	toi
ben	INT	ben
oui	FNO	oui
/hum	MLT	<unknown>
qu'	KON	que
un	DET:ind	un
avec	PRP	avec
un/	MLT	<unknown>
petit	ADJ	petit
bébé	NOM	bébé
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
la	DET:def	le
différence	NOM	différence
.	NOM:sig	<unknown>
parce	TRC	parce
ce	PRO:dem	ce
que	PRO:rel	que
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
objet	NOM	objet
et	KON	et
les	DET:def	le
bébés	NOM	bébé
c'	PRO:cls	ce
est	VER:pres	être
vivant	ADJ	vivant
exactement	ADV	exactement
et	KON	et
co-	TRC	co-
et	KON	et
les	DET:def	le
bébés	NOM	bébé
des	PRP:det	du
des	PRP:det	du
fois	NOM	fois
ouais	FNO	ouais
et	KON	et
xxx	NOM	<unknown>
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
montré	VER:pper	montrer
une	DET:ind	un
blague	NOM	blague
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
bébé	NOM	bébé
qui	PRO:rel	qui
conduit	VER:pres	conduire
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
à	PRP	à
maman	NOM	maman
mais	KON	mais
et	KON	et
/et/	MLT	<unknown>
en	PRO:clo	en
fait	VER:pres	faire
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
de	PRP	de
faux	ADJ	faux
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
une	DET:ind	un
blague	NOM	blague
ouais	FNO	ouais
ouais	FNO	ouais
un	DET:ind	un
jour	NOM	jour
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
de	PRP	de
Maman	NOM	maman
j-	TRC	j-
j'	PRO:cls	je
étais	VER:impf	être
en	PRP	en
train	NOM	train
de	PRP	de
dormir	VER:infi	dormir
et	KON	et
euh	INT	euh
j'	PRO:cls	je
étais	VER:impf	être
xxx	NOM	<unknown>
l'	DET:def	le
hôpital	NOM	hôpital
hum	FNO	hum
et	KON	et
quand	KON	quand
je	PRO:cls	je
sors	VER:pres	sortir
et	KON	et
ben	INT	ben
et	KON	et
ben	INT	ben
elle	PRO:cls	elle
ma	DET:pos	mon
dit	NOM	dit
c'	PRO:cls	ce
était	VER:impf	être
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
fille	NOM	fille
ou	KON	ou
un	DET:ind	un
garçon	NOM	garçon
ouais	FNO	ouais
alors	ADV	alors
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
alors	ADV	alors
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
quand	KON	quand
j'	PRO:cls	je
avais	VER:impf	avoir
trois	NUM	@card@
ans	NOM	an
j'	PRO:cls	je
ai	AUX:pres	avoir
dis	VER:pres	dire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
fille	NOM	fille
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
était	VER:impf	être
toi	PRO:ton	toi
qui	PRO:rel	qui
étais	AUX:impf	être
née	VER:pper	naître
.	NAM	<unknown>
oui	FNO	oui
d'	PRP	un
abord	NOM	abord
oui	FNO	oui
mon	DET:pos	mon
frère	NOM	frère
puis	KON	puis
après	ADV	après
Alex	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
ils	PRO:cls	il
sont	AUX:pres	être
pas	ADV	pas
nés	VER:pper	naître
ensemble	ADV	ensemble
.	VER:simp	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
des	DET:ind	un
jumeaux	ADJ	jumeau
.	NOM	<unknown>
euh	INT	euh
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
d'	PRP	un
abord	NOM	abord
Alex	NOM	<unknown>
et	KON	et
après	ADV	après
moi	PRO:ton	moi
d'	PRP	un
accord	NOM	accord
ok	FNO	ok
bon	INT	bon
et	KON	et
ben	INT	ben
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
une	DET:ind	un
grande	ADJ	grand
découverte	NOM	découverte
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
découvert	VER:pper	découvrir
.	NAM	<unknown>
oui	FNO	oui
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
des	DET:ind	un
noms	NOM	nom
à	PRP	à
tout	PRO:ind	tout
oui	FNO	oui
mais	KON	mais
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
pareil	ADJ	pareil
les	DET:def	le
noms	NOM	nom
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
aux	PRP:det	au
bancs	NOM	banc
et	KON	et
toi	PRO:ton	toi
tu	PRO:cls	tu
as	AUX:pres	avoir
trouvé	VER:pper	trouver
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
parce	TRC	parce
que	KON	que
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
la	DET:def	le
même	ADJ	même
chose	NOM	chose
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
c'	PRO:cls	ce
était	VER:impf	être
vivant	ADJ	vivant
xxx	NOM	<unknown>
un	DET:ind	un
bébé	NOM	bébé
oui	FNO	oui
mais	KON	mais
pas	ADV	pas
un	DET:ind	un
banc	NOM	banc
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
vivant	VER:ppre	vivre
un	DET:ind	un
banc	NOM	banc
non	FNO	non
ben	INT	ben
on	PRO:cls	on
lui	PRO:clo	lui
donne	VER:pres	donner
quand	KON	quand
même	ADV	même
un	DET:ind	un
un	DET:ind	un
nom	NOM	nom
mais	KON	mais
.	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
celui-là	PRO:dem	celui-là
on	PRO:cls	on
l'	PRO:clo	le
appelle	VER:pres	appeler
comme	KON	comme
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
non	FNO	non
parce	TRC	parce
que	KON	que
celui-là	PRO:dem	celui-là
il	PRO:cls	il
est	AUX:pres	être
accroché	VER:pper	accrocher
il	PRO:cls	il
peut	VER:pres	pouvoir
se	PRO:clo	se
plier	VER:infi	plier
d'	PRP	un
accord	NOM	accord
et	KON	et
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
pas	ADV	pas
un	DET:ind	un
banc	NOM	banc
.	NAM	<unknown>
si	KON	si
oui	FNO	oui
et	KON	et
ben	INT	ben
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
même	ADJ	même
nom	NOM	nom
mais	KON	mais
sauf	PRP	sauf
sauf	PRP	sauf
que	KON	que
/s-c-/	MLT	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
les	DET:def	le
barres	NOM	barre
comme	KON	comme
ça	PRO:ton	ça
là	ADV	là
ouais	FNO	ouais
mais	KON	mais
pareil	ADJ	pareil
mais	KON	mais
.	NAM	<unknown>
mais	KON	mais
d'	PRP	un
accord	NOM	accord
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
pareil	ADJ	pareil
mais	KON	mais
on	PRO:cls	on
appelle	VER:pres	appeler
quand	KON	quand
même	ADV	même
ça	PRO:ton	ça
un	DET:ind	un
banc	NOM	banc
oui	FNO	oui
oui	FNO	oui
et	KON	et
celui-	TRC	<unknown>
là	ADV	là
.	VER:simp	<unknown>
hum	FNO	hum
c'	PRO:cls	ce
est	AUX:pres	être
aussi	ADV	aussi
.	VER:pper	<unknown>
un	DET:ind	un
banc	NOM	banc
et	KON	et
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
aussi	ADV	aussi
alors	ADV	alors
que	KON	que
toi	PRO:ton	toi
hum	FNO	hum
tu	PRO:cls	tu
t'	PRO:clo	te
appelles	VER:pres	appeler
comment	PRO:int	comment
.	NAM	<unknown>
Léa	NAM	<unknown>
Léa	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
Aurélia	NAM	<unknown>
et	KON	et
moi	PRO:ton	moi
?	NAM	<unknown>
Christine	NOM	<unknown>
-tine	NAM	<unknown>
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
les	DET:def	le
choses	NOM	chose
qui	PRO:rel	qui
ne	ADV	ne
vivent	VER:pres	vivre
pas	ADV	pas
on	PRO:cls	on
leur	PRO:clo	lui
mais	KON	mais
donne	VER:impe	donner
.	NAM	<unknown>
pas	ADV	pas
à	PRP	à
manger	VER:infi	manger
hum	FNO	hum
parce	TRC	parce
que	KON	que
on	PRO:cls	on
leur	PRO:clo	lui
donne	VER:pres	donner
pas	ADV	pas
à	PRP	à
manger	VER:infi	manger
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
a	VER:pres	avoir
pas	ADV	pas
d-	TRC	d-
ça	PRO:cls	ça
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
bouche	NOM	bouche
ça	PRO:cls	ça
a	VER:pres	avoir
rien	PRO:ind	rien
ni	KON	ni
rien	PRO:ind	rien
du	PRP:det	du
de	PRP	de
pied	NOM	pied
je	PRO:cls	je
regrette	VER:pres	regretter
ça	PRO:ton	ça
on	PRO:cls	on
appelle	VER:pres	appeler
ça	PRO:ton	ça
le	DET:def	le
pied	NOM	pied
d'	PRP	un
avant	NOM	avant
non	FNO	non
mais	KON	mais
si	KON	si
ça	PRO:cls	ça
a	VER:pres	avoir
des	DET:ind	un
doigts	NOM	doigt
de	PRP	de
pied	NOM	pied
ça	PRO:ton	ça
ça	PRO:cls	ça
marche	VER:pres	marcher
pas	ADV	pas
non	FNO	non
bon	INT	bon
et	KON	et
ben	INT	ben
je	PRO:cls	je
vous	PRO:clo	vous
remercie	VER:pres	remercier
on	PRO:cls	on
a	AUX:pres	avoir
bien	ADV	bien
discuté	VER:pper	discuter
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
.	NAM	<unknown>
je	PRO:cls	je
vous	PRO:clo	vous
remercie	VER:pres	remercier
beaucoup	ADV	beaucoup
je	PRO:cls	je
vais	VER:pres	aller
pas	ADV	pas
vous	PRO:clo	vous
garder	VER:infi	garder
