ok	FNO	ok
c'	PRO:cls	ce
est	VER:pres	être
nul	ADJ	nul
à	PRP	à
part	NOM	part
xxx	NOM	<unknown>
j'	PRO:cls	je
adore	VER:pres	adorer
ça	PRO:ton	ça
surtout	ADV	surtout
.	VER:simp	<unknown>
Bob	NOM	bob
l'	DET:def	le
Eponge	NOM	<unknown>
.	NAM	<unknown>
ah	INT	ah
.	NAM	<unknown>
Bob	NOM	bob
l'	DET:def	le
Eponge	NOM	<unknown>
"	NAM	<unknown>
les	DET:def	le
garçons	NOM	garçon
aiment	VER:pres	aimer
ça	PRO:ton	ça
ah	INT	ah
oui	FNO	oui
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
j'	PRO:cls	je
adore	VER:pres	adorer
oui	FNO	oui
et	KON	et
ce	DET:dem	ce
soir	NOM	soir
et	KON	et
ce	DET:dem	ce
soir	NOM	soir
et	KON	et
.	NAM	<unknown>
Bob	NOM	bob
l'	DET:def	le
Eponge	NOM	<unknown>
"	NAM	<unknown>
xxx	NOM	<unknown>
et	KON	et
puis	KON	puis
aujourd'hui	ADV	aujourd'hui
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
ramener	VER:infi	ramener
un	DET:ind	un
gâteau	NOM	gâteau
d'	PRP	un
anniversaire	NOM	anniversaire
d-	TRC	d-
à	PRP	à
l'	DET:def	le
école	NOM	école
parce	TRC	parce
que	KON	que
mon	DET:pos	mon
frère	NOM	frère
il	PRO:cls	il
était	VER:impf	être
malade	ADJ	malade
hier	ADV	hier
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
aller	VER:infi	aller
chercher	VER:infi	chercher
le	DET:def	le
gâteau	NOM	gâteau
d'	PRP	un
anniversaire	NOM	anniversaire
chez	PRP	chez
ma	DET:pos	mon
mamie	NOM	mamie
le	DET:def	le
car	NOM	car
aujourd'hui	ADV	aujourd'hui
là	ADV	là
je	PRO:cls	je
vais	VER:pres	aller
le	PRO:clo	le
fêter	VER:infi	fêter
avec	PRP	avec
un	DET:ind	un
copain	NOM	copain
il	PRO:cls	il
va	VER:pres	aller
venir	VER:infi	venir
chez	PRP	chez
moi	PRO:ton	moi
dès	PRP	dès
que	KON	que
je	PRO:cls	je
partirai	VER:futu	partir
xxx	NOM	<unknown>
oui	FNO	oui
et	KON	et
demain	ADV	demain
ben	INT	ben
là	ADV	là
ce	DET:dem	ce
soir-là	NOM	<unknown>
euh	INT	euh
ben	INT	ben
là	ADV	là
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
dès	PRP	dès
que	KON	que
je	PRO:cls	je
rentre	VER:pres	rentrer
j'	PRO:cls	je
irai	VER:futu	aller
euh	INT	euh
chercher	VER:infi	chercher
euh	INT	euh
hum	FNO	hum
les	DET:def	le
gobelets	NOM	gobelet
les	DET:def	le
les	DET:def	le
serviettes	NOM	serviette
le	DET:def	le
xxx	NOM	<unknown>
devoirs	NOM	devoir
gâteau	NOM	gâteau
non	FNO	non
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
de	PRP	de
devoirs	NOM	devoir
ouais	FNO	ouais
Madame	NOM	Madame
¤N¤	NAM	¤N¤
elle	PRO:cls	elle
m'	PRO:clo	me
a	VER:pres	avoir
à	PRP	à
moi	PRO:ton	moi
à	PRP	à
nous	PRO:ton	nous
elle	PRO:cls	elle
nous	PRO:clo	nous
donne	VER:pres	donner
pas	ADV	pas
beaucoup	ADV	beaucoup
de	PRP	de
devoirs	NOM	devoir
elle	PRO:cls	elle
est	VER:pres	être
trop	ADV	trop
sympa	ADJ:trc	sympathique
ça	PRO:cls	ça
fait	VER:pres	faire
ç-	TRC	ç-
de	PRP	de
tout	DET:pre	tout
le	DET:def	le
mois	NOM	mois
de	PRP	de
septembre	NOM	septembre
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
de	PRP	de
devoirs	NOM	devoir
tout	DET:pre	tout
le	DET:def	le
mois	NOM	mois
de	PRP	de
décembre	NOM	décembre
aussi	ADV	aussi
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
de	PRP	de
devoirs	NOM	devoir
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
et	KON	et
là	ADV	là
euh	INT	euh
après	ADV	après
les	DET:def	le
mois	NOM	mois
déjà	ADV	déjà
le	DET:def	le
mois	NOM	mois
suivant	ADJ	suivant
euh	INT	euh
quelques	DET:ind	quelque
jours	NOM	jour
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
de	PRP	de
de-	TRC	de-
moi	PRO:ton	moi
moi	PRO:ton	moi
aussi	ADV	aussi
j'	PRO:cls	je
étais	VER:impf	être
avec	PRP	avec
Madame	NOM	Madame
¤N¤	NAM	¤N¤
elle	PRO:cls	elle
elle	PRO:cls	elle
est	VER:pres	être
xxx	NOM	<unknown>
xxx	NOM	<unknown>
moi	PRO:ton	moi
elle	PRO:cls	elle
est	VER:pres	être
gentille	ADJ	gentil
Madame	NOM	Madame
¤N¤	NAM	¤N¤
ah	INT	ah
/heinun/	MLT	<unknown>
/nôtreautre/	MLT	<unknown>
maître	NOM	maître
aussi	ADV	aussi
lui	PRO:ton	lui
il	PRO:cls	il
s'	PRO:clo	se
ap-	TRC	ap-
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
monsieur	NOM	monsieur
oui	FNO	oui
mais	KON	mais
il	PRO:cls	il
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
oeil	NOM	oeil
et	KON	et
un	DET:ind	un
un	DET:ind	un
grosse	ADJ	gros
oeil	NOM	oeil
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
problème	NOM	problème
des	PRP:det	du
yeux	NOM	oeil
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
aussi	ADV	aussi
un	DET:ind	un
un	DET:ind	un
maître	NOM	maître
c'	PRO:cls	ce
est	VER:pres	être
celui	PRO:dem	celui
de	PRP	de
mon	DET:pos	mon
frère	NOM	frère
il	PRO:cls	il
il	PRO:cls	il
xxx	NOM	<unknown>
Monsieur	NOM	monsieur
¤N¤	NAM	¤N¤
ouais	FNO	ouais
il	PRO:cls	il
fait	VER:pres	faire
toujours	ADV	toujours
comme	KON	comme
ça	PRO:ton	ça
ah	INT	ah
on	PRO:cls	on
a	AUX:pres	avoir
bientôt	ADV	bientôt
fini	VER:pper	finir
oui	FNO	oui
on	PRO:cls	on
va	VER:pres	aller
y	PRO:clo	y
aller	VER:infi	aller
ouais	FNO	ouais
ben	INT	ben
je	PRO:cls	je
vous	PRO:clo	vous
remercie	VER:pres	remercier
merci*	NOM	<unknown>
ben	INT	ben
merci	FNO	merci
merci	FNO	merci
à	PRP	à
vous	PRO:ton	vous
on	PRO:cls	on
peut	VER:pres	pouvoir
v-	TRC	v-
on	PRO:cls	on
peut	VER:pres	pouvoir
entendre	VER:infi	entendre
.	NOM:sig	<unknown>
