comment	PRO:int	comment
oui	FNO	oui
hum	FNO	hum
euh	INT	euh
trois	NUM	@card@
poissons	NOM	poisson
et	KON	et
un	DET:ind	un
chat	NOM	chat
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
penses	VER:pres	penser
que	KON	que
tes	DET:pos	ton
poissons	NOM	poisson
et	KON	et
ton	DET:pos	ton
chat	NOM	chat
ils	PRO:cls	il
pensent	VER:pres	penser
.	NAM	<unknown>
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
/de/	MLT	<unknown>
trop	ADV	trop
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
trop	ADV	trop
?	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
les	DET:def	le
animaux	NOM	animal
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
ils	PRO:cls	il
pensent	VER:pres	penser
à	PRP	à
toute	DET:pre	tout
la	DET:def	le
réaction	NOM	réaction
à	PRP	à
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
font	VER:pres	faire
à	PRP	à
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
vont	VER:pres	aller
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
vont	VER:pres	aller
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
euh	INT	euh
le	DET:def	le
chat	NOM	chat
par	PRP	par
exemple	NOM	exemple
quand	KON	quand
il	PRO:cls	il
ronronne	VER:pres	ronronner
quand	KON	quand
il	PRO:cls	il
miaule	VER:pres	miauler
ça	PRO:cls	ça
ex-	TRC	<unknown>
ça	PRO:cls	ça
exprime	VER:pres	exprimer
quelque	ADJ	<unknown>
chose	NOM	chose
ouais	FNO	ouais
donc	ADV	donc
avec	PRP	avec
euh	INT	euh
ah	INT	ah
oui	FNO	oui
ça	PRO:cls	ça
exprime	VER:pres	exprimer
quelque	ADJ	<unknown>
chose	NOM	chose
oui	FNO	oui
ça	PRO:ton	ça
alors	ADV	alors
un	DET:ind	un
bébé	NOM	bébé
ça	PRO:cls	ça
pense	VER:pres	penser
.	NAM	<unknown>
euh	INT	euh
euh	INT	euh
oui	FNO	oui
je	PRO:cls	je
pense	VER:pres	penser
et	KON	et
vous	PRO:cls	vous
vous	PRO:clo	vous
pensez	VER:pres	penser
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
quand	KON	quand
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
ou	KON	ou
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
ou	KON	ou
.	NAM	<unknown>
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
?	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
et	KON	et
alors	ADV	alors
quand	KON	quand
on	PRO:cls	on
pense	VER:pres	penser
on	PRO:cls	on
pense	VER:pres	penser
comment	PRO:int	comment
.	NOM:sig	<unknown>
ben	INT	ben
on	PRO:cls	on
pense	VER:pres	penser
avec	PRP	avec
quoi	PRO:int	quoi
?	NOM:sig	<unknown>
de	PRP	de
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
de	PRP	de
notre	DET:pos	notre
euh	INT	euh
cerveau	NOM	cerveau
notre	DET:pos	notre
oui	FNO	oui
coeur	NOM	coeur
et	KON	et
ben	INT	ben
alors	ADV	alors
le	DET:def	le
cerveau	NOM	cerveau
le	DET:def	le
coeur	NOM	coeur
quoi	INT	quoi
.	NAM	<unknown>
le	DET:def	le
cerveau	NOM	cerveau
hum	FNO	hum
le	DET:def	le
coeur	NOM	coeur
aussi	ADV	aussi
.	VER:simp	<unknown>
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
enfin	ADV	enfin
les	DET:def	le
sentiments	NOM	sentiment
l'	DET:def	le
imagination	NOM	imagination
aussi	ADV	aussi
ouais	FNO	ouais
les	DET:def	le
sentiments	NOM	sentiment
aussi	ADV	aussi
on	PRO:cls	on
peut	VER:pres	pouvoir
sentir	VER:infi	sentir
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
xxx	NOM	<unknown>
oui	FNO	oui
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
pensée	NOM	pensée
un	DET:ind	un
sentiment	NOM	sentiment
.	NAM	<unknown>
euh	INT	euh
non	FNO	non
hum	FNO	hum
xxx	NOM	<unknown>
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
.	NAM	<unknown>
non	FNO	non
non	FNO	non
par	PRP	par
exemple	NOM	exemple
on	PRO:cls	on
a	VER:pres	avoir
peur	NOM	peur
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
sentiment	NOM	sentiment
oui	FNO	oui
ou	KON	ou
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
pensée	NOM	pensée
hum	FNO	hum
alors	ADV	alors
quand	KON	quand
on	PRO:cls	on
pense	VER:pres	penser
justement	ADV	justement
si	KON	si
je	PRO:cls	je
vous	PRO:clo	vous
dit	VER:pres	dire
penser	VER:infi	penser
à	PRP	à
demain	ADV	demain
soir	NOM	soir
oui	FNO	oui
comment	PRO:int	comment
vous	PRO:ton	vous
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
se	PRO:clo	se
passe	VER:pres	passer
dans	PRP	dans
votre	DET:pos	votre
tête	NOM	tête
quand	KON	quand
vous	PRO:cls	vous
pensez	VER:pres	penser
?	NAM	<unknown>
vous	PRO:cls	vous
hum	FNO	hum
vous	PRO:cls	vous
vous	PRO:clo	vous
dites	VER:pres	dire
des	DET:ind	un
choses	NOM	chose
ou	KON	ou
vous	PRO:cls	vous
voyez	VER:pres	voir
on	PRO:cls	on
sait	VER:pres	savoir
des	DET:ind	un
choses	NOM	chose
des	PRP:det	du
choses	NOM	chose
?	NAM	<unknown>
oui	FNO	oui
on	PRO:cls	on
se	PRO:clo	se
dit	VER:pres	dire
des	DET:ind	un
choses	NOM	chose
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
donc	ADV	donc
on	PRO:cls	on
pense	VER:pres	penser
euh	INT	euh
xxx	NOM	<unknown>
alors	ADV	alors
on	PRO:cls	on
pense	VER:pres	penser
avec	PRP	avec
quoi	INT	quoi
alors	ADV	alors
si	KON	si
on	PRO:cls	on
se	PRO:clo	se
dit	VER:pres	dire
des	DET:ind	un
choses	NOM	chose
?	NAM	<unknown>
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
pas	ADV	pas
bes-	VER:pper	<unknown>
avec	PRP	avec
la	DET:def	le
mémoire	NOM	mémoire
avec	PRP	avec
la	DET:def	le
mémoire	NOM	mémoire
et	KON	et
puis	KON	puis
avec	PRP	avec
le	DET:def	le
langage	NOM	langage
.	NAM	<unknown>
oui	FNO	oui
hein	INT	hein
?	NAM	<unknown>
donc	ADV	donc
les	DET:def	le
nous	PRO:ton	nous
on	PRO:cls	on
pense	VER:pres	penser
avec	PRP	avec
le	DET:def	le
langage	NOM	langage
oui	FNO	oui
alors	ADV	alors
les	DET:def	le
animaux	NOM	animal
.	NAM	<unknown>
ben	INT	ben
pas	ADV	pas
eux	PRO:ton	eux
xxx	NOM	<unknown>
on	PRO:cls	on
comprend	VER:pres	comprendre
pas	ADV	pas
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
disent	VER:pres	dire
d'	PRP	un
accord	NOM	accord
mais	KON	mais
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
langage	NOM	langage
.	NAM	<unknown>
mais	KON	mais
euh	INT	euh
oui	FNO	oui
les	DET:def	le
poissons	NOM	poisson
aussi	ADV	aussi
.	VER:simp	<unknown>
euh	INT	euh
oui	FNO	oui
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
langage	NOM	langage
les	DET:def	le
poissons	NOM	poisson
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
mais	KON	mais
ils	PRO:cls	il
entendent	VER:pres	entendre
pas	ADV	pas
xxx	NOM	<unknown>
oui	FNO	oui
oui	FNO	oui
certainement	ADV	certainement
ils	PRO:cls	il
parlent	VER:pres	parler
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
tu	PRO:cls	tu
crois	VER:pres	croire
qu'	KON	que
ils	PRO:cls	il
parlent	VER:pres	parler
?	NAM	<unknown>
les	DET:def	le
sauterelles	NOM	sauterelle
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
euh	INT	euh
ils	PRO:cls	il
font	VER:pres	faire
un	DET:ind	un
bruit	NOM	bruit
aussi	ADV	aussi
donc	ADV	donc
le	DET:def	le
bruit	NOM	bruit
qu'	KON	que
elles	PRO:cls	elle
font	VER:pres	faire
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
langage	NOM	langage
?	NAM	<unknown>
les	DET:def	le
puces	NOM	puce
.	NAM	<unknown>
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
euh	INT	euh
leur	DET:pos	leur
langage	NOM	langage
on	PRO:cls	on
a	VER:pres	avoir
aussi	ADV	aussi
euh	INT	euh
un	DET:ind	un
un	DET:ind	un
langage	NOM	langage
avec	PRP	avec
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
des	PRP:det	du
oiseaux	NOM	oiseau
ils	PRO:cls	il
se	PRO:clo	se
comprennent	VER:pres	comprendre
en	PRP	en
faisant	VER:ppre	faire
des	DET:ind	un
gestes	NOM	geste
aussi	ADV	aussi
ouais	FNO	ouais
ou	KON	ou
en	PRP	en
et	KON	et
en	PRP	en
chantant	VER:ppre	chanter
oui	FNO	oui
bien	ADV	bien
sûr	ADJ	sûr
ouais	FNO	ouais
donc	ADV	donc
et	KON	et
.	NAM	<unknown>
ils	PRO:cls	il
pensent	VER:pres	penser
comme	KON	comme
ça	PRO:ton	ça
?	NAM	<unknown>
ils	PRO:cls	il
pensent	VER:pres	penser
avec	PRP	avec
leur	DET:pos	leur
langage	NOM	langage
.	NAM	<unknown>
pas	ADV	pas
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
alors	ADV	alors
comment	PRO:int	comment
des	DET:ind	un
fois	NOM	fois
.	NAM	<unknown>
en	PRP	en
dansant	VER:ppre	danser
en	PRP	en
tout	DET:pre	tout
ça	PRO:ton	ça
d'	PRP	un
accord	NOM	accord
ok	FNO	ok
ouais	FNO	ouais
donc	ADV	donc
ça	PRO:cls	ça
peut	VER:pres	pouvoir
plus	ADV	plus
se	PRO:clo	se
rapprocher	VER:infi	rapprocher
de	PRP	de
nos	DET:pos	notre
sentiments	NOM	sentiment
peut-être	ADV	peut-être
.	VER:simp	<unknown>
oui	FNO	oui
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
d'	PRP	un
accord	NOM	accord
et	KON	et
alors	ADV	alors
les	DET:def	le
plantes	NOM	plante
on	PRO:cls	on
a	AUX:pres	avoir
dit	VER:pper	dire
hum	FNO	hum
qu'	KON	que
elles	PRO:cls	elle
sont	VER:pres	être
vivantes	ADJ	vivant
les	DET:def	le
plantes	NOM	plante
.	NAM	<unknown>
hum	FNO	hum
alors	ADV	alors
.	VER:simp	<unknown>
ben	INT	ben
les	DET:def	le
plantes	NOM	plante
elles	PRO:cls	elle
pensent	VER:pres	penser
.	NAM	<unknown>
euh	INT	euh
non	FNO	non
elles	PRO:cls	elle
vit	VER:pres	vivre
elles	PRO:cls	elle
vivent	VER:pres	vivre
juste	ADV	juste
.	ADJ	<unknown>
ben	INT	ben
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
vivre	VER:infi	vivre
sans	PRP	sans
penser	VER:infi	penser
je	PRO:cls	je
crois	VER:pres	croire
ouais	FNO	ouais
que	KON	que
même	ADV	même
dans	PRP	dans
la	DET:def	le
/Terre	NOM	<unknown>
terre/	MLT	<unknown>
xxx	NOM	<unknown>
ça	PRO:cls	ça
existe	VER:pres	exister
peut-être	ADV	peut-être
pas	ADV	pas
ouais	FNO	ouais
alors	ADV	alors
si	KON	si
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
vivre	VER:infi	vivre
sans	PRP	sans
penser	VER:infi	penser
les	DET:def	le
plantes	NOM	plante
pensent	VER:pres	penser
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
toi	PRO:ton	toi
tu	PRO:cls	tu
dis	VER:pres	dire
quoi	PRO:int	quoi
toi	PRO:ton	toi
?	NAM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
euh	INT	euh
pas	ADV	pas
trop	ADV	trop
pas	ADV	pas
trop	ADV	trop
.	VER:simp	<unknown>
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
quand	KON	quand
même	ADV	même
un	DET:ind	un
peu	NOM	peu
bizarre	ADJ	bizarre
euh	INT	euh
les	DET:def	le
plantes	NOM	plante
elles	PRO:cls	elle
elles	PRO:cls	elle
pensent	VER:pres	penser
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
dirais	VER:cond	dire
qu'	KON	que
elles	PRO:cls	elle
pensent	VER:pres	penser
parce	TRC	parce
que	KON	que
euh	INT	euh
quand	KON	quand
elles	PRO:cls	elle
sont	VER:pres	être
toutes	ADV	tout
petites	ADJ	petit
après	ADV	après
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
xxx	NOM	<unknown>
qui	PRO:rel	qui
vont	VER:pres	aller
comme	KON	comme
ça	PRO:ton	ça
puis	KON	puis
qui	PRO:rel	qui
sautent	VER:pres	sauter
et	KON	et
on	PRO:cls	on
verra	VER:futu	voir
et	KON	et
ben	INT	ben
elles	PRO:cls	elle
doivent	VER:pres	devoir
penser	VER:infi	penser
à	PRP	à
tout	DET:pre	tout
ça	PRO:ton	ça
enfin	ADV	enfin
je	PRO:cls	je
pense	VER:pres	penser
hein	INT	hein
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
peut-être	ADV	peut-être
pas	ADV	pas
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
toi	PRO:ton	toi
tu	PRO:cls	tu
dis	VER:pres	dire
non	FNO	non
.	NAM	<unknown>
hum	FNO	hum
alors	ADV	alors
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
dis	VER:pres	dire
non	FNO	non
.	NAM	<unknown>
ben	INT	ben
par	PRP	par
exemple	NOM	exemple
parce	TRC	parce
que	KON	que
euh	INT	euh
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
plantes	NOM	plante
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
comme	KON	comme
les	DET:def	le
humains	NOM	humain
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
change	VER:pres	changer
alors	ADV	alors
.	ADJ	<unknown>
ben	INT	ben
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
nous	PRO:clo	nous
différencie	VER:pres	différencier
.	NAM	<unknown>
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
de	PRP	de
cerveau	NOM	cerveau
hum	FNO	hum
et	KON	et
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
de	PRP	de
cerveau	NOM	cerveau
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
cerveau	NOM	cerveau
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
de	PRP	de
cerveau	NOM	cerveau
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
de	PRP	de
cerveau	NOM	cerveau
les	DET:def	le
plantes	NOM	plante
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
xxx	NOM	<unknown>
si	KON	si
elles	PRO:cls	elle
doivent	VER:pres	devoir
avoir	VER:infi	avoir
des	DET:ind	un
pensées	NOM	pensée
et	KON	et
ben	INT	ben
elles	PRO:cls	elle
doivent	VER:pres	devoir
peut-être	ADV	peut-être
avoir	VER:infi	avoir
euh	INT	euh
un	DET:ind	un
cerveau	NOM	cerveau
mais	KON	mais
ah	INT	ah
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
Laura	VER:simp	laurer
euh	INT	euh
si	KON	si
ils	PRO:cls	il
pensent	VER:pres	penser
pas	ADV	pas
et	KON	et
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
qu'	KON	que
ils	PRO:cls	il
ont	VER:pres	avoir
de	PRP	de
cerveau	NOM	cerveau
mais	KON	mais
alors	ADV	alors
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
ont	VER:pres	avoir
un	DET:ind	un
cerveau	NOM	cerveau
.	NAM	<unknown>
je	PRO:cls	je
pense	VER:pres	penser
xxx	NOM	<unknown>
donc	ADV	donc
tu	PRO:cls	tu
penses	VER:pres	penser
d'	PRP	un
accord	NOM	accord
oui	FNO	oui
et	KON	et
euh	INT	euh
Elfie	VER:impe	<unknown>
elle	PRO:cls	elle
dit	VER:pres	dire
elle	PRO:cls	elle
dit	VER:pres	dire
aussi	ADV	aussi
bon	INT	bon
d'	PRP	un
accord	NOM	accord
elle	PRO:cls	elle
pense	VER:pres	penser
elle	PRO:ton	elle
elle	PRO:cls	elle
dit	VER:pres	dire
je	PRO:cls	je
pense	VER:pres	penser
donc	ADV	donc
j'	PRO:cls	je
existe	VER:pres	exister
hum	FNO	hum
hum	FNO	hum
et	KON	et
puis	KON	puis
surtout	ADV	surtout
des	DET:ind	un
fois	NOM	fois
elle	PRO:cls	elle
se	PRO:clo	se
dit	VER:pres	dire
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
à	PRP	à
ce	DET:dem	ce
moment-là	NOM	<unknown>
.	NAM	<unknown>
hein	INT	hein
?	NAM	<unknown>
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
se	PRO:clo	se
dit	VER:pres	dire
hum	FNO	hum
ah	INT	ah
mais	KON	mais
si	KON	si
si	KON	si
je	PRO:cls	je
m'	PRO:clo	me
interroge	VER:pres	interroger
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
hein	INT	hein
?	NAM	<unknown>
donc	ADV	donc
elle	PRO:cls	elle
dit	VER:pres	dire
qu'	KON	que
elle	PRO:cls	elle
pense	VER:pres	penser
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
même	ADV	même
la	DET:def	le
nuit	NOM	nuit
parce	TRC	parce
que	KON	que
elle	PRO:cls	elle
rêve	VER:pres	rêver
quand	KON	quand
on	PRO:cls	on
rêve	VER:pres	rêver
hum	FNO	hum
donc	ADV	donc
vous	PRO:cls	vous
rêvez	VER:pres	rêver
vous	PRO:ton	vous
souvent	ADV	souvent
.	VER:simp	<unknown>
oui	FNO	oui
moi	PRO:ton	moi
pas	ADV	pas
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
mais	KON	mais
quand	KON	quand
je	PRO:cls	je
me	PRO:clo	me
couche	VER:pres	coucher
je	PRO:cls	je
pense	VER:pres	penser
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
à	PRP	à
quelque	NOM	<unknown>
chose	NOM	chose
avant	ADV	avant
de	PRP	de
m'	PRO:clo	me
endormir	VER:infi	se endormir
même	ADV	même
quand	KON	quand
je	PRO:cls	je
suis	VER:pres	être
et	KON	et
p-	TRC	p-
réveillée	VER:pper	réveiller
et	KON	et
tout	PRO:ind	tout
ouais	FNO	ouais
et	KON	et
euh	INT	euh
après	ADV	après
j'	PRO:cls	je
imagine	VER:pres	imaginer
des	DET:ind	un
choses	NOM	chose
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
parle	VER:pres	parler
souvent	ADV	souvent
à	PRP	à
moi	PRO:ton	moi
ça	PRO:cls	ça
m'	PRO:clo	me
aide	VER:pres	aider
beaucoup	ADV	beaucoup
et	KON	et
alors	ADV	alors
tu	PRO:cls	tu
y	PRO:clo	y
penses	VER:pres	penser
quand	KON	quand
même	ADV	même
.	VER:simp	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
toi	PRO:ton	toi
aussi	ADV	aussi
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
rêves	NOM	rêve
?	NOM:sig	<unknown>
des	DET:ind	un
cauchemars	NOM	cauchemar
parfois	ADV	parfois
.	VER:simp	<unknown>
euh	INT	euh
une	DET:ind	un
fois	NOM	fois
une	DET:ind	un
fois	NOM	fois
.	NAM	<unknown>
hum	FNO	hum
ouais	FNO	ouais
un	DET:ind	un
affreux	ADJ	affreux
cauchemar	NOM	cauchemar
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
eu	VER:pper	avoir
peur	NOM	peur
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
euh	INT	euh
oui	FNO	oui
je	PRO:cls	je
le	PRO:clo	le
fais	VER:pres	faire
dans	PRP	dans
la	DET:def	le
nuit	NOM	nuit
ah	INT	ah
oui	FNO	oui
carrément	ADV	carrément
et	KON	et
toi	PRO:ton	toi
xxx	NOM	<unknown>
ça	PRO:cls	ça
t'	PRO:clo	te
arrive	VER:pres	arriver
des	DET:ind	un
cauchemars	NOM	cauchemar
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
fais	VER:pres	faire
pas	ADV	pas
souvent	ADV	souvent
de	PRP	de
rêves	NOM	rêve
mais	KON	mais
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
des	PRP:det	du
cauchemars	NOM	cauchemar
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
en	PRO:clo	en
fait	VER:pres	faire
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
des	DET:ind	un
rêves	NOM	rêve
où	PRO:rel	où
tu	PRO:cls	tu
rêves	VER:pres	rêver
euh	INT	euh
de	DET:ind	un
quelque	ADJ	<unknown>
chose	NOM	chose
en	PRP	en
fait	NOM	fait
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rêve	NOM	rêve
qui	PRO:rel	qui
qui	PRO:rel	qui
est	VER:pres	être
bien	ADV	bien
au	PRP:det	au
début	NOM	début
ouais	FNO	ouais
et	KON	et
il	PRO:clsi	il
se	PRO:clo	se
finit	VER:pres	finir
des	DET:ind	un
fois	NOM	fois
mal	ADV	mal
et	KON	et
tu	PRO:cls	tu
refais	VER:pres	refaire
toujours	ADV	toujours
souvent	ADV	souvent
le	DET:def	le
même	ADJ	même
.	NAM	<unknown>
hum	FNO	hum
non	FNO	non
non	FNO	non
.	NAM	<unknown>
ça	PRO:cls	ça
change	VER:pres	changer
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
puis	KON	puis
des	DET:ind	un
fois	NOM	fois
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
beaux	ADJ	beau
rêves	NOM	rêve
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
avoir	VER:infi	avoir
une	DET:ind	un
suite	NOM	suite
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plus	ADV	plus
xxx	NOM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
oui	FNO	oui
et	KON	et
quand	KON	quand
on	PRO:cls	on
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
rêver	VER:infi	rêver
on	PRO:cls	on
a	VER:pres	avoir
l'	DET:def	le
impression	NOM	impression
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
réalité	NOM	réalité
ou	KON	ou
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rêve	NOM	rêve
.	NAM	<unknown>
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rêve	NOM	rêve
mais	KON	mais
euh	INT	euh
ouais	FNO	ouais
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rêve	NOM	rêve
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
quand	KON	quand
tu	PRO:cls	tu
rêves	VER:pres	rêver
.	NAM	<unknown>
ben	INT	ben
une	DET:ind	un
fois	NOM	fois
j'	PRO:cls	je
avais	AUX:impf	avoir
rêvé	VER:pper	rêver
de	PRP	de
quelque	ADJ	<unknown>
chose	NOM	chose
et	KON	et
puis	KON	puis
je	PRO:cls	je
pensais	VER:impf	penser
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
la	DET:def	le
réalité	NOM	réalité
oui	FNO	oui
alors	ADV	alors
si	KON	si
si	KON	si
si	KON	si
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rêve	NOM	rêve
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
as	VER:pres	avoir
peur	NOM	peur
.	NAM	<unknown>
ben	INT	ben
je	PRO:cls	je
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
ah	INT	ah
alors	ADV	alors
toi	PRO:ton	toi
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
as	VER:pres	avoir
l'	DET:def	le
impression	NOM	impression
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
réalité	NOM	réalité
ou	KON	ou
euh	INT	euh
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
oui	FNO	oui
euh	INT	euh
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
déjà	ADV	déjà
rêvé	VER:pper	rêver
de	PRP	de
de	PRP	de
rêve	NOM	rêve
où	PRO:rel	où
je	PRO:cls	je
suis	AUX:pres	être
pillée	VER:pper	piller
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
mes	DET:pos	mon
affaires	NOM	affaire
c'	PRO:cls	ce
est	VER:pres	être
j'	PRO:cls	je
ai	VER:pres	avoir
l'	DET:def	le
impression	NOM	impression
d'	PRP	un
être	AUX:infi	être
contrôlée	VER:pper	contrôler
oui	FNO	oui
mais	KON	mais
dans	PRP	dans
certains	DET:ind	certains
rêves	NOM	rêve
je	PRO:cls	je
