adv:place	voilà
PCT	.
adv:yn	oui
v:exist	c'est
co	euh
det:poss	leurs
n	bruit
v:exist	c'est
det&MASC&SING	le
n	bruit
PCT	.
det:poss	leurs
n	bruit
PCT	.
pro:rel	qu'
pro:subj&MASC	ils
v:mdl	faire
PCT	.
adv	d'accord
pro:subj	tu
v	croire
conj	que
v:exist	c'est
det&MASC&SING	un
n	langage
PCT	?
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
PCT	?
PCT	.
conj	si
pro:subj	on
pro:obj&PL	les
v	comprendre
v:exist	c'est
det&MASC&SING	un
n	langage
PCT	.
adv:yn	oui
PCT	.
prep	pour
pro&MASC&PL	eux
PCT	.
conj	et
det&PL	les
n	arbre
adv	alors
PCT	?
det&PL	les
n	plant
PCT	?
PCT	.
co	ben
adv:yn	non
PCT	.
pro:subj&FEM	elles
v	parler
conj	ou
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
pro:subj	je
v:mdl	savoir
adv:neg	pas
pro&SING	moi
pro:subj	je
pro:subj	vous
v	poser
det&FEM&SING	la
n	question
PCT	.
pro:subj&FEM	elles
v	parler
adv:neg	pas
det&PL	les
n	plant
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
conj	donc
v:exist	il+y+a
adv	quand+même
pro:subj	on
v:aux	avoir
adv	quand+même
adj	découvert
conj	que
PCT	.
v:exist	il+y+a
v:poss&IMPF	avoir
?	peut–être
det&PL	les
n	gens
det&PL	les
n&SING-PL	animal^n|animal
conj	et
det&PL	les
n	plant
pro:rel	qui
v-IMPF	vivre
PCT	.
conj	mais
adv	tout
pro:rel	ce+qui
v&PASS	vivre^v|voir
adv:neg	ne
v	parler
adv:neg	pas
PCT	.
adv:yn	ouais
PCT	.
pro:subj	on
v:exist	être
adv	d'accord
PCT	?
adv:yn	ouais
conj	alors
adv	maintenant
n:prop	Elfie
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
pro&SING	moi
v:exist	c'est
adv:neg	pas
conj	parce+que
pro:subj	je
v	parler
adv:neg	pas
conj	que
pro:subj	je
adv:neg	ne
v&PASS	vivre^v|voir
adv:neg	pas
co	hein
PCT	?
adv	bon
pro:subj&FEM	elle
v-PASS	dire^v|dire
pro&SING	moi
pro:subj	je
PCT	.
co	hum
PCT	.
v:mdl	savoir
conj	que
pro:subj	je
v&PASS	vivre^v|voir
conj	parce+que
pro:subj	je
v	penser
conj	alors+que
?	est–ce
conj	que
v:exist	c'est
v-INF	penser
PCT	?
PCT	.
v:exist	c'est
conj	quand
pro:subj	on
pro:refl	se
v-PASS	dire^v|dire
pro	quelque+chose
prep	dans
det&FEM&SING	la
prep	dans
det:poss&PL	nos
n	tête
PCT	.
adv	exactement
v:exist	c'est
conj	quand
pro:subj	on
pro:refl	se
v-PASS	dire^v|dire
pro	quelque+chose
prep	dans
det&FEM&SING	la
n	tête
PCT	.
pro:subj	tu
v:exist	être
adv	d'accord
PCT	?
adv:yn	oui
PCT	.
?	est–ce
conj	que
pro:subj	vous
pro:subj	vous
v	dire
adv	tout+le+temps
det&PL	des
n	chose
prep	dans
det:poss	votre
n	tête
conj	ou
adv:neg	pas
adv	tout+le+temps
PCT	?
PCT	.
adv	parfois
PCT	.
adv	parfois
PCT	?
adv	ben
adv	tout
det&MASC&SING	le
n	temps
PCT	.
conj	quand
pro:subj	on
v	lire
adv	parfois
conj	quand
pro:subj	on
v	lire
pro&SING	moi
det:poss&SING	ma
adj	petit
n	soeur
PCT	.
conj	quand
pro:subj	on
pro&SING	lui
v	lire
?	,
v-PP	dire
det&MASC&SING	un
n	truc
pro:subj&FEM	elle
v	passer
conj	et
pro:subj&FEM	elle
v	croire^v|croître
conj	qu'
pro:subj&FEM	elle
v:exist	être
adv:place	dedans
PCT	.
co	ben
adv:yn	oui
co	ben
pro:subj	tu
v:mdl	savoir
conj	quand
pro:subj	on
v	lire
det&MASC&SING	un
adj-MASC	bon
n	livre
pro:subj	on
v:poss	avoir
det&SING	le/la
n	impression
PCT	.
pro:rel	qu'
pro:subj	on
pro:obj&MASC&SING	le
v&PASS	vivre^v|voir
det&FEM&SING	la
n	chose
co	hein
PCT	?
co	hein
PCT	?
co	hum
PCT	.
adv	bon
adv	donc
adv	effectivement
pro:subj	on
v	penser
pro:subj	tu
v:aux	avoir
v-PP	dire
conj	que
v:exist	c'est
prep	comme
v-INF	parler
prep	dans
det:poss&FEM&SING	sa
n	tête
PCT	.
co	hum
PCT	.
pro:subj	on
v	parler
adv:int	comment
prep	dans
det:poss&FEM&SING	sa
n	tête
prep	avec
det:gen	quelle
n	langue
PCT	?
det:gen	quel
n	langage
PCT	?
PCT	.
prep	à
co	euh
v:exist	c'est
prep	comme
adv	si
pro:subj	on
v-IMPF	chuchoter
PCT	.
adv:yn	ouais
v:exist	c'est
prep	comme
adv	si
pro:subj	on
pro:refl	se
v-IMPF	chuchoter
v:exist	c'est
prep	comme
conj	quand
pro:subj	on
v	lire
co	hein
PCT	?
adv	d'ailleurs
co	hein
PCT	?
PCT	.
prep:art	au
n	début
det&PL	les
n	enfant
conj	quand
pro:subj&MASC	ils
v	lire
PCT	.
pro:subj	vous
pro:subj	vous
v	rappeler
conj	quand
pro:subj	vous
v:exist&IMPF	être
prep:art	au
n:prop	C
PCT	.
n:prop	P
PCT	.
pro:subj	on
PCT	.
co	hum
PCT	.
v:mdl	devoir
v-INF	lire
pro:subj	on
v	arriver
v-INF	lire
prep:art	à
n	voix
adj	haut
pro:subj	on
adv:neg	ne
v	arriver
adv:neg	pas
prep	à
v-INF	lire
prep	dans
det:poss&FEM&SING	sa
n	tête
PCT	.
conj	mais
adv:place	après
pro:subj	on
v	lire
prep	dans
det:poss&FEM&SING	sa
n	tête
PCT	.
pro&SING	moi
v:exist&IMPF	c'est
co	euh
adv:place	après
conj	quand
pro:subj	je
v:aux	avoir
pro:subj	je
v:aux	avoir
v-PP	commencer
prep:art	à
n	avoir
det:poss&PL	mes
adj:num	six
n	an
PCT	.
det:poss&SING	ma
n	soeur
pro:subj&FEM	elle
pro:y	en
v:poss&IMPF	avoir
adv	marre
conj	que
pro:subj	je
v-IMPF	lire
co	euh
prep	à
n	voix
adj	haut
PCT	.
pro:subj&FEM	elle
pro:refl	me
v:aux	avoir
v-PP	dire
n:prop	Mélissa
pro:subj&MASC	il
v:mdl	falloir
v-INF	lire
prep	dans
det:poss&FEM&SING	ta
n	tête
conj	donc
adv:place	après
PCT	.
adv	exactement
PCT	.
prep:art	en
n	classe
conj	quand
pro:subj	on
v:mdl&IMPF	devoir
v-INF	lire
det&MASC&SING	un
n	livre
pro:subj	je
v-IMPF	lire
prep	dans
det:poss&SING	ma
n	tête
PCT	.
adv:yn	oui
adv	d'accord
adv	donc
pro:subj	nous
pro:subj	on
conj	quand
pro:subj	on
v	penser
conj	et
co	ben
v:exist	c'est
prep	comme
conj	quand
pro:subj	on
v	parler
prep	dans
det:poss	notre
n	tête
adv	alors
PCT	.
co	hum
PCT	.
?	est–ce
conj	que
det&PL	les
n&SING-PL	animal^n|animal
v	penser
PCT	?
PCT	.
adv:yn	oui
PCT	.
adv:yn	non
PCT	.
pro:subj	vous
v:exist	être
adv:neg	pas
adv	d'accord
PCT	?
conj	alors
?	dis–moi
adv:int	pourquoi
pro:subj	tu
v-PASS	dire^v|dire
adv:yn	non
PCT	?
PCT	.
det&PL	les
n&SING-PL	animal^n|animal
pro:subj&MASC	ils
v:mdl	pouvoir
adv:neg	pas
v-INF	penser
prep	comme
pro:subj&MASC	ils
v	arriver
?	p–
PCT	.
pro:subj&MASC	ils
pro:subj&MASC	ils
v	arriver
v:mdl-INF	faire
det&MASC&SING	du
n	bruit
conj	mais
pro:subj&MASC	ils
v	arriver
adv:neg	pas
?	,
prep	à
v-INF	parler
PCT	.
pro:subj	tu
v:poss	avoir
n	raison
adv:yn	ouais
pro&SING	moi
pro:subj	je
v	croire
conj	aussi
adv	en+tout+cas
adv:neg	pas
prep	comme
pro:subj	nous
PCT	.
adv:yn	ouais
PCT	.
conj	et
pro&SING	toi
PCT	?
pro:rel	qu'
?	est–ce
conj	que
pro:subj	tu
v	penser
PCT	?
co	ben
conj	quand
co	euh
?	***
conj	quand
det&MASC&SING	un
n&SING-SING	animal
v	penser
v:exist	c'est
conj	quand
co	euh
pro:subj&MASC	il
?	ar–
pro:subj&MASC	il
PCT	.
pro:subj&MASC	il
v:mdl	faire
adv:neg	pas
prep:art	de
n	bruit
PCT	.
?	est–ce
conj	que
pro:subj	tu
v:aux	avoir
v-PP	entendre
pro:int	ce+que
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
PCT	?
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj&MASC	il
v:mdl	pouvoir
adv:neg	pas
v-INF	penser
conj	parce+que
pro:subj&MASC	ils
v:mdl	pouvoir
adv:neg	pas
v-INF	parler
prep	dans
det:poss	leur
n	tête
PCT	.
conj	alors+que
?	est–ce
conj	que
pro:subj	tu
v:exist	être
adv	d'accord
prep	avec
pro&FEM	elle
conj	ou
adv:neg	pas
PCT	?
PCT	.
co	ben
adv	un+peu
PCT	.
adv	un+peu
PCT	?
adv:yn	oui
PCT	.
adv:neg	pas
adv	tout+à+fait
PCT	?
adv:neg	pas
adv	tout+à+fait
PCT	.
adv:int	pourquoi
conj	qu'
?	est–ce
conj	que
pro:subj	tu
v	penser
pro&SING	toi
PCT	?
PCT	.
co	ben
v:exist	c'est
prep	comme
n:prop	Céline
pro:subj&FEM	elle
pro:refl	me
v:aux	avoir
v-PP	dire
adv	parfois
v:exist	il+y+a
det&PL	des
n&SING-PL	animal^n|animal
pro:rel	qui
v	penser
PCT	.
adv	parfois
pro:y	il+y+en
v:aux	avoir
pro:rel	qui
v	penser
adv:neg	pas
PCT	.
pro:subj	tu
v	croire
conj	qu'
pro:y	il+y+en
v:aux	avoir
pro:rel	qui
v	penser
PCT	?
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
pro:int&PL	lesquels
PCT	?
PCT	.
v:exist	c'est
prep	comme
det&MASC&SING	un
n	chat
pro:dem	ça
v	miauler
PCT	.
adv:yn	ouais
PCT	.
adv:neg	pas
adv	toujours
det&MASC&SING	un
n-MASC	chien
pro:dem	ça
v	aboyer
adv:neg	pas
adv	toujours
PCT	.
adv:yn	ouais
conj	mais
?	est–ce
conj	qu'
pro:subj&MASC	ils
v:mdl	pouvoir
PCT	.
det&MASC&SING	un
n	éléphant
pro:subj&MASC	il
pro:subj&MASC	il
?	***
adv:neg	pas
adv	toujours
PCT	.
adv:yn	oui
adv	d'accord
conj	et
conj	alors
det&PL	les
n	arbre
?	est–ce
conj	qu'
pro:subj&MASC	ils
v:mdl	pouvoir
v-INF	penser
PCT	?
PCT	.
adv:yn	non
PCT	.
co	euh
adv:yn	non
PCT	.
adv:int	pourquoi
PCT	?
pro:subj&MASC	ils
v	vivre
PCT	?
PCT	.
adv:yn	oui
PCT	.
co	ben
adv:int	pourquoi
pro:subj&MASC	ils
v:mdl	pouvoir
adv:neg	pas
v-INF	penser
PCT	?
PCT	.
co	ben
conj	parce+que
co	euh
PCT	.
pro:rel	qu'
?	est–ce
conj	qu'
pro:subj	on
v:aux	avoir
v-PP	dire
conj	que
prep	pour
v-INF	penser
pro:subj&MASC	il
v:mdl&IMPF	falloir
v:mdllex&INF	pouvoir
PCT	.
v-INF	parler
PCT	.
v-INF	parler
PCT	.
v-INF	parler
PCT	.
conj	et
det&PL	les
n	arbre
?	***
pro:dem	ça
v	parler
pro:dem	ça
v	parler
adv:neg	pas
PCT	.
co	hein
PCT	?
adv:yn	non
PCT	.
pro:dem	ça
v	parler
adv:neg	pas
adv	donc
pro:dem	ça
v:mdl	pouvoir
adv:neg	pas
v-INF	parler
PCT	.
pro:dem	ça
v:mdllex	pouvoir
?	p–
pro:dem	ça
v:mdl	pouvoir
adv:neg	pas
v-INF	penser
PCT	.
adv:place	voilà
pro:subj	tu
v:poss	avoir
n	raison
conj	donc
pro:dem	ça
v:mdl	pouvoir
adv:neg	pas
v-INF	penser
adv	d'accord
PCT	.
co	ah
co	ben
?	dites–donc
pro:subj	on
v:aux	avoir
adj-MASC	bien^adj|bien
adj	avancé
co	hein
PCT	?
co	hein
PCT	?
co	hum
PCT	.
conj	et
n:prop	Elfie
pro:subj&FEM	elle
v-PASS	dire^v|dire
conj	qu'
pro:subj&FEM	elle
v	penser
adv	tout+le+temps
PCT	.
adv	même
det&FEM&SING	la
n	nuit
conj	quand
pro:subj&FEM	elle
v	dormir
PCT	.
v	dormir
PCT	.
conj	alors
pro:subj	vous
adv	que
?	est–ce
pro:rel	qui
pro:refl	se
v	passer
conj	quand
pro:subj	vous
v	dormir
PCT	?
PCT	.
co	ben
pro:subj	on
v	rêver
PCT	.
adv:yn	oui
pro:subj	tu
v	rêver
adv	aussi
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	?
conj	et
conj	quand
pro:subj	vous
v	rêver
PCT	.
conj	sauf
adv	parfois
pro:subj	je
v:mdllex	faire
det&PL	des
n	cauchemar
PCT	.
co	ah
adv:yn	oui
co	ben
pro:dem	ça
v	arriver
PCT	.
pro:subj	je
v	rêver
det:poss&SING	ma
n	soeur
det:poss&SING	ma
adj	grand
n	soeur
PCT	.
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
v:poss	avoir
det&FEM&SING	une
?	***
pro:subj&FEM	elle
pro:refl	se
v	réveiller
prep	dans
det&FEM&SING	la
n	nuit
PCT	.
conj	et
co	euh
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv:yn	non
adv:yn	non
v	arrêter
prep	comme
pro:dem	ça
PCT	.
v:exist	c'est
v:exist	c'est
det&PL	des
n	cauchemar
adv	parfois
pro:subj	tu
v:mdllex	faire
det&PL	des
n	cauchemar
adv	parfois
pro&SING	toi
PCT	?
adv:yn	ouais
PCT	.
adv:yn	ouais
conj	et
conj	alors
conj	quand
pro:subj	vous
v	rêver
?	est–ce
conj	que
pro:subj	vous
?	***
PCT	.
?	***
PCT	.
adv:yn	oui
conj	quand
pro:subj	vous
v	dormir
PCT	?
pro:subj	vous
v	rêver
conj	et
conj	quand
pro:subj	vous
v	rêver
PCT	.
?	est–ce
conj	que
pro:subj	vous
v:poss	avoir
det&SING	le/la
n	impression
conj	que
v:exist	c'est
PCT	.
adv:yn	oui
PCT	.
det&FEM&SING	la
n	réalité
PCT	?
adv:yn	oui
PCT	.
conj	ou
conj	que
pro:subj	vous
v	dormir
PCT	?
conj	ou
pro:subj	vous
v:mdl	savoir
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
PCT	?
PCT	.
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
pro:subj	on
v:mdl	savoir
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
PCT	.
conj	quand
pro:subj	tu
v	rêver
pro:subj	tu
v:mdl	savoir
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
PCT	?
PCT	.
co	ben
pro:y	il+y+en
v:aux	avoir
v:exist	il+y+a
det&PL	des
adj	intelligent
pro:subj&MASC	ils
v:mdl	savoir
PCT	.
conj	que
conj	quand
co	euh
conj	que
conj	quand
det&FEM&SING	la
n	nuit
pro:subj&MASC	ils
pro:subj&MASC	ils
pro:subj&MASC	ils
v	rêver
PCT	.
pro:subj&MASC	ils
v:mdl	savoir
conj	qu'
pro:subj&MASC	ils
v	rêver
PCT	.
conj	parce+que
pro:subj	tu
pro:refl	te
v	rappeler
prep	de
det&MASC&SING	un
n	rêve
pro&SING	toi
PCT	?
PCT	.
adv:yn	non
PCT	.
adv:yn	non
pro:subj	tu
pro:refl	te
pro:y	en
v	rappeler
adv:neg	pas
PCT	?
conj	quand
pro:subj	tu
v:poss	avoir
det&PL	des
n	cauchemar
PCT	.
conj	quand
pro:subj	vous
v:poss	avoir
det&PL	des
n	cauchemar
pro:dem	ça
pro:subj	tu
v:exist	être
adv	déjà
v-PP	arriver
adv	sûrement
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
pro:subj	tu
v:poss	avoir
n	peur
PCT	?
adv:yn	oui
PCT	.
adv:int	pourquoi
pro:subj	tu
v:poss	avoir
n	peur
conj	si
pro:subj	tu
v	croire
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
PCT	?
PCT	.
conj	ou
det&MASC&SING	un
n	cauchemar
PCT	.
adv:yn	ouais
conj	parce
conj	que
pro:subj	tu
v	croire
conj	que
v:exist	c'est
PCT	?
det&FEM&SING	la
n	réalité
PCT	.
adv:yn	oui
v:exist	c'est
prep	pour
pro:dem	ça
conj	quand
pro:subj	on
v	rêver
pro:subj	on
v	croire^v|croître
conj	qu'
pro:subj	on
v:exist	être
adv	vraiment
adv:place	dedans
co	hein
PCT	?
PCT	.
pro:subj	on
v:mdl	savoir
adv:neg	pas
conj	que
v:exist	c'est
det&MASC&SING	un
n	rêve
n:prop	Eflie
pro:subj&FEM	elle
v-PASS	dire^v|dire
conj	qu'
pro:subj&FEM	elle
pro:refl	se
v	réveiller
PCT	.
conj	et+puis
pro:subj&FEM	elle
pro:refl	se
pro:subj&FEM	elle
pro:refl	se
v-PASS	dire^v|dire
?	est–ce
conj	que
pro:subj	je
v	rêver
conj	ou
adv:neg	pas
PCT	?
co	hein
PCT	?
adv:int	comment
pro:subj&FEM	elle
v:mdllex	faire
prep	pour
v-INF	vérifier
conj	si
pro:subj&FEM	elle
co	euh
conj	si
pro:subj&FEM	elle
PCT	.
co	ben
pro:subj&FEM	elle
pro:refl	se
v	toucher
det&PL	les
n&PL	oeil
PCT	.
pro:subj&FEM	elle
pro:refl	se
v	toucher
det&PL	les
n&PL	oeil
co	hein
PCT	?
conj	et
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv:yn	oui
pro:subj	je
v:aux	avoir
adv	bien
det&PL	les
n&PL	oeil
v-PP	ouvrir
PCT	.
adv:yn	ouais
conj	donc
pro:subj	je
adv:neg	ne
v	rêver
adv:neg	plus
PCT	.
co	hum
PCT	.
conj	parce
conj	que
v:exist	c'est
adj	vrai
conj	que
det&PL	des
n	fo^n|fois
pro:subj	on
v:poss	avoir
det&MASC&SING	du
adj-MASC	mal
prep	à
v:mdllex-INF	faire
det&FEM&SING	la
n	différence
co	hein
PCT	?
pro&SING	moi
pro:subj	je
v:aux	avoir
?	,
pro:subj	je
v:exist&IMPF	être
prep	avec
n:prop	Charles
det&SING	le/la
adj	autre
n	jour
pro:subj	je
v:exist&IMPF	être
prep	dans
det:poss&FEM&SING	sa
n	chambre
PCT	.
conj	et
pro:subj&MASC	il
?	éteign–
pro:subj&MASC	il
v-IMPF	arrêter
adv:neg	pas
prep	de
v-INF	éteindre
det&FEM&SING	la
n	lumière
PCT	.
conj	et
pro:subj	nous
pro:subj	on
v&PASS	vivre^v|voir
prep	dans
det&FEM&SING	une
n	maison
v:exist	il+y+a
n	juste
adv:place	en+dessous
PCT	.
adj	juste
adv:place	là
pro:int	où
conj	qu'
pro:subj&MASC	il
pro:y	y
v:poss&IMPF	avoir
det&FEM&SING	la
n	maison
pro:subj&MASC	il
pro:y	y
v:poss&IMPF	avoir
det&MASC&SING	un
n	cimetière
PCT	.
adv:yn	ouais
PCT	.
conj	et
pro:subj&MASC	il
pro:y	y
v:poss&IMPF	avoir
n:prop	Charles
prep	sur
det:poss&MASC&SING	son
n	plafond
pro:subj&MASC	il
v-IMPF	entendre
PCT	.
pro:subj&MASC	il
v-IMPF	entendre
det&PL	des
n	truc
det&PL	des
n	gens
pro:rel	qui
v	marcher
PCT	.
pro:subj&MASC	il
v-PASS	dire^v|dire
pro:dem	ça
v:exist	c'est
det&PL	les
?	,
det&MASC&SING	le
n	monstre
?	,
n	monstre
conj	et
pro:subj&MASC	il
pro:refl	me
v:mdllex	faire
n	peur
PCT	.
v:exist&IMPF	c'est
adv:neg	pas
det&MASC&SING	un
n	rêve
pro:dem	ça
PCT	?
adv:yn	non
?	m–
conj	mais
adv:place	après
pro&SING	lui
pro:subj&MASC	il
?	m–
pro:subj&MASC	il
pro:refl	me
v	réveiller
conj	quand
pro:subj	je
v	dormir
pro&SING	lui
PCT	.
adv:yn	ouais
PCT	.
pro:subj&MASC	il
pro:refl	me
v:mdl	faire
pro:subj	tu
v:aux	avoir
v&PP-MASC	voir
pro:dem	ça
PCT	?
adv:yn	ouais
adv	bon
adv	et+puis
prep	après
n:prop	Elflie
pro:subj&FEM	elle
v	parler
prep	de
conj	que
prep	dans
det:poss&FEM&SING	sa
n	classe
PCT	.
det:gen&MASC	tous
det&PL	les
n	enfant
pro:subj&MASC	ils
v	dire
pro&SING	moi
conj	quand
pro:subj	je
v:exist&COND	être
adj	grand
pro:subj	je
v:mdl	vouloir
v:exist&INF	être
co	euh
prep	comme
pro	ci
PCT	.
?	***
PCT	.
conj	ou
pro:subj	je
v:mdl	vouloir
v:exist&INF	être
co	euh
PCT	.
pro:subj	je
v:mdl	vouloir
v:exist&INF	être
n	pilote
prep:art	de
n	avion
PCT	.
adv:yn	ouais
PCT	.
n	pilote
conj	et+puis
?	t–
PCT	.
adv:yn	ouais
PCT	.
co	ah
det&MASC&SING	le
n	docteur
?	***
PCT	.
adv:yn	ouais
PCT	.
pro:dem	ça
PCT	.
conj	et
pro:subj&FEM	elle
n:prop	Elfie
pro:subj&FEM	elle
v-PP	dire
pro:int	quoi
PCT	?
n:prop	Elfie
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
pro&SING	moi
pro:subj	je
adv:neg	ne
v:mdl&COND	vouloir
pro:subj	je
v:mdl	vouloir
v-INF	rester
prep	à
det:poss&MASC&SING	mon
n	âge
pro:subj	je
adv:neg	ne
v:mdl	vouloir
adv:neg	pas
v:exist&INF	être
?	quel–
PCT	.
pro:subj	je
adv:neg	ne
v:mdl	vouloir
adv:neg	pas
v:exist&INF	être
PCT	.
adj	grand
PCT	.
adj	grand
PCT	.
adv:yn	oui
adv:yn	oui
adv:yn	ouais
adv	enfin
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv:neg	pas
conj	qu'
pro:subj&FEM	elle
v:mdl	vouloir
adv:neg	pas
v:exist&INF	être
adj	grand
PCT	.
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv	que
pro:subj&FEM	elle
v:mdl	vouloir
pro:refl	se
v-INF	intéresser
PCT	.
pro:subj&FEM	elle
v:mdllex	vouloir
?	p–
prep	à
prep	à
PCT	.
prep:art	à
adv	aujourd'hui
conj	et
adv:neg	pas
prep	à
PCT	.
adv:yn	oui
PCT	.
n	demain
adv:yn	ouais
conj	et
conj	et
co	euh
pro:subj	vous
pro:subj	vous
pro:y	en
v	penser
pro:int	quoi
pro:subj	vous
PCT	?
pro:subj	vous
v:exist	être
adv	plutôt
prep	comme
PCT	.
co	ben
PCT	.
n:prop	Elfie
conj	ou
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
conj	ou
pro:subj	vous
v	penser
adv	plutôt
adv	toujours
prep	à
pro:int	ce+que
pro:subj	vous
PCT	?
PCT	.
prep	à
n:prop	Elfie
PCT	.
prep	comme
n:prop	Elfie
pro&SING	toi
PCT	?
adv:yn	ouais
pro:int	qui
pro&SING	moi
pro:subj	je
v:aux	avoir
v-PP	dire
pro:subj	je
adv	plus
adv	tard
PCT	.
?	peut–être
conj	que
pro:subj	je
v:mdllex-COND	faire
prep	de
det&SING	le/la
n	équitation
conj	ou
?	peut–être
conj	que
pro:subj	je
pro:refl	me
v-COND	occuper
det&PL	des
n-PL	cheval
PCT	.
adv	d'accord
conj	et
pro&SING	toi
pro:subj	tu
v:aux	avoir
adv	déjà
v-PP	penser
prep	à
pro:int	ce+que
pro:subj	tu
v:mdl&IMPF	vouloir
v:mdllex-INF	faire
adv	plus
adv	tard
PCT	?
PCT	.
adv:yn	non
PCT	.
pro:subj	tu
v:mdl	savoir
adv:neg	pas
PCT	?
conj	donc
pro:subj	tu
v:exist	être
prep	comme
n:prop	Elfie
pro&SING	toi
PCT	?
pro:subj	tu
v:exist	être
adv	bien
adv	maintenant
PCT	?
adv:yn	ouais
PCT	?
pro&SING	moi
conj	aussi
pro:subj	je
v:aux	être
adv	bien
adv	maintenant
conj	et
v:exist	c'est
prep	comme
det:poss&PL	mes
n	photo
prep:art	de
n	communion
PCT	.
v&PP-MASC	voir
conj	que
pro:subj	je
v:aux	avoir
v:mdllex-PP	faire
det:poss&SING	ma
n	communion
det&MASC&SING	le
adj	neuf
n	mai
conj	et
co	ben
PCT	.
pro:subj	je
pro:obj&PL	les
pro:subj	je
pro:obj&PL	les
v:aux	avoir
v:mdllex-PP	faire
conj	avec
co	euh
det&MASC&SING	un
n-SING	cheval
PCT	.
conj	et
co	euh
pro:subj	je
v:aux	avoir
pro:subj	je
v:exist&IMPF	être
adv	tout
adj-MASC	bien^adj|bien
n	dessus
PCT	.
co	hum
co	hum
PCT	.
conj	et
co	euh
adv:place	après
pro:subj	on
v:mdl&IMPF	devoir
v:poss&INF	avoir
v:mdllex-PP	faire
conj	et
pro&SING	moi
pro:subj	je
v:exist&IMPF	être
prep	à
n	genoux
adv:place	par+terre
prep:art	en
n	train
PCT	.
prep:art	de
?	***
det&FEM&SING	la
n	main
prep	comme
pro:dem	ça
PCT	.
conj	et
co	euh
pro:subj&FEM	elle
pro:refl	me
v:aux&IMPF	avoir
v-PP	pousser
conj	et
pro:subj	je
?	é–
conj	et
pro:subj	je
v:aux&IMPF	être
v-PP	tomber
PCT	.
co	ah
co	ben
?	dis–donc
det&MASC&SING	le
n	jour
prep	de
det:poss&FEM&SING	ta
n	communion
PCT	.
adv:yn	oui
PCT	.
v:exist	c'est
adv:neg	pas
adj	malin
PCT	.
adv:yn	oui
PCT	.
n	bon
conj	et
co	euh
pro:dem	ça
v:mdl	vouloir
v-INF	dire
pro:int	quoi
v:exist&INF	être
adj	grand
prep	pour
pro:subj	vous
PCT	?
v:exist	c'est
adv:int	quand
PCT	?
PCT	.
?	*
PCT	.
v:exist	c'est
prep	dans
n	longtemps
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
adv:int	quand
PCT	?
PCT	.
conj	quand
pro:subj	on
v	commencer
prep:art	à
n	avoir
co	euh
n	vingt
n	an
PCT	.
adv:yn	oui
PCT	.
adj:num	vingt
n	an
PCT	?
v:exist	c'est
adj	grand
pro:dem	ça
PCT	?
PCT	.
adv:yn	oui
PCT	.
co	ben
adv:yn	oui
PCT	.
co	ben
pro:subj	je
v:mdl	savoir
adv:neg	pas
pro:subj	je
pro:subj	vous
v	poser
det&FEM&SING	la
n	question
pro:dem	ça
v	dépendre
prep	de
pro:subj	vous
PCT	.
pro&SING	moi
det:poss&MASC&SING	mon
?	beau–frère
pro:subj&MASC	il
v:aux	avoir
?	vingt–et–un
n	an
pro:subj&MASC	il
pro:refl	se
v:aux	être
adv	déjà
v-PP	fiancer
prep	avec
det:poss&SING	ma
n	soeur
PCT	.
pro:int	qui
pro:refl	se
?	ap–
pro:rel	qui
pro:refl	se
v	appeler
n:prop	Aurore
PCT	.
adv:yn	ouais
PCT	.
conj	et
v:exist	c'est
det&FEM&SING	la
det:gen&FEM	toute
n-FEM	premie
conj	et
co	euh
co	hum
pro:subj&FEM	elle
pro:subj&FEM	elle
v:aux	avoir
?	dix–neuf
n	an
PCT	.
adv	d'accord
co	ben
pro:subj&FEM	elle
v:exist	être
n	jeune
adv	quand+même
PCT	?
co	hum
PCT	.
co	hein
PCT	?
prep	pour
pro:refl	se
v-INF	marier
PCT	.
co	hum
PCT	.
adv:yn	ouais
conj	et
conj	quand
pro:subj	vous
v:exist&FUT	être
n	grand
pro:subj	vous
v	penser
conj	que
pro:subj	vous
v:exist&FUT	être
