pro&MASC	un
adv	assez
prep:art	de
n	temps
conj	pour+que
pro:subj	vous
?	puissiez
pro:subj	vous
v-INF	souvenir
prep	de
det:poss	votre
n	rêve
PCT	.
pro:subj	vous
pro:subj	vous
v:mdl	pouvoir
pro:subj	vous
v-INF	réveiller
det&FEM&SING	la
n	nuit
PCT	.
pro:subj	vous
pro:subj	vous
pro:y	en
v	souvenir
conj	et
det&MASC&SING	le
n	lendemain
n	matin
PCT	.
pro:subj	vous
pro:subj	vous
pro:y	en
v	souvenir
adv	plus
pro:subj	tu
v:mdl	savoir
adv:int	pourquoi
pro:dem	ça
PCT	?
v:exist	c'est
adv	parce
conj	que
conj	quand
pro:subj	on
pro:subj	on
pro	même
conj	quand
pro:subj	vous
v	apprendre
det&FEM&SING	une
n	leçon
PCT	.
co	hum
PCT	.
pro:subj	vous
v	apprendre
det&FEM&SING	une
n	leçon
PCT	.
conj	et
co	ben
adv	si
pro:subj	vous
pro:obj&FEM&SING	la
v	lire
det&MASC&SING	un
n	coup
conj	et+puis
conj	qu'
prep	après
pro:subj	vous
v:mdllex	faire
adv	complètement^adv|complètement+
adj	autre
n	chose
PCT	.
pro:subj	on
v	oublier
PCT	.
co	eh
adv:yn	oui
PCT	.
co	eh
adv:yn	oui
PCT	.
conj	et
co	ben
v:exist	c'est
adj	pareil
prep	dans
det&MASC&SING	le
n	rêve
PCT	.
co	hein
PCT	?
v:exist	c'est
pro:subj	vous
v:aux	avoir
PCT	.
pro:subj	vous
v	rester
adv:neg	pas
adv	assez
adv	longtemps
v-PP	éveiller
conj	pour+que
det&MASC&SING	le
n	souvenir
prep	de
det:poss	votre
n	rêve
PCT	.
pro:subj&MASC	il
v	rester
prep	dans
det:poss	votre
n	tête
prep:art	jusqu'au
n	lendemain
n	matin
PCT	.
adv:yn	ouais
v:exist	c'est
v:exist	c'est
conj	alors
pro:dem	ça
v:exist	c'est
det&SING	le/la
n	histoire
det&MASC&SING	du
adj	petit
n	train
PCT	.
co	hein
PCT	?
det&MASC&SING	un
n	wagon
det&MASC&SING	un
n	sommeil
adv	profond
det&MASC&SING	un
n	wagon
co	euh
co	euh
adv:place	voilà
PCT	.
pro:dem&SING	ce/ces
?	ét–
adv	mais
prep:art	en
n	fait
v:exist	c'est
pro:dem	ça
adv	normalement
PCT	.
adv:place	voilà
conj	et
conj	quand
pro:subj	vous
v	rêver
PCT	.
pro:subj	vous
v:poss	avoir
det&SING	le/la
n	impression
conj	que
pro:subj	vous
v	rêver
PCT	.
conj	ou
conj	que
pro:subj	vous
conj	ou
conj	que
v:exist	c'est
det&FEM&SING	la
n	réalité
PCT	?
PCT	.
adv:int	quand
PCT	.
conj	mais
conj	quand
v:exist	il+y+a
det&FEM&SING	la
n	réalité
PCT	.
conj	quand
adv:yn	oui
v:exist	c'est
det&FEM&SING	la
n	réalité
PCT	.
adv:yn	ouais
pro:dem	ça
v:mdllex	faire
adj	drôle
co	hein
PCT	?
co	hein
conj	quand
pro:subj	on
v	rêver
PCT	?
?	*
PCT	.
adv:yn	oui
PCT	.
det&MASC&SING	un
n	jour
pro:subj	je
v:aux	avoir
v:mdllex-PP	faire
det&MASC&SING	un
n	rêve
adj	bizarre
PCT	.
pro:subj	je
pro:refl	me
v:aux	être
adj	dit
adv	quand
prep:art	avant+de
pro:refl	me
v-INF	coucher
PCT	.
pro:subj	je
v:mdl	aller
v:mdllex-INF	faire
det&MASC&SING	un
n	rêve
PCT	.
conj	et
prep	dans
det:poss&MASC&SING	mon
n	rêve
pro:subj	je
v:exist&IMPF	être
pro:subj	on
v:exist&IMPF	être
prep	à
det&SING	le/la
n	école
pro:subj	je
v:exist&IMPF	être
prep	sur
det&MASC&SING	le
n	banc
PCT	.
pro:subj	je
v:aux	avoir
v-PP	mettre
det&FEM&SING	la
n	tête
prep	sur
det:poss&PL	mes
n	bras
pro:subj	je
v:aux	avoir
v-PP	dire
det:gen&FEM	toute
n	façon
v:exist	c'est
conj	qu'
det&MASC&SING	un
n	rêve
PCT	.
adv:yn	ouais
adv:yn	ouais
PCT	.
v:exist	c'est
adj	bizarre
PCT	.
adv:yn	oui
adv:yn	oui
adv:yn	oui
PCT	.
prep:art	des
n	fo^n|fois
pro:subj	on
n	rêve
conj	qu'
pro:subj	on
v	rêver
PCT	.
?	***
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
v:poss	avoir
det&PL	des
adj	drôle
prep:art	de
n	rêve
prep	comme
pro:dem	ça
PCT	?
co	hum
PCT	.
det&PL	des
n	fo^n|fois
conj	mais
pro:subj	je
pro:refl	me
prep:art	en
?	sou–
PCT	.
conj	mais
co	euh
adv:yn	non
pro:dem	ça
pro:refl	me
v	arriver
adv:neg	pas
adv	trop
PCT	.
pro:dem	ça
pro:refl	te
v	arriver
adv:neg	pas
adv	trop
PCT	.
adv:yn	non
PCT	.
adv:yn	ouais
conj	donc
co	euh
conj	et
pro:subj&FEM	elle
pro:subj&FEM	elle
pro:refl	se
v	demander
PCT	.
conj	et
conj	et
adv:place	là
prep	par
n	exemple
v:exist	c'est
det&MASC&SING	un
n	rêve
conj	ou
adv:neg	pas
PCT	?
PCT	.
adv:yn	non
PCT	.
prep	en
det:dem&MASC&SING	ce
n	moment
PCT	.
adv:yn	non
PCT	.
adv:int	comment
pro:subj	vous
pro:obj&MASC&SING	le
v:mdl	savoir
PCT	?
PCT	.
co	ben
conj	parce
conj	qu'
pro:subj&FEM	elle
pro:obj&MASC&SING	le
v-PASS	dire^v|dire
PCT	.
adv:yn	non
conj	mais
adv:place	là
pro:subj	nous
adv	maintenant
PCT	.
adv:yn	non
v:exist	c'est
adv:neg	pas
adj	vrai
PCT	.
conj	et
adv:int	comment
pro:subj	tu
pro:obj&MASC&SING	le
v:mdl	savoir
PCT	?
co	ben
PCT	.
?	***
prep	dans
det&PL	les
n	rêve
v:exist	c'est
adv:neg	pas
v:exist	c'est
adj	différent
PCT	.
adv:yn	oui
pro:subj	tu
v	croire
PCT	?
adv:yn	oui
PCT	.
adv:yn	non
?	***
pro:subj	je
v:mdl	aller
pro:subj	vous
v-INF	rassurer
PCT	.
conj	et
prep	après
adv	alors
adv	justement
det&FEM&SING	la
adj-FEM	dernier
n	page
PCT	.
pro:dem&SING	ce/ces
?	ét–
?	*
co	euh
n:prop	Elfie
pro:subj&FEM	elle
adj	dit
adv	que
co	euh
det:gen&MASC	tous
det:poss&PL	ses
adj-MASC	autre^adj|autre
n	copain
PCT	.
pro:subj&MASC	ils
v	dire
pro&SING	moi
conj	quand
pro:subj	je
v:exist&FUT	être
adj	grand
PCT	.
pro:subj	je
v:mdl	vouloir
v:exist&INF	être
adv	ci
pro:subj	je
v:mdl	vouloir
v:exist&INF	être
pro:dem	ça
PCT	.
conj	et
pro:subj	vous
pro:subj	vous
v:mdl	savoir
adv	déjà
pro:rel	ce+que
pro:subj	vous
v:mdl	vouloir
v:mdllex-INF	faire
PCT	?
co	euh
adv	un+peu
PCT	.
pro:int	quoi
PCT	?
n	professeur
PCT	.
v:exist	c'est
adj	vrai
PCT	?
prep	de
PCT	.
adv:yn	oui
PCT	.
n	professeur
prep	de
pro	quelque+chose
conj	ou
co	euh
PCT	?
co	hum
pro:dem	ça
co	euh
pro:subj	je
v:mdl	savoir
adv:neg	pas
adv	trop
co	euh
pro	quelque+chose
PCT	.
adv	d'accord
PCT	.
conj	et
pro&SING	toi
PCT	?
co	hum
PCT	.
pro:subj	tu
v:mdl	savoir
adv:neg	pas
adv	encore
PCT	?
adv:yn	non
PCT	.
conj	et
n:prop	Elfie
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv	justement
n	pourquoi
?	sont–ils
n	si
n	pressé
prep	de
v:exist&INF	être
adj	grand
PCT	?
PCT	.
adv:yn	oui
conj	parce
conj	qu'
pro:subj	on
v&PASS	vivre^v|voir
det&MASC&SING	le
adj	présent
PCT	.
pro:subj	on
adv:neg	ne
v&PASS	vivre^v|voir
adv:neg	pas
det&MASC&SING	le
?	fi–
det&MASC&SING	le
n	futur
PCT	.
pro:dem&SING	ce/ces
adv:int	est+ce+que
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv:yn	ouais
PCT	.
pro:subj&FEM	elle
pro:subj&FEM	elle
v-PASS	dire^v|dire
conj	qu'
pro:subj&FEM	elle
v	préférer
v-INF	vivre
det&MASC&SING	le
adj	présent
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
prep	pour
v:mdllex&INF	pouvoir
v:mdllex&INF	savoir
PCT	.
adv:int	comment
v	fonctionner
det:poss&MASC&SING	son
n	corps
conj	et
det:poss&MASC&SING	son
n	esprit
conj	alors
adv:int	comment
pro:dem	ça
v	fonctionner
det:gen&MASC	tout
pro:dem	ça
PCT	?
co	hein
pro:subj	vous
pro:subj	vous
v:mdl	savoir
PCT	?
pro:subj	vous
v:poss	avoir
det&FEM&SING	une
n	idée
PCT	?
PCT	.
det&MASC&SING	du
n	corps
PCT	.
n	corps
conj	et
n	esprit
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
co	hum
PCT	.
v:exist	c'est
v-PP	compliquer
prep	à
det:poss	votre
n	avis
PCT	?
co	hum
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	.
adv:yn	oui
co	ben
adv:yn	oui
conj	parce
conj	que
adv	même
det&PL	les
n	médecin
pro:subj&MASC	ils
v:poss	avoir
det&MASC&SING	du
adj-MASC	mal
prep	à+savoir
n	comment
v	fonctionner
det&MASC&SING	le
n	corps
PCT	.
co	hein
PCT	?
conj	et
co	euh
conj	et
v:exist&INF	être
adj	grand
pro:dem	ça
v:mdl	vouloir
v-INF	dire
pro:int	quoi
prep	pour
pro:subj	vous
PCT	?
v:aux&INF	être
n	adulte
PCT	.
v:exist	c'est
n	adulte
adj	grand
PCT	?
co	hum
v:exist	c'est
conj	quand
pro:subj	on
PCT	.
conj	quand
pro:subj	on
v:exist	être
adv	bien
prep	dans
det:poss&MASC&SING	son
n	esprit
PCT	.
conj	quand
pro:subj	on
conj	quand
pro:subj	on
v:aux	avoir
v-PP	comprendre
adv:neg	plus
prep:art	de
n	chose
co	euh
PCT	.
adv:yn	ouais
PCT	.
conj	que
conj	quand
conj	quand
pro:subj	on
v-PASS	dire^v|dire
v:exist	il+y+a
det&PL	des
n	adulte
PCT	.
pro:subj&MASC	ils
v:exist	être
adj	petit
PCT	.
co	hum
PCT	.
pro:subj	tu
v:mdl	vouloir
v-INF	dire
co	euh
adv:place	par+là
adv	un+peu
adj	bête
PCT	?
PCT	.
adv:place	voilà
PCT	.
adv	d'accord
PCT	.
adv	donc
v:exist&INF	être
adj	grand
PCT	.
pro:dem	ça
v:mdl	vouloir
adv:neg	pas
v:exist	c'est
adv:neg	pas
det&MASC&SING	un
adj	certain
det&MASC&SING	un
n	âge
PCT	.
prep	pour
pro:subj	vous
PCT	?
co	hum
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	?
pro:dem	ça
v	dépendre
adv:neg	pas
prep	de
det&SING	le/la
n	âge
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
adv:yn	non
PCT	.
adv	enfin
conj	si
adv	un+peu
adv	quand+même
PCT	.
conj	mais
v:exist	c'est
adv:neg	pas
pro&MASC	tout
pro:subj	je
v	penser
PCT	.
adv:yn	ouais
conj	donc
pro:dem	ça
?	c–
pro&SING	toi
?	***
PCT	.
conj	quand
pro:subj	tu
v-PASS	dire^v|dire
pro:subj	tu
pro:refl	me
v:aux	avoir
v-PP	dire
v:exist	c'est
PCT	?
conj	quand
pro:int	quoi
conj	quand
pro:subj	on
v:mdllex	savoir
pro:int	ce+que
pro:subj	on
v:mdl	vouloir
PCT	?
conj	quand
conj	quand
pro:subj	on
v:exist	être
co	euh
co	hum
PCT	.
conj	quand
pro:subj	on
v:exist	être
co	euh
adj-MASC	bien^adj|bien
adv	en
det:poss&MASC&SING	son
n	esprit
conj	quand
pro:subj	on
conj	quand
pro:subj	on
v:mdl	savoir
PCT	.
adv	beaucoup
adv:neg	plus
prep:art	de
n	chose
conj	et
conj	qu'
pro:subj	on
conj	qu'
pro:subj	on
PCT	.
conj	quand
v:exist	c'est
co	euh
v-PP	réaliser
pro:rel	ce+qui
pro:refl	se
v	passer
det:gen&MASC	tout
pro:dem	ça
PCT	.
pro:rel	qu'
pro:subj	on
v	comprendre
PCT	.
adv:place	voilà
PCT	.
adv:yn	ouais
PCT	.
pro:subj	tu
v:exist	être
adv	d'accord
prep	avec
pro:int	ce+que
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
conj	donc
?	ou–
adv:yn	oui
PCT	.
pro:subj	vous
pro:subj	vous
v:exist	être
adv	déjà
adj	grand
conj	ou
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
co	hum
PCT	.
adv:yn	non
conj	et
prep	à
det:poss	votre
n	avis
pro:dem	ça
v-FUT	arriver
adv	quand
PCT	?
co	ben
conj	quand
pro:subj	on
v:exist&FUT	être
co	euh
PCT	.
conj	quand
?	***
PCT	.
adv:yn	ouais
adv	mais
adv	quand
PCT	?
conj	quand
pro:dem	ça
v-FUT	arriver
PCT	.
adv	d'accord
adv	bon
adv	ben
pro:subj	je
pro:subj	vous
v	remercier
PCT	.
det:gen&FEM	toutes
det&PL	les
n	deux
PCT	.
pro:subj	on
v:mdl	aller
pro:refl	se
v-INF	arrêter
adv:place	là
PCT	.
pro:subj	je
pro:subj	vous
v	remercier
co	hum
PCT	.
