depuis	ADV	depuis
à	PRP	à
toi	PRO:ton	toi
de	PRP	de
dire	VER:infi	dire
euh	INT	euh
ouais	FNO	ouais
euh	INT	euh
je	PRO:cls	je
se-	TRC	<unknown>
je	PRO:cls	je
rentrais	VER:impf	rentrer
de	PRP	de
cours	NOM	cours
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
trouvé	VER:pper	trouver
une	DET:ind	un
euh	INT	euh
lettre	NOM	lettre
m'	PRO:clo	me
étant	VER:ppre	être
destinée	VER:pper	destiner
euh	INT	euh
putain	INT	putain
/maisil/	MLT	<unknown>
faut	VER:pres	falloir
vraiment	ADV	vraiment
tout	PRO:ind	tout
dire	VER:infi	dire
tu	PRO:cls	tu
sais	VER:pres	savoir
et	KON	et
du	PRP:det	du
coup	NOM	coup
ouais	FNO	ouais
en	PRP	en
plus	ADV	plus
euh	INT	euh
il	PRO:clsi	il
nous	PRO:clo	nous
a	VER:pres	avoir
.	NAM	<unknown>
enfin	ADV	enfin
limite	NOM	limite
dans	PRP	dans
la	DET:def	le
contravention	NOM	contravention
j'	PRO:cls	je
ai	AUX:pres	avoir
raconté	VER:pper	raconter
m-	TRC	m-
tout	DET:pre	tout
mon	DET:pos	mon
aprem	NOM:trc	après-midi
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
limite	NOM	limite
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
j'	PRO:cls	je
/aiétais/	MLT	<unknown>
/été/	MLT	<unknown>
à	PRP	à
Intersport	NOM	<unknown>
nous	PRO:clo	nous
sommes	AUX:pres	être
allés	VER:pper	aller
à	PRP	à
Norauto	NOM	<unknown>
euh	INT	euh
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
j-	TRC	j-
j-	TRC	j-
j'	PRO:cls	je
ai	AUX:pres	avoir
dû	VER:pper	devoir
faire	VER:infi	faire
ça	PRO:ton	ça
et	KON	et
tout	PRO:ind	tout
l-	TRC	l-
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
mais	KON	mais
du	PRP:det	du
coup	NOM	coup
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
payé	VER:pper	payer
non	FNO	non
non	FNO	non
non	FNO	non
il	PRO:clsi	il
nous	PRO:clo	nous
a	AUX:pres	avoir
dit	VER:pper	dire
de	PRP	de
surtout	ADV	surtout
pas	ADV	pas
payer	VER:infi	payer
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
si	KON	si
si	KON	si
ça	PRO:cls	ça
recommence	VER:pres	recommencer
ouais	FNO	ouais
ca	NOM	<unknown>
fait	VER:pper	faire
genre	NOM	genre
ouais	FNO	ouais
si	KON	si
ça	PRO:cls	ça
recommence	VER:pres	recommencer
e-	TRC	e-
et	KON	et
que	KON	que
après	ADV	après
on	PRO:cls	on
on	PRO:cls	on
dit	VER:pres	dire
ouais	FNO	ouais
s-	TRC	s-
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
moi	PRO:ton	moi
et	KON	et
tout	PRO:ind	tout
ils	PRO:cls	il
font	VER:pres	faire
ouais	FNO	ouais
bah	INT	bah
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
as	AUX:pres	avoir
payé	VER:pper	payer
là	ADV	là
alors	ADV	alors
ouais	FNO	ouais
alors	ADV	alors
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
juste	ADV	juste
pour	PRP	pour
te	PRO:clo	te
débarrasser	VER:infi	débarrasser
du	PRP:det	du
truc	NOM	truc
à	PRP	à
la	DET:def	le
base	NOM	base
hum	FNO	hum
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
bah	INT	bah
oui	FNO	oui
ça	PRO:cls	ça
voulait	VER:impf	vouloir
pas	ADV	pas
forcément	ADV	forcément
dire	VER:infi	dire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
toi	PRO:ton	toi
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
oui	FNO	oui
après	ADV	après
euh	INT	euh
tu	PRO:cls	tu
aurais	AUX:cond	avoir
pu	VER:pper	pouvoir
dire	VER:infi	dire
euh	INT	euh
mais	KON	mais
euh	INT	euh
ouais	FNO	ouais
il	PRO:clsi	il
nous	PRO:clo	nous
a	AUX:pres	avoir
dit	VER:pper	dire
faut	VER:pres	falloir
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
dix-sept	NUM	@card@
euros	NOM	euro
euh	INT	euh
ouais	FNO	ouais
voilà	FNO	voilà
bah	INT	bah
mon	DET:pos	mon
père	NOM	père
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
de	PRP	de
payer	VER:infi	payer
qui	PRO:int	qui
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
problème	NOM	problème
me	PRO:clo	me
dérange	VER:pres	déranger
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
fait	NOM	fait
que	KON	que
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
autre	ADJ	autre
bah	INT	bah
surtout	ADV	surtout
si	KON	si
toi	PRO:ton	toi
tu	PRO:cls	tu
avais	VER:impf	avoir
pas	ADV	pas
é-	TRC	é-
enfin	ADV	enfin
si	KON	si
tu	PRO:cls	tu
avais	VER:impf	avoir
si	KON	si
tu	PRO:cls	tu
l'	PRO:clo	le
avais	AUX:impf	avoir
fait	VER:pper	faire
enfin	ADV	enfin
voilà	FNO	voilà
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
après	ADV	après
euh	INT	euh
ouais	FNO	ouais
putain	INT	putain
dans	PRP	dans
les	DET:def	le
Yvelines	NOM:sig	<unknown>
ouais	FNO	ouais
nan	NOM	<unknown>
mais	KON	mais
attends	VER:impe	attendre
le	PRO:clo	le
plus	ADV	plus
marrant	ADJ	marrant
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
dans	PRP	dans
son	DET:pos	son
bureau	NOM	bureau
au	PRP:det	au
mec	NOM	mec
là	ADV	là
et	KON	et
puis	KON	puis
et	KON	et
j-	TRC	j-
je	PRO:cls	je
voulais	VER:impf	vouloir
rigoler	VER:infi	rigoler
mais	KON	mais
un	DET:ind	un
truc	NOM	truc
de	PRP	de
ouf	NOM	ouf
tu	PRO:cls	tu
vois	VER:pres	voir
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
il	PRO:clsi	il
me	PRO:clo	me
sort	VER:pres	sortir
il	PRO:clsi	il
me	PRO:clo	me
sort	VER:pres	sortir
une	DET:ind	un
feuille	NOM	feuille
puis	KON	puis
il	PRO:clsi	il
me	PRO:clo	me
fait	VER:pres	faire
tiens	INT	tiens
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
toi	PRO:ton	toi
je	PRO:cls	je
dis	VER:pres	dire
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
et	KON	et
il	PRO:clsi	il
me	PRO:clo	me
fait	VER:pres	faire
ah	INT	ah
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
liste	NOM	liste
d'	PRP	un
adresses	NOM	adresse
d'	PRP	un
association	NOM	association
d'	PRP	un
aide	NOM	aide
aux	PRP:det	au
victimes	NOM	victime
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
vu	VER:pper	voir
le	DET:def	le
sketch	NOM	sketch
de	PRP	de
Mir-	TRC	<unknown>
Mister	NOM	<unknown>
.	NAM	<unknown>
nan	NOM	<unknown>
la	DET:def	le
police	NOM	police
nan	ADJ	<unknown>
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
dans	PRP	dans
son	DET:pos	son
sketch	NOM	sketch
il	PRO:cls	il
fait	VER:pres	faire
ouais	FNO	ouais
euh	INT	euh
euh	INT	euh
le	DET:def	le
problème	NOM	problème
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
quand	KON	quand
tu	PRO:cls	tu
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
au	PRP:det	au
commissariat	NOM	commissariat
euh	INT	euh
toi	PRO:ton	toi
tu	PRO:cls	tu
es	AUX:pres	être
toujours	ADV	toujours
appelé	VER:pper	appeler
la	DET:def	le
victime	NOM	victime
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
sais	VER:pres	savoir
après	ADV	après
tu	PRO:cls	tu
as	VER:pres	avoir
plein	ADV	plein
de	PRP	de
gens	NOM	gens
qui	PRO:rel	qui
le	PRO:clo	le
regardent	VER:pres	regarder
puis	KON	puis
qui	PRO:rel	qui
font	VER:pres	faire
victime	NOM	victime
victime	NOM	victime
victime	NOM	victime
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
je	PRO:cls	je
pensais	VER:impf	penser
trop	ADV	trop
à	PRP	à
ça	PRO:ton	ça
je	PRO:cls	je
voulais	VER:impf	vouloir
rigoler	VER:infi	rigoler
en	PRP	en
dessous	ADV	dessous
de	PRP	de
la	DET:def	le
feuille	NOM	feuille
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
euh	INT	euh
genre	NOM	genre
de	PRP	de
un	DET:ind	un
truc	NOM	truc
de	PRP	de
victime	NOM	victime
tu	PRO:cls	tu
sais	VER:pres	savoir
pour	PRP	pour
une	DET:ind	un
contravention	NOM	contravention
ouais	FNO	ouais
non	FNO	non
mais	KON	mais
inutile	ADJ	inutile
le	DET:def	le
truc	NOM	truc
pour	PRP	pour
une	DET:ind	un
contravention	NOM	contravention
et	KON	et
en	PRP	en
dessous	ADV	dessous
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
ah	INT	ah
là	ADV	là
là	ADV	là
ou	KON	ou
appelez	VER:impe	appeler
le	DET:def	le
zéro	NUM	@card@
huit	NUM	@card@
victime	NOM	victime
tu	PRO:cls	tu
vois	VER:pres	voir
whou	NOM	<unknown>
non	FNO	non
mais	KON	mais
zéro	NUM	@card@
huit	NUM	@card@
victime	NOM	victime
enfin	ADV	enfin
bref	INT	bref
et	KON	et
vu	VER:pper	voir
que	KON	que
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
fait	VER:pper	faire
rire	VER:infi	rire
mais	KON	mais
surtout	ADV	surtout
que	KON	que
mon	DET:pos	mon
père	NOM	père
il	PRO:clsi	il
me	PRO:clo	me
-il	PRO:clsi	il
f	VER:cond	<unknown>
il	PRO:clsi	il
m'	PRO:clo	me
a	VER:pres	avoir
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
niquée	VER:pper	niquer
limite	NOM	limite
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
fait	VER:pper	faire
ouais	FNO	ouais
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
drôle	ADJ	drôle
et	KON	et
tout	PRO:ind	tout
imagine	VER:impe	imaginer
euh	INT	euh
si	KON	si
euh	INT	euh
s'	KON	si
il	PRO:cls	il
arrive	VER:pres	arriver
autre	ADJ	autre
chose	NOM	chose
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
si	KON	si
il	PRO:cls	il
fait	VER:pres	faire
délit	NOM	délit
ouais	FNO	ouais
de	PRP	de
fuite	NOM	fuite
si	KON	si
il	PRO:cls	il
tue	VER:pres	tuer
quelqu'un	PRO:ind	quelqu'un
avec	PRP	avec
la	DET:def	le
voiture	NOM	voiture
et	KON	et
tout	PRO:ind	tout
machin	NOM	machin
non	FNO	non
mais	KON	mais
braquage	NOM	braquage
euh	INT	euh
ouais	FNO	ouais
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
est	VER:pres	être
dans	PRP	dans
la	DET:def	le
merde	NOM	merde
tu	PRO:cls	tu
vois	VER:pres	voir
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
que	KON	que
vous	PRO:cls	vous
l'	PRO:clo	le
ayez	VER:subp	avoir
dit	VER:pper	dire
comme	KON	comme
ça	PRO:ton	ça
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
que	KON	que
bah	INT	bah
oui	FNO	oui
si	KON	si
ça	PRO:cls	ça
arrive	VER:pres	arriver
euh	INT	euh
fallait	VER:impf	falloir
que	KON	que
ça	PRO:cls	ça
m'	PRO:clo	me
arrive	VER:pres	arriver
à	PRP	à
moi	PRO:ton	moi
tu	PRO:cls	tu
sais	VER:pres	savoir
du	DET:par	du
moins	ADV	moins
euh	INT	euh
ouais	FNO	ouais
mais	KON	mais
heureusement	ADV	heureusement
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
vous	PRO:cls	vous
vous	PRO:clo	vous
êtes	AUX:pres	être
pas	ADV	pas
dit	VER:pper	dire
euh	INT	euh
oui	FNO	oui
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
euh	INT	euh
on	PRO:cls	on
paye	VER:pres	payer
et	KON	et
puis	KON	puis
voilà	FNO	voilà
on	PRO:cls	on
paye	VER:pres	payer
et	KON	et
puis	KON	puis
voilà	FNO	voilà
ouais	FNO	ouais
bah	INT	bah
oui	FNO	oui
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
euh	INT	euh
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
que	KON	que
la	DET:def	le
semaine	NOM	semaine
d'	PRP	un
après	PRP	après
le	DET:def	le
gars	NOM	gars
il	PRO:cls	il
fait	VER:pres	faire
un	DET:ind	un
braquage	NOM	braquage
euh	INT	euh
ouais	FNO	ouais
ils	PRO:cls	il
vont	VER:pres	aller
te	PRO:clo	te
dire	VER:infi	dire
ouais	FNO	ouais
bah	INT	bah
pourquoi	PRO:int	pourquoi
la	DET:def	le
semaine	NOM	semaine
dernière	ADJ	dernier
vous	PRO:cls	vous
avez	AUX:pres	avoir
payé	VER:pper	payer
puisque	KON	puisque
c'	PRO:cls	ce
était	VER:impf	être
vous	PRO:ton	vous
bah	INT	bah
oui	FNO	oui
tu	PRO:cls	tu
vois	VER:pres	voir
alors	ADV	alors
que	KON	que
hum	FNO	hum
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
il	PRO:clsi	il
nous	PRO:clo	nous
a	VER:pres	avoir
surtout	ADV	surtout
pas	ADV	pas
dit	VER:pper	dire
de	PRP	de
payer	VER:infi	payer
tu	PRO:cls	tu
vois	VER:pres	voir
bah	INT	bah
ouais	FNO	ouais
normal	ADJ	normal
mais	KON	mais
le	DET:def	le
mec	NOM	mec
-il	PRO:clsi	il
i	VER:cond	<unknown>
est	VER:pres	être
con	ADJ	con
parce	TRC	parce
que	KON	que
euh	INT	euh
enfin	ADV	enfin
il	PRO:cls	il
sait	VER:pres	savoir
enfin	ADV	enfin
normalement	ADV	normalement
il	PRO:clsi	il
devrait	VER:cond	devoir
euh	INT	euh
si	KON	si
il	PRO:cls	il
a	AUX:pres	avoir
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
avait	VER:impf	avoir
une	DET:ind	un
contravention	NOM	contravention
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
aurait	AUX:cond	avoir
dû	VER:pper	devoir
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
jeter	VER:infi	jeter
ses	DET:pos	son
plaques	NOM	plaque
direct	ADJ	direct
tu	PRO:cls	tu
vois	VER:pres	voir
enfin	ADV	enfin
après	ADV	après
que	KON	que
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
les	PRO:clo	le
a	AUX:pres	avoir
gardées	VER:pper	garder
là	ADV	là
bah	INT	bah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
mais	KON	mais
normalement	ADV	normalement
là	ADV	là
il	PRO:clsi	il
devrait	VER:cond	devoir
les	PRO:clo	le
jeter	VER:infi	jeter
là	ADV	là
oui	FNO	oui
mais	KON	mais
peut-être	ADV	peut-être
qu'	KON	que
-il	PRO:clsi	il
i	VER:cond	<unknown>
savait	VER:impf	savoir
pas	ADV	pas
que	KON	que
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:cls	il
savait	VER:impf	savoir
pas	ADV	pas
que	KON	que
il	PRO:cls	il
avait	AUX:impf	avoir
eu	VER:pper	avoir
une	DET:ind	un
contravention	NOM	contravention
oui	FNO	oui
justement	ADV	justement
mais	KON	mais
si	KON	si
il	PRO:clsi	il
le	PRO:clo	le
sait	VER:pres	savoir
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
devrait	VER:cond	devoir
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
les	PRO:clo	le
jeter	VER:infi	jeter
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
sauf	PRP	sauf
que	KON	que
là	ADV	là
s'	KON	si
il	PRO:clsi	il
le	PRO:clo	le
sait	VER:pres	savoir
pas	ADV	pas
il	PRO:clsi	il
les	PRO:clo	le
garde	VER:pres	garder
et	KON	et
puis	KON	puis
mais	KON	mais
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
le	PRO:clo	le
sait	VER:pres	savoir
puisque	KON	puisque
s'	KON	si
il	PRO:clsi	il
le	PRO:clo	le
savait	VER:impf	savoir
il	PRO:cls	il
aurait	AUX:cond	avoir
eu	VER:pper	avoir
son	DET:pos	son
truc	NOM	truc
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:cls	il
aurait	AUX:cond	avoir
eu	VER:pper	avoir
le	DET:def	le
truc	NOM	truc
direct	ADJ	direct
alors	ADV	alors
que	KON	que
là	ADV	là
il	PRO:clsi	il
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
envoyé	VER:pper	envoyer
donc	ADV	donc
genre	NOM	genre
ils	PRO:cls	il
ont	VER:pres	avoir
ils	PRO:cls	il
avaient	AUX:impf	avoir
pas	ADV	pas
de	PRP	de
papier	NOM	papier
ils	PRO:cls	il
ont	AUX:pres	avoir
noté	VER:pper	noter
la	DET:def	le
plaque	NOM	plaque
ouais	FNO	ouais
ils	PRO:cls	il
ont	AUX:pres	avoir
recherché	VER:pper	rechercher
sur	PRP	sur
leur	DET:pos	leur
ordi	NOM:trc	ordinateur
la	DET:def	le
plaque	NOM	plaque
c'	PRO:cls	ce
est	AUX:pres	être
tombé	VER:pper	tomber
sur	PRP	sur
la	DET:def	le
tienne	PRO:pos	tien
ouais	FNO	ouais
j'	PRO:cls	je
avoue	VER:pres	avouer
parce	TRC	parce
que	KON	que
si	KON	si
sinon	ADV	sinon
ils	PRO:cls	il
ils	PRO:cls	il
lui	PRO:clo	lui
auraient	AUX:cond	avoir
mis	VER:pper	mettre
le	DET:def	le
papier	NOM	papier
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
hum	FNO	hum
comme	KON	comme
quand	KON	quand
tu	PRO:cls	tu
te	PRO:clo	te
gares	VER:pres	garer
à	PRP	à
Remiremont	NAM	<unknown>
et	KON	et
que	KON	que
ils	PRO:cls	il
te	PRO:clo	te
foutent	VER:subp	foutre
le	DET:def	le
papier	NOM	papier
dans	PRP	dans
le	DET:def	le
pare-brise	NOM	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
bizarre	ADJ	bizarre
ça	PRO:ton	ça
mais	KON	mais
quand	KON	quand
ça	PRO:cls	ça
se	PRO:clo	se
passe	VER:pres	passer
comme	KON	comme
ça	PRO:ton	ça
du	PRP:det	du
coup	NOM	coup
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
qui	PRO:rel	qui
doit	VER:pres	devoir
aller	VER:infi	aller
payer	VER:infi	payer
enfin	ADV	enfin
après	ADV	après
lui	PRO:ton	lui
s'	KON	si
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
payer	VER:infi	payer
il	PRO:clsi	il
s'	PRO:clo	se
en	PRO:clo	en
fout	VER:pres	foutre
vu	VER:pper	voir
que	KON	que
si	KON	si
après	ADV	après
ils	PRO:cls	il
te	PRO:clo	te
renvoient	VER:pres	renvoyer
un	DET:ind	un
truc	NOM	truc
euh	INT	euh
bah	INT	bah
oui	FNO	oui
eux	PRO:ton	eux
ils	PRO:cls	il
savent	VER:pres	savoir
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
pour	PRP	pour
le	DET:def	le
moment	NOM	moment
oui	FNO	oui
voilà	FNO	voilà
non	FNO	non
mais	KON	mais
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
là	ADV	là
elle	PRO:cls	elle
sera	VER:futu	être
pas	ADV	pas
payée	VER:pper	payer
oui	FNO	oui
bah	INT	bah
non	FNO	non
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
je	PRO:cls	je
compte	VER:pres	compter
pas	ADV	pas
payer	VER:infi	payer
j'	PRO:cls	je
ai	AUX:pres	avoir
tout	PRO:ind	tout
renvoyé	VER:pper	renvoyer
à	PRP	à
au	PRP:det	au
commissariat	NOM	commissariat
de	PRP	de
Ouilles	VER:pres	ouiller
là	ADV	là
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	INT	quoi
pour	PRP	pour
qu'	KON	que
ils	PRO:cls	il
soient	AUX:subp	être
au	PRP:det	au
courant	NOM	courant
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
ait	VER:subp	avoir
ouais	FNO	ouais
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
ait	VER:subp	avoir
une	DET:ind	un
doublette	NOM	doublette
euh	INT	euh
là-bas	ADV	là-bas
tu	PRO:cls	tu
vois	VER:pres	voir
bah	INT	bah
ils	PRO:cls	il
vont	VER:pres	aller
rechercher	VER:infi	rechercher
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
hein	INT	hein
bah	INT	bah
ouais	FNO	ouais
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
même	ADJ	même
modèle	NOM	modèle
de	PRP	de
voiture	NOM	voiture
et	KON	et
tout	PRO:ind	tout
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
Peugeot	NOM	<unknown>
mais	KON	mais
on	PRO:cls	on
s-	TRC	s-
on	PRO:cls	on
en	PRO:clo	en
sait	VER:pres	savoir
pas	ADV	pas
plus	ADV	plus
ah	INT	ah
modèle	NOM	modèle
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
mais	KON	mais
le	DET:def	le
mec	NOM	mec
il	PRO:cls	il
est	VER:pres	être
malin	ADJ	malin
quand	KON	quand
même	ADV	même
hein	INT	hein
bah	INT	bah
il	PRO:cls	il
faut	VER:pres	falloir
y	PRO:clo	y
aller	VER:infi	aller
pour	PRP	pour
faire	VER:infi	faire
euh	INT	euh
des	DET:ind	un
fausses	VER:pres	fausser
plaques	NOM	plaque
et	KON	et
tout	PRO:ind	tout
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
ils	PRO:cls	il
font	VER:pres	faire
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ils	PRO:cls	il
commandent	VER:pres	commander
sur	PRP	sur
Internet	NOM	Internet
et	KON	et
tout	PRO:ind	tout
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
mais	KON	mais
il	PRO:clsi	il
nous	PRO:clo	nous
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
gars	NOM	gars
qui	PRO:rel	qui
font	VER:pres	faire
ça	PRO:ton	ça
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
des	DET:ind	un
plaques	NOM	plaque
parfaites	ADJ	parfait
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	PRO:int	quoi
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
comment	PRO:int	comment
ils	PRO:cls	il
appellent	VER:pres	appeler
ça	PRO:ton	ça
mais	KON	mais
qu'	KON	que
en	PRP	en
gros	ADJ	gros
elles	PRO:cls	elle
sont	AUX:pres	être
parfaitement	ADV	parfaitement
imitées	VER:pper	imiter
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
et	KON	et
que	KON	que
.	NOM:sig	<unknown>
à	PRP	à
la	DET:def	le
première	ADJ	premier
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
que	KON	que
vue	NOM	vue
les	DET:def	le
flics	NOM	flic
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
pas	ADV	pas
voir	VER:infi	voir
c'	PRO:cls	ce
est	VER:pres	être
genre	NOM	genre
en	PRP	en
en	PRO:clo	en
poussant	VER:ppre	pousser
le	DET:def	le
truc	NOM	truc
en	PRP	en
en	PRO:clo	en
demandant	VER:ppre	demander
euh	INT	euh
la	DET:def	le
carte	NOM	carte
grise	ADJ	gris
en	PRP	en
demandant	VER:ppre	demander
euh	INT	euh
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
à	PRP	à
qui	PRO:rel	qui
appartient	VER:pres	appartenir
la	DET:def	le
voiture	NOM	voiture
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
sais	VER:pres	savoir
lui	PRO:ton	lui
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
a	VER:pres	avoir
mes	DET:pos	mon
plaques	NOM	plaque
mais	KON	mais
il	PRO:cls	il
sait	VER:pres	savoir
pas	ADV	pas
que	KON	que
ça	PRO:cls	ça
appartient	VER:pres	appartenir
à	PRP	à
moi	PRO:ton	moi
hum	FNO	hum
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
plaques	NOM	plaque
mais	KON	mais
il	PRO:cls	il
sait	VER:pres	savoir
pas	ADV	pas
à	PRP	à
qui	PRO:rel	qui
appartient	VER:pres	appartenir
la	DET:def	le
voiture	NOM	voiture
bah	INT	bah
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
il	PRO:cls	il
