a-	TRC	a-
voilà	FNO	voilà
y	PRO:clo	y
aller	VER:infi	aller
maintenant	ADV	maintenant
hum	FNO	hum
hum	FNO	hum
parce	TRC	parce
que	KON	que
je	PRO:cls	je
passe	VER:pres	passer
tous	DET:pre	tout
mes	DET:pos	mon
étés	NOM	été
là-bas	ADV	là-bas
donc	ADV	donc
euh	INT	euh
ça	PRO:cls	ça
coûte	VER:pres	coûter
des	DET:ind	un
sous	NOM	sou
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
intelligent	ADJ	intelligent
d'	PRP	un
aller	VER:infi	aller
habiter	VER:infi	habiter
à	PRP	à
montpellier	NOM	<unknown>
et	KON	et
tu	PRO:cls	tu
vois	VER:pres	voir
le	DET:def	le
tu	PRO:cls	tu
vas	VER:pres	aller
toujours	ADV	toujours
rester	VER:infi	rester
là-bas	ADV	là-bas
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
de	PRP	de
la	DET:def	le
famille	NOM	famille
là-bas	ADV	là-bas
donc	ADV	donc
euh	INT	euh
ouais	FNO	ouais
mais	KON	mais
après	ADV	après
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
habiter	VER:infi	habiter
à	PRP	à
montpellier	NOM	<unknown>
tu	PRO:cls	tu
vas	VER:pres	aller
vouloir	VER:infi	vouloir
partir	VER:infi	partir
ailleurs	ADV	ailleurs
en	PRP	en
Espagne	NAM	<unknown>
euh	INT	euh
bah	INT	bah
j'	PRO:cls	je
irais	VER:cond	aller
en	PRP	en
Corse	NOM	corse
bah	INT	bah
voilà	FNO	voilà
bah	INT	bah
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
moins	ADV	moins
loin	ADV	loin
déjà	ADV	déjà
donc	ADV	donc
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
voilà	FNO	voilà
mais	KON	mais
ça	PRO:ton	ça
ça	PRO:cls	ça
coûtera	VER:futu	coûter
moins	ADV	moins
d'	PRP	un
essence	NOM	essence
tu	PRO:cls	tu
vois	VER:pres	voir
bah	INT	bah
oui	FNO	oui
tu	PRO:cls	tu
as	VER:pres	avoir
une	DET:ind	un
heure	NOM	heure
bah	INT	bah
oui	FNO	oui
une	DET:ind	un
heure	NOM	heure
et	KON	et
puis	KON	puis
¤T¤	NAM	¤T¤
voilà	FNO	voilà
euh	INT	euh
montpellier	NOM	<unknown>
espagne	NOM	<unknown>
tu	PRO:cls	tu
dis	VER:pres	dire
ouais	FNO	ouais
ouais	FNO	ouais
ça	PRO:cls	ça
se	PRO:clo	se
trouve	VER:pres	trouver
pas	ADV	pas
loin	ADV	loin
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
hum	FNO	hum
mon	DET:pos	mon
tonton	NOM	tonton
il	PRO:cls	il
va	VER:pres	aller
faire	VER:infi	faire
ses	DET:pos	son
courses	NOM	course
là-bas	ADV	là-bas
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
genre	NOM	genre
il	PRO:cls	il
achète	VER:pres	acheter
des	DET:ind	un
cigarettes	NOM	cigarette
il	PRO:cls	il
achète	VER:pres	acheter
des	DET:ind	un
cigarettes	NOM	cigarette
ouais	FNO	ouais
des	DET:ind	un
cigarettes	NOM	cigarette
des	PRP:det	du
gels	NOM	gel
douche	NOM	douche
genre	NOM	genre
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
gros	ADJ	gros
¤S¤	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
des	DET:ind	un
énormes	ADJ	énorme
¤S¤	NAM	<unknown>
à	PRP	à
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
deux	NUM	@card@
euros	NOM	euro
quoi	INT	quoi
alors	ADV	alors
que	KON	que
le	DET:def	le
¤S¤	NAM	<unknown>
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
hyper	ADV	hyper
cher	ADJ	cher
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
beaucoup	ADV	beaucoup
de	PRP	de
gens	NOM	gens
maintenant	ADV	maintenant
qui	PRO:rel	qui
vont	VER:pres	aller
aux	PRP:det	au
frontières	NOM	frontière
ouais	FNO	ouais
aux	PRP:det	au
per-	TRC	per-
bah	INT	bah
en	PRP	en
allemagne	NOM	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
le	DET:def	le
nom	NOM	nom
ah	INT	ah
oui	FNO	oui
le	DET:def	le
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
euh	INT	euh
Pertur-	TRC	<unknown>
le	DET:def	le
Pertus	NOM	<unknown>
Pertus	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
trucs	NOM	truc
moins	ADV	moins
cher	ADJ	cher
là-bas	ADV	là-bas
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
des	DET:ind	un
grandes	ADJ	grand
surfaces	NOM	surface
euh	INT	euh
ouais	FNO	ouais
mon	DET:pos	mon
père	NOM	père
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
le	DET:def	le
tunnel	NOM	tunnel
du	PRP:det	du
Pertus	NOM	<unknown>
il	PRO:clsi	il
l'	PRO:clo	le
a	AUX:pres	avoir
construit	VER:pper	construire
oh	INT	oh
il	PRO:cls	il
a	AUX:pres	avoir
mis	VER:pper	mettre
sa	DET:pos	son
patte	NOM	patte
alors	ADV	alors
absolument	ADV	absolument
et	KON	et
le	DET:def	le
pont	NOM	pont
de	PRP	de
Millau	NOM	<unknown>
si	KON	si
xxx	NOM	<unknown>
le	DET:def	le
pont	NOM	pont
de	PRP	de
Millau	NOM	<unknown>
plein	ADV	plein
de	PRP	de
fois	NOM	fois
aussi	ADV	aussi
hein	INT	hein
ah	INT	ah
ouais	FNO	ouais
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
beau	ADJ	beau
le	DET:def	le
pont	NOM	pont
de	PRP	de
Millau	NOM	<unknown>
s'	KON	si
il	PRO:cls	il
tombe	VER:pres	tomber
ce	PRO:cls	ce
sera	VER:futu	être
de	PRP	de
sa	DET:pos	son
faute	NOM	faute
hein	INT	hein
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
viaduc	NOM	viaduc
oui	FNO	oui
le	DET:def	le
viaduc	NOM	viaduc
de	PRP	de
millau	NOM	<unknown>
et	KON	et
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
qu'	KON	que
on	PRO:cls	on
ne	ADV	ne
peut	VER:pres	pouvoir
même	ADV	même
pas	ADV	pas
s'	PRO:clo	se
arrêter	VER:infi	arrêter
dessus	ADV	dessus
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
admirer	VER:infi	admirer
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
le	DET:def	le
paysage	NOM	paysage
je	PRO:cls	je
suis	AUX:pres	être
dégouté	VER:pper	<unknown>
et	KON	et
ça	PRO:cls	ça
coûte	VER:pres	coûter
des	DET:ind	un
sous	NOM	sou
en	PRP	en
plus	ADV	plus
de	PRP	de
le	PRO:clo	le
prendre	VER:infi	prendre
bah	INT	bah
oui	FNO	oui
ouais	FNO	ouais
mais	KON	mais
il	PRO:cls	il
n'	ADV	ne
y	PRO:clo	y
a	VER:pres	avoir
plus	ADV	plus
il	PRO:cls	il
n'	ADV	ne
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
un	DET:ind	un
passage	NOM	passage
xxx	NOM	<unknown>
ça	PRO:cls	ça
rapporte	VER:pres	rapporter
des	DET:ind	un
sous	NOM	sou
à	PRP	à
mon	DET:pos	mon
père	NOM	père
xxx	NOM	<unknown>
mon	DET:pos	mon
père	NOM	père
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
actions	NOM	action
dessus	ADV	dessus
j'	PRO:cls	je
adore	VER:pres	adorer
¤Pren¤	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tout	PRO:ind	tout
qui	PRO:rel	qui
coûte	VER:pres	coûter
des	DET:ind	un
sous	NOM	sou
bah	INT	bah
oui	FNO	oui
tout	PRO:ind	tout
coûte	VER:pres	coûter
des	DET:ind	un
sous	NOM	sou
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
même	ADV	même
pas	ADV	pas
un	DET:ind	un
xxx	NOM	<unknown>
non	FNO	non
mais	KON	mais
prendre	VER:infi	prendre
un	DET:ind	un
viaduc	NOM	viaduc
quoi	INT	quoi
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
chiant	ADJ	chiant
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
les	DET:def	le
photos	NOM:trc	photographie
de	PRP	de
quand	KON	quand
il	PRO:clsi	il
se	PRO:clo	se
construit	VER:pres	construire
hein	INT	hein
ah	INT	ah
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
mis	VER:pper	mettre
combien	PRO:int	combien
de	PRP	de
temps	NOM	temps
à	PRP	à
le	PRO:clo	le
faire	VER:infi	faire
longtemps	ADV	longtemps
bah	INT	bah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ouais	FNO	ouais
longtemps	ADV	longtemps
bah	INT	bah
va	VER:pres	aller
sur	PRP	sur
Wikipédia	NAM	<unknown>
peut	VER:pres	pouvoir
être	VER:infi	être
que	KON	que
c'	PRO:cls	ce
est	AUX:pres	être
marqué	VER:pper	marquer
sûrement	ADV	sûrement
non	FNO	non
mais	KON	mais
il	PRO:cls	il
beau	ADJ	beau
aussi	ADV	aussi
ouais	FNO	ouais
ouais	FNO	ouais
ah	INT	ah
je	PRO:cls	je
crois	VER:pres	croire
que	KON	que
mes	DET:pos	mon
beaux-parents	NOM	<unknown>
ils	PRO:cls	il
l'	PRO:clo	le
avaient	AUX:impf	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
pour	PRP	pour
rentrer	VER:infi	rentrer
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
rentrer	VER:infi	rentrer
euh	INT	euh
par	PRP	par
l'	DET:def	le
autoroute	NOM	autoroute
ils	PRO:cls	il
ont	AUX:pres	avoir
pris	VER:pper	prendre
le	DET:def	le
pont	NOM	pont
ouais	FNO	ouais
oh	INT	oh
oh	INT	oh
roh	NOM	<unknown>
pardon	FNO	pardon
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
possible	ADJ	possible
hein	INT	hein
je	PRO:cls	je
répètais	VER:impf	<unknown>
juste	ADV	juste
la	DET:def	le
question	NOM	question
enfin	ADV	enfin
oui	FNO	oui
je	PRO:cls	je
répétais	VER:impf	répéter
les	DET:def	le
mots	NOM	mot
parce	TRC	parce
que	KON	que
je	PRO:cls	je
n'	ADV	ne
avais	AUX:impf	avoir
pas	ADV	pas
bien	ADV	bien
compris	VER:pper	comprendre
oui	FNO	oui
que	KON	que
d'	PRP	un
ambiguité	NOM	<unknown>
oui	FNO	oui
on	PRO:cls	on
te	PRO:clo	te
croit	VER:pres	croire
mais	KON	mais
elle	PRO:cls	elle
insinue	VER:pres	insinuer
toujours	ADV	toujours
des	DET:ind	un
choses	NOM	chose
bizarres	ADJ	bizarre
euh	INT	euh
oh	INT	oh
my	ETR	my
god	NOM	<unknown>
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
bizarre	ADJ	bizarre
sûrement	ADV	sûrement
ouais	FNO	ouais
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
ça	PRO:cls	ça
m'	PRO:clo	me
atteint	VER:pres	atteindre
ouais	FNO	ouais
le	DET:def	le
cerveau	NOM	cerveau
xxx	NOM	<unknown>
mais	KON	mais
tu	PRO:cls	tu
ne	ADV	ne
te	PRO:clo	te
rappelles	VER:pres	rappeler
pas	ADV	pas
de	PRP	de
la	DET:def	le
semaine	NOM	semaine
dernière	ADJ	dernier
quand	KON	quand
on	PRO:cls	on
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
écrit	VER:pper	écrire
xxx	NOM	<unknown>
moi	PRO:ton	moi
qui	PRO:rel	qui
croyais	VER:impf	croire
qu'	KON	que
elle	PRO:cls	elle
l'	PRO:clo	le
avait	AUX:impf	avoir
pas	ADV	pas
déconcentré	VER:pper	déconcentrer
j'	PRO:cls	je
ai	AUX:pres	avoir
écrit	VER:pper	écrire
déconseillé	VER:pper	déconseiller
ah	INT	ah
j'	PRO:cls	je
arrive	VER:pres	arriver
plus	ADV	plus
à	PRP	à
écrire	VER:infi	écrire
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
non	FNO	non
non	FNO	non
oui	FNO	oui
moi	PRO:ton	moi
aussi	ADV	aussi
pas	ADV	pas
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
oui	FNO	oui
tu	PRO:cls	tu
as	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
message	NOM	message
tout	ADV	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
oui	FNO	oui
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
bien	ADV	bien
entendu	VER:pper	entendre
en	PRP	en
cours	NOM	cours
euh	INT	euh
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
était	VER:impf	être
toi	PRO:ton	toi
le	DET:def	le
message	NOM	message
en	PRP	en
plus	ADV	plus
juste	ADV	juste
avant	ADV	avant
elle	PRO:cls	elle
avait	AUX:impf	avoir
dit	VER:pper	dire
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
la	DET:def	le
fille	NOM	fille
de	PRP	de
devant	NOM	devant
elle	PRO:cls	elle
l'	PRO:clo	le
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
elle	PRO:cls	elle
avait	AUX:impf	avoir
dit	VER:pper	dire
ça	PRO:ton	ça
oui	FNO	oui
pour	PRP	pour
moi	PRO:ton	moi
parce	TRC	parce
que	KON	que
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
calé	VER:pper	caler
en	PRP	en
train	NOM	train
de	PRP	de
mais	KON	mais
la	DET:def	le
fille	NOM	fille
là	ADV	là
abusé	VER:pper	abuser
euh	INT	euh
moi	PRO:ton	moi
je	PRO:cls	je
suis	AUX:pres	être
énervée	VER:pper	énerver
oui	FNO	oui
ça	PRO:cls	ça
se	PRO:clo	se
fait	VER:pres	faire
pas	ADV	pas
j'	PRO:cls	je
espère	VER:pres	espérer
que	KON	que
tu	PRO:cls	tu
ne	ADV	ne
vas	VER:pres	aller
pas	ADV	pas
transcrire	VER:infi	transcrire
ça	PRO:ton	ça
parce	TRC	parce
que	KON	que
la	DET:def	le
fille	NOM	fille
ouais	FNO	ouais
non	FNO	non
bah	INT	bah
oui	FNO	oui
euh	INT	euh
tu	PRO:cls	tu
couperas	VER:futu	couper
bah	INT	bah
je	PRO:cls	je
le	PRO:clo	le
couperai	VER:futu	couper
pour	PRP	pour
celui-là	PRO:dem	celui-là
mais	KON	mais
je	PRO:cls	je
le	PRO:clo	le
garderai	VER:futu	garder
pour	PRP	pour
euh	INT	euh
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
une	DET:ind	un
copie	NOM	copie
du	PRP:det	du
bah	INT	bah
je	PRO:cls	je
peux	VER:pres	pouvoir
le	PRO:clo	le
garder	VER:infi	garder
pour	PRP	pour
l'	DET:def	le
autre	ADJ	autre
bah	INT	bah
oui	FNO	oui
mais	KON	mais
tu	PRO:cls	tu
vas	VER:pres	aller
couper	VER:infi	couper
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
vient	VER:pres	venir
de	PRP	de
dire	VER:infi	dire
alors	ADV	alors
là	ADV	là
bah	INT	bah
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
bah	INT	bah
alors	ADV	alors
il	PRO:cls	il
faut	VER:pres	falloir
qu'	KON	que
on	PRO:cls	on
ré-enchaîne	VER:subp	<unknown>
alors	ADV	alors
oui	FNO	oui
la	DET:def	le
fille	NOM	fille
euh	INT	euh
oui	FNO	oui
bah	INT	bah
bref	INT	bref
euh	INT	euh
ça	PRO:cls	ça
ne	ADV	ne
se	PRO:clo	se
fait	VER:pres	faire
pas	ADV	pas
de	PRP	de
dire	VER:infi	dire
ça	PRO:ton	ça
quoi	INT	quoi
oui	FNO	oui
absolument	ADV	absolument
oui	FNO	oui
mais	KON	mais
elle	PRO:cls	elle
est	VER:pres	être
bizarre	ADJ	bizarre
comme	KON	comme
tous	DET:pre	tout
les	DET:def	le
gens	NOM	gens
de	PRP	de
la	DET:def	le
promo	NOM:trc	promotion
oui	FNO	oui
mais	KON	mais
ça	PRO:cls	ça
se	PRO:clo	se
fait	VER:pres	faire
pas	ADV	pas
de	PRP	de
mais	KON	mais
je	PRO:cls	je
te	PRO:clo	te
remercie	VER:pres	remercier
je	PRO:cls	je
rigole	VER:pres	rigoler
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
chapeau	NOM	chapeau
ou	KON	ou
le	DET:def	le
bonnet	NOM	bonnet
qui	PRO:rel	qui
vous	PRO:clo	vous
dérange	VER:pres	déranger
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
te	PRO:clo	te
l'	PRO:clo	le
enlever	VER:infi	enlever
mais	KON	mais
non	FNO	non
pas	ADV	pas
touche	VER:pres	toucher
tirer	VER:infi	tirer
sur	PRP	sur
les	DET:def	le
oreilles	NOM	oreille
un	DET:ind	un
.	NOM:sig	<unknown>
que	KON	que
je	PRO:cls	je
ne	ADV	ne
vous	PRO:cls	vous
autorise	VER:pres	autoriser
pas	ADV	pas
ou	KON	ou
euh	INT	euh
mais	KON	mais
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
fait	VER:pres	faire
un	DET:ind	un
clin	NOM	clin
d'	PRP	un
oeil	NOM	oeil
vous	PRO:cls	vous
avez	AUX:pres	avoir
vu	VER:pper	voir
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
les	DET:def	le
gendarmes	NOM	gendarme
oh	INT	oh
c'	PRO:cls	ce
était	VER:impf	être
quoi	PRO:int	quoi
ce	DET:dem	ce
bruit	NOM	bruit
mais	KON	mais
elle	PRO:cls	elle
ve-	TRC	<unknown>
elle	PRO:cls	elle
veut	VER:pres	vouloir
me	PRO:clo	me
toucher	VER:infi	toucher
non	FNO	non
mais	KON	mais
là	ADV	là
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
pourquoi	PRO:int	pourquoi
ça	PRO:cls	ça
me	PRO:clo	me
pertube	VER:pres	<unknown>
regarde	VER:impe	regarder
au	PRP:det	au
secours	NOM	secours
quoi	INT	quoi
mais	KON	mais
mais	KON	mais
voilà	FNO	voilà
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
bon	ADJ	bon
mais	KON	mais
avant	ADV	avant
c'	PRO:cls	ce
était	AUX:impf	être
mis	VER:pper	mettre
comme	KON	comme
ça	PRO:ton	ça
mais	KON	mais
il	PRO:clsi	il
t'	PRO:clo	te
embête	VER:pres	embêter
mon	DET:pos	mon
bonnet	NOM	bonnet
hein	INT	hein
non	FNO	non
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
aime	VER:pres	aimer
bien	ADV	bien
bah	INT	bah
oui	FNO	oui
moi	PRO:ton	moi
aussi	ADV	aussi
il	PRO:cls	il
est	AUX:pres	être
coloré	VER:pper	colorer
euh	INT	euh
il	PRO:cls	il
est	AUX:pres	être
coloré	VER:pper	colorer
il	PRO:cls	il
est	VER:pres	être
flashy	ADJ	<unknown>
voilà	FNO	voilà
absolument	ADV	absolument
xxx	NOM	<unknown>
voilà	FNO	voilà
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
disais	VER:impf	dire
la	DET:def	le
dernière	ADJ	dernier
fois	NOM	fois
imagine	VER:impe	imaginer
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
accident	NOM	accident
je	PRO:cls	je
conduis	VER:pres	conduire
avec	PRP	avec
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
accident	NOM	accident
les	DET:def	le
pompiers	NOM	pompier
me	PRO:clo	me
retrouvent	VER:pres	retrouver
avec	PRP	avec
ça	PRO:ton	ça
sur	PRP	sur
la	DET:def	le
tête	NOM	tête
han	ADJ	<unknown>
bah	INT	bah
tiens	INT	tiens
bah	INT	bah
au	PRP:det	au
moins	ADV	moins
si	KON	si
tu	PRO:cls	tu
es	AUX:pres	être
défigurée	VER:pper	défigurer
que	KON	que
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
grave	ADJ	grave
accident	NOM	accident
oh	INT	oh
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
horrible	ADJ	horrible
tu	PRO:cls	tu
es	VER:pres	être
méchante	ADJ	méchant
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
là	ADV	là
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
pourquoi	PRO:int	pourquoi
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
force	NOM	force
de	PRP	de
regarder	VER:infi	regarder
Esprits	NOM	esprit
Criminels	ADJ	criminel
alors	ADV	alors
elle	PRO:ton	elle
elle	PRO:cls	elle
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
je	PRO:cls	je
regarde	VER:pres	regarder
les	DET:def	le
Experts	NOM	expert
et	KON	et
les	DET:def	le
ri-	NOM	<unknown>
quoi	INT	quoi
tu	PRO:cls	tu
as	AUX:pres	avoir
dit	VER:pper	dire
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
force	NOM	force
de	PRP	de
regarder	VER:infi	regarder
des	DET:ind	un
films	NOM	film
comme	KON	comme
ça	PRO:ton	ça
eh	INT	eh
mais	KON	mais
ça	PRO:ton	ça
hein	INT	hein
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
Horacio	NOM	<unknown>
xxx	NOM	<unknown>
je	PRO:cls	je
fais	VER:pres	faire
des	DET:ind	un
cauchemards	NOM	<unknown>
des	PRP:det	du
fois	NOM	fois
quand	KON	quand
je	PRO:cls	je
le	PRO:clo	le
regarde	VER:pres	regarder
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
préféré	ADJ	préféré
lui	PRO:ton	lui
Horacio	NOM	<unknown>
oui	FNO	oui
et	KON	et
aussi	ADV	aussi
euh	INT	euh
Shema	NOM	<unknown>
Shema	NOM	<unknown>
Moore	NOM	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
laquelle	PRO:int	lequel
dans	PRP	dans
Esprits	NOM	esprit
criminels	ADJ	criminel
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
métisse	ADJ	métis
ah	INT	ah
ah	INT	ah
je	PRO:cls	je
le	PRO:clo	le
trouve	VER:pres	trouver
pas	ADV	pas
mal	ADV	mal
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
trop	ADV	trop
beau	ADJ	beau
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
plus	ADV	plus
faut	VER:pres	falloir
que	KON	que
oui	FNO	oui
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
re	VER:futu	<unknown>
regarde	VER:impe	regarder
chez	PRP	chez
moi	PRO:ton	moi
ouais	FNO	ouais
attends	VER:impe	attendre
parce	TRC	parce
que	KON	que
xxx	NOM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
regarde	VER:pres	regarder
je	PRO:cls	je
regarde	VER:pres	regarder
pas	ADV	pas
le	DET:def	le
titre	NOM	titre
je	PRO:cls	je
regarde	VER:pres	regarder
enfin	ADV	enfin
moi	PRO:ton	moi
aussi	ADV	aussi
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
ouais	FNO	ouais
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
pas	ADV	pas
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
le	DET:def	le
comment	PRO:int	comment
mais	KON	mais
attends	VER:impe	attendre
je	PRO:cls	je
me	PRO:clo	me
fais	VER:pres	faire
il	PRO:clsi	il
est	VER:pres	être
pas	ADV	pas
mal	ADV	mal
hein	INT	hein
dans	PRP	dans
les	DET:def	le
experts	NOM	expert
hum	FNO	hum
ouais	FNO	ouais
oui	FNO	oui
Horacio	NOM	<unknown>
non	FNO	non
non	FNO	non
Horacio	NOM	<unknown>
kane	ADJ	<unknown>
non	FNO	non
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
roux	ADJ	roux
lui	PRO:ton	lui
ouais	FNO	ouais
ah	INT	ah
oui	FNO	oui
ce	PRO:cls	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
Horacio	NOM	<unknown>
Dalmaso	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Horacio	NOM	<unknown>
Kane	NAM	<unknown>
hum	FNO	hum
pourquoi	PRO:int	pourquoi
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
dal-	NOM	<unknown>
Dalmaso	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
ça	PRO:ton	ça
ça	PRO:cls	ça
en	PRO:clo	en
est	VER:pres	être
un	DET:ind	un
autre	ADJ	autre
ça	PRO:cls	ça
le	PRO:clo	le
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:cls	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
rital	NOM	rital
un	DET:ind	un
peu	NOM	peu
là	ADV	là
et	KON	et
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
il	PRO:clsi	il
me	PRO:clo	me
semble	VER:pres	sembler
bien	ADV	bien
le	DET:def	le
rital	ADJ	rital
miami	NOM	<unknown>
hum	FNO	hum
voilà	FNO	voilà
les	DET:def	le
experts	NOM	expert
les	DET:def	le
esperts	NOM	<unknown>
à	PRP	à
miami	NOM	<unknown>
bah	INT	bah
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
machin	NOM	machin
dé-	TRC	dé-
mh	FNO	mh
mh	FNO	mh
mh	FNO	mh
ah	INT	ah
euh	INT	euh
machin	NOM	machin
Delmaso	NAM	<unknown>
truc	NOM	truc
Delmaso	NAM	<unknown>
hum	FNO	hum
euh	INT	euh
exactement	ADV	exactement
ah	INT	ah
oui	FNO	oui
l'	DET:def	le
autre	ADJ	autre
là	ADV	là
euh	INT	euh
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
