donc	ADV	donc
ben	INT	ben
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
mal	NOM	mal
à	PRP	à
/les	NOM	<unknown>
la/	ADV	<unknown>
gérer	VER:infi	gérer
quand	KON	quand
même	ADV	même
celles-là	NOM	<unknown>
hein	INT	hein
celles-là	NOM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
mais	KON	mais
avant	ADV	avant
on	PRO:cls	on
avait	VER:impf	avoir
euh	INT	euh
maintenant	ADV	maintenant
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
le	DET:def	le
chauffe-eau	NOM	<unknown>
électrique	ADJ	électrique
ça	PRO:cls	ça
pose	VER:pres	poser
plus	ADV	plus
de	PRP	de
problèmes	NOM	problème
quoi	INT	quoi
mais	KON	mais
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pire	ADV	pire
que	KON	que
celle	PRO:dem	celui
chez	PRP	chez
¤Pren¤	NAM	<unknown>
hein	INT	hein
mais	KON	mais
celle	PRO:dem	celui
chez	PRP	chez
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
cramante	ADJ	<unknown>
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
ouais	FNO	ouais
tu	PRO:cls	tu
galères	NOM	galère
à	PRP	à
l'	PRO:clo	le
avoir	VER:infi	avoir
ch-	TRC	ch-
froide	ADJ	froid
en	PRP	en
gros	ADJ	gros
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
son	DET:pos	son
père	NOM	père
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
mettes	VER:subp	mettre
hum	FNO	hum
au	PRP:det	au
début	NOM	début
à	PRP	à
fond	NOM	fond
et	KON	et
après	ADV	après
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
mettes	VER:subp	mettre
euh	INT	euh
tout	ADV	tout
de	PRP	de
suite	NOM	suite
enfin	ADV	enfin
dès	PRP	dès
que	KON	que
ça	PRO:cls	ça
devient	VER:pres	devenir
un	DET:ind	un
peu	NOM	peu
chaud	ADJ	chaud
tu	PRO:cls	tu
mets	VER:pres	mettre
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
à	PRP	à
fond	NOM	fond
vers	PRP	vers
le	DET:def	le
froid	NOM	froid
hum	FNO	hum
hum	FNO	hum
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
vers	PRP	vers
le	DET:def	le
tout	ADV	tout
froid	ADJ	froid
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
chaud	ADJ	chaud
tu	PRO:cls	tu
sais	VER:pres	savoir
xxx	NOM	<unknown>
en	PRP	en
acheter	VER:infi	acheter
une	DET:ind	un
.	NOM:sig	<unknown>
hum	FNO	hum
hum	FNO	hum
mais	KON	mais
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
mitigeur	NOM	<unknown>
ou	KON	ou
euh	INT	euh
un	DET:ind	un
thermostatique	ADJ	thermostatique
parce	TRC	parce
que	KON	que
thermostatique	ADJ	thermostatique
tu	PRO:cls	tu
as	VER:pres	avoir
les	DET:def	le
degrès	NOM	<unknown>
sur	PRP	sur
le	DET:def	le
côté	NOM	côté
euh	INT	euh
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
degrès	NOM	<unknown>
à	PRP	à
droite	NOM	droite
ouais	FNO	ouais
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
ça	PRO:ton	ça
et	KON	et
à	PRP	à
gauche	ADJ	gauche
tu	PRO:cls	tu
as	VER:pres	avoir
la	DET:def	le
vi-	TRC	vi-
rapidité	NOM	rapidité
ben	INT	ben
normalement	ADV	normalement
euh	INT	euh
thermostatique	ADJ	thermostatique
tu	PRO:cls	tu
mets	VER:pres	mettre
vingt	NUM	@card@
degrès	NOM	<unknown>
tu	PRO:cls	tu
dois	VER:pres	devoir
avoir	VER:infi	avoir
vingt	NUM	@card@
degrès	NOM	<unknown>
ben	INT	ben
non	FNO	non
nan	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
super	ADV	super
chaud	ADJ	chaud
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
bizarre	ADJ	bizarre
hum	FNO	hum
hum	FNO	hum
parce	TRC	parce
que	KON	que
le	DET:def	le
thermostatique	ADJ	thermostatique
normalement	ADV	normalement
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
degrès	NOM	<unknown>
que	KON	que
tu	PRO:cls	tu
as	VER:pres	avoir
dessus	ADV	dessus
et	KON	et
les	DET:def	le
mitigeurs	NOM	<unknown>
pas	ADV	pas
xxx	NOM	<unknown>
dessus	ADV	dessus
ouais	FNO	ouais
les	DET:def	le
mitigeurs	NOM	<unknown>
ça	PRO:ton	ça
ça	PRO:cls	ça
se	PRO:clo	se
mélange	VER:pres	mélanger
oui	FNO	oui
oui	FNO	oui
après	ADV	après
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
elle	PRO:cls	elle
est	VER:pres	être
cramante	ADJ	<unknown>
l'	DET:def	le
eau	NOM	eau
le	DET:def	le
mitigeur	NOM	<unknown>
ça	PRO:cls	ça
dépend	VER:pres	dépendre
où	PRO:int	où
tu	PRO:cls	tu
te	PRO:clo	te
situes	VER:pres	situer
où	PRO:int	où
on	PRO:cls	on
ouais	FNO	ouais
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
ça	PRO:cls	ça
serait	VER:cond	être
cinq	NUM	@card@
quatre-vingt	NUM	@card@
dix	NUM	@card@
alors	ADV	alors
euh	INT	euh
les	DET:def	le
serviettes	NOM	serviette
de	PRP	de
toilette	NOM	toilette
hum	FNO	hum
hum	FNO	hum
oui	FNO	oui
je	PRO:cls	je
vais	VER:pres	aller
en	PRO:clo	en
prendre	VER:infi	prendre
euh	INT	euh
deux	NUM	@card@
blanches	NOM	blanche
deux	NUM	@card@
deux	NUM	@card@
draps	NOM	drap
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
je	PRO:cls	je
vais	VER:pres	aller
pas	ADV	pas
prendre	VER:infi	prendre
plus	ADV	plus
parce	TRC	parce
que	KON	que
oui	FNO	oui
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
va	VER:pres	aller
laisser	VER:infi	laisser
quoi	INT	quoi
ouais	FNO	ouais
je	PRO:cls	je
vais	VER:pres	aller
je	PRO:cls	je
vais	VER:pres	aller
partir	VER:infi	partir
sur	PRP	sur
du	DET:par	du
blanc	ADJ	blanc
si	KON	si
au	PRP:det	au
niveau	NOM	niveau
qualité	NOM	qualité
c'	PRO:cls	ce
est	VER:pres	être
ouais	FNO	ouais
mais	KON	mais
du	PRP:det	du
blanc	ADJ	blanc
hum	FNO	hum
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
vite	ADV	vite
sale	ADJ	sale
nan	NOM	<unknown>
enfin	ADV	enfin
bon	INT	bon
après	ADV	après
tu	PRO:cls	tu
dois	VER:pres	devoir
quand	KON	quand
même	ADV	même
prendre	VER:infi	prendre
euh	INT	euh
blanc	ADJ	blanc
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
vite	ADV	vite
sale	ADJ	sale
ouais	FNO	ouais
mais	KON	mais
tu	PRO:cls	tu
peux	VER:pres	pouvoir
bouillir	VER:infi	bouillir
ouais	FNO	ouais
oui	FNO	oui
mais	KON	mais
ouais	FNO	ouais
ah	INT	ah
bon	INT	bon
après	ADV	après
bah	INT	bah
oui	FNO	oui
ah	INT	ah
elle	PRO:ton	elle
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
plus	ADV	plus
hygiénique	ADJ	hygiénique
ah	INT	ah
que	KON	que
tu	PRO:cls	tu
sais	VER:pres	savoir
quand	KON	quand
tu	PRO:cls	tu
as	VER:pres	avoir
quand	KON	quand
tu	PRO:cls	tu
loues	VER:pres	louer
un	DET:ind	un
truc	NOM	truc
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
euh	INT	euh
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
quand	KON	quand
on	PRO:cls	on
part	VER:pres	partir
en	PRP	en
vacances	NOM	vacances
les	DET:def	le
gens	NOM	gens
ouais	FNO	ouais
ouais	FNO	ouais
on	PRO:cls	on
a	VER:pres	avoir
plutôt	ADV	plutôt
du	PRP:det	du
blanc	ADJ	blanc
hein	INT	hein
bah	INT	bah
oui	FNO	oui
je	PRO:cls	je
sais	VER:pres	savoir
j'	PRO:cls	je
ai	AUX:pres	avoir
jamais	ADV	jamais
compris	VER:pper	comprendre
pourquoi	PRO:int	pourquoi
ouais	FNO	ouais
ah	INT	ah
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
peux	VER:pres	pouvoir
les	PRO:clo	le
bouillir	VER:infi	bouillir
ouais	FNO	ouais
ah	INT	ah
oui	FNO	oui
et	KON	et
que	KON	que
la	DET:def	le
couleur	NOM	couleur
elle	PRO:cls	elle
euh	INT	euh
elle	PRO:cls	elle
change	VER:pres	changer
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
hum	FNO	hum
d'	PRP	un
accord	NOM	accord
bon	INT	bon
après	ADV	après
faudra	VER:futu	falloir
que	KON	que
tu	PRO:cls	tu
regardes	VER:pres	regarder
quand	KON	quand
même	ADV	même
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
assez	ADV	assez
épais	ADJ	épais
si	KON	si
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
de	PRP	de
soucis	NOM	souci
ouais	FNO	ouais
/ouais	MLT	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
simple	ADJ	simple
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ça/	MLT	<unknown>
quand	KON	quand
tu	PRO:cls	tu
prends	VER:pres	prendre
les	DET:def	le
gants	NOM	gant
de	PRP	de
toilette	NOM	toilette
pas	ADV	pas
chers	ADJ	cher
hum	FNO	hum
hum	FNO	hum
euh	INT	euh
tu	PRO:cls	tu
les	PRO:clo	le
utilises	VER:pres	utiliser
deux	NUM	@card@
fois	NOM	fois
hum	FNO	hum
hum	FNO	hum
ça	PRO:cls	ça
s'	PRO:clo	se
effiloche	VER:pres	effilocher
de	PRP	de
tous	DET:pre	tout
les	DET:def	le
côtés	NOM	côté
tu	PRO:cls	tu
sais	VER:pres	savoir
ah	INT	ah
oui	FNO	oui
xxx	NOM	<unknown>
ben	INT	ben
nous	PRO:ton	nous
les	DET:def	le
nôtres	PRO:pos	nôtre
euh	INT	euh
xxx	NOM	<unknown>
tout	ADV	tout
fins	ADJ	fin
ils	PRO:cls	il
donnent	VER:pres	donner
ils	PRO:cls	il
ont	VER:pres	avoir
même	ADV	même
des	DET:ind	un
trous	NOM	trou
à	PRP	à
l'	DET:def	le
intérieur	NOM	intérieur
hum	FNO	hum
hum	FNO	hum
nous	PRO:ton	nous
les	DET:def	le
nôtres	PRO:pos	nôtre
ils	PRO:cls	il
ont	VER:pres	avoir
plein	ADV	plein
de	PRP	de
trous	NOM	trou
hein	INT	hein
bah	INT	bah
ils	PRO:cls	il
sont	VER:pres	être
déjà	ADV	déjà
plus	ADV	plus
anciens	ADJ	ancien
hein	INT	hein
hum	FNO	hum
mais	KON	mais
nous	PRO:ton	nous
on	PRO:cls	on
utilise	VER:pres	utiliser
pas	ADV	pas
des	DET:ind	un
gants	NOM	gant
de	PRP	de
toilette	NOM	toilette
nous	PRO:ton	nous
ils	PRO:cls	il
ont	VER:pres	avoir
plein	ADV	plein
de	PRP	de
trous	NOM	trou
je	PRO:cls	je
les	PRO:clo	le
enlève	VER:pres	enlever
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
trous	NOM	trou
comme	KON	comme
ça	PRO:ton	ça
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
racontes	VER:pres	raconter
c'	PRO:cls	ce
est	VER:pres	être
ceux	PRO:dem	celui
qui	PRO:rel	qui
sont	VER:pres	être
plus	ADV	plus
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
acheté	VER:pper	acheter
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
longtemps	ADV	longtemps
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
une	DET:ind	un
bonne	ADJ	bon
qualité	NOM	qualité
il	PRO:clsi	il
se	PRO:clo	se
trouait	VER:impf	trouer
à	PRP	à
l'	DET:def	le
intérieur	NOM	intérieur
mais	KON	mais
bon	INT	bon
il	PRO:cls	il
était	VER:impf	être
le	DET:def	le
blanc	ADJ	blanc
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
tout	ADV	tout
récent	ADJ	récent
hein	INT	hein
mais	KON	mais
je-	TRC	<unknown>
j-	TRC	j-
j-	TRC	j-
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
plus	ADV	plus
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
il	PRO:cls	il
a	AUX:pres	avoir
pas	ADV	pas
tenu	VER:pper	tenir
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
utilise	VER:pres	utiliser
pas	ADV	pas
j'	PRO:cls	je
utilise	VER:pres	utiliser
les	DET:def	le
petites	ADJ	petit
bou-boules	NOM	<unknown>
là	ADV	là
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
cool	ADJ	cool
ça	PRO:ton	ça
ouais	FNO	ouais
elle	PRO:cls	elle
utilise	VER:pres	utiliser
cette	DET:dem	ce
boule-là	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
hein	INT	hein
ça	PRO:cls	ça
mousse	VER:pres	mousser
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
ouais	FNO	ouais
puis	KON	puis
ça	PRO:cls	ça
frotte	VER:pres	frotter
ouais	FNO	ouais
non	FNO	non
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
pas	ADV	pas
trop	ADV	trop
j'	PRO:cls	je
aime	VER:pres	aimer
la	DET:def	le
mère	NOM	mère
de	PRP	de
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
aussi	ADV	aussi
euh	INT	euh
une	DET:ind	un
j'	PRO:cls	je
utilise	VER:pres	utiliser
même	ADV	même
pas	ADV	pas
beaucoup	ADV	beaucoup
euh	INT	euh
le	DET:def	le
gant	NOM	gant
de	PRP	de
toilette	NOM	toilette
moi	PRO:ton	moi
je	PRO:cls	je
savonne	VER:pres	savonner
comme	KON	comme
ça	PRO:ton	ça
au	PRP:det	au
gel	NOM	gel
douche	NOM	douche
ouais	FNO	ouais
nan	NOM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
toilette	VER:pres	toiletter
xxx	NOM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
moi	PRO:ton	moi
xxx	NOM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
aussi	ADV	aussi
au	PRP:det	au
début	NOM	début
mais	KON	mais
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
mieux	ADV	mieux
en	PRO:clo	en
fait	VER:pres	faire
finalement	ADV	finalement
la	DET:def	le
petite	ADJ	petit
bou-boule	NOM	<unknown>
massante	ADJ	<unknown>
là	ADV	là
hum	FNO	hum
hum	FNO	hum
puisque	KON	puisque
ça	PRO:cls	ça
te	PRO:clo	te
frotte	VER:pres	frotter
bien	ADV	bien
tu	PRO:cls	tu
sais	VER:pres	savoir
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
enfin	ADV	enfin
hum	FNO	hum
hum	FNO	hum
oh	INT	oh
nan	NOM	<unknown>
moi	PRO:ton	moi
pas	ADV	pas
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
juste	ADV	juste
le	DET:def	le
gel	NOM	gel
ça	PRO:cls	ça
frotte	VER:pres	frotter
bien	ADV	bien
la	DET:def	le
peau	NOM	peau
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
tout	ADV	tout
mousseux	ADJ	mousseux
mouss-	NOM	<unknown>
moussant	ADJ	moussant
mouss-	NOM	<unknown>
hum	FNO	hum
ouais	FNO	ouais
ça	PRO:cls	ça
dépend	VER:pres	dépendre
tu	PRO:cls	tu
avais	AUX:impf	avoir
vu	VER:pper	voir
euh	INT	euh
des	DET:ind	un
autres	ADJ	autre
trucs	NOM	truc
tu	PRO:cls	tu
avais	AUX:impf	avoir
pas	ADV	pas
vu	VER:pper	voir
la	DET:def	le
la	DET:def	le
coccinelle	NOM	coccinelle
si	KON	si
euh	INT	euh
nan	NOM	<unknown>
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
elle	PRO:cls	elle
est	VER:pres	être
trop	ADV	trop
belle	ADJ	beau
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
¤Pren¤	NAM	<unknown>
le	DET:def	le
chat	NOM	chat
il	PRO:cls	il
est	VER:pres	être
trop	ADV	trop
chou	NOM	chou
aussi	ADV	aussi
quand	KON	quand
même	ADV	même
hein	INT	hein
hum	FNO	hum
hum	FNO	hum
j'	PRO:cls	je
adore	VER:pres	adorer
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
aime	VER:pres	aimer
trop	ADV	trop
la	DET:def	le
tortue	NOM	tortue
elle	PRO:cls	elle
était	AUX:impf	être
déçue	VER:pper	décevoir
quand	KON	quand
elle	PRO:cls	elle
a	AUX:pres	avoir
vu	VER:pper	voir
la	DET:def	le
tortue	NOM	tortue
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
je	PRO:cls	je
te	PRO:clo	te
l'	PRO:clo	le
ai	AUX:pres	avoir
déjà	ADV	déjà
dit	VER:pper	dire
nan	NOM	<unknown>
hum	FNO	hum
je	PRO:cls	je
crois	VER:pres	croire
ouais	FNO	ouais
sur	PRP	sur
le	DET:def	le
coup	NOM	coup
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
l'	DET:def	le
autre	ADJ	autre
était	VER:impf	être
plus	ADV	plus
euh	INT	euh
oh	INT	oh
nan	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
trop	ADV	trop
belle	ADJ	beau
la	DET:def	le
tortue	NOM	tortue
moi	PRO:ton	moi
j'	PRO:cls	je
aimais	VER:impf	aimer
bien	ADV	bien
le	DET:def	le
trèfle	NOM	trèfle
hum	FNO	hum
hum	FNO	hum
plus	ADV	plus
tard	ADV	tard
j'	PRO:cls	je
aurai	VER:futu	avoir
une	DET:ind	un
tortue	NOM	tortue
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
cool	ADJ	cool
tu	PRO:cls	tu
lui	PRO:clo	lui
donnes	VER:pres	donner
une	DET:ind	un
feuille	NOM	feuille
de	PRP	de
salade	NOM	salade
elle	PRO:cls	elle
est	VER:pres	être
contente	ADJ	content
ouais	FNO	ouais
le	DET:def	le
trèfle	NOM	trèfle
euh	INT	euh
j'	PRO:cls	je
a-	TRC	a-
puis	KON	puis
ça	PRO:cls	ça
vit	VER:pres	vivre
cent	NUM	@card@
ans	NOM	an
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
pour	PRP	pour
maman	NOM	maman
mais	KON	mais
je	PRO:cls	je
lui	PRO:clo	lui
fais	VER:pres	faire
pas	ADV	pas
payer	VER:infi	payer
parce	TRC	parce
que	KON	que
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
euh	INT	euh
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
donné	VER:pper	donner
les	DET:def	le
cinquante	NUM	@card@
euros	NOM	euro
hum	FNO	hum
hum	FNO	hum
sept	NUM	@card@
quatre-vingt	NUM	@card@
quinze	NUM	@card@
il	PRO:cls	il
était	VER:impf	être
le	DET:def	le
trèfle	NOM	trèfle
oui	FNO	oui
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
comme	KON	comme
si	KON	si
elle	PRO:cls	elle
me	PRO:clo	me
l'	PRO:clo	le
avait	AUX:impf	avoir
payé	VER:pper	payer
du	PRP:det	du
coup	NOM	coup
ouais	FNO	ouais
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
tu	PRO:cls	tu
peux	VER:pres	pouvoir
dire	VER:infi	dire
pour	PRP	pour
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
celui	PRO:dem	celui
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
gourmette	NOM	gourmette
bah	INT	bah
le	DET:def	le
à	PRP	à
¤Pren¤	NAM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
failli	VER:pper	faillir
lui	PRO:clo	lui
prendre	VER:infi	prendre
en	PRP	en
pendentif	NOM	pendentif
une	DET:ind	un
tête	NOM	tête
de	PRP	de
j'	PRO:cls	je
avais	VER:impf	avoir
l'	DET:def	le
impression	NOM	impression
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
euh	INT	euh
grenouille	NOM	grenouille
ah	INT	ah
nan	NOM	<unknown>
mais	KON	mais
écoute	VER:impe	écouter
tu	PRO:cls	tu
avais	VER:impf	avoir
vraiment	ADV	vraiment
l'	DET:def	le
impression	NOM	impression
euh	INT	euh
/t'as	MLT	<unknown>
que/	MLT	<unknown>
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
grenouille	NOM	grenouille
et	KON	et
puis	KON	puis
euh	INT	euh
mais	KON	mais
l-	TRC	l-
euh	INT	euh
elle	PRO:cls	elle
était	VER:impf	être
sur	PRP	sur
un	DET:ind	un
fond	NOM	fond
blanc	ADJ	blanc
hum	FNO	hum
donc	ADV	donc
pour	PRP	pour
moi	PRO:ton	moi
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
grenouille	NOM	grenouille
et	KON	et
après	ADV	après
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
mise	VER:pper	mettre
sur	PRP	sur
ma	DET:pos	mon
main	NOM	main
le	DET:def	le
pendentif	NOM	pendentif
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
une	DET:ind	un
grenouille	NOM	grenouille
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
tête	NOM	tête
de	PRP	de
mort	NOM	mort
tu	PRO:cls	tu
sais	VER:pres	savoir
les	DET:def	le
têtes	NOM	tête
de	PRP	de
mort	NOM	mort
qu'	KON	que
ils	PRO:cls	il
font	VER:pres	faire
maintenant	ADV	maintenant
là	ADV	là
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
les	DET:def	le
T-Shirt	NOM	<unknown>
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
des	DET:ind	un
trous	NOM	trou
/des	MLT	<unknown>
les/	MLT	<unknown>
yeux	NOM	oeil
pour	PRP	pour
les	DET:def	le
yeux	NOM	oeil
oui	FNO	oui
pour	PRP	pour
les	DET:def	le
yeux	NOM	oeil
tu	PRO:cls	tu
voyais	VER:impf	voir
alors	ADV	alors
la	DET:def	le
vendeuse	NOM	vendeuse
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
tête	NOM	tête
de	PRP	de
mort	NOM	mort
mais	KON	mais
même	ADV	même
elle	PRO:ton	elle
elle	PRO:cls	elle
croyait	VER:impf	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
grenouille	NOM	grenouille
même	ADV	même
elle	PRO:ton	elle
elle	PRO:cls	elle
croyait	VER:impf	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
grenouille	NOM	grenouille
ouah	INT	ouah
mais	KON	mais
elle	PRO:cls	elle
devait	VER:impf	devoir
être	VER:infi	être
bizarre	ADJ	bizarre
hein	INT	hein
euh	INT	euh
pas	ADV	pas
une	DET:ind	un
grenouille	NOM	grenouille
une	DET:ind	un
tortue	NOM	tortue
ah	INT	ah
une	DET:ind	un
tortue	NOM	tortue
ouais	FNO	ouais
une	DET:ind	un
tortue	NOM	tortue
ouais	FNO	ouais
genre	NOM	genre
je	PRO:cls	je
comprenais	VER:impf	comprendre
pas	ADV	pas
pourquoi	PRO:int	pourquoi
une	DET:ind	un
grenouille	NOM	grenouille
en	PRO:clo	en
fait	VER:pres	faire
ouais	FNO	ouais
nan	NOM	<unknown>
une	DET:ind	un
tortue	NOM	tortue
alors	ADV	alors
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
nan	NOM	<unknown>
nan	ADJ	<unknown>
moi	PRO:ton	moi
nan	NOM	<unknown>
nan	NOM	<unknown>
je	PRO:cls	je
lui	PRO:clo	lui
achète	VER:pres	acheter
pas	ADV	pas
une	DET:ind	un
tête	NOM	tête
de	PRP	de
mort	NOM	mort
hein	INT	hein
et	KON	et
après	ADV	après
j'	PRO:cls	je
ai	AUX:pres	avoir
trouvé	VER:pper	trouver
le	DET:def	le
soleil	NOM	soleil
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
joli	ADJ	joli
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
lui	PRO:clo	lui
as	AUX:pres	avoir
pris	VER:pper	prendre
hum	FNO	hum
hum	FNO	hum
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
pourquoi	PRO:int	pourquoi
le	DET:def	le
chat	NOM	chat
il	PRO:cls	il
est	VER:pres	être
plus	ADV	plus
cher	ADJ	cher
¤Pren¤	NAM	<unknown>
maintenant	ADV	maintenant
je	PRO:cls	je
je	PRO:cls	je
regarde	VER:pres	regarder
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
relief	NOM	relief
parce	TRC	parce
que	KON	que
regarde	VER:impe	regarder
derrière	ADV	derrière
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
hum	FNO	hum
hum	FNO	hum
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
l'	DET:def	le
arrière	NOM	arrière
et	KON	et
l'	DET:def	le
avant	NOM	avant
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
ouais	FNO	ouais
et	KON	et
là	ADV	là
tu	PRO:cls	tu
as	VER:pres	avoir
l'	DET:def	le
arrière	NOM	arrière
il	PRO:cls	il
