en	PRP	en
oui	FNO	oui
faut	VER:pres	falloir
le	PRO:clo	le
décorer	VER:infi	décorer
oui	FNO	oui
viens	VER:impe	venir
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
joli	ADJ	joli
avec	PRP	avec
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
décoration	NOM	décoration
oui	FNO	oui
hum	FNO	hum
comment	PRO:int	comment
tu	PRO:cls	tu
fais	VER:pres	faire
alors	ADV	alors
pour	PRP	pour
décorer	VER:infi	décorer
?	NAM	<unknown>
ah	INT	ah
oui	FNO	oui
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
et	KON	et
ben	INT	ben
je	PRO:cls	je
fais	VER:pres	faire
des	DET:ind	un
montagnes	NOM	montagne
xxx	NOM	<unknown>
on	PRO:cls	on
fait	VER:pres	faire
des	DET:ind	un
petites	ADJ	petit
montagnes	NOM	montagne
oui	FNO	oui
voilà	FNO	voilà
des	DET:ind	un
triangles	NOM	triangle
au-dessus	ADV	au-dessus
comme	KON	comme
ça	PRO:ton	ça
ouh	INT	ouh
tu	PRO:cls	tu
t'	PRO:clo	te
appliques	VER:pres	appliquer
bien	ADV	bien
ouh	INT	ouh
tu	PRO:cls	tu
dessines	VER:pres	dessiner
bien	ADV	bien
Bénédicte	NOM	<unknown>
-moi	PRO:clo	moi
dis	VER:pres	dire
ouh	INT	ouh
oh	INT	oh
la	DET:def	le
la	DET:def	le
il	PRO:clsi	il
est	VER:pres	être
grand	ADJ	grand
ton	DET:pos	ton
mille-pattes	NOM	<unknown>
hein	INT	hein
.	NAM	<unknown>
xxx	NOM	<unknown>
bravo	FNO	bravo
voilà	FNO	voilà
hum	FNO	hum
et	KON	et
tu	PRO:cls	tu
vas	VER:pres	aller
l'	PRO:clo	le
offrir	VER:infi	offrir
à	PRP	à
Papa	NOM	papa
ou	KON	ou
à	PRP	à
Maman	NOM	maman
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
/ben	MLT	<unknown>
pas/	MLT	<unknown>
toi	PRO:ton	toi
ah	INT	ah
moi	PRO:ton	moi
?	NAM	<unknown>
oh	INT	oh
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
gentil	ADJ	gentil
alors	ADV	alors
xxx	NOM	<unknown>
oh	INT	oh
ben	INT	ben
xxx	NOM	<unknown>
regarde	VER:impe	regarder
vais	VER:pres	aller
t'	PRO:clo	te
en	PRO:clo	en
faire	VER:infi	faire
plein	ADV	plein
plein	ADV	plein
plein	ADV	plein
tu	PRO:cls	tu
m'	PRO:clo	me
en	PRO:clo	en
feras	VER:futu	faire
un	DET:ind	un
autre	ADJ	autre
un	DET:ind	un
autre	ADJ	autre
plein	ADV	plein
plein	ADV	plein
plein	ADV	plein
mais	KON	mais
peut-être	ADV	peut-être
pas	ADV	pas
tous	PRO:ind	tout
aujourd'hui	ADV	aujourd'hui
regarde	VER:impe	regarder
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
je	PRO:cls	je
vais	VER:pres	aller
marquer	VER:infi	marquer
ton	DET:pos	ton
prénom	NOM	prénom
sur	PRP	sur
la	DET:def	le
feuille	NOM	feuille
et	KON	et
la	DET:def	le
date	NOM	date
d'	PRP	un
aujourd'hui	ADV	aujourd'hui
comme	KON	comme
ça	PRO:ton	ça
je	PRO:cls	je
saurais	VER:cond	savoir
quel	DET:int	quel
jour	NOM	jour
tu	PRO:cls	tu
me	PRO:clo	me
l'	PRO:clo	le
as	AUX:pres	avoir
fait	VER:pper	faire
alors	ADV	alors
Bénédicte	ADJ	<unknown>
/eh	MLT	<unknown>
et/	MLT	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
écrire	VER:infi	écrire
Bénédicte	ADJ	<unknown>
.	NAM	<unknown>
oui	FNO	oui
regarde	VER:impe	regarder
viens	VER:impe	venir
voir	VER:infi	voir
Bénédicte	ADJ	<unknown>
et	KON	et
on	PRO:cls	on
va	VER:pres	aller
mettre	VER:infi	mettre
la	DET:def	le
date	NOM	date
et	KON	et
nous	PRO:cls	nous
sommes	VER:pres	être
aujourd'hui	ADV	aujourd'hui
le	DET:def	le
non	FNO	non
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
dessiner	VER:infi	dessiner
un	DET:ind	un
autre	ADJ	autre
dessin	NOM	dessin
pour	PRP	pour
euh	INT	euh
vingt-deux	NUM	@card@
Mademoiselle	NOM	mademoiselle
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
dessiner	VER:infi	dessiner
un	DET:ind	un
autre	ADJ	autre
dessin	NOM	dessin
.	NAM	<unknown>
oui	FNO	oui
pour	PRP	pour
Mademoiselle	NOM	mademoiselle
pour	PRP	pour
Mademoiselle	NOM	mademoiselle
.	NAM	<unknown>
Mademoiselle	NOM	mademoiselle
ben	INT	ben
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
plus	ADV	plus
de	PRP	de
mon	DET:pos	mon
prénom	NOM	prénom
.	NAM	<unknown>
oh	INT	oh
si	KON	si
si	KON	si
xxx	NOM	<unknown>
et	KON	et
vais	VER:pres	aller
dessiner	VER:infi	dessiner
un	DET:ind	un
autre	ADJ	autre
beau	ADJ	beau
dessin	NOM	dessin
un	DET:ind	un
autre	ADJ	autre
beau	ADJ	beau
dessin	NOM	dessin
un	DET:ind	un
beau	ADJ	beau
dessin	NOM	dessin
un	DET:ind	un
très	ADV	très
très	ADV	très
beau	ADJ	beau
dessin	NOM	dessin
un	DET:ind	un
très	ADV	très
très	ADV	très
beau	ADJ	beau
dessin	NOM	dessin
ah	INT	ah
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
je	PRO:cls	je
vais	VER:pres	aller
voir	VER:infi	voir
je	PRO:cls	je
xxx	NOM	<unknown>
ah	INT	ah
le	PRO:clo	le
/aller	VER:infi	<unknown>
chez	PRP	chez
moi	PRO:ton	moi
ah	INT	ah
le	DET:def	le
chemin/	NOM	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
oui	FNO	oui
le	DET:def	le
droit	NOM	droit
de	PRP	de
regarder	VER:infi	regarder
ou	KON	ou
faut	VER:pres	falloir
que	KON	que
j'	PRO:cls	je
attende	VER:subp	attendre
que	KON	que
tu	PRO:cls	tu
aies	VER:subp	avoir
fini	VER:pper	finir
.	NAM	<unknown>
ben	INT	ben
tu	PRO:cls	tu
as	VER:pres	avoir
le	DET:def	le
droit	NOM	droit
de	PRP	de
regarder	VER:infi	regarder
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
droit	NOM	droit
de	PRP	de
regarder	VER:infi	regarder
oh	INT	oh
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
gentil	ADJ	gentil
ça	PRO:ton	ça
alors	ADV	alors
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sympa	ADJ:trc	sympathique
voilà	FNO	voilà
les	DET:def	le
cailloux	NOM	caillou
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
le	DET:def	le
chemin	NOM	chemin
avec	PRP	avec
les	DET:def	le
cailloux	NOM	caillou
et	KON	et
après	ADV	après
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
la	DET:def	le
maison	NOM	maison
pour	PRP	pour
rentrer	VER:infi	rentrer
et	KON	et
après	ADV	après
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
la	DET:def	le
maison	NOM	maison
là	ADV	là
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
mais	KON	mais
si	KON	si
tu	PRO:cls	tu
fais	VER:pres	faire
la	DET:def	le
maison	NOM	maison
là	ADV	là
tu	PRO:cls	tu
vas	VER:pres	aller
dessiner	VER:infi	dessiner
sur	PRP	sur
le	DET:def	le
plancher	NOM	plancher
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plus	ADV	plus
assez	ADV	assez
de	PRP	de
place	NOM	place
sur	PRP	sur
ta	DET:pos	ton
feuille	NOM	feuille
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
ah	INT	ah
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
parce	TRC	parce
que	KON	que
après	ADV	après
vais	VER:pres	aller
sucer	VER:infi	sucer
mes	DET:pos	mon
doigts	NOM	doigt
et	KON	et
puis	KON	puis
je	PRO:cls	je
vais	VER:pres	aller
effacer	VER:infi	effacer
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
ah	INT	ah
ben	INT	ben
alors	ADV	alors
tout	PRO:ind	tout
va	VER:pres	aller
bien	ADV	bien
xxx	NOM	<unknown>
ouais	FNO	ouais
ok	FNO	ok
xxx	NOM	<unknown>
et	KON	et
ça	PRO:ton	ça
tu	PRO:cls	tu
le	PRO:clo	le
fais	VER:pres	faire
souvent	ADV	souvent
ça	PRO:ton	ça
de	PRP	de
dessiner	VER:infi	dessiner
sur	PRP	sur
le	DET:def	le
parquet	NOM	parquet
.	NAM	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
ah	INT	ah
bon	INT	bon
oui	FNO	oui
mais	KON	mais
non	FNO	non
non	FNO	non
non	FNO	non
xxx	NOM	<unknown>
oh	INT	oh
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
oh	INT	oh
le	DET:def	le
petit	ADJ	petit
mignon	ADJ	mignon
chien	NOM	chien
oh	INT	oh
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
joli	ADJ	joli
ce	DET:dem	ce
petit	ADJ	petit
chien	NOM	chien
en	PRP	en
peluche	NOM	peluche
faut	VER:pres	falloir
faut	VER:pres	falloir
pas	ADV	pas
lui	PRO:clo	lui
faire	VER:infi	faire
des	DET:ind	un
bisous	NOM	bisou
parce	TRC	parce
que	KON	que
xxx	NOM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
torticoli	VER:pper	<unknown>
ah	INT	ah
en	PRP	en
plus	ADV	plus
il	PRO:clsi	il
il	PRO:clsi	il
a	VER:pres	avoir
un	DET:ind	un
torticoli	NOM	<unknown>
partout	ADV	partout
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
saigne	VER:pres	saigner
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
oh	INT	oh
il	PRO:cls	il
est	VER:pres	être
tout	ADV	tout
malade	ADJ	malade
ah	INT	ah
oui	FNO	oui
il	PRO:cls	il
est	VER:pres	être
tout	ADV	tout
malade	ADJ	malade
et	KON	et
il	PRO:cls	il
est	VER:pres	être
malade	ADJ	malade
depuis	ADV	depuis
longtemps	ADV	longtemps
.	VER:simp	<unknown>
oh	INT	oh
ben	INT	ben
oui	FNO	oui
depuis	ADV	depuis
depuis	ADV	depuis
hier	ADV	hier
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
en	PRP	en
vacances	NOM	vacances
à	PRP	à
¤T¤	NAM	¤T¤
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
ah	INT	ah
oui	FNO	oui
ta	DET:pos	ton
maman	NOM	maman
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
tu	PRO:cls	tu
étais	VER:impf	être
tu	PRO:cls	tu
étais	AUX:impf	être
partie	VER:pper	partir
en	PRP	en
vacances	NOM	vacances
à	PRP	à
¤T¤	NAM	¤T¤
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
mais	KON	mais
oui	FNO	oui
avec	PRP	avec
Anne-Caroline	NAM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
j'	PRO:cls	je
étais	VER:impf	être
beaucoup	ADV	beaucoup
en	PRP	en
vacances	NOM	vacances
donc	ADV	donc
euh	INT	euh
il	PRO:cls	il
est	VER:pres	être
ma-	TRC	ma-
c'	PRO:cls	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
il	PRO:cls	il
est	VER:pres	être
malade	ADJ	malade
ah	INT	ah
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
étais	VER:impf	être
beaucoup	ADV	beaucoup
en	PRP	en
vacances	NOM	vacances
tu	PRO:cls	tu
l'	PRO:clo	le
avais	AUX:impf	avoir
emmené	VER:pper	emmener
avec	PRP	avec
toi	PRO:ton	toi
.	NAM	<unknown>
à	PRP	à
¤T¤	NAM	¤T¤
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
emmené	VER:pper	emmener
ah	INT	ah
mais	KON	mais
à	PRP	à
¤T¤	NAM	¤T¤
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
emmené	VER:pper	emmener
et	KON	et
tout	PRO:ind	tout
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
torticolis	NOM	torticolis
et	KON	et
il	PRO:cls	il
saigne	VER:pres	saigner
partout	ADV	partout
Maman	NOM	maman
xxx	NOM	<unknown>
aussi	ADV	aussi
était	VER:impf	être
xxx	NOM	<unknown>
oh	INT	oh
pauvre	ADJ	pauvre
petit	ADJ	petit
chien	NOM	chien
oh	INT	oh
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
triste	ADJ	triste
oh	INT	oh
oui	FNO	oui
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
torticoli	NOM	<unknown>
à	PRP	à
la	DET:def	le
tête	NOM	tête
et	KON	et
ensuite	ADV	ensuite
il	PRO:cls	il
a	VER:pres	avoir
mal	ADV	mal
à	PRP	à
la	DET:def	le
tête	NOM	tête
elle	PRO:cls	elle
a	VER:pres	avoir
un	DET:ind	un
torticolis	NOM	torticolis
à	PRP	à
la	DET:def	le
tête	NOM	tête
et	KON	et
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
a	VER:pres	avoir
mal	ADV	mal
à	PRP	à
la	DET:def	le
tête	NOM	tête
?	NAM	<unknown>
ah	INT	ah
ça	PRO:cls	ça
fait	VER:pres	faire
beaucoup	ADV	beaucoup
pour	PRP	pour
un	DET:ind	un
petit	ADJ	petit
chien	NOM	chien
ben	INT	ben
faut	VER:pres	falloir
qu'	KON	que
il	PRO:clsi	il
se	PRO:clo	se
repose	VER:pres	reposer
non	FNO	non
.	NAM	<unknown>
xxx	NOM	<unknown>
faut	VER:pres	falloir
non	FNO	non
faut	VER:pres	falloir
que	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
euh	INT	euh
je	PRO:cls	je
l'	PRO:clo	le
emmène	VER:pres	emmener
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
chez	PRP	chez
le	DET:def	le
docteur	NOM	docteur
oh	INT	oh
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
drôle	ADJ	drôle
il	PRO:clsi	il
y	PRO:clo	y
/aura	VER:futu	<unknown>
a	AUX:pres	avoir
maintenant	ADV	maintenant
.	VER:pper	<unknown>
un	DET:ind	un
berceau	NOM	berceau
à	PRP	à
roulette	NOM	roulette
alors	ADV	alors
tu	PRO:cls	tu
le	PRO:clo	le
berces	VER:pres	bercer
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
ça	PRO:cls	ça
va	VER:pres	aller
se	PRO:clo	se
le	PRO:clo	le
reposer	VER:infi	reposer
ah	INT	ah
voilà	FNO	voilà
hein	INT	hein
?	NAM	<unknown>
ça	PRO:ton	ça
il	PRO:cls	il
faut	VER:pres	falloir
ah	INT	ah
ben	INT	ben
des	DET:ind	un
fois	NOM	fois
il	PRO:cls	il
veut	VER:pres	vouloir
un	DET:ind	un
bonbon	NOM	bonbon
xxx	NOM	<unknown>
il	PRO:cls	il
rigole	VER:pres	rigoler
.	NAM	<unknown>
oui	FNO	oui
oh	INT	oh
il	PRO:cls	il
rit	VER:pres	rire
.	ADJ	<unknown>
xxx	NOM	<unknown>
wouaf	NOM	<unknown>
wouaf	NOM	<unknown>
xxx	NOM	<unknown>
wouaf	NOM	<unknown>
wouaf	NOM	<unknown>
puis	KON	puis
là	ADV	là
il	PRO:cls	il
a	VER:pres	avoir
mal	ADV	mal
à	PRP	à
la	DET:def	le
tête	NOM	tête
ah	INT	ah
oui	FNO	oui
bon	INT	bon
on	PRO:cls	on
va	VER:pres	aller
le	PRO:clo	le
mettre	VER:infi	mettre
sur	PRP	sur
le	DET:def	le
côté	NOM	côté
alors	ADV	alors
.	VER:simp	<unknown>
on	PRO:cls	on
va	VER:pres	aller
le	PRO:clo	le
laisser	VER:infi	laisser
dormir	VER:infi	dormir
peut-être	ADV	peut-être
un	DET:ind	un
peu	NOM	peu
fatigué	VER:pper	fatiguer
alors	ADV	alors
s'	KON	si
il	PRO:cls	il
a	VER:pres	avoir
mal	ADV	mal
à	PRP	à
la	DET:def	le
tête	NOM	tête
oui	FNO	oui
mais	KON	mais
encore	ADV	encore
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
a	VER:pres	avoir
encore	ADV	encore
un	DET:ind	un
autre	ADJ	autre
hein	INT	hein
.	NAM	<unknown>
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
encore	ADV	encore
un	DET:ind	un
autre	ADJ	autre
en	PRP	en
dessous	ADV	dessous
.	VER:simp	<unknown>
xxx	NOM	<unknown>
oh	INT	oh
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
encore	ADV	encore
oui	FNO	oui
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
encore	ADV	encore
un	DET:ind	un
petit	ADJ	petit
hein	INT	hein
?	NAM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
encore	ADV	encore
un	DET:ind	un
petit	ADJ	petit
ah	INT	ah
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
encore	ADV	encore
un	DET:ind	un
petit	ADJ	petit
chien	NOM	chien
oui	FNO	oui
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
bébé	NOM	bébé
encore	ADV	encore
en	PRP	en
dessous	ADV	dessous
un	DET:ind	un
poupon	NOM	poupon
sous	PRP	sous
le	DET:def	le
matelas	NOM	matelas
oh	INT	oh
ça	PRO:cls	ça
fait	VER:pres	faire
du	DET:par	du
monde	NOM	monde
dans	PRP	dans
le	DET:def	le
même	ADJ	même
berceau	NOM	berceau
hein	INT	hein
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
pas	ADV	pas
/qu'il	MLT	<unknown>
soit	VER:subp	être
mouillé	VER:pper	mouiller
qu'	KON	que
ils	PRO:cls	il
soient	AUX:subp	être
mouillés/	ADJ	<unknown>
et	KON	et
en	PRP	en
plus	ADV	plus
lui	PRO:ton	lui
il	PRO:cls	il
veut	VER:pres	vouloir
venir	VER:infi	venir
avec	PRP	avec
moi	PRO:ton	moi
ah	INT	ah
/parce	MLT	<unknown>
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
je	PRO:cls	je
suis/	MLT	<unknown>
tellement	ADV	tellement
gentille	ADJ	gentil
ah	INT	ah
ben	INT	ben
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
tu	PRO:cls	tu
es	VER:pres	être
gentille	ADJ	gentil
hein	INT	hein
?	NAM	<unknown>
ah	INT	ah
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
ah	INT	ah
ben	INT	ben
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
quand	KON	quand
même	ADV	même
ah	INT	ah
ben	INT	ben
oui	FNO	oui
quand	KON	quand
même	ADV	même
hein	INT	hein
.	NAM	<unknown>
xxx	NOM	<unknown>
xxx	NOM	<unknown>
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
mais	KON	mais
oui	FNO	oui
oui	FNO	oui
tu	PRO:cls	tu
es	VER:pres	être
coquine	ADJ	coquin
xxx	NOM	<unknown>
oh	INT	oh
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
es	VER:pres	être
une	DET:ind	un
petite	ADJ	petit
coquine	NOM	coquine
alors	ADV	alors
là	ADV	là
tu	PRO:cls	tu
me	PRO:clo	me
fais	VER:pres	faire
un	DET:ind	un
beau	ADJ	beau
dessin	NOM	dessin
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
chemin	NOM	chemin
et	KON	et
les	DET:def	le
petits	ADJ	petit
points	NOM	point
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
cailloux	NOM	caillou
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
xxx	NOM	<unknown>
et	KON	et
il	PRO:cls	il
va	VER:pres	aller
où	PRO:int	où
ton	DET:pos	ton
chemin	NOM	chemin
.	NAM	<unknown>
ben	INT	ben
eh	INT	eh
ben	INT	ben
regarde	VER:impe	regarder
les	DET:def	le
gens	NOM	gens
ils	PRO:cls	il
rentrent	VER:pres	rentrer
euh	INT	euh
ils	PRO:cls	il
rentrent	VER:pres	rentrer
euh	INT	euh
là	ADV	là
et	KON	et
après	ADV	après
et	KON	et
ben	INT	ben
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
maison	NOM	maison
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
après	ADV	après
ils	PRO:cls	il
ils	PRO:cls	il
ils	PRO:cls	il
rentrent	VER:pres	rentrer
voilà	FNO	voilà
après	ADV	après
ils	PRO:cls	il
ouvrent	VER:pres	ouvrir
ils	PRO:cls	il
ouvrent	VER:pres	ouvrir
la	DET:def	le
porte	NOM	porte
et	KON	et
après	ADV	après
et	KON	et
ben	INT	ben
ça	PRO:cls	ça
y	PRO:clo	y
est	VER:pres	être
ils	PRO:cls	il
sont	AUX:pres	être
passés	VER:pper	passer
ah	INT	ah
voilà	FNO	voilà
d'	PRP	un
accord	NOM	accord
et	KON	et
/xxx	MLT	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
.	VER:pper	<unknown>
une	DET:ind	un
grande	ADJ	grand
maison	NOM	maison
quand	KON	quand
même	ADV	même
hein	INT	hein
.	NAM	<unknown>
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
grande	ADJ	grand
maison	NOM	maison
quand	KON	quand
même	ADV	même
?	NAM	<unknown>
hum	FNO	hum
comme	KON	comme
la	DET:def	le
maison	NOM	maison
de	PRP	de
beau-papa	NOM	<unknown>
et	KON	et
de	PRP	de
belle-maman	NOM	<unknown>
à	PRP	à
Fontainebleau	NAM	Fontainebleau
.	NAM	<unknown>
ben	INT	ben
non	FNO	non
parce	TRC	parce
mais	KON	mais
si	KON	si
que	KON	que
sinon	ADV	sinon
et	KON	et
ben	INT	ben
vais	VER:pres	aller
dessiner	VER:infi	dessiner
là	ADV	là
ah	INT	ah
ben	INT	ben
oui	FNO	oui
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
assez	ADV	assez
de	PRP	de
place	NOM	place
sur	PRP	sur
la	DET:def	le
feuille	NOM	feuille
alors	ADV	alors
oui	FNO	oui
v-	TRC	v-
vaut	VER:pres	valoir
mieux	ADV	mieux
que	KON	que
je	PRO:cls	je
dessine	VER:pres	dessiner
là	ADV	là
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
oui	FNO	oui
ben	INT	ben
dessine	VER:pres	dessiner
là	ADV	là
oui	FNO	oui
oui	FNO	oui
là	ADV	là
tu	PRO:cls	tu
as	VER:pres	avoir
de	PRP	de
la	DET:def	le
place	NOM	place
dans	PRP	dans
le	DET:def	le
coin	NOM	coin
oh	INT	oh
oui	FNO	oui
là	ADV	là
dessus	ADV	dessus
hum	FNO	hum
oui	FNO	oui
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
fasse	VER:subp	faire
d'	PRP	un
une	DET:ind	un
deux/	ADJ	<unknown>
maisons	NOM	maison
sur	PRP	sur
l'	DET:def	le
autre	ADJ	autre
une	DET:ind	un
maison	NOM	maison
sur	PRP	sur
l'	DET:def	le
autre	ADJ	autre
?	NAM	<unknown>
pour	PRP	pour
quoi	PRO:int	quoi
faire	VER:infi	faire
.	NAM	<unknown>
ben	INT	ben
regarde	VER:impe	regarder
ah	INT	ah
je	PRO:cls	je
regarde	VER:pres	regarder
regarde	VER:impe	regarder
regarde	VER:impe	regarder
/fais	VER:impe	<unknown>
viens/	MLT	<unknown>
voir	VER:infi	voir
mets	VER:impe	mettre
ta	DET:pos	ton
main	NOM	main
voilà	FNO	voilà
il	PRO:cls	il
est	VER:pres	être
comme	KON	comme
mettre	VER:infi	mettre
ma	DET:pos	mon
main	NOM	main
pour	PRP	pour
tenir	VER:infi	tenir
la	DET:def	le
feuille	NOM	feuille
voilà	FNO	voilà
voilà	FNO	voilà
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
seule	ADJ	seul
maison	NOM	maison
tous	DET:pre	tout
les	DET:def	le
carrés	NOM	carré
là	ADV	là
.	VER:simp	<unknown>
xxx	NOM	<unknown>
mais	KON	mais
non	FNO	non
pas	ADV	pas
une	DET:ind	un
seule	ADJ	seul
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
immeuble	ADJ	immeuble
.	NOM	<unknown>
maison	NOM	maison
pour	PRP	pour
xxx	NOM	<unknown>
oui	FNO	oui
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
attention	INT	attention
tu	PRO:cls	tu
vas	VER:pres	aller
déborder	VER:infi	déborder
de	PRP	de
la	DET:def	le
feuille	NOM	feuille
hum	FNO	hum
ah	INT	ah
ben	INT	ben
oui	FNO	oui
tu	PRO:cls	tu
suces	VER:pres	sucer
ton	DET:pos	ton
doigt	NOM	doigt
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
essuies	VER:pres	essuyer
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
que	KON	que
tu	PRO:cls	tu
fais	VER:pres	faire
.	NAM	<unknown>
ah	INT	ah
/mais	MLT	<unknown>
non/	MLT	<unknown>
ça	PRO:cls	ça
s'	PRO:clo	se
efface	VER:pres	effacer
pas	ADV	pas
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
xxx	NOM	<unknown>
ça	PRO:cls	ça
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
xxx	NOM	<unknown>
ça	PRO:cls	ça
