ben	INT	ben
parents	NOM	parent
tu	PRO:cls	tu
sais	VER:pres	savoir
les	DET:def	le
parents	NOM	parent
étaient	VER:impf	être
un	DET:ind	un
peu	NOM	peu
cassos	NOM	<unknown>
quoi	INT	quoi
même	ADV	même
gravement	ADV	gravement
cassos	NOM	<unknown>
donc	ADV	donc
avoir	VER:infi	avoir
un	DET:ind	un
gendre	NOM	gendre
qui	PRO:rel	qui
euh	INT	euh
dirige	VER:pres	diriger
une	DET:ind	un
station	NOM	station
service	NOM	service
qui	PRO:rel	qui
est	VER:pres	être
son	DET:pos	son
propre	ADJ	propre
patron	NOM	patron
oh	INT	oh
ben	INT	ben
ça	PRO:cls	ça
fait	VER:pres	faire
pas	ADV	pas
de	PRP	de
lui	PRO:ton	lui
ça	PRO:cls	ça
fait	VER:pres	faire
pas	ADV	pas
de	PRP	de
lui	PRO:ton	lui
non	FNO	non
plus	ADV	plus
euh	INT	euh
oh	INT	oh
ça	PRO:cls	ça
fait	VER:pres	faire
pas	ADV	pas
un	DET:ind	un
intellectuel	ADJ	intellectuel
Rotschild	NOM	<unknown>
hein	INT	hein
oh	INT	oh
déjà	ADV	déjà
que	KON	que
quand	KON	quand
il	PRO:cls	il
était	VER:impf	être
jeune	ADJ	jeune
il	PRO:cls	il
était	VER:impf	être
con	ADJ	con
hein	INT	hein
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
l'	PRO:clo	le
aimait	VER:impf	aimer
bien	ADV	bien
mais	KON	mais
bon	INT	bon
comme	KON	comme
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
comme	KON	comme
je	PRO:cls	je
te	PRO:clo	te
l'	PRO:clo	le
avais	AUX:impf	avoir
déjà	ADV	déjà
dit	VER:pper	dire
euh	INT	euh
il	PRO:cls	il
a	AUX:pres	avoir
re-	TRC	re-
redoublé	VER:pper	redoubler
son	DET:pos	son
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
la	DET:def	le
pratique	NOM	pratique
mais	KON	mais
il	PRO:cls	il
a	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
la	DET:def	le
théorie	NOM	théorie
en	PRP	en
même	ADJ	même
temps	NOM	temps
quand	KON	quand
tu	PRO:cls	tu
démolies	VER:pper	démolir
l'	DET:def	le
épaule	NOM	épaule
d'	PRP	un
un	NUM	@card@
de	PRP	de
tes	DET:pos	ton
profs	NOM:trc	professeur
c'	PRO:cls	ce
est	VER:pres	être
difficile	ADJ	difficile
d'	PRP	un
avoir	VER:infi	avoir
un	DET:ind	un
des	DET:ind	un
bonnes	ADJ	bon
notes	NOM	note
sur	PRP	sur
le	DET:def	le
bulletin	NOM	bulletin
ce	DET:dem	ce
couillon	NOM	couillon
s'	PRO:clo	se
est	AUX:pres	être
barré	VER:pper	barrer
en	PRP	en
Allemagne	NAM	Allemagne
et	KON	et
pour	PRP	pour
échapper	VER:infi	échapper
à	PRP	à
la	DET:def	le
colère	NOM	colère
du	PRP:det	du
grand-père	NOM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
rencontré	VER:pper	rencontrer
deux	NUM	@card@
all-	NOM	<unknown>
deux	NUM	@card@
allemandes	NOM	allemande
il	PRO:cls	il
a	AUX:pres	avoir
sympathisé	VER:pper	sympathiser
avec	PRP	avec
elles	PRO:cls	elle
voulaient	VER:impf	vouloir
l'	PRO:clo	le
héberger	VER:infi	héberger
et	KON	et
ce	DET:dem	ce
con	NOM	con
il	PRO:cls	il
il	PRO:cls	il
a	AUX:pres	avoir
paumé	VER:pper	paumer
l'	DET:def	le
adresse	NOM	adresse
il	PRO:cls	il
avait	AUX:impf	avoir
marqué	VER:pper	marquer
ça	PRO:ton	ça
sur	PRP	sur
un	DET:ind	un
bout	NOM	bout
de	PRP	de
papier	NOM	papier
il	PRO:cls	il
a	AUX:pres	avoir
perdu	VER:pper	perdre
le	DET:def	le
papier	NOM	papier
donc	ADV	donc
il	PRO:cls	il
a	AUX:pres	avoir
fini	VER:pper	finir
dix	NUM	@card@
jours	NOM	jour
euh	INT	euh
en	PRP	en
mode	NOM	mode
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
en	PRP	en
Allemagne	NAM	Allemagne
ben	INT	ben
il	PRO:cls	il
aurait	AUX:cond	avoir
peut-être	ADV	peut-être
dû	VER:pper	devoir
y	PRO:clo	y
rester	VER:infi	rester
hein	INT	hein
ça	PRO:cls	ça
lui	PRO:clo	lui
aurait	AUX:cond	avoir
appris	VER:pper	apprendre
la	DET:def	le
vie	NOM	vie
tss	NOM	<unknown>
il	PRO:cls	il
est	AUX:pres	être
revenu	VER:pper	revenir
en	PRP	en
pleurs	NOM	pleur
voir	VER:infi	voir
la	DET:def	le
tante	NOM	tante
qui	PRO:rel	qui
habitait	VER:impf	habiter
à	PRP	à
sa	DET:pos	son
tante	NOM	tante
qui	PRO:rel	qui
habitait	VER:impf	habiter
à	PRP	à
Paris	NAM	Paris
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
voulait	VER:impf	vouloir
pas	ADV	pas
retourner	VER:infi	retourner
retourner	VER:infi	retourner
voir	VER:infi	voir
le	DET:def	le
son	DET:pos	son
père	NOM	père
le	DET:def	le
grand-père	NOM	<unknown>
bah	INT	bah
tu	PRO:cls	tu
imagines	VER:pres	imaginer
bien	ADV	bien
hein	INT	hein
c'	PRO:cls	ce
était	VER:impf	être
c'	PRO:cls	ce
était	VER:impf	être
c'	PRO:cls	ce
était	VER:impf	être
apparemment	ADV	apparemment
mon	DET:pos	mon
grand-père	NOM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
un	DET:ind	un
rigolo	ADJ	rigolo
il	PRO:cls	il
battait	VER:impf	battre
ma	DET:pos	mon
grand-mère	NOM	<unknown>
il	PRO:clsi	il
la	PRO:clo	le
trompait	VER:impf	tromper
et	KON	et
ces	DET:dem	ce
trois	NUM	@card@
enfants	NOM	enfant
pouvaient	VER:impf	pouvoir
pas	ADV	pas
le	PRO:clo	le
blairer	VER:infi	blairer
enfin	ADV	enfin
deux	NUM	@card@
sans	PRP	sans
compter	VER:infi	compter
¤Pren¤	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
seul	ADJ	seul
¤Pren¤	NAM	<unknown>
qui	PRO:rel	qui
disait	VER:impf	dire
rien	PRO:ind	rien
mais	KON	mais
genre	NOM	genre
euh	INT	euh
mon	DET:pos	mon
grand-père	NOM	<unknown>
s'	PRO:clo	se
est	VER:pres	être
plus	ADV	plus
d'	PRP	un
une	NUM	@card@
mon	DET:pos	mon
père	NOM	père
s'	PRO:clo	se
est	VER:pres	être
plus	ADV	plus
d'	PRP	un
une	DET:ind	un
fois	NOM	fois
engueulé	VER:pper	engueuler
avec	PRP	avec
lui	PRO:ton	lui
mon	DET:pos	mon
oncle	NOM	oncle
euh	INT	euh
¤Pren¤	NAM	<unknown>
qui	PRO:rel	qui
était	VER:impf	être
le	DET:def	le
plus	ADV	plus
jeune	ADJ	jeune
et	KON	et
il	PRO:cls	il
a	AUX:pres	avoir
même	ADV	même
tenté	VER:pper	tenter
de	PRP	de
le	PRO:clo	le
tuer	VER:infi	tuer
il	PRO:cls	il
a	AUX:pres	avoir
bousillé	VER:pper	bousiller
ses	DET:pos	son
freins	NOM	frein
apparemment	ADV	apparemment
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
raconté	VER:pper	raconter
après	ADV	après
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
conneries	NOM	connerie
ou	KON	ou
pas	ADV	pas
ça	PRO:cls	ça
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
série	NOM	série
hein	INT	hein
ouais	FNO	ouais
donc	ADV	donc
mon	DET:pos	mon
père	NOM	père
s'	PRO:clo	se
était	AUX:impf	être
promis	VER:pper	promettre
de	PRP	de
jamais	ADV	jamais
devenir	VER:infi	devenir
aussi	ADV	aussi
con	ADJ	con
que	KON	que
le	DET:def	le
grand-père	NOM	<unknown>
regarde	VER:impe	regarder
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
est	AUX:pres	être
devenu	VER:pper	devenir
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
peur	NOM	peur
pour	PRP	pour
moi	PRO:ton	moi
plus	ADV	plus
tard	ADV	tard
hein	INT	hein
parce	TRC	parce
que	KON	que
quand	KON	quand
tu	PRO:cls	tu
vois	VER:pres	voir
la	DET:def	le
génération	NOM	génération
des	PRP:det	du
¤N¤	NAM	¤N¤
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
le	DET:def	le
sang	NOM	sang
des	PRP:det	du
¤N¤	NAM	¤N¤
ouais	FNO	ouais
ben	INT	ben
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
peur	NOM	peur
moi	PRO:ton	moi
cette	DET:dem	ce
merde	NOM	merde
là	ADV	là
parce	TRC	parce
que	KON	que
mon	DET:pos	mon
père	NOM	père
en	PRP	en
plus	ADV	plus
quand	KON	quand
quand	KON	quand
j'	PRO:cls	je
en	PRO:clo	en
entends	VER:pres	entendre
parler	VER:infi	parler
euh	INT	euh
il	PRO:cls	il
quand	KON	quand
il	PRO:cls	il
était	VER:impf	être
jeune	ADJ	jeune
il	PRO:cls	il
était	VER:impf	être
comme	KON	comme
moi	PRO:ton	moi
quoi	INT	quoi
avant	ADV	avant
j'	PRO:cls	je
avais	VER:impf	avoir
le	DET:def	le
même	ADJ	même
même	ADJ	même
caractère	NOM	caractère
un	DET:ind	un
peu	NOM	peu
le	DET:def	le
même	ADJ	même
physique	NOM	physique
aussi	ADV	aussi
même	ADV	même
ta	DET:pos	ton
mère	NOM	mère
elle	PRO:cls	elle
le	PRO:clo	le
dit	VER:pres	dire
ouais	FNO	ouais
tu	PRO:cls	tu
lui	PRO:clo	lui
ressembles	VER:pres	ressembler
un	DET:ind	un
peu	NOM	peu
bah	INT	bah
il	PRO:cls	il
avait	VER:impf	avoir
plein	ADV	plein
d'	PRP	un
amis	NOM	ami
en	PRP	en
plus	ADV	plus
ils	PRO:cls	il
s'	PRO:clo	se
entendaient	VER:impf	entendre
bien	ADV	bien
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
rigolo	NOM	rigolo
de	PRP	de
service	NOM	service
en	PRP	en
soirée	NOM	soirée
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
connard	NOM	connard
de	PRP	de
service	NOM	service
ben	INT	ben
maintenant	ADV	maintenant
il	PRO:cls	il
a	VER:pres	avoir
plus	ADV	plus
d'	PRP	un
amis	NOM	ami
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
donc	ADV	donc
euh	INT	euh
il	PRO:cls	il
peut	VER:pres	pouvoir
plus	ADV	plus
être	VER:infi	être
le	DET:def	le
rigolo	NOM	rigolo
de	PRP	de
qui	PRO:rel	qui
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
à	PRP	à
part	NOM	part
avec	PRP	avec
mon	DET:pos	mon
demi	ADJ	demi
frère	NOM	frère
à	PRP	à
lui	PRO:clo	lui
faire	VER:infi	faire
la	DET:def	le
blague	NOM	blague
du	PRP:det	du
tire	NOM	tire
sur	PRP	sur
mon	DET:pos	mon
doigt	NOM	doigt
je	PRO:cls	je
vois	VER:pres	voir
pas	ADV	pas
trop	ADV	trop
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
peut	VER:pres	pouvoir
faire	VER:infi	faire
comme	KON	comme
blague	NOM	blague
à	PRP	à
qui	PRO:rel	qui
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
peut-être	ADV	peut-être
même	ADJ	même
que	KON	que
ses	DET:pos	son
ses	DET:pos	son
deux	NUM	@card@
enfants	NOM	enfant
là	ADV	là
ils	PRO:cls	il
le	PRO:clo	le
détestent	VER:pres	détester
aussi	ADV	aussi
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:cls	il
va	VER:pres	aller
leur	PRO:clo	lui
faire	VER:infi	faire
le	DET:def	le
coup	NOM	coup
de	PRP	de
partir	VER:infi	partir
et	KON	et
puis	KON	puis
euh	INT	euh
de	PRP	de
les	PRO:clo	le
abandonner	VER:infi	abandonner
eux	PRO:ton	eux
aussi	ADV	aussi
moi	PRO:ton	moi
je	PRO:cls	je
leur	PRO:clo	lui
souhaite	VER:pres	souhaiter
pas	ADV	pas
ça	PRO:ton	ça
non	FNO	non
plus	ADV	plus
bah	INT	bah
euh	INT	euh
je	PRO:cls	je
le	PRO:clo	le
souhaite	VER:pres	souhaiter
à	PRP	à
personne	NOM	personne
hein	INT	hein
xxx	NOM	<unknown>
ça	PRO:cls	ça
serait	VER:cond	être
pas	ADV	pas
un	DET:ind	un
mal	NOM	mal
euh	INT	euh
il	PRO:cls	il
gueulait	VER:impf	gueuler
sur	PRP	sur
mon	DET:pos	mon
demi	ADJ	demi
frère	NOM	frère
quand	KON	quand
il	PRO:cls	il
avait	VER:impf	avoir
euh	INT	euh
même	ADV	même
pas	ADV	pas
un	DET:ind	un
an	NOM	an
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
pleurait	VER:impf	pleurer
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
caissier	NOM	caissier
de	PRP	de
l'	DET:def	le
époque	NOM	époque
qui	PRO:rel	qui
a	AUX:pres	avoir
dit	VER:pper	dire
ça	PRO:ton	ça
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
il	PRO:cls	il
disait	VER:impf	dire
qu'	KON	que
il	PRO:clsi	il
en	PRO:clo	en
pouvait	VER:impf	pouvoir
plus	ADV	plus
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
gros	ADJ	gros
con	NOM	con
quand	KON	quand
ma	DET:pos	mon
mère	NOM	mère
lui	PRO:clo	lui
a	AUX:pres	avoir
demandé	VER:pper	demander
pourquoi	PRO:int	pourquoi
vous	PRO:cls	vous
vous	PRO:clo	vous
barrez	VER:pres	barrer
pas	ADV	pas
bah	INT	bah
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
me	PRO:clo	me
fait	VER:pres	faire
comprendre	VER:infi	comprendre
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
qu'	KON	que
une	DET:ind	un
merde	NOM	merde
et	KON	et
que	KON	que
pour	PRP	pour
réussir	VER:infi	réussir
il	PRO:cls	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
des	DET:ind	un
études	NOM	étude
co-	TRC	co-
faut	VER:pres	falloir
avoir	VER:infi	avoir
des	DET:ind	un
diplômes	NOM	diplôme
comme	KON	comme
lui	PRO:ton	lui
hum	FNO	hum
ça	PRO:cls	ça
a	AUX:pres	avoir
fait	VER:pper	faire
rigoler	VER:infi	rigoler
ma	DET:pos	mon
mère	NOM	mère
quel	DET:int	quel
diplôme	NOM	diplôme
bah	INT	bah
il	PRO:cls	il
dit	VER:pres	dire
toujours	ADV	toujours
qu'	KON	que
il	PRO:cls	il
est	AUX:pres	être
bardé	VER:pper	barder
de	PRP	de
diplômes	NOM	diplôme
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
expliqué	VER:pper	expliquer
qu'	KON	que
il	PRO:cls	il
avait	VER:impf	avoir
walou	NOM	<unknown>
rien	PRO:ind	rien
du	PRP:det	du
tout	ADV	tout
que	KON	que
pouic	NOM	<unknown>
euh	INT	euh
je	PRO:cls	je
croyais	VER:impf	croire
qu'	KON	que
il	PRO:cls	il
faisait	VER:impf	faire
de	PRP	de
la	DET:def	le
mécanique	ADJ	mécanique
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
disait	VER:impf	dire
qu'	KON	que
un	DET:ind	un
moment	NOM	moment
son	DET:pos	son
garage	NOM	garage
euh	INT	euh
je	PRO:cls	je
dis	VER:pres	dire
oui	FNO	oui
mais	KON	mais
il	PRO:cls	il
faisait	VER:impf	faire
que	KON	que
les	DET:def	le
vidanges	NOM	vidange
dès	PRP	dès
qu'	PRO:rel	que
il	PRO:clsi	il
fallait	VER:impf	falloir
faire	VER:infi	faire
autre	ADJ	autre
chose	NOM	chose
de	PRP	de
plus	ADV	plus
il	PRO:cls	il
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
il	PRO:cls	il
plantait	VER:impf	planter
la	DET:def	le
bagnole	NOM	bagnole
il	PRO:cls	il
a	VER:pres	avoir
vraiment	ADV	vraiment
tous	DET:pre	tout
les	DET:def	le
défauts	NOM	défaut
du	PRP:det	du
monde	NOM	monde
comme	KON	comme
je	PRO:cls	je
disais	VER:impf	dire
tout	ADV	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
truc	NOM	truc
de	PRP	de
fou	NOM	fou
ah	INT	ah
ben	INT	ben
même	ADV	même
d'	PRP	un
élocution	NOM	élocution
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
genre	NOM	genre
de	PRP	de
bonhomme	NOM	bonhomme
que	KON	que
tu	PRO:cls	tu
aurais	AUX:cond	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
enregistrer	VER:infi	enregistrer
parce	TRC	parce
que	KON	que
ils	PRO:cls	il
ont	VER:pres	avoir
tu	PRO:cls	tu
aurais	VER:cond	avoir
rien	PRO:ind	rien
compris	VER:pper	comprendre
il	PRO:cls	il
zozotait	VER:impf	zozoter
¤Pren¤	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
ces	DET:dem	ce
notes	NOM	note
avec	PRP	avec
une	DET:ind	un
soeur	NOM	soeur
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
¤Pren¤	NAM	<unknown>
et	KON	et
puis	KON	puis
euh	INT	euh
deux	NUM	@card@
un	DET:ind	un
demi	ADJ	demi
frère	NOM	frère
et	KON	et
une	DET:ind	un
demie	NOM	demi
soeur	NOM	soeur
qui	PRO:rel	qui
s'	PRO:clo	se
appellent	VER:pres	appeler
¤Pren¤	NAM	<unknown>
et	KON	et
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
faut	VER:pres	falloir
vraiment	ADV	vraiment
être	AUX:infi	être
con	ADJ	con
et	KON	et
quand	KON	quand
il	PRO:cls	il
était	AUX:impf	être
énervé	VER:pper	énerver
il	PRO:cls	il
bégayait	VER:impf	bégayer
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
faisait	VER:impf	faire
que	KON	que
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
petit	ADJ	petit
je	PRO:cls	je
comprenais	VER:impf	comprendre
rien	PRO:ind	rien
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
me	PRO:clo	me
racontait	VER:impf	raconter
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
que	KON	que
ta	DET:pos	ton
mère	NOM	mère
a	AUX:pres	avoir
pu	VER:pper	pouvoir
lui	PRO:clo	lui
trouver	VER:infi	trouver
hein	INT	hein
bah	INT	bah
elle	PRO:cls	elle
le	PRO:clo	le
trouvait	VER:impf	trouver
elle	PRO:cls	elle
le	PRO:clo	le
trouvait	VER:impf	trouver
sympathique	ADJ	sympathique
euh	INT	euh
il	PRO:cls	il
faisait	VER:impf	faire
un	DET:ind	un
peu	NOM	peu
rebelle	ADJ	rebelle
à	PRP	à
l'	DET:def	le
époque	NOM	époque
tu	PRO:cls	tu
vois	VER:pres	voir
euh	INT	euh
la	DET:def	le
pitié	NOM	pitié
non	FNO	non
mais	KON	mais
il	PRO:cls	il
fréquentait	VER:impf	fréquenter
d'	DET:ind	un
autres	ADJ	autre
gugus	NOM	<unknown>
puis	KON	puis
euh	INT	euh
puis	KON	puis
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
squattait	VER:impf	squatter
chez	PRP	chez
mes	DET:pos	mon
les	DET:def	le
grand	ADJ	grand
mes	DET:pos	mon
grands-parents	NOM	<unknown>
du	PRP:det	du
côté	NOM	côté
de	PRP	de
ma	DET:pos	mon
mère	NOM	mère
vu	VER:pper	voir
que	KON	que
son	DET:pos	son
frère	NOM	frère
et	KON	et
et	KON	et
¤Pren¤	NAM	<unknown>
était	VER:impf	être
avec	PRP	avec
euh	INT	euh
¤Pren¤	NAM	<unknown>
euh	INT	euh
la	DET:def	le
soeur	NOM	soeur
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
forcément	ADV	forcément
que	KON	que
au	PRP:det	au
bout	NOM	bout
d'	PRP	un
un	DET:ind	un
moment	NOM	moment
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
liens	NOM	lien
qui	PRO:rel	qui
se	PRO:clo	se
créent	VER:pres	créer
quoi	INT	quoi
hum	FNO	hum
enfin	ADV	enfin
euh	INT	euh
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
mal	NOM	mal
puis	KON	puis
eh	INT	eh
s'	KON	si
ils	PRO:cls	il
ét-	TRC	ét-
s'	KON	si
ils	PRO:cls	il
étaient	AUX:impf	être
pas	ADV	pas
sortis	VER:pper	sortir
ensemble	ADV	ensemble
tu	PRO:cls	tu
aurais	AUX:cond	avoir
pas	ADV	pas
un	DET:ind	un
beau	ADJ	beau
¤Pren¤	NAM	<unknown>
comme	KON	comme
moi	PRO:ton	moi
comme	KON	comme
copain	NOM	copain
hein	INT	hein
non	FNO	non
mais	KON	mais
il	PRO:cls	il
est	AUX:pres	être
devenu	VER:pper	devenir
complètement	ADV	complètement
con	ADJ	con
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
qui	PRO:rel	qui
s'	PRO:clo	se
est	AUX:pres	être
passé	VER:pper	passer
au	PRP:det	au
au	PRP:det	au
divorce	NOM	divorce
au	PRP:det	au
début	NOM	début
ça	PRO:cls	ça
allait	VER:impf	aller
coussi	NOM	<unknown>
coussa	NOM	<unknown>
quoi	INT	quoi
il	PRO:clsi	il
venait	VER:impf	venir
nous	PRO:clo	nous
chercher	VER:infi	chercher
un	DET:ind	un
week-end	NOM	week-end
sur	PRP	sur
deux	NUM	@card@
si	KON	si
ça	PRO:cls	ça
merdait	VER:impf	merder
pas	ADV	pas
entre	PRP	entre
temps	NOM	temps
oui	FNO	oui
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:cls	il
voulait	VER:impf	vouloir
plus	ADV	plus
avoir	VER:infi	avoir
aucun	DET:ind	aucun
rapport	NOM	rapport
avec	PRP	avec
ta	DET:pos	ton
mère	NOM	mère
et	KON	et
que	KON	que
mouais	FNO	mouais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
peut-être	ADV	peut-être
c'	PRO:cls	ce
est	VER:pres	être
peut-être	ADV	peut-être
des	DET:ind	un
fois	NOM	fois
ça	PRO:cls	ça
arrive	VER:pres	arriver
qu'	KON	que
il	PRO:clsi	il
peut-être	ADV	peut-être
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
mais	KON	mais
c'	PRO:cls	ce
était	VER:impf	être
toujours	ADV	toujours
le	DET:def	le
même	ADJ	même
truc	NOM	truc
tu	PRO:cls	tu
sais	VER:pres	savoir
l'	DET:def	le
après-midi	NOM	après-midi
il	PRO:cls	il
venait	VER:impf	venir
nous	PRO:clo	nous
chercher	VER:infi	chercher
on	PRO:cls	on
allait	VER:impf	aller
bouffer	VER:infi	bouffer
à	PRP	à
la	DET:def	le
cafetiè-	NOM	<unknown>
euh	INT	euh
à	PRP	à
la	DET:def	le
cafétéria	NOM	cafétéria
du	PRP:det	du
Cora	NAM:sig	<unknown>
xxx	NOM	<unknown>
on	PRO:cls	on
finissait	VER:impf	finir
euh	INT	euh
chez	PRP	chez
lui	PRO:ton	lui
oh	INT	oh
il	PRO:clsi	il
s'	PRO:clo	se
occupait	VER:impf	occuper
pas	ADV	pas
vraiment	ADV	vraiment
de	PRP	de
nous	PRO:ton	nous
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
avait	VER:impf	avoir
la	DET:def	le
station	NOM	station
service	NOM	service
à	PRP	à
gérer	VER:infi	gérer
donc	ADV	donc
en	PRO:clo	en
fait	VER:pres	faire
les	DET:def	le
week-end	NOM	week-end
là-bas	ADV	là-bas
je	PRO:cls	je
le	PRO:clo	le
voyais	VER:impf	voir
le	DET:def	le
temps	NOM	temps
de	PRP	de
midi	NOM	midi
et	KON	et
le	DET:def	le
soir	NOM	soir
on	PRO:cls	on
faisait	VER:impf	faire
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
on	PRO:cls	on
sortait	VER:impf	sortir
pas	ADV	pas
les	DET:def	le
soirs	NOM	soir
les	DET:def	le
samedis	NOM	samedi
soirs	NOM	soir
on	PRO:cls	on
faisait	VER:impf	faire
rien	PRO:ind	rien
on	PRO:cls	on
allait	VER:impf	aller
pas	ADV	pas
au	PRP:det	au
cinéma	NOM	cinéma
ou	KON	ou
quoi	INT	quoi
que	PRO:rel	que
se	PRO:clo	se
soit	VER:subp	être
on	PRO:cls	on
restait	VER:impf	rester
à	PRP	à
la	DET:def	le
maison	NOM	maison
et	KON	et
puis	KON	puis
je	PRO:cls	je
regardais	VER:impf	regarder
des	DET:ind	un
cassettes	NOM	cassette
il	PRO:cls	il
jouait	VER:impf	jouer
euh	INT	euh
à	PRP	à
la	DET:def	le
playstation	NOM	<unknown>
qu'	KON	que
il	PRO:clsi	il
m'	PRO:clo	me
avait	AUX:impf	avoir
racheté	VER:pper	racheter
mais	KON	mais
bon	INT	bon
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
deux	NUM	@card@
jeux	NOM	jeu
dont	PRO:rel	dont
deux	NUM	@card@
pourris	NOM	pourri
forcément	ADV	forcément
que	KON	que
je	PRO:cls	je
m'	PRO:clo	me
emmerdais	VER:impf	emmerder
des	DET:ind	un
vêtements	NOM	vêtement
qu'	KON	que
on	PRO:cls	on
rammenait	VER:impf	<unknown>
aussi	ADV	aussi
il	PRO:cls	il
avait	VER:impf	avoir
ça	PRO:ton	ça
je	PRO:cls	je
savais	VER:impf	savoir
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
il	PRO:clsi	il
nous	PRO:clo	nous
avait	AUX:impf	avoir
acheté	VER:pper	acheter
des	DET:ind	un
vêtements	NOM	vêtement
il	PRO:cls	il
voulait	VER:impf	vouloir
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
mette	VER:subp	mettre
les	DET:def	le
vêtements	NOM	vêtement
qu'	KON	que
on	PRO:cls	on
avait	VER:impf	avoir
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
truc	NOM	truc
ça	PRO:ton	ça
il	PRO:cls	il
voulait	VER:impf	vouloir
pas	ADV	pas
les	DET:def	le
vêtements	NOM	vêtement
que	KON	que
ma	DET:pos	mon
mère	NOM	mère
nous	PRO:clo	nous
av-	TRC	av-
nous	PRO:clo	nous
avait	AUX:impf	avoir
acheté	VER:pper	acheter
il	PRO:clsi	il
nous	PRO:clo	nous
avait	AUX:impf	avoir
acheté	VER:pper	acheter
nos	DET:pos	notre
