eh	INT	eh
fait	VER:pres	faire
le	DET:def	le
tour	NOM	tour
regarde	VER:impe	regarder
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
tour	NOM	tour
de	PRP	de
ça	PRO:ton	ça
.	NAM	<unknown>
il	PRO:clsi	il
le	PRO:clo	le
mange	VER:pres	manger
un	DET:ind	un
renard	NOM	renard
chien	NOM	chien
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
un	DET:ind	un
blaireau	NOM	blaireau
un	DET:ind	un
blaireau	NOM	blaireau
hum	FNO	hum
ça	PRO:cls	ça
vit	VER:pres	vivre
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
un	DET:ind	un
hérisson	NOM	hérisson
oh	INT	oh
et	KON	et
là	ADV	là
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
?	NOM:sig	<unknown>
beurk	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
bébé	NOM	bébé
hérisson	NOM	hérisson
quand	KON	quand
il	PRO:cls	il
naît	VER:pres	naître
bébé	NOM	bébé
hérisson	NOM	hérisson
il	PRO:cls	il
est	VER:pres	être
tout	ADV	tout
moche	ADJ	moche
hein	INT	hein
.	NAM	<unknown>
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
tout	ADV	tout
moche	ADJ	moche
celui-là	PRO:dem	celui-là
et	KON	et
après	ADV	après
quand	KON	quand
il	PRO:cls	il
grandit	VER:pres	grandir
il	PRO:cls	il
est	VER:pres	être
beau	ADJ	beau
avec	PRP	avec
ses	DET:pos	son
tous	DET:pre	tout
ses	DET:pos	son
piques	NOM	pique
il	PRO:cls	il
est	VER:pres	être
mignon	ADJ	mignon
quand	KON	quand
même	ADV	même
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
ils	PRO:cls	il
sont	VER:pres	être
blancs	ADJ	blanc
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
le	DET:def	le
hérissons	NOM	hérisson
mais	KON	mais
l'	DET:def	le
hérisson	NOM	hérisson
là	ADV	là
avec	PRP	avec
ses	DET:pos	son
piquants	NOM	piquant
ils	PRO:cls	il
sont	VER:pres	être
blancs	ADJ	blanc
oui	FNO	oui
au	PRP:det	au
début	NOM	début
ils	PRO:cls	il
sont	VER:pres	être
tout	ADV	tout
blancs	ADJ	blanc
puis	KON	puis
après	ADV	après
ils	PRO:cls	il
deviennent	VER:pres	devenir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
hum	FNO	hum
grands	ADJ	grand
grands	ADJ	grand
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
grands	ADJ	grand
et	KON	et
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
marrons	ADJ	marron
.	NAM	<unknown>
ah	INT	ah
ben	INT	ben
voilà	FNO	voilà
sa	DET:pos	son
maison	NOM	maison
son	DET:pos	son
béb-	NOM	<unknown>
ses	DET:pos	son
bébés	NOM	bébé
c'	PRO:cls	ce
est	VER:pres	être
ses	DET:pos	son
bébés	NOM	bébé
Mais	KON	mais
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
combien	PRO:int	combien
.	NOM:sig	<unknown>
un	NUM	@card@
deux	NUM	@card@
trois	NUM	@card@
quatre	NUM	@card@
quatre	NUM	@card@
hum	FNO	hum
bébés	NOM	bébé
eh	INT	eh
ben	INT	ben
dis	VER:pres	dire
donc	ADV	donc
quatre	NUM	@card@
il	PRO:cls	il
fait	VER:pres	faire
une	DET:ind	un
maison	NOM	maison
sous	PRP	sous
les	DET:def	le
feuilles	NOM	feuille
pour	PRP	pour
avoir	VER:infi	avoir
bien	ADV	bien
chaud	ADJ	chaud
xxx	NOM	<unknown>
et	KON	et
la	DET:def	le
nuit	NOM	nuit
tombée	VER:pper	tomber
et	KON	et
alors	ADV	alors
quand	KON	quand
la	DET:def	le
nuit	NOM	nuit
est	AUX:pres	être
tombée	VER:pper	tomber
il	PRO:cls	il
faut	VER:pres	falloir
rentrer	VER:infi	rentrer
il	PRO:cls	il
faut	VER:pres	falloir
rentrer	VER:infi	rentrer
dans	PRP	dans
la	DET:def	le
maison	NOM	maison
sous	PRP	sous
les	DET:def	le
feuilles	NOM	feuille
hum	FNO	hum
et	KON	et
regarde	VER:pres	regarder
comment	PRO:int	comment
ils	PRO:cls	il
se	PRO:clo	se
mettent	VER:pres	mettre
sous	PRP	sous
les	DET:def	le
feuilles	NOM	feuille
regarde	VER:impe	regarder
ils	PRO:cls	il
se	PRO:clo	se
cachent	VER:pres	cacher
ils	PRO:cls	il
se	PRO:clo	se
cachent	VER:pres	cacher
et	KON	et
puis	KON	puis
ils	PRO:cls	il
se	PRO:clo	se
mettent	VER:pres	mettre
comme	KON	comme
ça	PRO:ton	ça
tout	PRO:ind	tout
en	PRP	en
boule	NOM	boule
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
on	PRO:cls	on
voit	VER:pres	voir
plus	ADV	plus
ses	DET:pos	son
pattes	NOM	patte
et	KON	et
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
prêts	ADJ	prêt
pour	PRP	pour
dormir	VER:infi	dormir
ils	PRO:cls	il
se	PRO:clo	se
mettent	VER:pres	mettre
tout	PRO:ind	tout
en	PRO:clo	en
boule	VER:pres	bouler
t-	TRC	t-
roule	VER:pres	rouler
roule	VER:pres	rouler
roule	NOM	roule
roule	VER:pres	rouler
tout	PRO:ind	tout
en	PRP	en
boule	NOM	boule
hum	FNO	hum
hum	FNO	hum
et	KON	et
ils	PRO:cls	il
à	PRP	à
la	DET:def	le
maison	NOM	maison
sont	AUX:pres	être
rentrés	VER:pper	rentrer
à	PRP	à
la	DET:def	le
maison	NOM	maison
là	ADV	là
oui	FNO	oui
ils	PRO:cls	il
sont	AUX:pres	être
rentrés	VER:pper	rentrer
à	PRP	à
la	DET:def	le
maison	NOM	maison
quand	KON	quand
bou-	TRC	<unknown>
quand	KON	quand
quand	KON	quand
ils	PRO:cls	il
sont	VER:pres	être
tout	PRO:ind	tout
en	PRP	en
boule	NOM	boule
ils	PRO:cls	il
sont	AUX:pres	être
rentrés	VER:pper	rentrer
à	PRP	à
la	DET:def	le
maison	NOM	maison
hum	FNO	hum
exactement	ADV	exactement
oh	INT	oh
puis	KON	puis
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
d'	DET:ind	un
autres	ADJ	autre
hérissons	NOM	hérisson
regarde	VER:impe	regarder
ils	PRO:cls	il
mangent	VER:pres	manger
ils	PRO:cls	il
mangent	VER:pres	manger
une	DET:ind	un
mouche	NOM	mouche
.	NAM	<unknown>
nan	NOM	<unknown>
ils	PRO:cls	il
mangent	VER:pres	manger
pas	ADV	pas
une	DET:ind	un
mouche	NOM	mouche
regarde	VER:impe	regarder
faut	VER:pres	falloir
approcher	VER:infi	approcher
faut	VER:pres	falloir
approcher	VER:infi	approcher
faut	VER:pres	falloir
a-	TRC	a-
alors	ADV	alors
voit	VER:pres	voir
pas	ADV	pas
très	ADV	très
bien	ADV	bien
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
on	PRO:cls	on
dirait	VER:cond	dire
comme	KON	comme
un	DET:ind	un
scarabée	NOM	scarabée
un	DET:ind	un
peu	NOM	peu
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
scarabée	NOM	scarabée
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
scarabée	NOM	scarabée
hum	FNO	hum
un	DET:ind	un
cheval	NOM	cheval
comme	KON	comme
des	DET:ind	un
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
bâtons	NOM	bâton
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
des	DET:ind	un
grands	ADJ	grand
bâtons	NOM	bâton
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
grands	ADJ	grand
piques	NOM	pique
du	PRP:det	du
porc-épic	NOM	<unknown>
du	PRP:det	du
porc-épic	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
gros	ADJ	gros
hérisson	NOM	hérisson
eh	INT	eh
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
oh	INT	oh
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
grande	ADJ	grand
queue	NOM	queue
hum	FNO	hum
oh	INT	oh
oui	FNO	oui
je	PRO:cls	je
sais	VER:pres	savoir
et	KON	et
voilà	FNO	voilà
et	KON	et
voilà	FNO	voilà
un	DET:ind	un
livre	NOM	livre
pour	PRP	pour
moi	PRO:ton	moi
la	DET:def	le
coccinelle	NOM	coccinelle
mais	KON	mais
je	PRO:cls	je
l'	PRO:clo	le
ai	VER:pres	avoir
pas	ADV	pas
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
ai	VER:pres	avoir
ça	PRO:ton	ça
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
ça	PRO:ton	ça
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
attends	VER:impe	attendre
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
ai	VER:pres	avoir
pas	ADV	pas
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
ai	VER:pres	avoir
pas	ADV	pas
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
pas	ADV	pas
j'	PRO:cls	je
ai	VER:pres	avoir
que	KON	que
s-	TRC	s-
j'	PRO:cls	je
ai	VER:pres	avoir
que	KON	que
celui-là	PRO:dem	celui-là
c'	PRO:cls	ce
est	VER:pres	être
sur	PRP	sur
le	DET:def	le
sur	PRP	sur
quel	DET:int	quel
euh	INT	euh
sujet	NOM	sujet
ça	PRO:ton	ça
?	NAM	<unknown>
ça	PRO:cls	ça
raconte	VER:pres	raconter
quoi	INT	quoi
cette	DET:dem	ce
histoire	NOM	histoire
.	VER:impe	<unknown>
attends	VER:impe	attendre
le	DET:def	le
.	NOM:sig	<unknown>
de	PRP	de
l'	DET:def	le
arbre	NOM	arbre
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
arbre	NOM	arbre
on	PRO:cls	on
prend	VER:pres	prendre
l'	DET:def	le
autre	ADJ	autre
.	NOM	<unknown>
qu'	KON	que
est-ce-que	NOM	<unknown>
tu	PRO:cls	tu
avais	AUX:impf	avoir
choisi	VER:pper	choisir
comme	KON	comme
autre	ADJ	autre
histoire	NOM	histoire
.	NOM:sig	<unknown>
un	DET:ind	un
poisson	NOM	poisson
ah	INT	ah
le	DET:def	le
poisson	NOM	poisson
tu	PRO:cls	tu
te	PRO:clo	te
rappelles	VER:pres	rappeler
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
plus	ADV	plus
.	NOM:sig	<unknown>
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Arc-en-ciel	NOM	<unknown>
Arc-en-ciel	NOM	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
Arc-en-ciel	NOM	<unknown>
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
parce	TRC	parce
que	KON	que
regarde	VER:impe	regarder
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
écailles	NOM	écaille
de	PRP	de
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
même	ADV	même
qui	PRO:rel	qui
brillent	VER:pres	briller
hum	FNO	hum
encore	ADV	encore
un	DET:ind	un
Arc-en-ciel	NOM	<unknown>
encore	ADV	encore
là	ADV	là
alors	ADV	alors
un	DET:ind	un
Arc-en-ciel	NOM	<unknown>
hé	INT	hé
un	DET:ind	un
escargot	NOM	escargot
et	KON	et
il	PRO:clsi	il
se	PRO:clo	se
roule	VER:pres	rouler
en	PRP	en
boule	NOM	boule
il	PRO:clsi	il
se	PRO:clo	se
roule	VER:pres	rouler
en	PRP	en
boule	NOM	boule
bah	INT	bah
aussi	ADV	aussi
les	DET:def	le
escargots	NOM	escargot
comme	KON	comme
l-	TRC	l-
comme	KON	comme
les	DET:def	le
=z=	NOM:sig	<unknown>
hérissons	NOM	hérisson
ils	PRO:cls	il
se	PRO:clo	se
roulent	VER:pres	rouler
en	PRP	en
boule	NOM	boule
comme	KON	comme
comme	KON	comme
les	DET:def	le
comme	KON	comme
les	DET:def	le
escargots	NOM	escargot
et	KON	et
les	DET:def	le
=z=	NOM:sig	<unknown>
hérissons	NOM	hérisson
ils	PRO:cls	il
se	PRO:clo	se
roulent	VER:pres	rouler
en	PRP	en
boule	NOM	boule
ouais	FNO	ouais
et	KON	et
euh	INT	euh
et	KON	et
et	KON	et
le	DET:def	le
violet	NOM	violet
exactement	ADV	exactement
par-	TRC	par-
aussi	ADV	aussi
il	PRO:clsi	il
se	PRO:clo	se
roule	VER:pres	rouler
en	PRP	en
boule	NOM	boule
hum	FNO	hum
hum	FNO	hum
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
plutôt	ADV	plutôt
un	DET:ind	un
coquillage	NOM	coquillage
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:clsi	il
s'	PRO:clo	se
accroche	VER:pres	accrocher
dans	PRP	dans
les	DET:def	le
rochers	NOM	rocher
au	PRP:det	au
fond	NOM	fond
de	PRP	de
la	DET:def	le
mer	NOM	mer
ouais	FNO	ouais
alors	ADV	alors
le	DET:def	le
poisson	NOM	poisson
il	PRO:cls	il
nage	VER:pres	nager
il	PRO:cls	il
fait	VER:pres	faire
des	DET:ind	un
grosses	ADJ	gros
bulles	NOM	bulle
il	PRO:cls	il
dit	VER:pres	dire
va-t'en	ADJ	<unknown>
va-t'en	NOM	<unknown>
va-t'en	ADJ	<unknown>
va-t'en	NOM	<unknown>
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
il	PRO:cls	il
ap-	TRC	ap-
il	PRO:cls	il
appelle	VER:pres	appeler
tous	DET:pre	tout
ses	DET:pos	son
amis	NOM	ami
pour	PRP	pour
venir	VER:infi	venir
jouer	VER:infi	jouer
avec	PRP	avec
lui	PRO:ton	lui
hein	INT	hein
.	NAM	<unknown>
il	PRO:cls	il
veut	VER:pres	vouloir
il	PRO:cls	il
dit	VER:pres	dire
venez	VER:impe	venir
venez	VER:impe	venir
venez	VER:impe	venir
jouer	VER:infi	jouer
avec	PRP	avec
nous	PRO:ton	nous
nan	NOM	<unknown>
il	PRO:cls	il
vient	VER:pres	venir
jouer	VER:infi	jouer
avec	PRP	avec
lui	PRO:ton	lui
et	KON	et
tous	DET:pre	tout
ses	DET:pos	son
amis	NOM	ami
ils	PRO:cls	il
sortent	VER:pres	sortir
des	DET:ind	un
rochers	NOM	rocher
pour	PRP	pour
le	PRO:clo	le
suivre	VER:infi	suivre
hé	INT	hé
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
fait	VER:pres	faire
là	ADV	là
avec	PRP	avec
sa	DET:pos	son
bouche	NOM	bouche
.	NAM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
des	DET:ind	un
bulles	NOM	bulle
pour	PRP	pour
respirer	VER:infi	respirer
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
et	KON	et
avec	PRP	avec
sa	DET:pos	son
bouche	NOM	bouche
qu'	PRO:rel	que
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
.	ADJ	<unknown>
comme	KON	comme
ça	PRO:ton	ça
nan	NOM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
juste	ADV	juste
comme	KON	comme
ça	PRO:ton	ça
ah	INT	ah
d'	PRP	un
accord	NOM	accord
hé	INT	hé
hop	INT	hop
et	KON	et
après	ADV	après
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
ptites	ADJ	<unknown>
bulles	NOM	bulle
qui	PRO:rel	qui
sortent	VER:pres	sortir
il	PRO:cls	il
respire	VER:pres	respirer
ouais	FNO	ouais
il	PRO:cls	il
souffle	VER:pres	souffler
il	PRO:cls	il
souffle	VER:pres	souffler
voilà	FNO	voilà
il	PRO:cls	il
tourne	VER:pres	tourner
un	DET:ind	un
poisson	NOM	poisson
il	PRO:cls	il
arrive	VER:pres	arriver
oh	INT	oh
il	PRO:cls	il
ressemble	VER:pres	ressembler
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
à	PRP	à
Arc-en-ciel	NOM	<unknown>
celui-là	PRO:dem	celui-là
hein	INT	hein
tu	PRO:cls	tu
trouves	VER:pres	trouver
hum	FNO	hum
pas	ADV	pas
.	VER:simp	<unknown>
ben	INT	ben
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
prendre	VER:infi	prendre
des	DET:ind	un
couleurs	NOM	couleur
tu	PRO:cls	tu
trouves	VER:pres	trouver
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
couleurs	NOM	couleur
.	NAM	<unknown>
regarde	VER:impe	regarder
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
couleurs	NOM	couleur
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
couleurs	NOM	couleur
ah	INT	ah
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
les	DET:def	le
mêmes	ADJ	même
couleurs	NOM	couleur
?	NAM	<unknown>
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
comme	KON	comme
couleurs	NOM	couleur
Arc-en-ciel	NOM	<unknown>
.	NAM	<unknown>
ben	INT	ben
euh	INT	euh
euh	INT	euh
il	PRO:cls	il
a	VER:pres	avoir
comme	KON	comme
le	DET:def	le
visage	NOM	visage
mais	KON	mais
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
même	ADJ	même
rouge	NOM	rouge
à	PRP	à
lèvres	NOM	lèvre
ah	INT	ah
bon	INT	bon
et	KON	et
il	PRO:cls	il
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
visage	NOM	visage
un	DET:ind	un
visage	NOM	visage
ah	INT	ah
il	PRO:cls	il
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
visage	NOM	visage
un	DET:ind	un
visage	NOM	visage
un	DET:ind	un
visage	NOM	visage
un	DET:ind	un
visage	NOM	visage
alors	ADV	alors
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	VER:pres	avoir
comme	KON	comme
rouge	NOM	rouge
à	PRP	à
lèvres	NOM	lèvre
.	NAM	<unknown>
jaune	NOM	jaune
bleu	ADJ	bleu
hum	FNO	hum
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
le	DET:def	le
même	ADJ	même
hum	FNO	hum
et	KON	et
les	DET:def	le
écailles	NOM	écaille
elles	PRO:cls	elle
sont	VER:pres	être
de	PRP	de
quelles	DET:int	quel
couleurs	NOM	couleur
.	NAM	<unknown>
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
connais	VER:pres	connaître
les	DET:def	le
couleurs	NOM	couleur
ça	PRO:cls	ça
regarde	VER:pres	regarder
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
rouge	ADJ	rouge
ou	KON	ou
rose	ADJ	rose
oui	FNO	oui
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
vert	NOM	vert
de	PRP	de
vert	NOM	vert
là	ADV	là
là	ADV	là
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
bleu	NOM	bleu
de	PRP	de
la	DET:def	le
mer	NOM	mer
voilà	FNO	voilà
comme	KON	comme
le	DET:def	le
bleu	NOM	bleu
de	PRP	de
la	DET:def	le
mer	NOM	mer
et	KON	et
après	ADV	après
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
beaucoup	ADV	beaucoup
d-	TRC	d-
d'	PRP	un
écailles	NOM	écaille
qui	PRO:rel	qui
sont	VER:pres	être
toutes	ADV	tout
brillantes	ADJ	brillant
de	PRP	de
pleins	NOM	plein
de	PRP	de
couleurs	NOM	couleur
regarde	VER:pres	regarder
comment	PRO:int	comment
ça	PRO:cls	ça
fait	VER:pres	faire
pleins	ADJ	plein
d'	PRP	un
écailles	NOM	écaille
de	PRP	de
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
ah	INT	ah
ouais	FNO	ouais
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
joli	ADJ	joli
il	PRO:cls	il
dit	VER:pres	dire
va	VER:pres	aller
t'	PRO:clo	te
en	PRO:clo	en
vas	VER:impe	aller
t'	PRO:clo	te
en	PRP	en
et	KON	et
alors	ADV	alors
les	DET:def	le
autres	ADJ	autre
ils	PRO:cls	il
sont	VER:pres	être
jaloux	ADJ	jaloux
parce	TRC	parce
que	KON	que
Arc-en-ciel	NOM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
superbes	ADJ	superbe
écailles	NOM	écaille
ouais	FNO	ouais
et	KON	et
elles	PRO:cls	elle
sont	VER:pres	être
très	ADV	très
jolies	ADJ	joli
les	DET:def	le
autres	ADJ	autre
ils	PRO:cls	il
aimeraient	VER:cond	aimer
bien	ADV	bien
avoir	VER:infi	avoir
pareil	ADJ	pareil
ouais	FNO	ouais
ils	PRO:cls	il
aimeraient	VER:cond	aimer
bien	ADV	bien
avoir	VER:infi	avoir
pareil	ADJ	pareil
mais	KON	mais
il	PRO:cls	il
veut	VER:pres	vouloir
pas	ADV	pas
avoir	VER:infi	avoir
pareil	ADJ	pareil
hum	FNO	hum
ça	PRO:cls	ça
t'	PRO:clo	te
arrive	VER:pres	arriver
toi	PRO:ton	toi
parfois	ADV	parfois
de	PRP	de
vouloir	VER:infi	vouloir
des	DET:ind	un
choses	NOM	chose
que	KON	que
les	DET:def	le
autres	ADJ	autre
ont	AUX:pres	avoir
.	VER:pper	<unknown>
eh	INT	eh
ben	INT	ben
moi	PRO:ton	moi
euh	INT	euh
ben	INT	ben
mon	DET:pos	mon
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
moi	PRO:ton	moi
je	PRO:cls	je
m'	PRO:clo	me
énerve	VER:pres	énerver
aussi	ADV	aussi
comme	KON	comme
lui	PRO:ton	lui
je	PRO:cls	je
m'	PRO:clo	me
énerve	VER:pres	énerver
aussi	ADV	aussi
comme	KON	comme
lui	PRO:ton	lui
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
va-t'en	NOM	<unknown>
va-t'en	ADJ	<unknown>
ah	INT	ah
oui	FNO	oui
.	NAM	<unknown>
oui	FNO	oui
je	PRO:cls	je
dis	VER:pres	dire
aussi	ADV	aussi
comme	KON	comme
ça	PRO:ton	ça
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
t'	PRO:clo	te
énerves	VER:pres	énerver
parfois	ADV	parfois
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
des	DET:ind	un
fois	NOM	fois
il	PRO:cls	il
veut	VER:pres	vouloir
prendre	VER:infi	prendre
mes	DET:pos	mon
jouets	NOM	jouet
et	KON	et
pour	PRP	pour
ça	PRO:ton	ça
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
va-t'en	ADJ	<unknown>
va-t'en	NOM	<unknown>
qui	PRO:rel	qui
ça	PRO:cls	ça
veut	VER:pres	vouloir
prendre	VER:infi	prendre
tes	DET:pos	ton
jouets	NOM	jouet
.	NAM	<unknown>
poissons	NOM	poisson
poissons	NOM	poisson
là	ADV	là
ah	INT	ah
les	DET:def	le
poissons	NOM	poisson
là	ADV	là
poissons	NOM	poisson
là	ADV	là
tes	DET:pos	ton
amis	NOM	ami
peut-être	ADV	peut-être
aussi	ADV	aussi
oui	FNO	oui
ceux	PRO:dem	celui
avec	PRP	avec
qui	PRO:rel	qui
tu	PRO:cls	tu
joues	VER:pres	jouer
mm	NOM	<unknown>
et	KON	et
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
lui	PRO:clo	lui
arrive	VER:pres	arriver
à	PRP	à
l'	DET:def	le
Arc-en-ciel	NOM	<unknown>
.	NAM	<unknown>
il	PRO:cls	il
parle	VER:pres	parler
à	PRP	à
l'	DET:def	le
ét-	TRC	ét-
à	PRP	à
l'	DET:def	le
étoile	NOM	étoile
de	PRP	de
mer	NOM	mer
il	PRO:cls	il
parle	VER:pres	parler
à	PRP	à
l'	DET:def	le
étoile	NOM	étoile
de	PRP	de
mer	NOM	mer
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
se	PRO:clo	se
sent	VER:pres	sentir
seul	ADJ	seul
peut	VER:pres	pouvoir
être	AUX:infi	être
.	VER:pper	<unknown>
oui	FNO	oui
je	PRO:cls	je
le	PRO:clo	le
sais	VER:pres	savoir
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
tu	PRO:cls	tu
trouves	VER:pres	trouver
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
triste	ADJ	triste
là	ADV	là
.	VER:simp	<unknown>
/je	MLT	<unknown>
il	PRO:clsi	il
.	VER:cond	<unknown>
trouve	VER:pres	trouver
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
il	PRO:clsi	il
va	VER:pres	aller
arriver	VER:infi	arriver
sur	PRP	sur
son	DET:pos	son
=z=yeux	NOM	<unknown>
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
va	VER:pres	aller
la	DET:def	le
bulle	NOM	bulle
elle	PRO:cls	elle
va	VER:pres	aller
arriver	VER:infi	arriver
sur	PRP	sur
son	DET:pos	son
=z=yeux	NOM	<unknown>
ah	INT	ah
la	DET:def	le
bulle	NOM	bulle
va	VER:pres	aller
arriver	VER:infi	arriver
sur	PRP	sur
son	DET:pos	son
oeil	NOM	oeil
ouais	FNO	ouais
et	KON	et
v-	TRC	v-
et	KON	et
