allez	INT	allez
demandé	VER:pper	demander
plein	ADV	plein
de	PRP	de
choses	NOM	chose
xxx	NOM	<unknown>
Maman	NOM	maman
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
tu	PRO:cls	tu
voulais	VER:impf	vouloir
un	DET:ind	un
ah	INT	ah
non	FNO	non
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
de	PRP	de
le	PRO:clo	le
dire	VER:infi	dire
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
surprise	NOM	surprise
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
surprise	NOM	surprise
alors	ADV	alors
hop	INT	hop
hop	INT	hop
tu	PRO:cls	tu
pars	VER:pres	partir
pas	ADV	pas
en	PRP	en
vacances	NOM	vacances
.	NAM	<unknown>
euh	INT	euh
non	FNO	non
non	FNO	non
tu	PRO:cls	tu
restes	VER:pres	rester
à	PRP	à
la	DET:def	le
maison	NOM	maison
.	NAM	<unknown>
oui	FNO	oui
une	DET:ind	un
semaine	NOM	semaine
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
poupée	NOM	poupée
là	ADV	là
tu	PRO:cls	tu
la	PRO:clo	le
prends	VER:pres	prendre
.	NAM	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
droit	NOM	droit
-la	NAM	<unknown>
prends	VER:impe	prendre
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
Audrey	NAM	<unknown>
ça	PRO:cls	ça
regarde	VER:pres	regarder
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
Audrey	NAM	<unknown>
ça	PRO:ton	ça
elle	PRO:cls	elle
est	VER:pres	être
belle	ADJ	beau
hein	INT	hein
.	NAM	<unknown>
et	KON	et
puis	KON	puis
.	NAM	<unknown>
faut	VER:pres	falloir
pas	ADV	pas
le	PRO:clo	le
défaire	VER:infi	défaire
ah	INT	ah
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poupée	NOM	poupée
en	PRP	en
chiffon	NOM	chiffon
ça	PRO:ton	ça
oh	INT	oh
oui	FNO	oui
oui	FNO	oui
hop	INT	hop
-ci	ADV	-ci
/celle	MLT	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ici/	MLT	<unknown>
une	DET:ind	un
poupée	NOM	poupée
en	PRP	en
chiffon	NOM	chiffon
elle	PRO:cls	elle
est	VER:pres	être
belle	ADJ	beau
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
xxx	NOM	<unknown>
puis	KON	puis
doudou	NOM	doudou
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poupée	NOM	poupée
en	PRP	en
chiffon	NOM	chiffon
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
rangé	VER:pper	ranger
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
belle	ADJ	beau
poupée	NOM	poupée
hein	INT	hein
.	NAM	<unknown>
eh	INT	eh
oui	FNO	oui
hein	INT	hein
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
?	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
beaucoup	ADV	beaucoup
de	PRP	de
poupées	NOM	poupée
à	PRP	à
la	DET:def	le
maison	NOM	maison
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
.	VER:impe	<unknown>
regarde	VER:impe	regarder
elle	PRO:cls	elle
tombe	VER:pres	tomber
hum	FNO	hum
regarde	VER:impe	regarder
tu	PRO:cls	tu
peux	VER:pres	pouvoir
même	ADV	même
défaire	VER:infi	défaire
le	DET:def	le
chapeau	NOM	chapeau
comme	KON	comme
ça	PRO:ton	ça
xxx	NOM	<unknown>
xxx	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
plus	ADV	plus
belle	ADJ	beau
comme	KON	comme
ça	PRO:ton	ça
non	FNO	non
.	NAM	<unknown>
oui	FNO	oui
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
plus	ADV	plus
belle	ADJ	beau
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
comme	KON	comme
ça	PRO:ton	ça
si	KON	si
si	KON	si
elle	PRO:ton	elle
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
joli	ADJ	joli
hein	INT	hein
.	NAM	<unknown>
elle	PRO:cls	elle
défait	VER:pres	défaire
son	DET:pos	son
chapeau	NOM	chapeau
toute	ADV	tout
seule	ADJ	seul
