bon	INT	bon
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
ressenti	VER:pper	ressentir
pas	ADV	pas
ressenti	VER:pper	ressentir
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
quand	KON	quand
tu	PRO:cls	tu
parles	VER:pres	parler
d'	PRP	un
un	DET:ind	un
truc	NOM	truc
que	PRO:rel	que
t'	PRO:clo	te
as	AUX:pres	avoir
fais	VER:pres	faire
forcément	ADV	forcément
c'	PRO:cls	ce
est	VER:pres	être
vivant	ADJ	vivant
quand	KON	quand
tu	PRO:cls	tu
parles	VER:pres	parler
d'	PRP	un
un	DET:ind	un
truc	NOM	truc
que	PRO:rel	que
t'	PRO:clo	te
as	VER:pres	avoir
pas	ADV	pas
fais	VER:pres	faire
et	KON	et
que	KON	que
tu	PRO:cls	tu
mens	VER:pres	mentir
ça	PRO:cls	ça
se	PRO:clo	se
grille	VER:pres	griller
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
quoi	INT	quoi
donc	ADV	donc
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
fait	VER:pres	faire
soit	KON	soit
on	PRO:cls	on
fait	VER:pres	faire
signer	VER:infi	signer
ma	DET:pos	mon
mère	NOM	mère
mais	KON	mais
un	DET:ind	un
truc	NOM	truc
bidon	NOM	bidon
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
soit	KON	soit
on	PRO:cls	on
s'	PRO:clo	se
arrange	VER:pres	arranger
pour	PRP	pour
le	PRO:clo	le
faire	VER:infi	faire
mais	KON	mais
là	ADV	là
on	PRO:cls	on
à	PRP	à
plus	ADV	plus
le	DET:def	le
temps	NOM	temps
et	KON	et
fais	VER:pres	faire
gaffe	NOM	gaffe
il	PRO:clsi	il
y	PRO:clo	y
quelqu'un	PRO:ind	quelqu'un
de	PRP	de
l'	DET:def	le
administration	NOM	administration
qui	PRO:rel	qui
arrive	VER:pres	arriver
derrière	ADV	derrière
c'	PRO:cls	ce
est	VER:pres	être
ton	DET:pos	ton
pote	NOM	pote
d'	PRP	un
accord	NOM	accord
mais	KON	mais
euh	INT	euh
ouais	FNO	ouais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
du	PRP:det	du
tout	ADV	tout
du	PRP:det	du
tout	ADV	tout
parce	TRC	parce
que	KON	que
euh	INT	euh
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
déjà	ADV	déjà
il	PRO:cls	il
va	VER:pres	aller
falloir	VER:infi	falloir
que	KON	que
t'	PRO:clo	te
appelles	VER:pres	appeler
ta	DET:pos	ton
mère	NOM	mère
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
quoi	INT	quoi
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
et	KON	et
euh	INT	euh
attention	INT	attention
à	PRP	à
l'	DET:def	le
insolation	NOM	insolation
ouais	FNO	ouais
oh	INT	oh
ça	PRO:cls	ça
fait	VER:pres	faire
du	DET:par	du
bien	ADV	bien
là	ADV	là
après	ADV	après
faut	VER:pres	falloir
en	PRO:clo	en
profiter	VER:infi	profiter
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
ne	ADV	ne
sait	VER:pres	savoir
jamais	ADV	jamais
mais	KON	mais
euh	INT	euh
ouais	FNO	ouais
sinon	ADV	sinon
alors	ADV	alors
le	DET:def	le
français	NOM	français
c'	PRO:cls	ce
était	VER:impf	être
comment	PRO:int	comment
euh	INT	euh
attends	VER:impe	attendre
que	KON	que
le	DET:def	le
gars	NOM	gars
qu'	KON	que
il	PRO:cls	il
passe	VER:pres	passer
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
bien	ADV	bien
c'	PRO:cls	ce
était	VER:impf	être
génial	ADJ	génial
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
elle	PRO:cls	elle
nous	PRO:clo	nous
à	PRP	à
ramené	VER:pper	ramener
des	DET:ind	un
gâteaux	NOM	gâteau
des	PRP:det	du
bonbons	NOM	bonbon
des	PRP:det	du
chocolats	NOM	chocolat
tiens	INT	tiens
il	PRO:clsi	il
m'	PRO:clo	me
en	PRO:clo	en
reste	VER:pres	rester
des	DET:ind	un
bonbons	NOM	bonbon
au	PRP:det	au
fait	NOM	fait
t'	PRO:clo	te
en	PRO:clo	en
veux	VER:pres	vouloir
ouais	FNO	ouais
attends	VER:impe	attendre
non	FNO	non
mais	KON	mais
trop	ADV	trop
mignonne	ADJ	mignon
elle	PRO:cls	elle
dit	VER:pres	dire
moi	PRO:ton	moi
je	PRO:cls	je
vous	PRO:clo	vous
materne	VER:pres	materner
aujourd'hui	ADV	aujourd'hui
elle	PRO:cls	elle
est	AUX:pres	être
arrivée	VER:pper	arriver
avec	PRP	avec
plein	ADV	plein
de	PRP	de
petits	ADJ	petit
gâteaux	NOM	gâteau
je	PRO:cls	je
vous	PRO:clo	vous
donne	VER:pres	donner
du	PRP:det	du
sucre	NOM	sucre
pour	PRP	pour
vous	PRO:clo	vous
donner	VER:infi	donner
du	PRP:det	du
courage	NOM	courage
c'	PRO:cls	ce
était	VER:impf	être
trop	ADV	trop
chou	NOM	chou
non	FNO	non
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
j'	PRO:cls	je
étais	VER:impf	être
trop	ADV	trop
deg	NOM	<unknown>
parce	TRC	parce
que	KON	que
du	PRP:det	du
coup	NOM	coup
j'	PRO:cls	je
ai	AUX:pres	avoir
quitté	VER:pper	quitter
super	ADV	super
tard	ADV	tard
le	DET:def	le
boulot	NOM	boulot
et	KON	et
euh	INT	euh
parce	TRC	parce
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
bah	INT	bah
tu	PRO:cls	tu
sais	VER:pres	savoir
avec	PRP	avec
les	DET:def	le
gens	NOM	gens
euh	INT	euh
de	PRP	de
mon	DET:pos	mon
équipe	NOM	équipe
et	KON	et
tout	PRO:ind	tout
tu	PRO:cls	tu
vois	VER:pres	voir
ça	PRO:ton	ça
mais	KON	mais
je	PRO:cls	je
ne	ADV	ne
les	PRO:clo	le
supporte	VER:pres	supporter
plus	ADV	plus
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
on	PRO:cls	on
parlait	VER:impf	parler
avec	PRP	avec
ma	DET:pos	mon
collègue	NOM	collègue
on	PRO:cls	on
était	VER:impf	être
là	ADV	là
en	PRP	en
mode	NOM	mode
euh	INT	euh
ouais	FNO	ouais
euh	INT	euh
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
on	PRO:cls	on
les	PRO:clo	le
supporte	VER:pres	supporter
plus	ADV	plus
nanana	INT	nanana
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
mon	DET:pos	mon
directeur	NOM	directeur
en	PRP	en
fait	NOM	fait
il	PRO:cls	il
était	VER:impf	être
super	ADV	super
mal	ADV	mal
à	PRP	à
cause	NOM	cause
de	PRP	de
plein	NOM	plein
de	PRP	de
trucs	NOM	truc
tu	PRO:cls	tu
vois	VER:pres	voir
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
a	AUX:pres	avoir
parlé	VER:pper	parler
en	PRP	en
fait	NOM	fait
pendant	PRP	pendant
une	DET:ind	un
heure	NOM	heure
avec	PRP	avec
mon	DET:pos	mon
directeur	NOM	directeur
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
juste	ADV	juste
nous	PRO:ton	nous
trois	NUM	@card@
tu	PRO:cls	tu
vois	VER:pres	voir
on	PRO:cls	on
a	AUX:pres	avoir
parlé	VER:pper	parler
machin	NOM	machin
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
ressentait	VER:impf	ressentir
et	KON	et
tout	PRO:ind	tout
tu	PRO:cls	tu
vois	VER:pres	voir
bon	INT	bon
le	DET:def	le
gars	NOM	gars
est	AUX:pres	être
parti	VER:pper	partir
on	PRO:cls	on
peut	VER:pres	pouvoir
reparler	VER:infi	reparler
du	PRP:det	du
du	PRP:det	du
de	PRP	de
notre	DET:pos	notre
problème	NOM	problème
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	PRO:int	quoi
faire	VER:infi	faire
honnêtement	ADV	honnêtement
là	ADV	là
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	PRO:int	quoi
faire	VER:infi	faire
hé	INT	hé
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
soleil	NOM	soleil
dans	PRP	dans
la	DET:def	le
gueule	NOM	gueule
moi	PRO:ton	moi
parce	TRC	parce
que	KON	que
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
pas	ADV	pas
obligé	VER:pper	obliger
de	PRP	de
faire	VER:infi	faire
ça	PRO:ton	ça
aujourd'hui	ADV	aujourd'hui
on	PRO:cls	on
peut	VER:pres	pouvoir
très	ADV	très
bien	ADV	bien
aller	VER:infi	aller
la	PRO:clo	le
revoir	VER:infi	revoir
et	KON	et
lui	PRO:clo	lui
faire	VER:infi	faire
écoutez	VER:impe	écouter
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
au	PRP:det	au
téléphone	NOM	téléphone
euh	INT	euh
on	PRO:cls	on
vous	PRO:clo	vous
recontacte	VER:pres	<unknown>
dans	PRP	dans
la	DET:def	le
semaine	NOM	semaine
on	PRO:cls	on
revient	VER:pres	revenir
dans	PRP	dans
la	DET:def	le
semaine	NOM	semaine
moi	PRO:ton	moi
ça	PRO:cls	ça
ne	ADV	ne
me	PRO:clo	me
dérange	VER:pres	déranger
pas	ADV	pas
de	PRP	de
revenir	VER:infi	revenir
un	DET:ind	un
coup	NOM	coup
à	PRP	à
l'	DET:def	le
arrache	NOM	arrache
ici	ADV	ici
mais	KON	mais
pas	ADV	pas
demain	ADV	demain
je	PRO:cls	je
prend	VER:pres	prendre
ta	DET:pos	ton
convention	NOM	convention
euh	INT	euh
oui	FNO	oui
non	FNO	non
mais	KON	mais
on	PRO:cls	on
s'	PRO:clo	se
en	PRO:clo	en
fout	VER:pres	foutre
tu	PRO:cls	tu
vois	VER:pres	voir
vu	VER:pper	voir
qu'	KON	que
ils	PRO:cls	il
les	PRO:clo	le
font	VER:pres	faire
aussi	ADV	aussi
sec	ADJ	sec
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
problème	NOM	problème
du	PRP:det	du
temps	NOM	temps
et	KON	et
comme	KON	comme
ça	PRO:ton	ça
nous	PRO:ton	nous
on	PRO:cls	on
a	VER:pres	avoir
le	DET:def	le
temps	NOM	temps
de	PRP	de
bien	ADV	bien
réfléchir	VER:infi	réfléchir
bien	ADV	bien
réfléchir	VER:infi	réfléchir
parce	TRC	parce
que	KON	que
euh	INT	euh
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
grosse	ADJ	gros
connerie	NOM	connerie
qu'	KON	que
on	PRO:cls	on
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
faire	VER:infi	faire
ça	PRO:cls	ça
peut	VER:pres	pouvoir
marcher	VER:infi	marcher
mais	KON	mais
ça	PRO:cls	ça
peut	VER:pres	pouvoir
très	ADV	très
bien	ADV	bien
nous	PRO:clo	nous
retomber	VER:infi	retomber
à	PRP	à
la	DET:def	le
gueule	NOM	gueule
c'	PRO:cls	ce
est	VER:pres	être
clair	ADJ	clair
parce	TRC	parce
que	PRO:rel	que
t'	PRO:clo	te
imagines	VER:pres	imaginer
on	PRO:cls	on
ne	ADV	ne
valide	VER:pres	valider
pas	ADV	pas
notre	DET:pos	notre
année	NOM	année
à	PRP	à
cause	NOM	cause
de	PRP	de
ça	PRO:ton	ça
ah	INT	ah
non	FNO	non
mais	KON	mais
t'	PRO:clo	te
imagines	VER:pres	imaginer
mais	KON	mais
on	PRO:cls	on
se	PRO:clo	se
fait	VER:pres	faire
virer	VER:infi	virer
à	PRP	à
cause	NOM	cause
de	PRP	de
ça	PRO:ton	ça
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
la	DET:def	le
fraude	NOM	fraude
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
non	FNO	non
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
que	KON	que
l'	DET:def	le
on	PRO:cls	on
se	PRO:clo	se
fasse	VER:subp	faire
virer	VER:infi	virer
par	PRP	par
contre	ADV	contre
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
xxx	NOM	<unknown>
notre	DET:pos	notre
année	NOM	année
elle	PRO:cls	elle
tombe	VER:pres	tomber
à	PRP	à
l'	DET:def	le
eau	NOM	eau
là	ADV	là
tiens	INT	tiens
on	PRO:cls	on
le	PRO:clo	le
partage	VER:pres	partager
merci	FNO	merci
non	FNO	non
mais	KON	mais
euh	INT	euh
je	PRO:cls	je
vais	VER:pres	aller
foutre	VER:infi	foutre
ça	PRO:ton	ça
à	PRP	à
la	DET:def	le
poubelle	NOM	poubelle
non	FNO	non
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
là	ADV	là
le	DET:def	le
problème	NOM	problème
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
la	DET:def	le
base	NOM	base
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
super	ADJ	super
bonne	ADJ	bon
idée	NOM	idée
tu	PRO:cls	tu
vois	VER:pres	voir
je	PRO:cls	je
t'	PRO:clo	te
en	PRO:clo	en
remercie	VER:pres	remercier
vraiment	ADV	vraiment
d'	PRP	un
ailleurs	ADV	ailleurs
pour	PRP	pour
ça	PRO:ton	ça
mais	KON	mais
là	ADV	là
je	PRO:cls	je
vois	VER:pres	voir
trop	ADV	trop
les	DET:def	le
mauvaises	ADJ	mauvais
conséquences	NOM	conséquence
je	PRO:cls	je
vois	VER:pres	voir
trop	ADV	trop
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
prendre	VER:infi	prendre
dans	PRP	dans
derrière	ADV	derrière
et	KON	et
franchement	ADV	franchement
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
flipper	VER:infi	flipper
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
là	ADV	là
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
ai	AUX:pres	avoir
trop	ADV	trop
bossé	VER:pper	bosser
pour	PRP	pour
ça	PRO:ton	ça
je	PRO:cls	je
recommence	VER:pres	recommencer
pas	ADV	pas
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
clair	ADJ	clair
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
après	ADV	après
toi	PRO:ton	toi
limite	NOM	limite
tu	PRO:cls	tu
t'	PRO:clo	te
en	PRO:clo	en
fous	VER:pres	foutre
tu	PRO:cls	tu
repars	VER:pres	repartir
à	PRP	à
¤T¤	NAM	¤T¤
t'	PRO:clo	te
arrives	VER:pres	arriver
au	PRP:det	au
truc	NOM	truc
et	KON	et
tout	PRO:ind	tout
voilà	FNO	voilà
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
serai	VER:futu	être
encore	ADV	encore
là	ADV	là
l'	DET:def	le
année	NOM	année
prochaine	ADJ	prochain
et	KON	et
ouais	FNO	ouais
enfin	ADV	enfin
même	ADV	même
parce	TRC	parce
que	KON	que
si	KON	si
ça	PRO:cls	ça
tombe	VER:pres	tomber
à	PRP	à
l'	DET:def	le
eau	NOM	eau
euh	INT	euh
ils	PRO:cls	il
me	PRO:clo	me
valident	VER:pres	valider
pas	ADV	pas
mon	DET:pos	mon
année	NOM	année
donc	ADV	donc
euh	INT	euh
t'	PRO:clo	te
imagines	VER:pres	imaginer
t'	PRO:clo	te
imagines	VER:pres	imaginer
je	PRO:cls	je
suis	VER:pres	être
admissible	ADJ	admissible
et	KON	et
euh	INT	euh
à	PRP	à
cause	NOM	cause
de	PRP	de
cette	DET:dem	ce
merde	NOM	merde
là	ADV	là
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
bah	INT	bah
tu	PRO:cls	tu
te	PRO:clo	te
dis	VER:pres	dire
en	PRP	en
fait	NOM	fait
que	KON	que
tout	PRO:ind	tout
peut	VER:pres	pouvoir
tomber	VER:infi	tomber
à	PRP	à
l'	DET:def	le
eau	NOM	eau
à	PRP	à
cause	NOM	cause
d'	PRP	un
une	DET:ind	un
connerie	NOM	connerie
qu'	KON	que
on	PRO:cls	on
fait	VER:pres	faire
quoi	INT	quoi
parce	TRC	parce
que	KON	que
après	ADV	après
les	DET:def	le
autres	ADJ	autre
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
que	KON	que
ça	PRO:ton	ça
ça	PRO:cls	ça
marche	VER:pres	marcher
dans	PRP	dans
les	DET:def	le
autres	ADJ	autre
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
vraiment	ADV	vraiment
notre	DET:pos	notre
prof	NOM:trc	professeur
il	PRO:cls	il
est	VER:pres	être
vraiment	ADV	vraiment
en	PRP	en
mode	NOM	mode
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
exprime	VER:pres	exprimer
son	DET:pos	son
truc	NOM	truc
et	KON	et
justement	ADV	justement
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
qui	PRO:rel	qui
est	VER:pres	être
intéressant	ADJ	intéressant
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
les	DET:def	le
oraux	ADJ	oral
t'	PRO:clo	te
es	AUX:pres	être
obligée	VER:pper	obliger
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
truc	NOM	truc
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
handicap	NOM	handicap
oui	FNO	oui
oh	INT	oh
bah	INT	bah
oui	FNO	oui
parce	TRC	parce
que	KON	que
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
on	PRO:cls	on
aurait	AUX:cond	avoir
pu	VER:pper	pouvoir
prendre	VER:infi	prendre
n'	ADV	ne
importe	VER:pres	importer
quoi	INT	quoi
on	PRO:cls	on
aurait	AUX:cond	avoir
pu	VER:pper	pouvoir
aller	VER:infi	aller
à	PRP	à
¤T¤	NAM	¤T¤
leur	PRO:clo	lui
dire	VER:infi	dire
on	PRO:cls	on
fait	VER:pres	faire
une	DET:ind	un
semaine	NOM	semaine
chez	PRP	chez
vous	PRO:ton	vous
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
non	FNO	non
mais	KON	mais
oui	FNO	oui
mais	KON	mais
non	FNO	non
bah	INT	bah
moi	PRO:ton	moi
je-	TRC	<unknown>
puis	KON	puis
même	ADV	même
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
coté	NOM	coté
intérêt	NOM	intérêt
moi	PRO:ton	moi
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
pas	ADV	pas
l'	DET:def	le
intérêt	NOM	intérêt
oh	INT	oh
putain	INT	putain
il	PRO:clsi	il
m'	PRO:clo	me
énerve	VER:pres	énerver
ce	DET:dem	ce
soleil	NOM	soleil
là	ADV	là
moi	PRO:ton	moi
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
pas	ADV	pas
tu	PRO:cls	tu
ne	ADV	ne
veux	VER:pres	vouloir
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
se	PRO:clo	se
pose	VER:pres	poser
là	ADV	là
bah	INT	bah
non	FNO	non
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
euh	INT	euh
non	FNO	non
mais	KON	mais
euh	INT	euh
oh	INT	oh
je	PRO:cls	je
suis	VER:pres	être
mal	ADV	mal
là	ADV	là
mais	KON	mais
euh	INT	euh
bah	INT	bah
tu	PRO:cls	tu
veux	VER:pres	vouloir
qu'	KON	que
on	PRO:cls	on
change	VER:pres	changer
de	PRP	de
coté	NOM	coté
comme	KON	comme
ça	PRO:ton	ça
toi	PRO:ton	toi
t'	PRO:clo	te
as	VER:pres	avoir
le	DET:def	le
dos	NOM	dos
on	PRO:cls	on
alterne	VER:pres	alterner
oui	FNO	oui
comme	KON	comme
ça	PRO:ton	ça
toi	PRO:ton	toi
tu	PRO:cls	tu
as	VER:pres	avoir
le	DET:def	le
dos	NOM	dos
on	PRO:cls	on
alterne	VER:pres	alterner
toutes	DET:pre	tout
les	DET:def	le
cinq	NUM	@card@
minutes	NOM	minute
non	FNO	non
mais	KON	mais
moi	PRO:ton	moi
ça	PRO:cls	ça
ne	ADV	ne
me	PRO:clo	me
gène	NOM	gène
pas	ADV	pas
en	PRP	en
plus	ADV	plus
regarde	VER:impe	regarder
le	DET:def	le
banc	NOM	banc
il	PRO:cls	il
est	VER:pres	être
trop	ADV	trop
cool	ADJ	cool
je	PRO:cls	je
peux	VER:pres	pouvoir
mettre	VER:infi	mettre
mes	DET:pos	mon
jambes	NOM	jambe
mais	KON	mais
euh	INT	euh
le	DET:def	le
truc	NOM	truc
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
les	DET:def	le
oraux	ADJ	oral
que	KON	que
je	PRO:cls	je
te	PRO:clo	te
racontais	VER:impf	raconter
tu	PRO:cls	tu
vois	VER:pres	voir
le	DET:def	le
gars	NOM	gars
il	PRO:cls	il
est	VER:pres	être
vraiment	ADV	vraiment
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
qui	PRO:rel	qui
est	VER:pres	être
intéressant	ADJ	intéressant
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
du	PRP:det	du
coup	NOM	coup
tu	PRO:cls	tu
apprends	VER:pres	apprendre
plein	ADV	plein
de	PRP	de
trucs	NOM	truc
des	PRP:det	du
autres	ADJ	autre
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:cls	il
n'	ADV	ne
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
cours	NOM	cours
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
par	PRP	par
rapport	NOM	rapport
à	PRP	à
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
as	AUX:pres	avoir
ressenti	VER:pper	ressentir
et	KON	et
hop	INT	hop
chacun	PRO:ind	chacun
exprime	VER:pres	exprimer
son	DET:pos	son
truc	NOM	truc
donc	ADV	donc
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
handicap	NOM	handicap
il	PRO:cls	il
y	PRO:clo	y
aurait	AUX:cond	avoir
quoi	INT	quoi
il	PRO:cls	il
y	PRO:clo	y
aurait	AUX:cond	avoir
soit	KON	soit
une	DET:ind	un
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
soit	KON	soit
un	DET:ind	un
institut	NOM	institut
mais	KON	mais
un	DET:ind	un
institut	NOM	institut
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
le	DET:def	le
gros	ADJ	gros
bordel	NOM	bordel
parce	TRC	parce
que	PRO:rel	que
faut	VER:pres	falloir
là	ADV	là
là	ADV	là
là	ADV	là
on	PRO:cls	on
a	VER:pres	avoir
plus	ADV	plus
le	DET:def	le
temps	NOM	temps
faut	VER:pres	falloir
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
quelqu'un	PRO:ind	quelqu'un
que	KON	que
l'	DET:def	le
on	PRO:cls	on
connait	VER:impf	<unknown>
tu	PRO:cls	tu
crois	VER:pres	croire
ah	INT	ah
ouais	FNO	ouais
on	PRO:cls	on
a	VER:pres	avoir
plus	ADV	plus
le	DET:def	le
temps	NOM	temps
là	ADV	là
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
long	ADJ	long
ou	KON	ou
alors	ADV	alors
faut	VER:pres	falloir
faut	VER:pres	falloir
chopper	VER:infi	chopper
quelqu'un	PRO:ind	quelqu'un
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
et	KON	et
le	PRO:clo	le
faire	VER:infi	faire
pendant	PRP	pendant
les	DET:def	le
grandes	ADJ	grand
vacances	NOM	vacances
mais	KON	mais
moi	PRO:ton	moi
perso	NOM	<unknown>
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
chier	VER:infi	chier
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
ne	ADV	ne
suis	VER:pres	être
pas	ADV	pas
là	ADV	là
pendant	PRP	pendant
les	DET:def	le
grandes	ADJ	grand
vacances	NOM	vacances
bah	INT	bah
voilà	FNO	voilà
toi	PRO:ton	toi
t'	PRO:clo	te
es	VER:pres	être
pas	ADV	pas
là	ADV	là
moi	PRO:ton	moi
perso	NOM	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
quand	KON	quand
même	ADV	même
envie	NOM	envie
de	PRP	de
bosser	VER:infi	bosser
non	FNO	non
non	FNO	non
non	FNO	non
non	FNO	non
il	PRO:cls	il
faut	VER:pres	falloir
qu'	KON	que
on	PRO:cls	on
ait	VER:subp	avoir
fait	VER:pper	faire
ça	PRO:ton	ça
avant	PRP	avant
juillet	NOM	juillet
hein	INT	hein
parce	TRC	parce
que	KON	que
oui	FNO	oui
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:clsi	il
serait	VER:cond	être
xxx	NOM	<unknown>
mais	KON	mais
regarde	VER:impe	regarder
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
elle	PRO:cls	elle
a	AUX:pres	avoir
vu	VER:pper	voir
deux	NUM	@card@
jours	NOM	jour
elle	PRO:cls	elle
a	AUX:pres	avoir
rien	PRO:ind	rien
dit	VER:pper	dire
oui	FNO	oui
donc	ADV	donc
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
deux	NUM	@card@
jours	NOM	jour
ça	PRO:cls	ça
passe	VER:pres	passer
deux	NUM	@card@
jours	NOM	jour
ça	PRO:cls	ça
passe	VER:pres	passer
on	PRO:cls	on
peut	VER:pres	pouvoir
très	ADV	très
bien	ADV	bien
le	PRO:clo	le
faire	VER:infi	faire
un	DET:ind	un
le	DET:def	le
problème	NOM	problème
ce	PRO:cls	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
nombre	NOM	nombre
de	PRP	de
jours	NOM	jour
un	DET:ind	un
lundi	NOM	lundi
mardi	NOM	mardi
après	ADV	après
peut-être	ADV	peut-être
que	KON	que
tu	PRO:cls	tu
sais	VER:pres	savoir
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
bosse	VER:pres	bosser
