Conversation	NOM	conversation
y	PRO:clo	y
a	VER:pres	avoir
pleins	ADJ	plein
de	PRP	de
poils	NOM	poil
qui	PRO:rel	qui
s'	PRO:clo	se
envolent	VER:pres	envoler
au	PRP:det	au
mamouth	NOM	<unknown>
mais	KON	mais
comment	PRO:int	comment
ça	PRO:cls	ça
se	PRO:clo	se
fait	VER:pres	faire
qu'	KON	que
ils	PRO:cls	il
s'	PRO:clo	se
envolent	VER:pres	envoler
comme	KON	comme
ça	PRO:ton	ça
bah	INT	bah
ils	PRO:cls	il
sont	AUX:pres	être
arrachés	VER:pper	arracher
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
plein	ADV	plein
de	PRP	de
vent	NOM	vent
quand	KON	quand
il	PRO:cls	il
éternue	VER:pres	éternuer
ouh	INT	ouh
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
.	ADJ	<unknown>
oeufs	NOM	oeuf
de	PRP	de
Pâques	NAM	Pâques
hum	FNO	hum
ils	PRO:cls	il
sont	AUX:pres	être
coloriés	VER:pper	colorier
dis	VER:pres	dire
donc	ADV	donc
colorés	ADJ	coloré
hum	FNO	hum
wa	VER:simp	<unknown>
groing	NOM	<unknown>
une	DET:ind	un
grenouille	NOM	grenouille
ça	PRO:cls	ça
se	PRO:clo	se
voit	VER:pres	voir
le	DET:def	le
singe	NOM	singe
aussi	ADV	aussi
il	PRO:cls	il
colorie	VER:pres	colorier
bah	INT	bah
dis	VER:pres	dire
donc	ADV	donc
ouais	FNO	ouais
il	PRO:clsi	il
s'	PRO:clo	se
est	VER:pres	être
cogn-	TRC	<unknown>
gné	NOM	<unknown>
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
mis	VER:pper	mettre
de	PRP	de
la	DET:def	le
peinture	NOM	peinture
sur	PRP	sur
lui	PRO:ton	lui
ouais	FNO	ouais
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
aussi	ADV	aussi
et	KON	et
puis	KON	puis
elle	PRO:ton	elle
aussi	ADV	aussi
ça	PRO:cls	ça
fait	VER:pres	faire
clown	NOM	clown
oui	FNO	oui
ça	PRO:cls	ça
fait	VER:pres	faire
clonw	NOM	<unknown>
rigolo	ADJ	rigolo
et	KON	et
puis	KON	puis
le	DET:def	le
chat	NOM	chat
il	PRO:cls	il
veut	VER:pres	vouloir
attraper	VER:infi	attraper
les	DET:def	le
oiseaux	NOM	oiseau
oui	FNO	oui
ou	KON	ou
ah	INT	ah
non	FNO	non
ah	INT	ah
non	FNO	non
ou	KON	ou
un	DET:ind	un
autre	ADJ	autre
oeuf	NOM	oeuf
ou	KON	ou
un	DET:ind	un
autre	ADJ	autre
oeuf	NOM	oeuf
hum	FNO	hum
ou	KON	ou
un	DET:ind	un
autre	ADJ	autre
oeuf	NOM	oeuf
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plein	ADV	plein
mais	KON	mais
ils	PRO:cls	il
sont	VER:pres	être
pas	ADV	pas
en	PRP	en
chocolat	NOM	chocolat
ceux-là	PRO:dem	celui-là
ou	KON	ou
un	DET:ind	un
autre	ADJ	autre
de	PRP	de
quoi	INT	quoi
les	DET:def	le
oeufs	NOM	oeuf
ils	PRO:cls	il
sont	VER:pres	être
pas	ADV	pas
en	PRP	en
chocolat	NOM	chocolat
non	FNO	non
ils	PRO:cls	il
sont	AUX:pres	être
juste	ADV	juste
dessinés	VER:pper	dessiner
hum	FNO	hum
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pleins	ADJ	plein
d'	PRP	un
animaux	NOM	animal
là-dedans	ADV	là-dedans
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
poules	NOM	poule
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
souris	NOM	souris
des	PRP:det	du
chats	NOM	chat
des	PRP:det	du
lapins	NOM	lapin
euh	INT	euh
et	KON	et
puis	KON	puis
des	DET:ind	un
des	DET:ind	un
perroquets	NOM	perroquet
ah	INT	ah
ouais	FNO	ouais
aussi	ADV	aussi
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pleins	ADJ	plein
de	PRP	de
trucs	NOM	truc
et	KON	et
puis	KON	puis
des	DET:ind	un
singes	NOM	singe
et	KON	et
puis	KON	puis
des	DET:ind	un
lapins	NOM	lapin
xxx	NOM	<unknown>
ouh	INT	ouh
un	DET:ind	un
autre	ADJ	autre
lapin	NOM	lapin
tut	VER:simp	taire
elle	PRO:cls	elle
essaye	VER:pres	essayer
d'	PRP	un
attraper	VER:infi	attraper
l'	DET:def	le
oeuf	NOM	oeuf
en	PRP	en
chocolat	NOM	chocolat
ouais	FNO	ouais
celui-là	PRO:dem	celui-là
elle	PRO:cls	elle
pourra	VER:futu	pouvoir
le	PRO:clo	le
manger	VER:infi	manger
au	PRP:det	au
moins	ADV	moins
quoi	INT	quoi
celui-là	PRO:dem	celui-là
elle	PRO:cls	elle
pourra	VER:futu	pouvoir
le	PRO:clo	le
manger	VER:infi	manger
d'	PRP	un
oeuf	NOM	oeuf
ouais	FNO	ouais
et	KON	et
puis	KON	puis
même	ADV	même
ceux-là	PRO:dem	celui-là
hum	FNO	hum
puisqu'ils	NOM	<unknown>
sont	VER:pres	être
en	PRP	en
chocolat	NOM	chocolat
trouve	VER:pres	trouver
des	DET:ind	un
indices	NOM	indice
trouve	VER:pres	trouver
des	DET:ind	un
bons	ADJ	bon
indices	NOM	indice
cinquante	NUM	@card@
six	NUM	@card@
elle	PRO:cls	elle
va	VER:pres	aller
être	VER:infi	être
grosse	ADJ	gros
celle-là	PRO:dem	celui-là
de	PRP	de
poule	NOM	poule
en	PRP	en
chocolat	NOM	chocolat
bah	INT	bah
oui	FNO	oui
oh	INT	oh
bah	INT	bah
oui	FNO	oui
elle	PRO:cls	elle
va	VER:pres	aller
être	VER:infi	être
grosse	ADJ	gros
on	PRO:cls	on
devra	VER:futu	devoir
en	PRO:clo	en
partager	VER:infi	partager
ouais	FNO	ouais
on	PRO:cls	on
pourra	VER:futu	pouvoir
ouais	FNO	ouais
bah	INT	bah
ils	PRO:cls	il
vont	VER:pres	aller
être	VER:infi	être
tous	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
pour	PRP	pour
les	PRO:clo	le
manger	VER:infi	manger
ouais	FNO	ouais
il	PRO:cls	il
elle	PRO:cls	elle
est	VER:pres	être
grosse	ADJ	gros
la	DET:def	le
poule///	NOM	<unknown>
peut	VER:pres	pouvoir
être	VER:infi	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
Saint	ADJ	saint
Nicolas	NOM	<unknown>
qui	PRO:rel	qui
a	AUX:pres	avoir
mis	VER:pper	mettre
des	DET:ind	un
des	DET:ind	un
friandises	NOM	friandise
à	PRP	à
Pâques	NAM	Pâques
c'	PRO:cls	ce
est	VER:pres	être
plutôt	ADV	plutôt
euh	INT	euh
les	DET:def	le
cloches	NOM	cloche
les	DET:def	le
cloches	NOM	cloche
de	PRP	de
Pâques	NAM	Pâques
hum	FNO	hum
hum	FNO	hum
les	DET:def	le
cloches	NOM	cloche
de	PRP	de
Pâques	NAM	Pâques
de	PRP	de
Pâques	NAM	Pâques
de	PRP	de
Pâques	NAM	Pâques
de	PRP	de
Pâques	NAM	Pâques
de	PRP	de
Pâques	NAM	Pâques
c'	PRO:cls	ce
est	VER:pres	être
bientôt	ADV	bientôt
hein	INT	hein
qu'	KON	que
elles	PRO:cls	elle
vont	VER:pres	aller
passer	VER:infi	passer
les	DET:def	le
cloches	NOM	cloche
bah	INT	bah
oui	FNO	oui
.	NAM	<unknown>
comme	KON	comme
ça	PRO:cls	ça
t'	PRO:clo	te
auras	VER:futu	avoir
plein	ADV	plein
de	PRP	de
chocolat	NOM	chocolat
hum	FNO	hum
.	NAM	<unknown>
oh	INT	oh
des	DET:ind	un
traces	NOM	trace
.	NOM:sig	<unknown>
des	DET:ind	un
traces	NOM	trace
de	PRP	de
quoi	INT	quoi
bah	INT	bah
des	DET:ind	un
des	DET:ind	un
pattes	NOM	patte
d'	PRP	un
ours	NOM	ours
ou	KON	ou
des	DET:ind	un
pattes	NOM	patte
du	PRP:det	du
homme	NOM	homme
voilà	FNO	voilà
hop	INT	hop
euh	INT	euh
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
en	PRP	en
dessous	ADV	dessous
c'	PRO:cls	ce
est	VER:pres	être
plutôt	ADV	plutôt
des	DET:ind	un
pattes	NOM	patte
d'	PRP	un
oiseaux	NOM	oiseau
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
pattes	NOM	patte
des	PRP:det	du
oiseaux	NOM	oiseau
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
pieds	NOM	pied
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
pieds	NOM	pied
des	PRP:det	du
gens	NOM	gens
et	KON	et
puis	KON	puis
quoi	INT	quoi
d'	PRP	un
autre	ADJ	autre
euh	INT	euh
euh	INT	euh
des	DET:ind	un
pattes	NOM	patte
palmées	VER:pper	palmer
ouais	FNO	ouais
et	KON	et
puis	KON	puis
des	DET:ind	un
pattes	NOM	patte
d'	PRP	un
oiseaux	NOM	oiseau
des	PRP:det	du
pattes	NOM	patte
d'	PRP	un
ours	NOM	ours
puis	KON	puis
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
pattes	NOM	patte
de	PRP	de
lion	NOM	lion
de	PRP	de
lion	NOM	lion
hum	FNO	hum
ils	PRO:cls	il
ont	AUX:pres	avoir
fait	VER:pper	faire
quoi	INT	quoi
ici	ADV	ici
ici	ADV	ici
bah	INT	bah
des	DET:ind	un
têtes	NOM	tête
des	PRP:det	du
têtes	NOM	tête
avec	PRP	avec
des	DET:ind	un
oeufs	NOM	oeuf
hum	FNO	hum
bah	INT	bah
une	DET:ind	un
oreille	NOM	oreille
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
lui	PRO:ton	lui
hum	FNO	hum
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
grandes	ADJ	grand
oreilles	NOM	oreille
hum	FNO	hum
il	PRO:cls	il
est	VER:pres	être
grand	ADJ	grand
lui	PRO:ton	lui
ben	INT	ben
oui	FNO	oui
mais	KON	mais
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
il	PRO:cls	il
tombe	VER:pres	tomber
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
il	PRO:cls	il
veut	VER:pres	vouloir
manger	VER:infi	manger
l'	DET:def	le
enfant	NOM	enfant
non	FNO	non
il	PRO:cls	il
veut	VER:pres	vouloir
pas	ADV	pas
les	PRO:clo	le
manger	VER:infi	manger
il	PRO:clsi	il
joue	VER:pres	jouer
avec	PRP	avec
eux	PRO:ton	eux
moi	PRO:ton	moi
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
être	VER:infi	être
petit	ADJ	petit
comme	KON	comme
eux	PRO:ton	eux
xxx	NOM	<unknown>
je	PRO:cls	je
suis	VER:pres	être
petit	ADJ	petit
hum	FNO	hum
les	DET:def	le
enfants	NOM	enfant
là	ADV	là
ils	PRO:cls	il
doivent	VER:pres	devoir
faire	VER:infi	faire
ta	DET:pos	ton
taille	NOM	taille
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
qui	PRO:rel	qui
est	VER:pres	être
grand	ADJ	grand
hum	FNO	hum
ah	INT	ah
tu	PRO:cls	tu
vois	VER:pres	voir
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
géant	ADJ	géant
ouais	FNO	ouais
les	DET:def	le
géants	NOM	géant
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
les	DET:def	le
géants	NOM	géant
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
pouf	NOM	pouf
ca	NOM	<unknown>
peut	VER:pres	pouvoir
casser	VER:infi	casser
les	DET:def	le
maisons	NOM	maison
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
même	ADV	même
ça	PRO:cls	ça
peut	VER:pres	pouvoir
casser	VER:infi	casser
le	DET:def	le
toit	NOM	toit
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
là	ADV	là
on	PRO:cls	on
voit	VER:pres	voir
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
c'	PRO:cls	ce
est	VER:pres	être
elle	PRO:cls	elle
est	VER:pres	être
toute	ADV	tout
petite	ADJ	petit
la	DET:def	le
maison	NOM	maison
à	PRP	à
côté	NOM	côté
de	PRP	de
lui	PRO:ton	lui
ouais	FNO	ouais
et	KON	et
puis	KON	puis
oh	INT	oh
ah	INT	ah
regarde	VER:impe	regarder
les	DET:def	le
.	ADJ	<unknown>
enfants	NOM	enfant
ils	PRO:cls	il
vont	VER:pres	aller
dans	PRP	dans
son	DET:pos	son
oreille	NOM	oreille
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
tomber	VER:infi	tomber
hum	FNO	hum
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
pourquoi	PRO:int	pourquoi
ils	PRO:cls	il
vont	VER:pres	aller
dans	PRP	dans
l'	DET:def	le
oreille	NOM	oreille
.	NAM	<unknown>
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pourquoi	PRO:int	pourquoi
toi	PRO:ton	toi
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
peut	VER:pres	pouvoir
être	VER:infi	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
tomber	VER:infi	tomber
dedans	ADV	dedans
peut	VER:pres	pouvoir
être	VER:infi	être
qu'	KON	que
ils	PRO:cls	il
veulent	VER:pres	vouloir
lui	PRO:clo	lui
parler	VER:infi	parler
et	KON	et
qu'	KON	que
il	PRO:cls	il
entend	VER:pres	entendre
pas	ADV	pas
ouais	FNO	ouais
alors	ADV	alors
ils	PRO:cls	il
montent	VER:pres	monter
dans	PRP	dans
l'	DET:def	le
oreille	NOM	oreille
comme	KON	comme
ça	PRO:ton	ça
ils	PRO:cls	il
sont	VER:pres	être
plus	ADV	plus
proches	ADJ	proche
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
d'	PRP	un
autre	ADJ	autre
hum	FNO	hum
des	DET:ind	un
enfants	NOM	enfant
avec	PRP	avec
lui	PRO:ton	lui
avec	PRP	avec
le	DET:def	le
géant	NOM	géant
hum	FNO	hum
ils	PRO:cls	il
redescendent	VER:pres	redescendre
tous	PRO:ind	tout
hum	FNO	hum
ils	PRO:cls	il
sont	VER:pres	être
copains	NOM	copain
avec	PRP	avec
lui	PRO:ton	lui
apparemment	ADV	apparemment
mais	KON	mais
non	FNO	non
mais	KON	mais
peut	VER:pres	pouvoir
être	AUX:infi	être
peut	VER:pres	pouvoir
être	VER:infi	être
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:int	qui
un	DET:ind	un
qui	PRO:rel	qui
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
est	AUX:pres	être
tombé	VER:pper	tomber
hein	INT	hein
hum	FNO	hum
ah	INT	ah
bah	INT	bah
oui	FNO	oui
peut	VER:pres	pouvoir
être	VER:infi	être
parce	TRC	parce
que	KON	que
il	PRO:cls	il
a	VER:pres	avoir
du	DET:par	du
se	PRO:clo	se
faire	VER:infi	faire
mal	ADV	mal
si	KON	si
il	PRO:cls	il
est	VER:pres	être
tombé	VER:pper	tomber
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
haut	ADJ	haut
pour	PRP	pour
un	DET:ind	un
enfant	NOM	enfant
bah	INT	bah
oui	FNO	oui
parce	TRC	parce
que	PRO:rel	que
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
la	DET:def	le
petite	ADJ	petit
fille	NOM	fille
elle	PRO:cls	elle
parait	VER:impf	parer
xxx	NOM	<unknown>
quand	KON	quand
même	ADV	même
euh	INT	euh
une	DET:ind	un
grande	ADJ	grand
chute	NOM	chute
oui	FNO	oui
bah	INT	bah
on	PRO:cls	on
voit	VER:pres	voir
bien	ADV	bien
il	PRO:cls	il
parait	VER:impf	parer
petit	ADJ	petit
hein	INT	hein
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
au	PRP:det	au
moins	ADV	moins
la	DET:def	le
taille	NOM	taille
là	ADV	là
il	PRO:cls	il
parait	VER:impf	parer
petit	ADJ	petit
ouais	FNO	ouais
il	PRO:cls	il
parait	VER:impf	parer
petit	ADJ	petit
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
ca	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
mais	KON	mais
le	DET:def	le
géant	NOM	géant
il	PRO:clsi	il
.	VER:cond	<unknown>
il	PRO:clsi	il
.	VER:cond	<unknown>
il	PRO:cls	il
parait	VER:impf	parer
euh	INT	euh
il	PRO:cls	il
parait	VER:impf	parer
grand	ADJ	grand
hein	INT	hein
alors	ADV	alors
lui	PRO:ton	lui
il	PRO:cls	il
parait	VER:impf	parer
immense	ADJ	immense
il	PRO:cls	il
fait	VER:pres	faire
combien	PRO:int	combien
de	PRP	de
fois	NOM	fois
l'	DET:def	le
enfant	NOM	enfant
il	PRO:cls	il
fait	VER:pres	faire
au	PRP:det	au
moins	ADV	moins
cinq	NUM	@card@
mètres	NOM	mètre
sa	DET:pos	son
tête	NOM	tête
elle	PRO:cls	elle
fait	VER:pres	faire
au	PRP:det	au
moins	ADV	moins
cinq	NUM	@card@
ou	KON	ou
six	NUM	@card@
fois	NOM	fois
la	DET:def	le
taille	NOM	taille
de	PRP	de
l'	DET:def	le
enfant	NOM	enfant
non	ADV	non
e	VER:simp	<unknown>
.	NOM:sig	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
plus	ADV	plus
grande	ADJ	grand
elle	PRO:cls	elle
est	VER:pres	être
plus	ADV	plus
grande	ADJ	grand
la	DET:def	le
taille	NOM	taille
la	DET:def	le
taille	NOM	taille
au	PRP:det	au
moins	ADV	moins
elle	PRO:cls	elle
fait	VER:pres	faire
ça	PRO:ton	ça
ouais	FNO	ouais
elle	PRO:cls	elle
est	VER:pres	être
plus	ADV	plus
grande///	MLT	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
cool	ADJ	cool
hum	FNO	hum
et	KON	et
puis	KON	puis
regarde	VER:impe	regarder
là	ADV	là
ça	PRO:cls	ça
se	PRO:clo	se
voit	VER:pres	voir
la	DET:def	le
maison	NOM	maison
elle	PRO:cls	elle
est	VER:pres	être
petite	ADJ	petit
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
grand	ADJ	grand
hein	INT	hein
hum	FNO	hum
ouh	INT	ouh
ouh	INT	ouh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
poissons	NOM	poisson
ouh	INT	ouh
c'	PRO:cls	ce
est	VER:pres	être
in-	TRC	in-
nondé	ADJ	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
innondé	VER:pper	<unknown>
il	PRO:cls	il
est	AUX:pres	être
tombé	VER:pper	tomber
dans	PRP	dans
la	DET:def	le
mer	NOM	mer
euh	INT	euh
oui	FNO	oui
mais	KON	mais
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
pour	PRP	pour
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
profond	ADJ	profond
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
vu	PRP	vu
comment	PRO:int	comment
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
grands	ADJ	grand
pieds	NOM	pied
la	DET:def	le
grande	ADJ	grand
la	DET:def	le
grand	ADJ	grand
mère	NOM	mère
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
elle	PRO:cls	elle
prend	VER:pres	prendre
plein	ADV	plein
d'	PRP	un
eau	NOM	eau
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
d'	PRP	un
eau	NOM	eau
ouah	INT	ouah
regarde	VER:impe	regarder
toung	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
habits	NOM	habit
qui	PRO:rel	qui
tombent	VER:pres	tomber
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
ouais	FNO	ouais
xxx	NOM	<unknown>
le	DET:def	le
facteur	NOM	facteur
t'	PRO:clo	te
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:cls	il
a	AUX:pres	avoir
écrasé	VER:pper	écraser
son	DET:pos	son
vélo	NOM	vélo
le	DET:def	le
facteur	NOM	facteur
ouais	FNO	ouais
le	DET:def	le
le	DET:def	le
géant	NOM	géant
il	PRO:cls	il
a	AUX:pres	avoir
écrasé	VER:pper	écraser
son	DET:pos	son
vélo	NOM	vélo
hum	FNO	hum
il	PRO:clsi	il
les	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
il	PRO:cls	il
était	VER:impf	être
trop	ADV	trop
haut	ADJ	haut
ouais	FNO	ouais
il	PRO:clsi	il
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
ét	VER:cond	<unknown>
.	NOM:sig	<unknown>
il	PRO:clsi	il
était	VER:impf	être
comme	KON	comme
ça	PRO:ton	ça
il	PRO:cls	il
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
il	PRO:clsi	il
l'	PRO:clo	le
a	AUX:pres	avoir
écrasé	VER:pper	écraser
ouais	FNO	ouais
le	DET:def	le
facteur	NOM	facteur
il	PRO:cls	il
va	VER:pres	aller
avoir	VER:infi	avoir
du	PRP:det	du
mal	NOM	mal
après	ADV	après
pour	PRP	pour
continuer	VER:infi	continuer
à	PRP	à
distribuer	VER:infi	distribuer
le	DET:def	le
courrier	NOM	courrier
hein	INT	hein
ouais	FNO	ouais
oh	INT	oh
puis	KON	puis
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
pauvre	NOM	pauvre
oh	INT	oh
le	DET:def	le
pauvre	NOM	pauvre
il	PRO:cls	il
v-	TRC	v-
il	PRO:cls	il
va	VER:pres	aller
devoir	VER:infi	devoir
il	PRO:cls	il
va	VER:pres	aller
devoir	VER:infi	devoir
faire	VER:infi	faire
quoi	INT	quoi
ben	INT	ben
le	PRO:clo	le
laver	VER:infi	laver
ouais	FNO	ouais
le	DET:def	le
torchon	NOM	torchon
ouais	FNO	ouais
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
tout	PRO:ind	tout
enlevé	VER:pper	enlever
ce	PRO:dem	ce
que	PRO:rel	que
la	DET:def	le
grand	ADJ	grand
mère	NOM	mère
elle	PRO:cls	elle
avait	AUX:impf	avoir
accroché	VER:pper	accrocher
hum	FNO	hum
et	KON	et
puis	KON	puis
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
enfants	NOM	enfant
qui	PRO:rel	qui
tombent	VER:pres	tomber
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
belle	ADJ	beau
cravate	NOM	cravate
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
les	DET:def	le
géants	NOM	géant
ça	PRO:cls	ça
.	VER:cond	<unknown>
ça	PRO:cls	ça
a	VER:pres	avoir
des	DET:ind	un
grandes	ADJ	grand
cravates	NOM	cravate
hum	FNO	hum
et	KON	et
puis	KON	puis
des	DET:ind	un
belles	ADJ	beau
cravates	NOM	cravate
oh	INT	oh
on	PRO:cls	on
croirait	VER:cond	croire
on	PRO:cls	on
croirait	VER:cond	croire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
cravate	NOM	cravate
de	PRP	de
clown	NOM	clown
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai///	ADV	<unknown>
même	ADV	même
tout	DET:pre	tout
son	DET:pos	son
vêtement	NOM	vêtement
parce	TRC	parce
que	KON	que
regarde//	MLT	<unknown>
là	ADV	là
il	PRO:cls	il
met	VER:pres	mettre
un	DET:ind	un
pantalon	NOM	pantalon
violet	ADJ	violet
les	DET:def	le
clowns	NOM	clown
c'	PRO:cls	ce
est	VER:pres	être
souvent	ADV	souvent
qu'	KON	que
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
pantalon	NOM	pantalon
violet	ADJ	violet
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
comme	KON	comme
ça	PRO:ton	ça
ils	PRO:cls	il
font	VER:pres	faire
quoi	INT	quoi
à	PRP	à
manger	VER:infi	manger
là	ADV	là
dedans	ADV	dedans
hum	FNO	hum
là	ADV	là
dedans	ADV	dedans
bah	INT	bah
de	PRP	de
la	DET:def	le
semoule	NOM	semoule
des	PRP:det	du
frites	NOM	frite
euh	INT	euh
des	DET:ind	un
mirabelles//	NOM	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
mirabelles	NOM	mirabelle
euh	INT	euh
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
ah	INT	ah
oui	FNO	oui
une	DET:ind	un
bonne	ADJ	bon
tarte	NOM	tarte
ouais	FNO	ouais
une	DET:ind	un
bonne	ADJ	bon
tarte	NOM	tarte
aux	PRP:det	au
mirabelles	NOM	mirabelle
oh	INT	oh
des	DET:ind	un
poissons	NOM	poisson
ils	PRO:cls	il
font	VER:pres	faire
cuire	VER:infi	cuire
des	DET:ind	un
épinards	NOM	épinard
.	NAM	<unknown>
euh	INT	euh
quoi	INT	quoi
d'	PRP	un
autre///	MLT	<unknown>
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
poulet	NOM	poulet
ouais	FNO	ouais
du	PRP:det	du
poulet	NOM	poulet
des	PRP:det	du
courgettes	NOM	courgette
des	PRP:det	du
poivrons	NOM	poivron
des	PRP:det	du
oignons	NOM	oignon
ouais	FNO	ouais
des	DET:ind	un
oignons	NOM	oignon
des	PRP:det	du
concombres	NOM	concombre
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
aubergines	NOM	aubergine
aussi	ADV	aussi
des	DET:ind	un
aubergines	NOM	aubergine
euh	INT	euh
.	NAM	<unknown>
quoi	INT	quoi
encore	ADV	encore
du	PRP:det	du
